Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Juan Posse,Juan Pablo Posse,-564031,Atlético Tucumán Res.,Atlético Tucumán Res.,https://cdn5.wyscout.com/photos/team/public/g35716_120x120.png,Torneo Proyección,RCB,RCB,98,,0,,0,21.0,2005-03-18,0,2027-12-31,20,1929,2,1.96,0,0.2,13.39,66.55,Argentina,['Argentina'],,0,0,False,8.12,5.79,70.97,4.43,62.11,0.61,0.86,0.51,3.41,4.8100000000000005,0.84,6,0.28,0,0.0,0.56,0.09,2,0.09,0.09,0,0.0,8,0.37,50.0,25.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.37,100.0,1.17,68.0,0.7000000000000001,0.89,0.14,25.1,0.51,0.75,39.05,80.88,18.52,69.52,2.47,96.23,32.52,87.23,6.44,50.0,21.74,38.76,0.01,0.14,0.0,0.0,0.0,0.0,0.09,4.67,47.0,0.61,15.38,0.61,23.08,0.19,0.0,8.49,58.79,95.41,14.23,0,,0,,0,0.0,0.0,0.0,,,2.15,,4.43,0.0,0.0,0.0,0.0,0,0
A. De La Cuesta,Agustin De La Cuesta,-600992,River Plate Res.,River Plate Res.,https://cdn5.wyscout.com/photos/team/public/g26580_120x120.png,Torneo Proyección,"DMF, LDMF, LCMF",DMF,56,LDMF,10,LCMF,10,20.0,2006-01-04,0,,19,1834,0,0.16,1,0.76,21.3,58.29,Argentina,['Argentina'],left,0,0,False,12.12,9.77,66.33,2.55,50.0,1.82,2.9,0.34,3.83,6.11,1.32,5,0.25,1,0.05,1.57,0.0,0,0.0,0.01,0,0.0,15,0.74,6.67,0.0,0.05,0.25,60.0,0.1,50.0,0.15,66.67,0.05,2.11,60.47,5.84,53.78,0.15,1.42,0.25,32.09,0.2,2.06,48.78,87.93,17.13,80.52,3.24,92.42,44.02,90.52,4.51,64.13,18.48,33.63,0.04,0.34,0.05,0.0,0.15,66.67,0.15,7.07,79.17,0.74,66.67,0.44,55.56,0.34,0.15,7.21,75.51,94.22,22.08,0,,0,,0,0.0,0.0,0.0,,,0.54,,2.55,0.05,0.0,0.0,0.0,0,0
G. Paoli,Gadiel Gian Paoli,-457692,Boca Juniors Res.,Boca Juniors Res.,https://cdn5.wyscout.com/photos/team/public/4007_120x120.png,Torneo Proyección,RCB,RCB,99,,0,,0,20.0,2005-10-01,0,2028-12-31,19,1778,1,0.8200000000000001,0,0.55,13.97,68.84,Argentina,['Argentina'],unknown,180,0,False,9.36,6.68,67.42,4.15,75.61,0.66,1.01,0.35000000000000003,4.2,6.42,0.71,2,0.1,0,0.0,0.30000000000000004,0.05,1,0.05,0.04,1,0.05,7,0.35000000000000003,71.43,14.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,25.0,1.42,46.43,0.46,0.4,0.0,31.33,0.35000000000000003,0.61,50.11,83.33,21.11,69.06,2.73,100.0,42.52,90.36,7.59,44.0,21.98,40.84,0.03,0.1,0.0,0.0,0.0,0.0,0.1,5.26,47.12,0.76,13.33,0.61,16.67,0.15,0.0,9.16,58.01,94.63,22.63,0,,0,,0,0.0,0.0,0.0,,,2.08,,4.15,0.0,0.0,0.0,0.0,0,0
F. Sciarini,Francisco Sciarini,-529368,Newell's Old Boys Res.,Newell's Old Boys Res.,https://cdn5.wyscout.com/photos/team/public/4022_120x120.png,Torneo Proyección,GK,GK,100,,0,,0,20.0,2005-09-15,0,,18,1737,0,0.0,0,0.0,0.88,94.12,Argentina,['Argentina'],,0,0,False,1.3,0.0,0.0,0.47000000000000003,100.0,0.0,0.0,0.0,1.3,1.6,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,83.33,0.0,0.0,0.0,10.16,0.1,0.31,19.12,83.47,10.05,73.2,0.0,0.0,11.61,96.43,7.46,63.89,33.39,52.18,0.0,0.0,0.0,0.05,0.0,0.0,0.0,2.18,54.76,0.16,0.0,0.21,0.0,0.0,0.0,5.28,76.47,95.45,7.98,15,0.78,75,3.89,8,80.0,17.98,0.93,2.98,0.154,0.0,1.5,0.47000000000000003,,,,0.0,0,0
T. Gomez,Thiago Gomez,-564116,Argentinos Juniors Res.,Argentinos Juniors Res.,https://cdn5.wyscout.com/photos/team/public/4006_120x120.png,Torneo Proyección,"RCB, RCB3",RCB,77,RCB3,22,,0,20.0,2006-03-18,0,,18,1712,1,0.12,1,0.34,15.25,60.34,Argentina,['Argentina'],right,176,0,False,10.15,6.15,69.23,2.94,51.79,0.53,0.76,0.26,5.36,7.77,1.16,5,0.26,0,0.0,0.53,0.05,1,0.05,0.01,1,0.05,2,0.11,50.0,50.0,0.05,0.21,50.0,0.0,0.0,0.21,50.0,0.0,0.47000000000000003,77.78,3.42,61.54,0.68,1.73,0.05,30.28,0.53,1.52,45.11,84.73,22.24,76.6,2.94,92.86,36.43,91.63,8.46,55.9,22.33,40.97,0.02,0.21,0.0,0.0,0.05,0.0,0.21,6.94,67.42,0.89,29.41,0.63,50.0,0.42,0.11,9.78,74.73,93.4,15.93,0,,0,,0,0.0,0.0,0.0,,,1.8900000000000001,,2.94,0.0,0.0,0.0,0.0,0,0
E. Acosta,Elian Francisco Acosta,-722631,Lanús Res.,Lanús Res.,https://cdn5.wyscout.com/photos/team/public/4019_120x120.png,Torneo Proyección,RCB,RCB,93,,0,,0,19.0,2007-05-29,0,,20,1709,1,0.76,0,0.1,10.37,56.85,Argentina,['Argentina'],unknown,0,0,False,6.9,5.32,57.43,3.05,55.17,0.11,0.18,0.68,3.74,6.36,0.9500000000000001,5,0.26,1,0.05,0.11,0.05,1,0.05,0.04,1,0.05,2,0.11,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,50.0,0.58,45.45,0.26,1.9500000000000002,0.11,58.4,0.26,0.37,78.84,92.79,25.01,83.79,5.9,97.32,72.99,95.38,5.85,60.36,18.94,37.08,0.01,0.05,0.0,0.0,0.0,0.0,0.05,7.58,74.31,0.74,28.57,0.32,33.33,0.11,0.0,8.43,73.13,97.83,38.86,0,,0,,0,0.0,0.0,0.0,,,5.0,,3.05,0.0,0.0,0.0,0.0,0,0
C. Fernando,Fernando Nicolas Closter,-621165,Independiente Res.,Independiente Res.,https://cdn5.wyscout.com/photos/team/public/4020_120x120.png,Torneo Proyección,RCB,RCB,98,,0,,0,18.0,2008-07-18,0,,18,1707,0,0.38,1,0.64,12.28,66.52,Argentina,['Argentina'],,0,0,False,11.55,6.96,76.52,2.64,50.0,0.6900000000000001,1.07,0.79,5.54,8.65,1.0,2,0.11,0,0.0,0.16,0.0,0,0.0,0.02,0,0.0,2,0.11,0.0,0.0,0.05,0.11,100.0,0.0,0.0,0.11,100.0,0.0,0.16,33.33,1.0,52.63,0.32,1.16,0.05,22.09,0.26,0.53,36.75,83.07,19.03,75.62,1.11,90.48,30.42,89.25,6.22,52.54,24.09,44.33,0.03,0.16,0.0,0.0,0.0,0.0,0.05,5.69,73.15,0.42,50.0,0.32,66.67,0.16,0.11,10.39,71.07,94.31,14.82,0,,0,,0,0.0,0.0,0.0,,,0.63,,2.64,0.05,0.05,0.0,0.0,0,0
N. Rojas,Nicolás Emanuel Rojas,-409615,Banfield Res.,Banfield Res.,https://cdn5.wyscout.com/photos/team/public/4003_120x120.png,Torneo Proyección,"RCMF, RB5, RW",RCMF,20,RB5,15,RW,15,21.0,2005-06-02,0,,18,1677,0,0.8300000000000001,0,0.36,19.75,48.1,Argentina,['Argentina'],,0,0,False,10.04,8.37,60.9,3.22,53.33,0.59,0.76,0.16,4.35,5.63,1.4,3,0.16,0,0.0,0.91,0.0,0,0.0,0.04,0,0.0,10,0.54,20.0,0.0,0.0,0.7000000000000001,30.77,0.32,50.0,0.38,14.29,0.05,1.56,34.48,6.44,26.67,0.86,1.34,0.11,17.28,0.81,0.86,28.5,77.02,9.98,59.68,4.72,94.32,25.76,80.42,2.04,50.0,16.73,30.61,0.02,0.32,0.0,0.05,0.05,100.0,0.05,4.5600000000000005,61.18,1.02,36.84,0.38,42.86,0.32,0.27,5.15,60.42,86.96,7.41,0,,0,,0,0.0,0.0,0.0,,,0.32,,3.22,0.0,0.0,0.0,0.0,0,0
V. Lucero,Valentin Lucero,-336034,River Plate Res.,River Plate Res.,https://cdn5.wyscout.com/photos/team/public/g26580_120x120.png,Torneo Proyección,"LB, LAMF",LB,77,LAMF,12,,0,20.0,2006-04-01,0,,20,1658,2,2.44,3,2.4,17.21,52.05,Argentina,['Argentina'],unknown,0,0,False,11.94,8.74,73.91,1.19,40.91,0.16,0.26,0.05,5.32,8.38,0.76,3,0.16,0,0.0,3.04,0.11,2,0.11,0.13,0,0.0,24,1.3,37.5,8.333,0.16,3.8,38.57,3.58,39.39,0.16,33.33,0.92,2.8200000000000003,38.46,5.59,28.16,2.17,2.61,0.38,33.44,3.58,0.49,46.14,77.88,16.83,65.48,8.03,95.27,38.87,84.5,3.58,46.97,17.97,33.6,0.13,1.1400000000000001,0.05,0.0,0.11,0.0,0.76,5.92,65.14,3.8,54.29,0.49,22.22,0.76,1.63,9.34,72.09,81.71,13.35,0,,0,,0,0.0,0.0,0.0,,,0.54,,1.19,0.22,0.11,50.0,0.43,0,0
T. Gimenez,Tomas Gimenez,-625448,Platense Res.,Platense Res.,https://cdn5.wyscout.com/photos/team/public/g34320_120x120.png,Torneo Proyección,LB,LB,99,,0,,0,19.0,2007-03-27,0,,18,1635,0,0.35000000000000003,0,0.65,14.7,55.43,Argentina,['Argentina'],,0,0,False,12.22,9.19,64.67,1.1,45.0,0.5,0.68,0.39,5.78,7.97,1.27,4,0.22,0,0.0,1.54,0.0,0,0.0,0.02,0,0.0,10,0.55,40.0,0.0,0.0,2.37,23.26,2.37,23.26,0.0,0.0,0.33,1.65,46.67,3.19,39.66,0.39,1.49,0.55,24.22,1.05,0.66,35.89,65.8,18.17,57.27,5.45,87.88,27.3,75.81,6.28,37.72,20.17,33.52,0.04,0.5,0.0,0.0,0.0,0.0,0.17,5.67,46.6,2.2,27.5,0.33,66.67,0.22,0.66,9.69,55.68,64.75,6.72,0,,0,,0,0.0,0.0,0.0,,,0.06,,1.1,0.0,0.0,0.0,0.0,0,0
