Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Tiago Estevão,Tiago Estevão,-62860,Amstetten,Amstetten,https://cdn5.wyscout.com/photos/team/public/g10902_120x120.png,2. Liga,GK,GK,100,,0,,0,24,2002-05-13,75000,2027-06-30,5,492,0,0.0,0,0.0,0.73,100.0,Germany,"['Germany', 'Portugal']",,193,80,False,0.37,0.37,100.0,0.18,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.0,0.0,0.0,13.54,0.73,0.37,25.98,77.46,14.82,62.96,0.0,0.0,16.83,97.83,8.96,40.82,34.54,54.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29,38.89,0.91,0.0,0.0,0.0,0.0,0.0,6.59,61.11,96.23,9.7,6,1.1,23,4.21,0,73.91,5.93,1.08,-0.07,-0.013000000000000001,0.0,1.1,0.18,,,,0.0,0,0
P. Offenthaler,Philipp Offenthaler,449178,Amstetten,Amstetten,https://cdn5.wyscout.com/photos/team/public/g10902_120x120.png,2. Liga,"CB, LCB",CB,79,LCB,18,,0,28,1998-03-03,200000,2027-06-30,5,492,1,0.58,0,0.01,11.52,44.44,Austria,['Austria'],right,189,80,False,8.96,5.67,51.61,2.38,23.08,0.37,0.51,0.55,5.67,7.95,1.46,0,0.0,0,0.0,0.18,0.18,1,0.18,0.11,0,0.0,5,0.91,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,60.0,1.1,0.0,0.0,20.49,0.18,0.73,37.68,83.5,19.02,72.12,2.38,92.31,29.63,90.12,8.05,59.09,24.43,41.64,0.0,0.18,0.0,0.0,0.0,0.0,0.0,7.32,65.0,0.91,0.0,0.0,0.0,0.0,0.0,8.78,79.17,96.15,14.27,0,,0,,0,0.0,0.0,0.0,,,1.83,,2.38,0.37,0.0,0.0,0.0,0,0
A. Stevanovic,Andrej Stevanovic,-351706,Voitsberg,Voitsberg,https://cdn5.wyscout.com/photos/team/public/g7496_120x120.png,2. Liga,"LCB3, LB, RCB3",LCB3,40,LB,20,RCB3,19,22,2004-01-04,0,,5,492,0,0.43,0,0.0,13.35,54.79,Serbia,"['Serbia', 'Austria']",unknown,190,0,False,9.33,4.39,45.83,3.84,61.9,0.0,0.0,0.73,7.32,11.43,1.28,1,0.18,0,0.0,0.73,0.0,0,0.0,0.08,0,0.0,4,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,66.67,3.11,58.82,0.55,0.18,0.0,25.43,0.55,0.73,39.51,84.26,18.11,71.72,3.66,95.0,34.76,90.0,4.76,42.31,20.9,38.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.94,51.85,0.55,33.33,0.0,0.0,0.18,0.0,7.13,64.1,94.74,13.9,0,,0,,0,0.0,0.0,0.0,,,2.38,,3.84,0.0,0.0,0.0,0.0,0,0
P. Scheucher,Philipp Scheucher,-266711,Voitsberg,Voitsberg,https://cdn5.wyscout.com/photos/team/public/g7496_120x120.png,2. Liga,"LCMF, LDMF, DMF",LCMF,69,LDMF,20,DMF,10,24,2001-10-19,0,2027-05-31,5,492,0,0.66,0,0.84,19.21,59.05,Austria,['Austria'],right,177,70,False,9.33,8.6,59.57,3.29,50.0,0.18,0.29,0.0,4.02,6.29,1.1,2,0.37,0,0.0,1.65,0.0,0,0.0,0.12,0,0.0,12,2.2,16.67,0.0,0.0,0.37,50.0,0.18,100.0,0.18,0.0,0.0,2.2,50.0,6.77,62.16,0.91,1.46,0.37,23.6,0.55,1.65,40.43,72.85,14.45,54.43,6.59,88.89,32.93,80.56,7.13,38.46,20.05,39.53,0.15,0.91,0.0,0.0,0.0,0.0,0.73,8.78,52.08,1.65,55.56,0.0,0.0,0.73,0.18,6.04,66.67,81.33,13.72,0,,0,,0,0.0,0.0,0.0,,,0.37,,3.29,1.1,0.18,0.0,3.11,0,0
F. Dmitrovic,Filip Dmitrovic,258598,Voitsberg,Voitsberg,https://cdn5.wyscout.com/photos/team/public/g7496_120x120.png,2. Liga,GK,GK,100,,0,,0,31,1995-07-28,0,,5,492,0,0.0,0,0.0,0.18,100.0,Serbia,"['Serbia', 'Austria']",right,191,81,False,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,1.43,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.0,0.0,0.0,19.94,0.0,0.18,34.02,79.03,21.4,70.09,0.0,0.0,17.56,95.83,16.46,61.11,35.42,48.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.11,41.18,0.37,0.0,0.0,0.0,0.0,0.0,12.44,69.12,93.75,11.71,10,1.83,32,5.85,1,68.75,11.07,2.02,1.07,0.196,0.0,0.55,0.0,,,,0.0,0,0
S. Savic,Sergej Savic,-286620,Admira,Admira,https://cdn5.wyscout.com/photos/team/public/620_120x120.png,2. Liga,RCB,RCB,100,,0,,0,18,2008-06-22,0,,5,485,1,0.18,0,0.01,4.82,53.85,Austria,['Austria'],unknown,0,0,False,5.94,1.8599999999999999,50.0,2.41,61.54,0.0,0.0,1.11,5.01,6.23,0.19,0,0.0,0,0.0,0.19,0.19,1,0.19,0.03,1,0.19,2,0.37,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.0,36.19,0.56,0.19,50.29,85.61,19.86,73.83,2.04,90.91,42.68,92.17,7.61,48.78,25.04,48.83,0.0,0.19,0.0,0.0,0.0,0.0,0.0,7.24,58.97,0.19,100.0,0.0,0.0,0.0,0.0,11.32,67.21,93.85,24.12,0,,0,,0,0.0,0.0,0.0,,,1.3,,2.41,0.0,0.0,0.0,0.0,0,0
C. Steinbauer,Clemens Steinbauer,-92894,Admira,Admira,https://cdn5.wyscout.com/photos/team/public/620_120x120.png,2. Liga,GK,GK,100,,0,,0,24,2002-07-29,0,,5,485,0,0.0,0,0.0,0.19,100.0,Austria,['Austria'],left,190,0,False,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.6900000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,100.0,0.0,0.0,0.0,18.19,0.0,0.19,30.62,83.03,13.36,63.89,0.0,0.0,22.27,96.67,8.35,46.67,31.28,45.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,18.18,0.37,0.0,0.0,0.0,0.0,0.0,6.31,61.76,97.7,16.14,5,0.93,26,4.82,1,80.77,7.1,1.32,2.1,0.39,0.0,1.8599999999999999,0.0,,,,0.0,0,0
T. Gemicibaşi,Turgay Gemicibaşi,273259,Admira,Admira,https://cdn5.wyscout.com/photos/team/public/620_120x120.png,2. Liga,"LDMF, LCMF",LDMF,55,LCMF,43,,0,30,1996-04-23,350000,,5,485,2,1.08,1,1.4,13.92,64.0,Germany,"['Germany', 'Türkiye']",left,180,70,False,8.72,5.57,83.33,2.23,75.0,0.19,0.23,0.37,3.9,4.85,1.11,1,0.19,0,0.0,2.6,0.37,1,0.19,0.2,0,0.0,11,2.04,36.36,18.182,0.19,2.04,54.55,1.3,57.14,0.74,50.0,0.37,1.11,66.67,4.82,46.15,0.37,1.3,0.37,30.43,0.56,1.48,46.95,79.84,16.52,62.92,4.08,100.0,35.07,87.3,10.02,57.41,24.09,42.9,0.26,2.6,0.19,0.0,0.0,0.0,0.56,8.91,64.58,3.71,40.0,0.37,0.0,0.74,1.11,8.54,65.22,90.35,21.15,0,,0,,0,0.0,0.0,0.0,,,0.37,,2.23,1.48,0.56,33.33,5.75,1,100
E. Stehrer,Erik Mathias Stehrer,-286672,Rapid Wien II,Rapid Wien II,https://cdn5.wyscout.com/photos/team/public/g8716_120x120.png,2. Liga,LB,LB,93,,0,,0,19,2007-05-09,0,,5,485,1,0.77,0,0.29,12.62,57.35,Austria,['Austria'],unknown,0,0,False,7.61,5.01,55.56,0.74,75.0,0.0,0.0,0.0,4.82,5.86,0.74,1,0.19,0,0.0,3.15,0.19,1,0.19,0.14,0,0.0,5,0.93,40.0,20.0,0.0,2.23,25.0,2.23,25.0,0.0,0.0,0.56,2.9699999999999998,75.0,6.12,60.61,1.48,1.48,0.19,26.16,2.04,1.48,34.89,78.72,12.62,69.12,7.61,92.68,29.51,83.65,3.34,72.22,18.49,44.01,0.05,0.74,0.0,0.0,0.0,0.0,0.37,2.41,69.23,1.67,33.33,0.0,0.0,0.19,0.37,6.49,65.71,77.08,8.91,0,,0,,0,0.0,0.0,0.0,,,0.19,,0.74,0.19,0.19,0.0,0.56,0,0
Riquelme,Riquelme Reis de Almeida de Jesus dos Santos,-400332,Liefering,Liefering,https://cdn5.wyscout.com/photos/team/public/g8738_120x120.png,2. Liga,DMF,DMF,93,,0,,0,20,2006-01-07,0,2027-06-30,5,484,1,0.04,0,0.51,11.53,59.68,Brazil,['Brazil'],,0,0,True,9.11,5.76,58.06,2.98,68.75,0.19,0.31,0.74,5.58,9.18,0.74,1,0.19,0,0.0,0.19,0.19,1,0.19,0.01,0,0.0,1,0.19,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,33.33,0.56,0.0,0.0,21.38,0.19,0.37,39.05,81.43,14.13,65.79,4.09,90.91,34.4,84.86,4.65,56.0,19.92,38.04,0.1,0.74,0.19,0.0,0.0,0.0,0.56,6.14,66.67,1.12,33.33,0.19,100.0,0.74,0.0,6.32,61.76,95.06,15.06,0,,0,,0,0.0,0.0,0.0,,,1.49,,2.98,0.0,0.0,0.0,0.0,0,0
S. Nesler-Täubl,Simon Nesler-Täubl,-348619,Austria Salzburg,Austria Salzburg,https://cdn5.wyscout.com/photos/team/public/g13336_120x120.png,2. Liga,GK,GK,100,,0,,0,21,2005-01-04,0,2028-06-30,5,484,0,0.0,0,0.0,0.37,50.0,Austria,['Austria'],left,187,0,False,0.93,0.0,0.0,0.19,100.0,0.0,0.0,0.0,0.93,1.43,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,40.72,0.56,0.19,57.09,83.71,22.5,63.64,0.0,0.0,44.63,97.5,12.46,34.33,29.77,50.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.95,34.38,1.3,42.86,0.0,0.0,0.56,0.0,9.3,60.0,97.69,32.17,7,1.3,17,3.16,1,58.82,5.09,0.9500000000000001,-1.9100000000000001,-0.355,0.0,1.12,0.19,,,,0.0,0,0
M. Eder,Moritz  Eder,-266597,Austria Salzburg,Austria Salzburg,https://cdn5.wyscout.com/photos/team/public/g13336_120x120.png,2. Liga,"RWB, RB",RWB,85,RB,14,,0,23,2003-03-21,0,,5,484,0,0.21,1,0.61,17.11,48.91,Austria,['Austria'],right,170,63,False,6.69,7.25,43.59,1.8599999999999999,60.0,0.19,0.29,0.0,3.35,5.14,2.23,1,0.19,0,0.0,1.8599999999999999,0.0,0,0.0,0.04,0,0.0,5,0.93,0.0,0.0,0.19,4.09,27.27,0.0,0.0,4.09,27.27,0.56,1.3,57.14,6.88,48.65,1.49,0.74,0.19,23.06,2.79,2.05,30.87,68.67,8.55,52.17,6.51,97.14,25.1,78.52,1.67,22.22,17.85,43.74,0.11,0.56,0.0,0.19,0.0,0.0,0.74,2.6,64.29,4.28,34.78,0.0,0.0,0.37,1.12,5.76,70.97,65.12,8.0,0,,0,,0,0.0,0.0,0.0,,,0.93,,1.8599999999999999,0.0,0.0,0.0,0.0,0,0
L. Meisl,Luca Meisl,424058,Austria Salzburg,Austria Salzburg,https://cdn5.wyscout.com/photos/team/public/g13336_120x120.png,2. Liga,CB,CB,85,,0,,0,27,1999-03-04,300000,2027-06-30,5,484,0,0.81,0,0.12,10.6,56.14,Austria,['Austria'],right,184,80,False,8.74,4.28,47.83,4.09,59.09,0.37,0.5700000000000001,0.56,6.32,9.71,1.3,0,0.0,0,0.0,0.56,0.0,0,0.0,0.15,0,0.0,6,1.12,0.0,0.0,0.0,0.93,40.0,0.56,33.33,0.37,50.0,0.19,0.19,100.0,0.74,75.0,1.12,1.3,0.0,40.91,0.0,0.74,57.83,85.85,22.87,71.54,5.02,96.3,50.21,91.85,6.69,47.22,22.99,49.06,0.02,0.37,0.37,0.0,0.0,0.0,0.37,9.48,64.71,1.49,25.0,0.0,0.0,0.0,0.37,11.16,76.67,95.14,26.78,0,,0,,0,0.0,0.0,0.0,,,3.35,,4.09,0.0,0.0,0.0,0.0,0,0
P. Scharner,Paul Pius Scharner,-393043,Floridsdorfer AC,Floridsdorfer AC,https://cdn5.wyscout.com/photos/team/public/g8722_120x120.png,2. Liga,GK,GK,100,,0,,0,18,2008-03-14,0,,5,483,0,0.0,0,0.0,0.75,100.0,Austria,['Austria'],unknown,0,0,False,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.23,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,100.0,0.0,0.0,0.0,18.63,0.37,0.75,31.49,75.15,12.86,44.93,0.19,0.0,20.5,95.45,10.99,37.29,33.68,53.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.73,20.0,0.56,0.0,0.19,0.0,0.0,0.0,8.39,48.89,97.85,17.33,6,1.12,21,3.91,3,71.43,7.03,1.31,1.03,0.192,0.0,2.61,0.0,,,,0.0,0,0
