Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Ali Mohamed Ali,Abdulrahman Ali Mohamed Ali,-646301,Sitra,Sitra,https://cdn5.wyscout.com/photos/team/public/g5645_120x120.png,Premier League,LCB,LCB,93,,0,,0,30.0,1996-03-18,0,,2,208,0,0.17,0,0.39,8.65,65.0,Bahrain,['Bahrain'],unknown,0,0,False,3.46,2.6,83.33,4.76,54.55,0.0,0.0,0.0,1.3,3.1,0.43,0,0.0,0,0.0,0.43,0.0,0,0.0,0.07,0,0.0,2,0.87,0.0,0.0,0.0,0.43,100.0,0.43,100.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.87,0.43,0.0,45.87,0.0,0.0,59.28,87.59,22.93,75.47,1.3,66.67,51.92,94.17,6.92,37.5,21.95,43.91,0.17,0.43,0.43,0.0,0.0,0.0,0.0,7.36,47.06,1.73,25.0,1.3,0.0,0.0,0.43,9.52,81.82,98.51,28.99,0,,0,,0,0.0,0.0,0.0,,,0.87,,4.76,0.0,0.0,0.0,0.0,0,0
H. Al Doseri,Hamad  Mohamed Ebrahim Al Doseri,-407845,Sitra,Sitra,https://cdn5.wyscout.com/photos/team/public/g5645_120x120.png,Premier League,GK,GK,100,,0,,0,37.0,1989-07-24,0,,2,208,0,0.0,0,0.0,0.43,0.0,Bahrain,['Bahrain'],,0,0,False,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46,8.28,0.43,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,8.22,0.43,0.0,12.98,90.0,6.06,85.71,0.0,0.0,9.52,100.0,3.46,62.5,26.41,47.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,75.0,93.33,6.49,0,0.0,4,1.73,2,100.0,1.71,0.74,1.71,0.74,0.0,1.3,0.0,,,,0.0,0,0
V. Emmanuel Ani,Vincent   Emmanuel Ani,-406826,Sitra,Sitra,https://cdn5.wyscout.com/photos/team/public/g5645_120x120.png,Premier League,RB,RB,93,,0,,0,25.0,2001-04-24,0,,2,208,0,0.01,0,0.6000000000000001,5.63,84.62,Bahrain,['Bahrain'],unknown,0,0,False,5.19,1.73,100.0,1.73,100.0,0.0,0.0,0.0,3.46,8.28,0.0,0,0.0,0,0.0,0.87,0.0,0,0.0,0.0,0,0.0,1,0.43,0.0,0.0,0.0,2.16,40.0,0.0,0.0,2.16,40.0,0.43,0.87,0.0,1.3,33.33,1.3,1.73,0.0,25.1,1.3,0.43,35.48,85.37,13.85,81.25,5.19,100.0,32.45,90.67,0.87,0.0,17.7,11.9,0.26,0.87,0.0,0.0,0.0,0.0,0.43,4.33,90.0,3.03,57.14,0.43,0.0,1.3,0.43,6.49,80.0,81.48,11.68,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.73,0.0,0.0,0.0,0.0,0,0
P. Seyi,Philemon Seyi,-280056,Sitra,Sitra,https://cdn5.wyscout.com/photos/team/public/g5645_120x120.png,Premier League,RCB,RCB,93,,0,,0,25.0,2001-02-12,0,,2,208,0,0.0,0,0.0,7.36,58.82,Nigeria,['Nigeria'],right,190,82,False,6.06,1.73,75.0,3.89,44.44,0.0,0.0,0.87,4.76,11.38,0.43,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,100.0,0.0,0.0,0.0,38.94,0.43,0.43,59.71,94.2,18.17,85.71,3.46,100.0,54.09,97.6,5.63,61.54,22.84,45.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.36,70.59,1.3,33.33,0.43,100.0,0.43,0.0,6.92,100.0,97.5,34.62,0,,0,,0,0.0,0.0,0.0,,,2.6,,3.89,0.0,0.0,0.0,0.0,0,0
Ali Haram,Ali Abdulla Hassan Haram,69077,Sitra,Sitra,https://cdn5.wyscout.com/photos/team/public/g5645_120x120.png,Premier League,RDMF,RDMF,93,,0,,0,37.0,1988-12-11,200000,2027-06-30,2,208,1,1.9300000000000002,1,0.11,16.44,44.74,Bahrain,['Bahrain'],right,0,0,False,6.92,5.19,50.0,5.63,61.54,0.87,2.07,0.0,3.46,8.28,3.03,0,0.0,0,0.0,1.3,0.43,1,0.43,0.84,0,0.0,5,2.16,60.0,20.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46,25.0,3.03,0.0,0.0,38.08,0.43,0.43,48.46,90.18,14.71,82.35,4.33,80.0,45.43,92.38,3.03,57.14,18.65,32.95,0.05,0.87,0.0,0.0,0.0,0.0,0.0,6.92,87.5,1.73,50.0,0.43,0.0,0.87,0.0,7.36,82.35,98.0,21.63,0,,0,,0,0.0,0.0,0.0,,,0.43,,5.63,0.0,0.0,0.0,0.0,1,0
M. Mohamed,Mohamed  Salem Mohamed,-140602,Sitra,Sitra,https://cdn5.wyscout.com/photos/team/public/g5645_120x120.png,Premier League,CF,CF,100,,0,,0,27.0,1999-05-23,0,,2,205,0,0.38,0,0.2,18.0,24.39,Mauritania,['Mauritania'],,0,0,False,2.2,1.76,75.0,6.59,13.33,0.44,1.03,0.0,0.44,1.03,0.44,0,0.0,0,0.0,0.88,0.0,0,0.0,0.17,0,0.0,3,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,66.67,7.46,23.53,4.83,0.0,0.0,5.71,1.76,0.0,9.66,72.73,1.32,66.67,3.95,77.78,9.66,72.73,0.0,0.0,13.62,0.0,0.09,0.88,0.0,0.0,0.0,0.0,0.88,0.44,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,60.0,2.2,0,,0,,0,0.0,0.0,0.0,,,0.0,,6.59,0.0,0.0,0.0,0.0,0,0
Ali Nasser Ali Hasan,Ali Nasser Ali Hasan,399837,Sitra,Sitra,https://cdn5.wyscout.com/photos/team/public/g5645_120x120.png,Premier League,LDMF,LDMF,83,,0,,0,29.0,1996-11-23,0,2027-05-31,2,204,1,0.97,0,0.03,11.47,46.15,Saudi Arabia,"['Saudi Arabia', 'Yemen']",right,169,67,False,5.29,4.41,50.0,0.0,0.0,0.0,0.0,0.0,3.09,7.78,0.44,0,0.0,0,0.0,2.21,0.44,0,0.0,0.43,0,0.0,6,2.65,50.0,16.667,0.0,0.88,0.0,0.88,0.0,0.0,0.0,0.0,1.32,66.67,5.29,33.33,0.88,2.21,0.0,37.94,0.88,0.88,49.85,82.3,15.88,61.11,6.18,92.86,38.38,85.06,10.59,79.17,20.99,42.05,0.01,0.44,0.0,0.44,1.32,0.0,0.0,14.12,62.5,5.74,61.54,3.9699999999999998,22.22,1.76,0.0,8.38,94.74,90.48,18.53,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.0,0.44,0.0,0.0,0.88,1,100
B. Wade,Bekaye Wade,-77982,Sitra,Sitra,https://cdn5.wyscout.com/photos/team/public/g5645_120x120.png,Premier League,RAMF,RAMF,89,,0,,0,30.0,1996-04-13,0,,2,201,0,0.6000000000000001,0,1.29,17.01,55.26,Mauritania,['Mauritania'],,172,54,False,2.24,2.69,50.0,0.45,100.0,0.0,0.0,0.0,0.9,2.22,0.45,0,0.0,0,0.0,9.4,0.0,0,0.0,0.27,0,0.0,4,1.79,25.0,0.0,0.0,6.27,50.0,0.9,50.0,5.37,50.0,0.45,7.61,70.59,12.54,60.71,6.27,5.37,0.9,25.97,3.58,1.79,32.69,80.82,7.61,64.71,8.96,100.0,25.07,91.07,1.79,25.0,19.45,49.43,0.58,2.24,0.0,0.0,1.34,33.33,1.79,2.69,50.0,7.16,56.25,1.34,0.0,4.48,4.03,6.27,100.0,76.67,13.43,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.45,0.45,0.0,0.0,1.79,0,0
Omar Saber,Omar Saber Abdulrahman Mohamed Noor Abdulrahman,-408662,Sitra,Sitra,https://cdn5.wyscout.com/photos/team/public/g5645_120x120.png,Premier League,"LAMF, AMF",LAMF,82,AMF,17,,0,25.0,2001-04-30,0,,2,194,0,1.6099999999999999,0,0.8200000000000001,9.28,55.0,Bahrain,['Bahrain'],unknown,0,0,True,4.64,1.8599999999999999,75.0,1.3900000000000001,33.33,0.0,0.0,0.0,3.25,7.24,1.3900000000000001,0,0.0,0,0.0,3.25,0.0,0,0.0,0.75,0,0.0,5,2.32,40.0,0.0,0.0,2.32,80.0,1.3900000000000001,66.67,0.93,100.0,0.0,1.3900000000000001,33.33,4.64,40.0,4.64,1.8599999999999999,0.0,27.37,1.3900000000000001,1.3900000000000001,31.55,88.24,6.03,53.85,9.28,100.0,28.3,90.16,0.93,50.0,15.26,20.99,0.38,3.71,0.0,0.0,0.0,0.0,2.32,3.71,62.5,2.7800000000000002,66.67,0.0,0.0,0.93,1.8599999999999999,5.57,83.33,94.74,8.81,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.3900000000000001,0.46,0.0,0.0,2.7800000000000002,0,0
S. Al Zubaidi,Saleh Ali Saleh Al Zubaidi,-644418,Sitra,Sitra,https://cdn5.wyscout.com/photos/team/public/g5645_120x120.png,Premier League,"AMF, LAMF",AMF,81,LAMF,18,,0,24.0,2002-02-16,0,,2,160,0,0.71,0,0.13,12.94,39.13,Bahrain,['Bahrain'],,0,0,False,3.38,3.38,66.67,2.25,0.0,0.0,0.0,0.0,1.13,2.61,1.13,0,0.0,0,0.0,3.38,0.0,0,0.0,0.4,0,0.0,5,2.81,0.0,0.0,0.0,2.81,60.0,2.25,75.0,0.56,0.0,1.13,2.25,50.0,6.19,36.36,7.31,2.81,0.0,24.75,1.13,1.69,27.56,81.63,6.19,63.64,6.75,91.67,23.63,85.71,1.13,50.0,18.43,37.51,0.07,0.56,0.0,0.0,1.13,50.0,0.56,4.5,75.0,2.81,60.0,1.13,50.0,1.69,1.69,4.5,87.5,94.44,10.13,0,,0,,0,0.0,0.0,0.0,,,0.56,,2.25,0.0,0.0,0.0,0.0,0,0
