Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Willem Lejeune,Willem Lejeune,-175988,Tigers,Tigers,https://cdn5.wyscout.com/photos/team/public/g14898_120x120.png,Capital Territory NPL,GK,GK,100,,0,,0,26.0,1999-09-20,0,,14,1368,0,0.0,0,0.0,0.79,83.33,Australia,['Australia'],right,195,0,False,1.6400000000000001,0.07,100.0,0.66,90.0,0.0,0.0,0.0,1.58,2.5300000000000002,0.07,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.99,0.26,0.0,25.33,85.71,12.63,73.44,0.0,0.0,18.75,97.89,6.45,52.04,28.15,48.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71,34.62,0.0,0.0,0.0,0.0,0.0,0.0,4.61,58.57,98.83,11.25,17,1.12,57,3.75,5,70.18,14.96,0.98,-2.04,-0.134,0.0,1.8399999999999999,0.66,,,,0.0,0,0
J. Pedersen,Joshua Pedersen,-342730,Tuggeranong United,Tuggeranong United,https://cdn5.wyscout.com/photos/team/public/g10805_120x120.png,Capital Territory NPL,"CB, LCB3, RCMF3",CB,34,LCB3,21,RCMF3,12,20.0,2005-08-14,0,,14,1343,1,1.37,0,0.11,16.22,64.88,Australia,['Australia'],,0,0,False,14.34,10.19,73.03,1.27,63.16,0.13,0.15,0.54,6.77,7.58,0.9400000000000001,0,0.0,0,0.0,0.74,0.07,1,0.07,0.09,0,0.0,12,0.8,33.33,8.333,0.0,0.34,40.0,0.0,0.0,0.34,40.0,0.07,0.67,50.0,3.2800000000000002,51.02,0.54,1.74,0.0,22.65,0.27,0.4,38.47,80.49,15.35,67.69,4.09,98.36,32.1,86.85,6.03,48.89,21.14,42.9,0.01,0.34,0.07,0.0,0.0,0.0,0.07,5.63,53.57,1.07,31.25,0.2,0.0,0.34,0.07,7.57,61.06,88.32,14.34,0,,0,,0,0.0,0.0,0.0,,,1.1400000000000001,,1.27,0.0,0.0,0.0,0.0,0,0
Jakob Cole,Jakob Cole,493627,Canberra White Eagles,Canberra White Eagles,https://cdn5.wyscout.com/photos/team/public/g33315_120x120.png,Capital Territory NPL,GK,GK,100,,0,,0,31.0,1995-04-10,0,,14,1340,0,0.0,0,0.0,1.1400000000000001,76.47,Australia,['Australia'],,0,0,False,2.35,0.13,50.0,0.6000000000000001,100.0,0.0,0.0,0.0,2.2800000000000002,2.5300000000000002,0.0,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,33.33,0.0,0.0,0.0,5.71,0.0,0.2,17.46,82.31,10.54,72.61,0.0,0.0,12.22,95.6,5.24,51.28,30.69,43.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,50.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16,58.06,97.78,6.04,42,2.8200000000000003,125,8.4,0,66.4,34.33,2.31,-7.67,-0.515,0.0,1.88,0.6000000000000001,,,,0.0,0,0
X. Davies,Xabier Davies,-448090,Tuggeranong United,Tuggeranong United,https://cdn5.wyscout.com/photos/team/public/g10805_120x120.png,Capital Territory NPL,"AMF, LCMF3, RCMF3",AMF,26,LCMF3,23,RCMF3,19,21.0,2005-06-27,0,,14,1330,8,4.77,4,3.49,15.36,42.29,Australia,['Australia'],,0,0,False,5.41,3.32,63.27,1.62,33.33,0.14,0.15,0.2,3.18,3.58,0.54,3,0.2,0,0.0,2.71,0.54,8,0.54,0.32,0,0.0,35,2.37,54.29,22.857,0.27,0.61,33.33,0.14,50.0,0.41000000000000003,33.33,0.14,2.71,37.5,8.53,35.71,2.03,1.76,0.07,13.67,1.02,1.15,21.11,67.95,9.68,60.84,2.17,90.63,18.54,70.8,1.96,51.72,17.41,28.99,0.24,1.49,0.07,0.07,0.34,60.0,0.81,4.06,58.33,2.1,48.39,0.47000000000000003,57.14,0.9500000000000001,0.2,4.4,70.77,73.08,5.28,0,,0,,0,0.0,0.0,0.0,,,0.07,,1.62,0.14,0.0,0.0,0.07,0,0
F. Olivares,Fabian Olivares,-191133,Canberra White Eagles,Canberra White Eagles,https://cdn5.wyscout.com/photos/team/public/g33315_120x120.png,Capital Territory NPL,"RAMF, CF, AMF",RAMF,35,CF,31,AMF,14,23.0,2002-11-11,0,,14,1319,3,3.07,0,0.76,16.1,41.1,Australia,['Australia'],,0,0,False,5.25,4.03,79.66,1.02,13.33,0.14,0.15,0.07,1.9100000000000001,2.13,0.07,0,0.0,0,0.0,2.52,0.2,3,0.2,0.21,0,0.0,41,2.8,36.59,7.317,0.0,1.09,25.0,0.55,12.5,0.48,42.86,0.0,2.46,47.22,8.32,29.51,2.18,0.96,0.07,15.97,2.59,0.34,20.4,66.56,5.25,44.16,4.84,84.51,17.88,70.99,1.5,40.91,16.52,29.83,0.05,0.96,0.0,0.0,0.14,50.0,0.2,2.73,52.5,1.3,52.63,0.34,40.0,0.55,0.2,2.66,58.97,67.95,5.32,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.02,0.89,0.07,0.0,1.23,0,0
C. Cook,Callum Cook,-191257,Tuggeranong United,Tuggeranong United,https://cdn5.wyscout.com/photos/team/public/g10805_120x120.png,Capital Territory NPL,GK,GK,100,,0,,0,23.0,2003-03-14,0,,14,1318,0,0.0,0,0.0,1.09,81.25,Australia,['Australia'],,0,0,False,2.32,0.14,0.0,0.68,90.0,0.0,0.0,0.0,2.32,2.58,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,100.0,0.0,0.0,0.0,9.01,0.07,0.27,20.14,80.0,12.09,68.93,0.0,0.0,11.61,97.65,8.54,56.0,31.84,47.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,50.0,0.07,0.0,0.07,0.0,0.0,0.0,6.35,66.67,96.94,6.69,28,1.9100000000000001,93,6.35,2,69.89,27.08,1.85,-0.92,-0.063,0.0,2.46,0.68,,,,0.0,0,0
A. Milicevic,Aidan Milicevic,-196280,Tigers,Tigers,https://cdn5.wyscout.com/photos/team/public/g14898_120x120.png,Capital Territory NPL,"AMF, CF, RCMF3",AMF,43,CF,35,RCMF3,13,22.0,2003-09-08,0,,14,1314,16,11.95,6,3.99,17.88,47.51,Australia,['Australia'],right,191,0,False,6.23,6.16,60.0,1.3,36.84,0.34,0.55,0.14,2.19,3.5300000000000002,1.51,5,0.34,0,0.0,5.14,1.1,6,0.41000000000000003,0.8200000000000001,0,0.0,83,5.68,44.58,18.072,0.41000000000000003,0.96,42.86,0.55,62.5,0.41000000000000003,16.67,0.07,3.9,54.39,8.9,42.31,1.78,2.4,0.21,30.0,1.16,1.16,39.38,77.57,14.66,66.36,5.48,90.0,33.08,81.37,5.34,60.26,19.94,33.73,0.27,2.67,0.0,0.0,0.21,33.33,0.41000000000000003,8.84,68.22,4.59,53.73,0.62,55.56,1.78,0.41000000000000003,8.36,86.89,83.49,14.93,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.3,2.81,0.75,45.45,3.22,9,100
Samuel Whithear,Samuel Whithear,522530,Tigers,Tigers,https://cdn5.wyscout.com/photos/team/public/g14898_120x120.png,Capital Territory NPL,RCB,RCB,58,,0,,0,28.0,1998-04-30,0,,14,1313,2,1.16,1,0.96,15.29,53.36,Australia,['Australia'],,0,0,False,8.23,5.14,64.0,3.63,58.49,0.21,0.32,0.48,4.73,7.47,0.6900000000000001,1,0.07,0,0.0,1.03,0.14,2,0.14,0.08,1,0.07,17,1.17,52.94,11.765,0.07,0.34,40.0,0.0,0.0,0.34,40.0,0.0,0.55,50.0,4.52,36.36,1.44,1.3,0.14,30.85,0.62,1.44,48.19,77.38,22.69,68.88,2.95,88.37,39.21,83.92,8.64,49.21,22.41,44.12,0.07,0.55,0.0,0.0,0.14,0.0,0.21,10.56,60.39,1.37,30.0,1.1,25.0,0.21,0.14,12.27,72.07,87.06,17.48,0,,0,,0,0.0,0.0,0.0,,,0.48,,3.63,0.0,0.0,0.0,0.0,0,0
J. Smith,Julian Smith,-575487,Canberra Juventus,Canberra Juventus,https://cdn5.wyscout.com/photos/team/public/g-25856_120x120.png,Capital Territory NPL,"RCB, LCB",RCB,50,LCB,34,,0,,,0,,13,1276,0,0.61,0,0.17,12.2,63.58,Australia,['Australia'],unknown,0,0,False,10.16,5.64,72.5,3.46,55.1,0.07,0.08,1.06,6.0,6.99,0.28,2,0.14,0,0.0,0.35000000000000003,0.0,0,0.0,0.04,0,0.0,5,0.35000000000000003,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,50.0,2.05,51.72,0.56,0.21,0.0,26.59,0.14,0.42,40.56,85.04,17.42,75.71,2.96,95.24,36.89,88.91,3.67,46.15,19.33,32.12,0.01,0.07,0.0,0.0,0.0,0.0,0.07,2.12,46.67,0.07,100.0,0.07,0.0,0.07,0.0,6.63,47.87,94.4,16.36,0,,0,,0,0.0,0.0,0.0,,,2.4,,3.46,0.07,0.0,0.0,0.0,0,0
J. Quinn,Jacob Quinn,-259609,Canberra Olympic,Canberra Olympic,https://cdn5.wyscout.com/photos/team/public/g10812_120x120.png,Capital Territory NPL,GK,GK,100,,0,,0,24.0,2002-04-18,0,,13,1274,0,0.0,0,0.0,1.06,80.0,Australia,['Australia'],,0,0,False,2.61,0.07,100.0,0.64,77.78,0.0,0.0,0.0,2.54,3.51,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,9.82,0.28,0.28,18.51,86.26,11.09,81.53,0.07,100.0,11.37,95.65,7.14,71.29,30.62,41.09,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.42,16.67,0.0,0.0,0.0,0.0,0.0,0.0,4.95,68.57,93.81,6.85,39,2.76,80,5.65,1,51.25,23.86,1.69,-15.14,-1.07,0.07,1.7000000000000002,0.64,,,,0.0,0,0
