Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
P. Jeeratanapavibul,Panittha Jeeratanapavibul,-348647,Guangxi Pingguo Bainong,Guangxi Pingguo Bainong,https://cdn5.wyscout.com/photos/team/public/g-17625_120x120.png,Super League Women,"CB, LCB",CB,78,LCB,18,,0,24.0,2001-11-15,0,,9,898,1,1.3,0,0.24,8.62,67.44,Thailand,['Thailand'],unknown,0,0,False,10.22,3.91,87.18,2.31,47.83,0.2,0.28,1.1,6.61,9.34,0.30000000000000004,1,0.1,0,0.0,0.5,0.1,1,0.1,0.13,0,0.0,6,0.6000000000000001,33.33,16.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,100.0,1.4,50.0,0.8,0.8,0.0,38.79,0.0,0.4,56.02,88.55,22.15,77.38,2.91,100.0,51.11,91.96,4.91,53.06,19.57,32.33,0.02,0.2,0.0,0.0,0.0,0.0,0.1,4.61,69.57,0.2,0.0,0.0,0.0,0.1,0.0,10.22,66.67,96.2,26.36,0,,0,,0,0.0,0.0,0.0,,,2.1,,2.31,0.0,0.0,0.0,0.0,0,0
Yan Xiaoyu,Yan  Xiaoyu,-412081,Jiangsu Wuxi,Jiangsu Wuxi,https://cdn5.wyscout.com/photos/team/public/g-11601_120x120.png,Super League Women,CB,CB,82,,0,,0,27.0,1999-04-24,0,,9,893,1,1.5899999999999999,1,0.39,13.2,68.7,China PR,['China PR'],unknown,0,0,False,9.98,5.34,83.02,4.03,62.5,0.1,0.18,0.30000000000000004,5.44,9.53,0.2,1,0.1,0,0.0,1.6099999999999999,0.1,1,0.1,0.16,1,0.1,9,0.91,44.44,11.111,0.1,1.4100000000000001,50.0,0.4,50.0,0.91,55.56,0.1,0.71,71.43,2.52,60.0,1.11,0.0,0.0,36.48,0.5,0.5,54.32,82.19,20.96,66.35,1.9100000000000001,84.21,45.96,89.47,6.95,40.58,20.62,33.84,0.04,0.6000000000000001,0.0,0.1,0.0,0.0,0.30000000000000004,4.84,70.83,1.4100000000000001,42.86,0.2,0.0,0.0,0.71,10.48,56.73,94.91,27.72,0,,0,,0,0.0,0.0,0.0,,,0.71,,4.03,0.0,0.0,0.0,0.0,0,0
L. Addai,Linda Addai,151528,Sichuan,Sichuan,https://cdn5.wyscout.com/photos/team/public/g-14011_120x120.png,Super League Women,"RCB, LCB, CB",RCB,48,LCB,22,CB,11,30.0,1995-12-12,0,,9,891,0,0.73,0,0.64,13.33,65.15,Ghana,['Ghana'],,164,0,False,13.33,6.06,80.0,3.33,57.58,1.11,1.24,0.81,7.37,8.23,0.81,2,0.2,0,0.0,0.30000000000000004,0.0,0,0.0,0.07,0,0.0,2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,100.0,1.31,46.15,0.51,0.1,0.0,6.97,0.0,0.51,22.83,56.64,13.64,49.63,1.21,91.67,16.57,63.41,6.26,38.71,20.22,31.07,0.06,0.2,0.0,0.0,0.0,0.0,0.1,2.02,50.0,0.2,50.0,0.30000000000000004,33.33,0.2,0.0,8.38,24.1,66.67,6.06,0,,0,,0,0.0,0.0,0.0,,,1.01,,3.33,0.0,0.0,0.0,0.0,0,0
Zheng Jie,Jie Zheng,520578,Sichuan,Sichuan,https://cdn5.wyscout.com/photos/team/public/g-14011_120x120.png,Super League Women,GK,GK,100,,0,,0,26.0,1999-12-18,0,,9,891,0,0.0,0,0.0,1.21,75.0,China PR,['China PR'],,0,0,False,1.31,0.0,0.0,0.81,75.0,0.0,0.0,0.0,1.31,1.47,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,75.0,0.0,0.0,0.0,3.33,0.0,0.30000000000000004,10.2,66.34,8.18,58.02,0.0,0.0,3.13,96.77,7.07,52.86,37.02,44.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.14,78.05,100.0,2.02,17,1.72,47,4.75,1,63.83,11.58,1.17,-5.42,-0.547,0.0,2.02,0.81,,,,0.0,0,0
Xin Yue,Xin Yue,-412526,Shandong SL,Shandong SL,https://cdn5.wyscout.com/photos/team/public/g-12774_120x120.png,Super League Women,CB,CB,91,,0,,0,24.0,2002-03-31,0,,9,890,1,0.66,0,0.17,6.47,57.81,China PR,['China PR'],unknown,180,63,False,6.98,2.33,69.57,2.5300000000000002,64.0,0.0,0.0,0.2,5.36,6.6,0.4,0,0.0,0,0.0,0.2,0.1,1,0.1,0.07,1,0.1,5,0.51,20.0,20.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,100.0,0.81,50.0,0.51,0.0,0.0,15.37,0.0,0.30000000000000004,29.12,77.78,11.12,60.0,2.22,95.45,23.46,88.79,5.5600000000000005,32.73,21.74,38.41,0.02,0.1,0.0,0.0,0.0,0.0,0.1,3.44,29.41,0.4,0.0,0.30000000000000004,0.0,0.1,0.0,4.25,42.86,88.8,12.64,0,,0,,0,0.0,0.0,0.0,,,1.62,,2.5300000000000002,0.1,0.0,0.0,0.0,0,0
An Rui Yao,Rui Yao An,-412510,Shandong SL,Shandong SL,https://cdn5.wyscout.com/photos/team/public/g-12774_120x120.png,Super League Women,RCB3,RCB3,93,,0,,0,26.0,2000-06-13,0,,9,890,0,0.0,1,0.23,7.99,55.7,China PR,['China PR'],unknown,168,59,False,5.87,4.04,70.0,1.72,29.41,0.1,0.12,0.2,2.93,3.61,0.61,0,0.0,0,0.0,0.51,0.0,0,0.0,0.0,0,0.0,1,0.1,0.0,0.0,0.1,0.81,50.0,0.0,0.0,0.81,50.0,0.0,0.1,100.0,1.42,50.0,0.30000000000000004,0.30000000000000004,0.0,22.15,0.30000000000000004,0.71,34.48,68.04,21.54,58.69,2.12,90.48,21.54,85.45,12.24,38.02,24.28,37.52,0.02,0.51,0.0,0.0,0.0,0.0,0.2,8.09,42.5,1.82,33.33,1.82,16.67,0.30000000000000004,0.4,10.31,64.71,84.51,7.18,0,,0,,0,0.0,0.0,0.0,,,1.21,,1.72,0.1,0.0,0.0,0.0,0,0
He Luyao,He Luyao,520603,Shandong SL,Shandong SL,https://cdn5.wyscout.com/photos/team/public/g-12774_120x120.png,Super League Women,LCB3,LCB3,95,,0,,0,27.0,1999-02-23,0,,9,890,0,0.0,0,0.21,9.61,56.84,China PR,['China PR'],,166,58,False,6.78,4.45,70.45,0.81,62.5,0.2,0.25,0.51,3.44,4.23,0.2,0,0.0,0,0.0,0.71,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.71,57.14,0.71,57.14,0.0,0.0,0.2,0.30000000000000004,100.0,2.83,39.29,0.1,0.2,0.0,21.24,0.4,0.81,31.96,79.43,15.17,66.0,4.65,93.48,25.99,86.38,5.26,48.08,19.49,33.02,0.02,0.1,0.0,0.0,0.0,0.0,0.2,4.85,50.0,0.71,57.14,0.1,0.0,0.0,0.4,6.98,60.87,93.1,8.8,0,,0,,0,0.0,0.0,0.0,,,1.52,,0.81,0.0,0.0,0.0,0.0,0,0
Yang Liu,Yang Liu,-412419,Shaanxi Changan,Shaanxi Changan,https://cdn5.wyscout.com/photos/team/public/g-16070_120x120.png,Super League Women,"LCB3, LWB, LB5",LCB3,59,LWB,11,LB5,11,25.0,2001-03-04,0,,9,889,0,1.6,0,0.23,13.67,56.3,China PR,['China PR'],unknown,165,54,False,10.43,6.28,64.52,2.33,56.52,0.0,0.0,0.71,6.38,6.82,0.1,0,0.0,0,0.0,1.42,0.0,0,0.0,0.16,0,0.0,7,0.71,28.57,0.0,0.0,1.21,50.0,1.11,45.45,0.1,100.0,0.1,1.42,42.86,3.34,39.39,0.61,0.30000000000000004,0.0,11.95,0.30000000000000004,0.91,23.08,66.23,11.84,52.99,1.92,84.21,16.4,74.07,5.57,45.45,20.44,34.7,0.02,0.61,0.0,0.0,0.0,0.0,0.1,3.44,47.06,1.72,41.18,0.81,37.5,0.2,0.61,7.49,63.51,84.93,7.39,0,,0,,0,0.0,0.0,0.0,,,0.30000000000000004,,2.33,0.0,0.0,0.0,0.0,0,0
Yang Xiaoxia,Yang Xiaoxia,520615,Shaanxi Changan,Shaanxi Changan,https://cdn5.wyscout.com/photos/team/public/g-16070_120x120.png,Super League Women,"CB, LCB3",CB,62,LCB3,19,,0,25.0,2000-10-08,0,,9,889,0,0.29,0,0.6900000000000001,7.69,52.63,China PR,['China PR'],,0,0,False,10.33,2.73,70.37,2.73,51.85,0.2,0.22,1.42,8.2,8.77,0.1,0,0.0,0,0.0,0.1,0.0,0,0.0,0.03,0,0.0,1,0.1,0.0,0.0,0.0,0.2,50.0,0.2,50.0,0.0,0.0,0.0,0.1,0.0,1.21,33.33,0.1,0.30000000000000004,0.0,13.16,0.1,0.71,29.76,68.03,16.3,57.76,2.02,75.0,20.35,78.61,9.21,45.05,24.18,38.99,0.07,0.4,0.0,0.0,0.0,0.0,0.1,5.06,44.0,0.51,40.0,0.30000000000000004,33.33,0.1,0.1,9.31,56.52,85.42,9.72,0,,0,,0,0.0,0.0,0.0,,,0.71,,2.73,1.82,0.0,0.0,0.0,0,0
Luo Yu,Luo  Yu,-412401,Guangdong Meizhou,Guangdong Meizhou,https://cdn5.wyscout.com/photos/team/public/g-12776_120x120.png,Super League Women,GK,GK,100,,0,,0,22.0,2003-08-14,0,,9,885,0,0.0,0,0.0,1.73,94.12,China PR,['China PR'],unknown,176,60,False,2.34,0.2,50.0,1.12,100.0,0.0,0.0,0.0,2.24,3.11,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41000000000000003,100.0,0.0,0.0,0.0,8.14,0.1,0.51,16.68,70.12,13.42,64.39,0.0,0.0,5.08,98.0,11.59,57.89,38.13,42.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41000000000000003,50.0,0.0,0.0,0.0,0.0,0.0,0.0,9.56,62.77,93.75,3.25,10,1.02,50,5.08,2,80.0,11.85,1.21,1.85,0.188,0.0,2.75,1.12,,,,0.0,0,0
