Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Tomecka,Jakub  Tomecka,-848472,Hranice,Hranice,https://cdn5.wyscout.com/photos/team/public/g568_120x120.png,3. liga,GK,GK,100,,0,,0,31.0,1995-08-09,0,,5,477,0,0.0,0,0.0,1.13,100.0,Czech Republic,['Czech Republic'],unknown,0,0,False,1.8900000000000001,0.0,0.0,1.13,100.0,0.0,0.0,0.0,1.8900000000000001,3.13,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.04,0.75,0.0,26.79,85.21,17.36,77.17,0.0,0.0,12.08,100.0,14.72,73.08,37.27,47.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53,62.5,0.38,0.0,0.0,0.0,0.0,0.0,10.94,84.48,100.0,9.25,3,0.5700000000000001,27,5.09,2,88.89,6.15,1.16,3.15,0.594,0.0,3.4,1.13,,,,0.0,0,0
A. Jasenský,Adam Jasenský,336098,Hranice,Hranice,https://cdn5.wyscout.com/photos/team/public/g568_120x120.png,3. liga,"LCMF3, DMF, LDMF",LCMF3,39,DMF,20,LDMF,19,33.0,1992-11-11,0,,5,477,0,0.34,0,1.11,16.04,51.76,Czech Republic,['Czech Republic'],,178,68,False,8.49,7.17,60.53,2.45,15.38,0.0,0.0,0.19,4.15,6.88,0.9400000000000001,0,0.0,0,0.0,1.32,0.0,0,0.0,0.06,0,0.0,7,1.32,28.57,0.0,0.0,0.19,100.0,0.0,0.0,0.19,100.0,0.19,1.13,66.67,4.15,54.55,0.38,2.26,0.0,29.25,0.75,0.9400000000000001,44.34,84.68,15.28,65.43,7.55,97.5,37.74,90.0,6.42,52.94,20.5,44.68,0.21,2.26,0.0,0.0,0.0,0.0,0.19,6.79,52.78,2.45,46.15,0.38,0.0,0.9400000000000001,0.19,6.79,63.89,97.56,15.47,0,,0,,0,0.0,0.0,0.0,,,1.13,,2.45,1.7000000000000002,0.19,100.0,3.02,0,0
M. Machálek,Milan Machálek,421754,Hranice,Hranice,https://cdn5.wyscout.com/photos/team/public/g568_120x120.png,3. liga,"LB, LCB3",LB,53,LCB3,46,,0,32.0,1994-04-09,0,,5,477,0,0.03,0,0.0,17.17,46.15,Czech Republic,['Czech Republic'],,0,0,False,7.17,6.42,61.76,4.53,37.5,0.0,0.0,0.0,3.21,5.31,1.7000000000000002,0,0.0,0,0.0,0.5700000000000001,0.0,0,0.0,0.01,0,0.0,1,0.19,100.0,0.0,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.19,0.75,50.0,2.45,38.46,0.38,0.38,0.0,17.92,0.9400000000000001,1.32,29.81,81.01,9.43,76.0,6.23,93.94,26.23,87.05,2.83,46.67,17.72,27.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,46.15,0.9400000000000001,0.0,0.38,0.0,0.19,0.0,4.15,36.36,80.0,9.43,0,,0,,0,0.0,0.0,0.0,,,2.26,,4.53,0.0,0.0,0.0,0.0,0,0
A. Gorčica,Adam Gorčica,-144450,Frýdek-Místek,Frýdek-Místek,https://cdn5.wyscout.com/photos/team/public/g578_120x120.png,3. liga,"LCMF, RCMF, LCMF3",LCMF,38,RCMF,31,LCMF3,15,25.0,2001-05-26,150000,,5,476,1,1.23,0,0.44,12.1,45.31,Czech Republic,['Czech Republic'],,176,66,False,5.48,4.92,57.69,1.7000000000000002,33.33,0.0,0.0,0.5700000000000001,2.65,3.5300000000000002,0.38,1,0.19,0,0.0,1.7000000000000002,0.19,1,0.19,0.23,0,0.0,3,0.5700000000000001,66.67,33.333,0.0,0.38,50.0,0.0,0.0,0.38,50.0,0.0,2.08,54.55,4.54,37.5,0.76,1.7000000000000002,0.19,25.71,0.19,0.5700000000000001,40.65,88.84,9.45,78.0,11.91,93.65,37.25,91.88,3.03,56.25,17.01,33.97,0.08,0.76,0.0,0.0,0.0,0.0,0.38,3.7800000000000002,75.0,0.76,75.0,0.38,50.0,0.38,0.19,4.92,76.92,93.1,10.97,0,,0,,0,0.0,0.0,0.0,,,0.5700000000000001,,1.7000000000000002,0.0,0.0,0.0,0.0,0,0
M. Velner,Michal Velner,209438,Frýdek-Místek,Frýdek-Místek,https://cdn5.wyscout.com/photos/team/public/g578_120x120.png,3. liga,"RCB3, RB, RWB",RCB3,35,RB,22,RWB,21,34.0,1991-10-05,0,,5,476,2,0.46,0,0.22,13.99,52.7,Czech Republic,['Czech Republic'],right,180,75,False,7.94,5.67,60.0,3.4,72.22,0.5700000000000001,0.76,0.19,3.9699999999999998,5.29,1.7000000000000002,3,0.5700000000000001,0,0.0,1.51,0.38,2,0.38,0.09,1,0.19,4,0.76,50.0,50.0,0.0,2.08,36.36,0.0,0.0,2.08,36.36,0.38,0.76,50.0,2.65,42.86,1.32,0.9500000000000001,0.0,27.61,1.8900000000000001,1.13,41.03,81.11,18.91,77.0,7.18,100.0,34.6,85.25,4.35,69.57,18.59,34.01,0.04,0.38,0.0,0.0,0.0,0.0,0.38,5.67,63.33,2.46,46.15,0.5700000000000001,33.33,0.38,0.76,9.64,80.39,78.26,8.7,0,,0,,0,0.0,0.0,0.0,,,2.46,,3.4,0.0,0.0,0.0,0.0,0,0
K. Lasák,Kryštof Lasák,452156,Frýdek-Místek,Frýdek-Místek,https://cdn5.wyscout.com/photos/team/public/g578_120x120.png,3. liga,GK,GK,100,,0,,0,30.0,1996-08-25,0,,5,476,0,0.0,0,0.0,0.76,100.0,Czech Republic,['Czech Republic'],left,186,83,False,1.8900000000000001,0.0,0.0,0.76,100.0,0.0,0.0,0.0,1.8900000000000001,2.52,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.45,0.38,0.0,24.58,86.92,16.83,80.9,0.0,0.0,13.99,100.0,10.59,69.64,35.3,53.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59,63.16,0.38,0.0,0.19,0.0,0.0,0.0,9.08,81.25,100.0,7.5600000000000005,5,0.9500000000000001,17,3.21,3,70.59,5.04,0.9500000000000001,0.04,0.008,0.0,1.51,0.76,,,,0.0,0,0
D. Bialek,Daniel Bialek,452295,Frýdek-Místek,Frýdek-Místek,https://cdn5.wyscout.com/photos/team/public/g578_120x120.png,3. liga,"CB, RCB",CB,77,RCB,20,,0,29.0,1997-05-28,0,,5,476,1,0.64,0,0.0,16.26,73.26,Czech Republic,['Czech Republic'],right,0,0,False,9.83,6.62,71.43,7.37,76.92,0.76,1.01,0.5700000000000001,4.35,5.8,1.7000000000000002,1,0.19,0,0.0,0.5700000000000001,0.19,1,0.19,0.12,1,0.19,4,0.76,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,100.0,0.76,75.0,0.9500000000000001,0.19,0.0,15.13,0.19,0.9500000000000001,29.5,76.28,14.94,62.03,2.08,100.0,24.01,82.68,5.48,48.28,22.41,41.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.73,36.0,0.5700000000000001,33.33,0.38,0.0,0.0,0.0,6.43,55.88,92.73,10.4,0,,0,,0,0.0,0.0,0.0,,,1.51,,7.37,0.0,0.0,0.0,0.0,0,0
S. Gábriš,Simon Gábriš,-114546,Vsetín,Vsetín,https://cdn5.wyscout.com/photos/team/public/g33996_120x120.png,3. liga,"LCB, RCB",LCB,65,RCB,25,,0,24.0,2002-06-14,0,,5,475,0,0.26,0,0.0,15.16,55.0,Slovakia,['Slovakia'],,0,0,False,8.15,5.49,65.52,5.68,63.33,0.38,0.53,1.71,4.17,5.84,1.33,1,0.19,0,0.0,0.76,0.0,0,0.0,0.05,0,0.0,3,0.5700000000000001,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,100.0,2.08,36.36,1.1400000000000001,0.76,0.0,22.74,1.1400000000000001,0.38,36.38,83.85,15.92,72.62,3.6,84.21,28.8,88.82,7.58,65.0,23.03,39.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36,69.57,0.38,0.0,0.19,0.0,0.0,0.0,7.77,63.41,97.3,14.02,0,,0,,0,0.0,0.0,0.0,,,2.46,,5.68,0.0,0.0,0.0,0.0,0,0
P. Slaměna,Patrik Slaměna,-40526,Vsetín,Vsetín,https://cdn5.wyscout.com/photos/team/public/g33996_120x120.png,3. liga,"AMF, RCMF3, LCMF",AMF,27,RCMF3,19,LCMF,19,26.0,2000-07-07,225000,,5,475,0,0.14,1,0.6000000000000001,18.76,45.45,Czech Republic,['Czech Republic'],right,177,0,False,4.93,5.12,70.37,1.33,57.14,0.0,0.0,0.19,1.33,1.8599999999999999,0.19,0,0.0,0,0.0,2.08,0.0,0,0.0,0.03,0,0.0,9,1.71,33.33,0.0,0.19,1.8900000000000001,0.0,0.0,0.0,1.71,0.0,0.0,2.84,53.33,10.8,33.33,0.38,2.08,0.5700000000000001,22.93,1.71,1.52,35.05,74.05,9.85,55.77,7.58,95.0,29.94,81.01,3.22,52.94,19.08,28.64,0.11,0.9500000000000001,0.0,0.0,0.0,0.0,0.19,5.68,63.33,1.8900000000000001,10.0,0.19,0.0,0.19,0.19,4.93,61.54,83.05,11.18,0,,0,,0,0.0,0.0,0.0,,,0.76,,1.33,1.8900000000000001,0.76,50.0,1.33,0,0
J. Kvapil,Jan  Kvapil,-848465,Uničov,Uničov,https://cdn5.wyscout.com/photos/team/public/g565_120x120.png,3. liga,GK,GK,100,,0,,0,25.0,2000-12-11,0,,5,474,0,0.0,0,0.0,1.1400000000000001,83.33,Czech Republic,['Czech Republic'],unknown,0,0,False,3.23,0.0,0.0,0.76,100.0,0.0,0.0,0.0,3.23,4.15,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,50.0,0.0,0.0,0.0,16.71,0.38,0.19,24.49,80.62,17.09,74.44,0.0,0.0,10.44,98.18,14.05,67.57,36.69,47.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.37,56.52,0.0,0.0,0.38,0.0,0.0,0.0,11.39,81.67,94.59,7.03,5,0.9500000000000001,14,2.66,2,64.29,3.63,0.6900000000000001,-1.37,-0.26,0.0,2.47,0.76,,,,0.0,0,0
