Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
R. Doherty,Ryan Doherty,-768760,Bedford Town,Bedford Town,https://cdn5.wyscout.com/photos/team/public/g4807_120x120.png,National League N / S,RCB,RCB,91,,0,,0,25.0,2000-10-26,0,,6,607,0,0.64,0,0.0,14.09,58.95,England,['England'],,0,0,False,8.9,2.8200000000000003,57.89,9.64,63.08,0.0,0.0,0.59,7.27,10.14,0.59,1,0.15,0,0.0,0.15,0.0,0,0.0,0.09,0,0.0,3,0.44,33.33,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.59,25.0,1.33,0.0,0.0,17.64,0.30000000000000004,0.15,32.32,76.15,15.86,58.88,3.41,95.65,25.5,85.47,6.67,42.22,25.34,41.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15,39.29,0.30000000000000004,0.0,0.0,0.0,0.15,0.0,6.82,58.7,93.59,11.57,0,,0,,0,0.0,0.0,0.0,,,2.22,,9.64,0.0,0.0,0.0,0.0,0,0
L. Walker,Laurie Walker,89073,Bedford Town,Bedford Town,https://cdn5.wyscout.com/photos/team/public/g4807_120x120.png,National League N / S,GK,GK,100,,0,,0,36.0,1989-10-14,0,2028-06-30,6,607,0,0.0,0,0.0,0.15,100.0,England,['England'],right,196,74,False,0.30000000000000004,0.0,0.0,0.15,100.0,0.0,0.0,0.0,0.30000000000000004,0.41000000000000003,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.63,0.15,0.15,11.12,69.33,8.3,60.71,0.0,0.0,5.34,97.22,5.78,43.59,42.35,55.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9699999999999998,35.0,0.44,0.0,0.0,0.0,0.0,0.0,4.15,67.86,94.74,2.8200000000000003,10,1.48,26,3.86,1,61.54,8.95,1.33,-1.05,-0.156,0.0,2.22,0.15,,,,0.0,0,0
J. Jenkins,Jack Jenkins,-132690,Spennymoor Town,Spennymoor Town,https://cdn5.wyscout.com/photos/team/public/g23906_120x120.png,National League N / S,"LCMF, LDMF, LCMF3",LCMF,34,LDMF,31,LCMF3,17,24.0,2002-03-23,0,2027-06-30,6,605,1,0.45,0,0.8,12.35,53.01,England,['England'],right,190,78,False,5.95,6.4,60.47,1.9300000000000002,23.08,0.15,0.22,0.0,1.9300000000000002,2.87,1.04,2,0.30000000000000004,0,0.0,0.74,0.15,1,0.15,0.07,0,0.0,3,0.45,33.33,33.333,0.0,1.6400000000000001,27.27,1.04,28.57,0.6000000000000001,25.0,0.15,0.30000000000000004,50.0,3.5700000000000003,62.5,1.04,1.19,0.30000000000000004,30.94,0.15,1.79,43.44,77.74,14.58,60.2,9.37,92.06,36.45,84.49,5.5,45.95,18.6,36.17,0.12,0.89,0.15,0.0,0.0,0.0,0.45,8.18,70.91,3.12,38.1,0.15,0.0,0.74,0.6000000000000001,8.78,72.88,84.0,14.88,0,,0,,0,0.0,0.0,0.0,,,0.15,,1.9300000000000002,0.45,0.0,0.0,4.46,0,0
L. Hogan,Liam Hogan,159731,Morecambe,Morecambe,https://cdn5.wyscout.com/photos/team/public/1183_120x120.png,National League N / S,"RCB, CB, LCB",RCB,46,CB,28,LCB,24,37.0,1989-02-08,0,2027-06-30,6,604,0,0.1,1,0.23,8.79,69.49,England,['England'],right,183,77,False,6.71,1.79,41.67,5.07,79.41,0.15,0.21,1.19,5.8100000000000005,8.3,0.45,3,0.45,0,0.0,0.45,0.0,0,0.0,0.01,0,0.0,2,0.30000000000000004,50.0,0.0,0.15,0.45,66.67,0.30000000000000004,100.0,0.15,0.0,0.0,0.0,0.0,0.75,60.0,0.6000000000000001,0.0,0.0,26.37,0.0,1.04,42.62,82.87,16.09,63.89,2.68,100.0,36.51,88.57,5.66,47.37,24.35,46.39,0.03,0.15,0.0,0.15,0.0,0.0,0.15,5.8100000000000005,46.15,1.34,22.22,0.15,100.0,0.45,0.30000000000000004,7.3,63.27,95.24,21.9,0,,0,,0,0.0,0.0,0.0,,,2.5300000000000002,,5.07,0.0,0.0,0.0,0.0,0,0
W. Smith,Will Owen Smith,481595,Morecambe,Morecambe,https://cdn5.wyscout.com/photos/team/public/1183_120x120.png,National League N / S,"RB, RCB3, RCB",RB,46,RCB3,28,RCB,24,27.0,1998-11-04,50000,2028-06-30,6,604,0,0.74,0,0.43,14.6,54.08,England,['England'],right,184,72,False,7.45,5.8100000000000005,48.72,5.07,67.65,0.0,0.0,0.75,4.62,6.6,1.94,0,0.0,0,0.0,0.30000000000000004,0.0,0,0.0,0.11,0,0.0,5,0.75,20.0,0.0,0.0,0.75,0.0,0.15,0.0,0.6000000000000001,0.0,0.0,0.75,20.0,2.24,33.33,1.49,0.15,0.0,20.56,0.45,0.75,34.42,72.73,16.69,58.93,2.5300000000000002,88.24,29.21,79.59,4.47,40.0,19.95,39.72,0.06,0.15,0.0,0.0,0.0,0.0,0.0,4.17,28.57,1.49,20.0,0.0,0.0,0.30000000000000004,0.0,5.66,60.53,91.55,10.58,0,,0,,0,0.0,0.0,0.0,,,0.75,,5.07,0.0,0.0,0.0,0.0,0,0
M. Daly,Matty Daly,-73981,Morecambe,Morecambe,https://cdn5.wyscout.com/photos/team/public/1183_120x120.png,National League N / S,"AMF, RWF",AMF,81,RWF,12,,0,25.0,2001-03-10,300000,2028-06-30,6,603,1,1.13,1,0.23,7.91,41.51,England,['England'],right,175,73,False,2.39,2.54,47.06,1.79,33.33,0.0,0.0,0.15,1.19,1.7000000000000002,0.6000000000000001,1,0.15,0,0.0,0.9,0.15,0,0.0,0.17,0,0.0,6,0.9,16.67,16.667,0.15,0.75,40.0,0.6000000000000001,50.0,0.15,0.0,0.0,0.45,100.0,3.2800000000000002,36.36,1.49,0.15,0.15,17.91,0.45,0.15,23.28,80.77,6.42,65.12,4.63,93.55,21.49,84.03,1.04,42.86,14.97,25.75,0.03,0.30000000000000004,0.0,0.0,0.0,0.0,0.6000000000000001,2.39,68.75,1.79,66.67,0.0,0.0,0.9,0.30000000000000004,2.84,73.68,86.05,6.42,0,,0,,0,0.0,0.0,0.0,,,0.30000000000000004,,1.79,0.0,0.0,0.0,0.0,1,100
J. Donaghy,Jack Joseph Donaghy,-643458,Hebburn Town,Hebburn Town,https://cdn5.wyscout.com/photos/team/public/g20123_120x120.png,National League N / S,LCB,LCB,98,,0,,0,27.0,1998-11-27,0,,6,600,0,0.42,0,0.0,10.05,58.21,England,['England'],unknown,0,0,False,8.4,3.45,60.87,3.75,56.0,0.15,0.17,0.45,6.15,7.15,0.0,0,0.0,0,0.0,0.30000000000000004,0.0,0,0.0,0.06,0,0.0,4,0.6000000000000001,0.0,0.0,0.0,0.15,100.0,0.15,100.0,0.0,0.0,0.0,0.15,100.0,1.35,66.67,0.6000000000000001,0.15,0.30000000000000004,6.75,0.0,1.05,17.55,68.38,9.15,57.38,2.1,85.71,13.35,76.4,4.05,40.74,22.44,36.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,47.37,0.45,33.33,0.0,0.0,0.0,0.15,4.65,45.16,81.82,4.95,0,,0,,0,0.0,0.0,0.0,,,1.5,,3.75,0.0,0.0,0.0,0.0,0,0
A. Haywood,Aidan McKensie Haywood,-643448,Hebburn Town,Hebburn Town,https://cdn5.wyscout.com/photos/team/public/g20123_120x120.png,National League N / S,RB,RB,96,,0,,0,28.0,1998-03-14,0,,6,600,0,0.0,2,0.72,10.5,52.86,England,['England'],unknown,0,0,False,7.05,4.35,55.17,1.9500000000000002,53.85,0.0,0.0,0.30000000000000004,4.65,5.41,0.45,0,0.0,0,0.0,0.75,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.30000000000000004,1.05,42.86,0.0,0.0,1.05,42.86,0.30000000000000004,0.30000000000000004,100.0,3.15,47.62,0.45,0.9,0.30000000000000004,12.45,0.6000000000000001,1.35,22.05,60.54,12.0,42.5,3.0,90.0,16.65,72.07,4.65,19.35,21.07,43.59,0.11,0.45,0.0,0.0,0.0,0.0,0.45,4.2,39.29,1.65,45.45,0.0,0.0,0.15,0.6000000000000001,6.6,47.73,68.0,3.75,0,,0,,0,0.0,0.0,0.0,,,0.45,,1.9500000000000002,0.45,0.0,0.0,0.0,0,0
I. Allan,Isaac Allan,-392139,Hebburn Town,Hebburn Town,https://cdn5.wyscout.com/photos/team/public/g20123_120x120.png,National League N / S,GK,GK,100,,0,,0,20.0,2006-02-20,0,,6,600,0,0.0,0,0.0,0.75,80.0,England,['England'],unknown,0,0,True,0.6000000000000001,0.0,0.0,0.45,100.0,0.0,0.0,0.0,0.6000000000000001,0.7000000000000001,0.0,0,0.0,0,0.0,0.15,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,50.0,0.30000000000000004,50.0,0.0,0.0,0.15,9.0,0.15,0.45,18.15,57.85,14.85,54.55,0.0,0.0,3.9,92.31,14.25,48.42,49.56,55.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,34.0,0.9,16.67,0.0,0.0,0.15,0.0,8.85,69.49,70.0,3.0,8,1.2,20,3.0,1,60.0,6.68,1.0,-1.32,-0.198,0.0,1.35,0.45,,,,0.0,0,0
M. Elsdon,Matty Elsdon,423962,Hebburn Town,Hebburn Town,https://cdn5.wyscout.com/photos/team/public/g20123_120x120.png,National League N / S,RCB,RCB,98,,0,,0,29.0,1997-06-24,0,2027-06-30,6,600,0,0.22,0,0.0,10.8,58.33,England,['England'],right,180,72,False,9.15,3.45,56.52,4.95,54.55,0.0,0.0,0.15,7.2,8.37,0.30000000000000004,1,0.15,0,0.0,0.15,0.0,0,0.0,0.03,0,0.0,3,0.45,0.0,0.0,0.0,0.45,33.33,0.0,0.0,0.45,33.33,0.15,0.0,0.0,0.9,83.33,0.75,0.45,0.0,9.6,0.0,0.6000000000000001,19.65,59.54,10.95,46.58,0.9,83.33,13.65,71.43,5.7,34.21,26.6,50.42,0.0,0.0,0.15,0.15,0.0,0.0,0.0,5.7,44.74,1.35,11.11,0.0,0.0,0.0,0.0,6.15,51.22,71.79,5.85,0,,0,,0,0.0,0.0,0.0,,,0.45,,4.95,0.0,0.0,0.0,0.0,0,0
