Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Lindroth,Ada Lindroth,-331161,Gnistan,Gnistan,https://cdn5.wyscout.com/photos/team/public/g6539_120x120.png,Kansallinen Liiga,"LWB, RWB, LB",LWB,43,RWB,34,LB,16,22.0,2003-09-09,0,,12,1161,1,0.56,4,1.97,14.65,45.5,Finland,['Finland'],unknown,0,0,False,6.74,6.59,48.24,0.7000000000000001,55.56,0.0,0.0,0.16,3.5700000000000003,4.16,0.7000000000000001,1,0.08,0,0.0,2.33,0.08,1,0.08,0.04,0,0.0,5,0.39,40.0,20.0,0.31,1.94,48.0,0.7000000000000001,22.22,1.24,62.5,0.08,1.71,72.73,5.8100000000000005,45.33,0.08,0.62,0.0,16.43,1.16,0.47000000000000003,26.05,63.39,12.95,55.69,4.03,86.54,18.06,72.53,6.28,40.74,21.01,35.89,0.15,1.24,0.08,0.23,0.0,0.0,0.54,3.88,46.0,2.95,42.11,0.0,0.0,0.23,1.09,8.29,55.14,60.76,6.12,0,,0,,0,0.0,0.0,0.0,,,0.23,,0.7000000000000001,0.93,0.23,66.67,2.17,0,0
L. Paavilainen,Lotta Paavilainen,-451039,KuPS,KuPS,https://cdn5.wyscout.com/photos/team/public/g-11940_120x120.png,Kansallinen Liiga,"LCB, RCB, CB",LCB,76,RCB,12,CB,11,19.0,2007-02-24,0,,12,1147,1,1.18,0,0.0,14.59,59.14,Finland,['Finland'],unknown,0,0,False,10.59,6.59,59.52,3.37,67.44,0.16,0.24,0.55,6.51,9.84,1.18,3,0.24,0,0.0,0.78,0.08,1,0.08,0.09,1,0.08,6,0.47000000000000003,33.33,16.667,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.08,0.86,72.73,2.9,51.35,1.26,0.24,0.08,36.96,0.39,0.71,57.28,87.12,21.34,72.43,4.16,98.11,53.12,91.14,4.08,36.54,17.87,39.2,0.0,0.16,0.0,0.0,0.0,0.0,0.08,6.28,56.25,0.55,14.29,0.0,0.0,0.24,0.0,6.59,64.29,96.82,24.64,0,,0,,0,0.0,0.0,0.0,,,3.5300000000000002,,3.37,0.0,0.0,0.0,0.0,0,0
S. Laine,Sofia Laine,-254494,Vasa IFK,Vasa IFK,https://cdn5.wyscout.com/photos/team/public/g21199_120x120.png,Kansallinen Liiga,RB,RB,100,,0,,0,22.0,2003-07-20,0,,12,1147,0,0.64,1,0.37,13.26,48.52,Finland,['Finland'],unknown,0,0,False,9.57,7.77,52.53,1.18,40.0,0.0,0.0,0.55,5.49,5.98,0.39,0,0.0,0,0.0,1.18,0.0,0,0.0,0.05,0,0.0,5,0.39,20.0,0.0,0.08,1.96,28.0,0.0,0.0,1.96,28.0,0.16,0.71,66.67,2.43,32.26,0.86,0.55,0.08,18.28,0.71,0.24,32.64,63.94,16.01,52.45,3.92,92.0,25.97,71.0,4.71,40.0,19.43,37.69,0.03,0.31,0.0,0.0,0.08,100.0,0.31,5.02,50.0,2.75,34.29,0.08,100.0,0.31,0.55,9.26,50.0,67.59,8.47,0,,0,,0,0.0,0.0,0.0,,,1.26,,1.18,0.0,0.0,0.0,0.16,0,0
L. Kankaanpää,Linda Kankaanpää,-435439,Vasa IFK,Vasa IFK,https://cdn5.wyscout.com/photos/team/public/g21199_120x120.png,Kansallinen Liiga,LCB,LCB,100,,0,,0,,,0,,12,1146,0,1.12,0,0.35000000000000003,11.31,52.78,Finland,['Finland'],unknown,0,0,False,10.99,6.52,50.6,2.2,60.71,0.08,0.09,0.71,7.62,8.29,0.63,1,0.08,1,0.08,0.24,0.0,0,0.0,0.09,0,0.0,4,0.31,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,66.67,1.49,36.84,0.86,0.0,0.0,19.32,0.16,0.39,32.98,76.43,15.08,60.94,2.43,100.0,27.8,83.33,5.18,39.39,21.39,36.61,0.03,0.16,0.0,0.0,0.0,0.0,0.16,3.85,48.98,0.71,33.33,0.0,0.0,0.24,0.0,7.07,44.44,91.77,12.41,0,,0,,0,0.0,0.0,0.0,,,1.81,,2.2,0.0,0.0,0.0,0.0,0,0
L. Hakola,Lotta Hakola,-586453,Ilves,Ilves,https://cdn5.wyscout.com/photos/team/public/g3403_120x120.png,Kansallinen Liiga,LCB3,LCB3,100,,0,,0,18.0,2008-03-19,0,,12,1141,0,2.2,0,0.18,10.96,50.36,Finland,['Finland'],unknown,0,0,False,10.33,5.05,56.25,1.34,52.94,0.08,0.11,0.63,7.41,9.96,0.47000000000000003,0,0.0,0,0.0,0.87,0.0,0,0.0,0.17,0,0.0,12,0.9500000000000001,50.0,0.0,0.0,0.24,33.33,0.24,33.33,0.0,0.0,0.08,0.71,44.44,3.16,40.0,1.5,0.47000000000000003,0.0,40.46,0.16,0.08,55.53,75.57,28.32,62.95,5.13,92.31,45.04,84.76,10.25,36.15,21.73,42.34,0.01,0.39,0.0,0.08,0.0,0.0,0.08,9.94,53.97,0.63,12.5,0.16,50.0,0.24,0.16,13.17,53.29,91.51,16.72,0,,0,,0,0.0,0.0,0.0,,,1.6600000000000001,,1.34,0.08,0.08,100.0,0.0,0,0
H. Romppanen,Hilla Maaria Romppanen,-412644,PK-35 Vantaa,PK-35 Vantaa,https://cdn5.wyscout.com/photos/team/public/g10129_120x120.png,Kansallinen Liiga,"LCMF, RCMF, DMF",LCMF,41,RCMF,30,DMF,17,20.0,2005-07-31,0,,12,1133,0,0.26,0,0.47000000000000003,18.67,47.66,Finland,['Finland'],unknown,0,0,False,9.06,7.47,63.83,0.48,0.0,0.08,0.1,0.64,4.21,5.48,0.4,2,0.16,0,0.0,0.79,0.0,0,0.0,0.02,0,0.0,8,0.64,25.0,0.0,0.0,0.56,28.57,0.24,0.0,0.24,66.67,0.08,1.27,31.25,8.98,37.17,0.48,0.79,0.08,23.12,0.32,0.79,38.29,78.01,11.92,54.0,8.66,95.41,34.16,81.86,3.5700000000000003,48.89,18.36,38.34,0.04,0.71,0.08,0.0,0.08,100.0,0.4,4.85,52.46,3.1,43.59,0.16,50.0,0.87,0.16,5.88,59.46,92.41,12.55,0,,0,,0,0.0,0.0,0.0,,,0.79,,0.48,0.0,0.0,0.0,0.0,0,0
A. Kraemer,Abby  Kraemer,-271800,Gnistan,Gnistan,https://cdn5.wyscout.com/photos/team/public/g6539_120x120.png,Kansallinen Liiga,CF,CF,99,,0,,0,22.0,2003-10-23,0,,12,1124,11,6.76,0,0.68,18.26,43.42,Canada,['Canada'],unknown,170,0,False,3.52,3.68,45.65,3.76,40.43,0.0,0.0,0.24,1.8399999999999999,2.15,1.2,3,0.24,0,0.0,4.08,0.88,9,0.72,0.54,4,0.32,38,3.04,63.16,28.947,0.0,1.6,50.0,0.96,58.33,0.64,37.5,0.08,2.48,51.61,8.33,44.23,3.52,1.44,0.16,16.33,3.52,1.12,24.1,62.79,6.25,39.74,7.29,87.91,21.22,66.42,1.3599999999999999,23.53,16.8,23.99,0.05,0.72,0.08,0.16,0.32,25.0,0.24,3.52,36.36,2.24,39.29,0.4,40.0,0.48,0.56,3.6,53.33,56.45,4.96,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.76,0.08,0.08,100.0,0.0,2,100
M. Grönberg,Minea Elisabeth Grönberg,-594517,Vasa IFK,Vasa IFK,https://cdn5.wyscout.com/photos/team/public/g21199_120x120.png,Kansallinen Liiga,"CF, LCMF, AMF",CF,51,LCMF,16,AMF,14,20.0,2005-08-26,0,,12,1112,0,1.5,1,0.8200000000000001,20.23,42.0,Finland,['Finland'],,178,0,False,5.42,5.5,52.94,3.7199999999999998,52.17,0.0,0.0,0.24,2.51,2.7,0.73,1,0.08,0,0.0,1.38,0.0,0,0.0,0.12,0,0.0,13,1.05,23.08,0.0,0.08,1.29,31.25,0.81,30.0,0.4,20.0,0.24,1.21,53.33,8.74,35.19,2.19,0.4,0.08,14.81,2.43,1.46,27.92,59.42,10.28,42.52,6.72,80.72,23.88,64.75,2.83,25.71,17.65,38.81,0.07,0.4,0.0,0.0,0.08,100.0,0.32,5.02,41.94,2.1,38.46,0.08,100.0,0.49,0.49,4.53,51.79,65.88,6.88,0,,0,,0,0.0,0.0,0.0,,,0.08,,3.7199999999999998,0.0,0.0,0.0,0.0,0,0
T. Viinikka,Tuuli Viinikka,-322599,KuPS,KuPS,https://cdn5.wyscout.com/photos/team/public/g-11940_120x120.png,Kansallinen Liiga,"LW, LB, LWB",LW,31,LB,27,LWB,12,21.0,2004-10-27,0,,12,1106,5,4.26,3,2.67,19.61,53.11,Finland,['Finland'],both,0,0,False,7.08,6.51,56.25,1.71,57.14,0.0,0.0,0.08,3.42,5.16,1.22,1,0.08,0,0.0,4.5600000000000005,0.41000000000000003,5,0.41000000000000003,0.35000000000000003,0,0.0,21,1.71,38.1,23.81,0.24,3.09,23.68,2.69,24.24,0.33,0.0,0.81,3.91,79.17,10.25,50.0,6.18,3.25,0.16,23.03,3.01,0.73,30.76,70.9,7.0,63.95,8.63,82.08,26.28,78.02,1.38,41.18,16.29,26.86,0.22,1.46,0.0,0.0,0.08,100.0,1.1400000000000001,1.87,56.52,2.93,61.11,0.08,100.0,1.3,1.06,4.8,57.63,69.47,7.73,0,,0,,0,0.0,0.0,0.0,,,0.49,,1.71,0.16,0.0,0.0,0.16,0,0
S. Hassinen,Steffi Hassinen,-380146,Vasa IFK,Vasa IFK,https://cdn5.wyscout.com/photos/team/public/g21199_120x120.png,Kansallinen Liiga,"CF, RW, RAMF",CF,53,RW,18,RAMF,14,20.0,2006-03-21,0,,12,1099,4,3.45,0,2.55,21.62,36.36,Finland,['Finland'],unknown,0,0,False,5.4,4.26,50.0,3.03,21.62,0.25,0.27,0.16,3.03,3.32,1.47,3,0.25,0,0.0,3.93,0.33,4,0.33,0.28,0,0.0,26,2.13,50.0,15.385,0.0,2.62,31.25,0.66,37.5,1.97,29.17,0.16,3.19,64.1,11.14,35.29,3.52,0.9,0.25,9.17,1.97,0.5700000000000001,16.21,58.59,4.01,40.82,3.03,75.68,11.87,65.52,1.88,52.17,19.26,30.2,0.21,1.23,0.0,0.0,0.0,0.0,0.8200000000000001,1.97,50.0,2.46,40.0,0.0,0.0,0.66,0.8200000000000001,2.7800000000000002,67.65,60.27,5.98,0,,0,,0,0.0,0.0,0.0,,,0.08,,3.03,0.98,0.08,0.0,1.88,0,0
