Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
R. Pasquel,Ramón Pasquel Colin,422001,Atlético Morelia,Atlético Morelia,https://cdn5.wyscout.com/photos/team/public/913_120x120.png,Liga de Expansión MX,GK,GK,100,,0,,0,30.0,1996-06-22,150000,,6,618,0,0.0,0,0.0,0.87,66.67,Mexico,['Mexico'],right,181,78,False,0.87,0.44,66.67,0.0,0.0,0.0,0.0,0.0,0.58,0.8300000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,50.0,0.0,0.0,0.0,9.03,0.44,0.15,17.18,76.27,9.9,64.71,0.0,0.0,8.74,100.0,8.3,52.63,38.69,49.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48,41.18,0.0,0.0,0.0,0.0,0.0,0.0,5.68,69.23,91.49,6.84,8,1.17,27,3.93,1,70.37,4.78,0.7000000000000001,-3.22,-0.46900000000000003,0.0,1.02,0.0,,,,0.0,0,0
E. Reséndez,Edson Alan Reséndez Sánchez,289461,Correcaminos UAT,Correcaminos UAT,https://cdn5.wyscout.com/photos/team/public/3254_120x120.png,Liga de Expansión MX,GK,GK,100,,0,,0,30.0,1996-01-12,500000,,6,618,0,0.0,0,0.0,0.44,66.67,Mexico,['Mexico'],right,180,82,False,0.15,0.15,100.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.0,0.0,0.0,7.43,0.15,0.15,15.0,64.08,10.34,53.52,0.0,0.0,5.97,95.12,8.88,44.26,41.64,52.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06,42.86,0.44,0.0,0.0,0.0,0.0,0.0,5.68,51.28,90.0,4.37,9,1.31,32,4.66,1,71.88,6.91,1.01,-2.09,-0.304,0.0,1.75,0.15,,,,0.0,0,0
W. Guzmán,Wiliam Oswaldo Guzmán Aguilar,320474,Correcaminos UAT,Correcaminos UAT,https://cdn5.wyscout.com/photos/team/public/3254_120x120.png,Liga de Expansión MX,"LCMF, CF",LCMF,42,CF,34,,0,31.0,1994-09-09,500000,,6,618,1,0.42,2,1.26,11.07,40.79,Mexico,['Mexico'],left,167,65,False,4.08,4.37,50.0,1.75,16.67,0.0,0.0,0.15,1.8900000000000001,2.47,1.31,1,0.15,0,0.0,1.17,0.15,1,0.15,0.06,0,0.0,4,0.58,50.0,25.0,0.29,1.6,36.36,1.46,40.0,0.15,0.0,0.0,0.44,33.33,3.79,46.15,0.73,0.87,0.0,23.16,0.87,1.02,32.33,79.73,10.78,74.32,6.55,84.44,25.63,84.66,5.24,69.44,20.74,40.1,0.18,1.75,0.29,0.0,0.29,50.0,1.17,5.97,75.61,3.06,42.86,0.29,50.0,1.02,0.58,7.28,72.0,78.38,10.78,0,,0,,0,0.0,0.0,0.0,,,0.15,,1.75,1.17,0.0,0.0,1.75,0,0
O. Cantú,Oziel Mauricio Cantú Rodríguez,-169772,Universidad Guadalajara,Universidad Guadalajara,https://cdn5.wyscout.com/photos/team/public/g1494_120x120.png,Liga de Expansión MX,GK,GK,100,,0,,0,23.0,2002-10-10,0,,6,617,0,0.0,0,0.0,0.0,0.0,Mexico,['Mexico'],left,200,85,False,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,1.07,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.29,0.0,25.09,68.02,15.02,48.54,0.0,0.0,13.71,95.74,11.38,34.62,36.9,50.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,29.17,0.15,0.0,0.0,0.0,0.0,0.0,8.17,51.79,96.97,9.63,7,1.02,29,4.23,2,75.86,6.06,0.88,-0.9400000000000001,-0.137,0.0,2.19,0.0,,,,0.0,0,0
J. Marchand,Jahaziel Marchand Herrera,-87477,Universidad Guadalajara,Universidad Guadalajara,https://cdn5.wyscout.com/photos/team/public/g1494_120x120.png,Liga de Expansión MX,LCMF,LCMF,88,,0,,0,24.0,2001-09-28,600000,,6,617,1,0.4,0,0.01,8.9,49.18,Mexico,['Mexico'],left,179,70,False,5.4,4.23,48.28,1.31,44.44,0.15,0.18,0.44,3.21,3.93,1.46,2,0.29,0,0.0,1.31,0.15,1,0.15,0.06,0,0.0,8,1.17,25.0,12.5,0.0,0.73,20.0,0.58,0.0,0.15,100.0,0.0,1.02,85.71,2.33,68.75,0.15,0.58,0.0,27.71,0.44,0.58,39.82,84.98,10.36,71.83,7.44,94.12,34.57,89.87,4.52,58.06,19.01,40.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,4.96,73.53,1.31,44.44,0.0,0.0,0.29,0.29,4.67,65.63,87.62,15.32,0,,0,,0,0.0,0.0,0.0,,,0.88,,1.31,0.0,0.0,0.0,0.0,0,0
J. Aguayo,Juan de Dios Aguayo Moreno,474017,Universidad Guadalajara,Universidad Guadalajara,https://cdn5.wyscout.com/photos/team/public/g1494_120x120.png,Liga de Expansión MX,LCB,LCB,95,,0,,0,29.0,1997-03-11,600000,,6,617,1,0.85,1,0.24,7.59,55.77,Mexico,['Mexico'],right,180,79,False,6.71,2.92,45.0,3.65,60.0,0.0,0.0,0.15,5.4,6.61,1.31,3,0.44,0,0.0,0.58,0.15,1,0.15,0.12,0,0.0,3,0.44,66.67,33.333,0.15,0.15,100.0,0.15,100.0,0.0,0.0,0.0,0.15,100.0,0.44,100.0,0.44,0.58,0.0,23.78,0.58,0.44,35.88,84.15,14.29,65.31,2.92,95.0,30.05,90.29,5.69,51.28,23.72,38.09,0.03,0.29,0.15,0.0,0.0,0.0,0.15,3.94,59.26,0.29,50.0,0.0,0.0,0.0,0.15,5.98,53.66,96.19,15.32,0,,0,,0,0.0,0.0,0.0,,,1.6,,3.65,0.0,0.0,0.0,0.0,0,0
H. Hernández,Humberto Gabriel Hernández López,44160,Piratas FC,Piratas FC,https://cdn5.wyscout.com/photos/team/public/g-26637_120x120.png,Liga de Expansión MX,GK,GK,100,,0,,0,41.0,1985-07-20,100000,,6,614,0,0.0,0,0.0,0.15,0.0,Mexico,['Mexico'],right,179,89,False,0.73,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.73,1.2,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,32.1,1.03,0.0,41.04,88.21,14.95,72.55,0.29,100.0,30.05,99.02,10.99,58.67,31.38,46.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,47.62,0.59,0.0,0.0,0.0,0.0,0.0,7.33,68.0,97.56,24.04,4,0.59,11,1.6099999999999999,3,63.64,2.76,0.4,-1.24,-0.182,0.0,1.47,0.15,,,,0.0,0,0
G. Alcalá,Gil Esaul Alcalá Barba,394205,CA La Paz,CA La Paz,https://cdn5.wyscout.com/photos/team/public/g-16335_120x120.png,Liga de Expansión MX,GK,GK,100,,0,,0,34.0,1992-07-29,800000,,6,612,0,0.0,0,0.0,0.0,0.0,Mexico,['Mexico'],right,176,76,False,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.5700000000000001,0.0,1,0.15,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.91,0.15,0.0,28.53,83.51,15.44,76.19,0.0,0.0,18.24,97.58,10.15,59.42,29.26,40.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,80.0,0.0,0.0,0.0,0.0,0.0,0.0,7.35,54.0,92.05,12.94,7,1.03,32,4.71,2,78.13,6.41,0.9400000000000001,-0.59,-0.08700000000000001,0.0,1.47,0.0,,,,0.0,0,0
U. Zurita,Ulises Zurita Jiménez,491543,CA La Paz,CA La Paz,https://cdn5.wyscout.com/photos/team/public/g-16335_120x120.png,Liga de Expansión MX,"RCB3, RWB, RB",RCB3,35,RWB,27,RB,24,29.0,1997-03-29,350000,,6,612,1,0.19,1,0.88,12.79,62.07,Mexico,['Mexico'],right,178,70,False,9.41,7.06,62.5,2.65,72.22,0.29,0.38,0.44,4.71,6.04,0.74,1,0.15,0,0.0,0.44,0.15,1,0.15,0.03,0,0.0,4,0.59,25.0,25.0,0.15,0.59,50.0,0.15,0.0,0.44,66.67,0.15,0.59,0.0,1.9100000000000001,38.46,1.03,0.29,0.0,27.06,1.47,1.03,35.29,80.42,12.5,63.53,6.91,91.49,30.74,84.21,3.9699999999999998,55.56,18.67,33.36,0.13,0.59,0.15,0.0,0.0,0.0,0.44,3.5300000000000002,75.0,1.32,44.44,0.0,0.0,0.15,0.44,7.06,56.25,86.15,9.56,0,,0,,0,0.0,0.0,0.0,,,1.18,,2.65,0.15,0.15,0.0,0.0,0,0
S. Castañeda,Said Ezequiel Castañeda León,506223,Tepatitlán de Morelos,Tepatitlán de Morelos,https://cdn5.wyscout.com/photos/team/public/g34012_120x120.png,Liga de Expansión MX,"CB, LCB, LCB3",CB,51,LCB,34,LCB3,13,29.0,1997-07-19,0,,6,610,0,0.38,0,0.01,10.48,56.34,Mexico,['Mexico'],,180,70,False,6.93,3.39,52.17,4.28,65.52,0.15,0.17,0.15,5.02,5.8,1.48,2,0.30000000000000004,0,0.0,0.30000000000000004,0.0,0,0.0,0.06,0,0.0,3,0.44,33.33,0.0,0.0,0.15,100.0,0.0,0.0,0.15,100.0,0.0,0.0,0.0,1.18,50.0,0.59,0.30000000000000004,0.0,9.74,0.0,1.33,18.44,86.4,8.26,76.79,1.77,100.0,14.02,93.68,4.28,62.07,23.08,40.12,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,1.62,45.45,0.15,100.0,0.0,0.0,0.15,0.15,3.84,69.23,95.56,6.64,0,,0,,0,0.0,0.0,0.0,,,1.33,,4.28,0.0,0.0,0.0,0.0,0,0
