Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
N. Dede-Lhomme,Noah Dede-Lhomme,-862115,Bourg-en-Bresse,Bourg-en-Bresse,https://cdn5.wyscout.com/photos/team/public/4441_120x120.png,Ligue 3,LCB,LCB,100,,0,,0,20,2006-07-10,0,,4,413,0,0.03,0,0.0,10.9,66.0,France,['France'],unknown,0,0,False,9.15,5.23,70.83,3.27,53.33,0.22,0.39,0.22,5.23,9.47,0.44,1,0.22,0,0.0,0.0,0.0,0,0.0,0.01,0,0.0,1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,1.74,62.5,0.65,1.31,0.65,50.77,0.22,1.09,66.03,89.11,27.89,82.03,3.49,93.75,56.0,93.77,10.02,63.04,23.63,41.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.29,81.97,0.44,0.0,0.22,0.0,0.0,0.0,14.6,83.58,98.56,30.29,0,,0,,0,0.0,0.0,0.0,,,2.18,,3.27,0.0,0.0,0.0,0.0,0,0
R. Muro,Romain Muro,-532179,Bourg-en-Bresse,Bourg-en-Bresse,https://cdn5.wyscout.com/photos/team/public/4441_120x120.png,Ligue 3,RCB,RCB,100,,0,,0,21,2005-06-03,0,,4,413,0,0.0,0,0.0,11.55,52.83,France,['France'],unknown,0,0,False,5.88,4.36,45.0,5.23,54.17,0.0,0.0,0.87,3.92,7.11,1.31,2,0.44,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,57.14,0.0,1.31,0.22,41.62,0.87,1.09,57.53,86.36,24.41,75.0,2.83,92.31,49.69,92.11,7.85,50.0,21.49,39.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,66.67,0.22,0.0,0.0,0.0,0.0,0.0,11.55,64.15,96.49,24.84,0,,0,,0,0.0,0.0,0.0,,,1.53,,5.23,0.0,0.0,0.0,0.0,0,0
Y. Kanoute,Youssouf Kanoute,-294723,Bourg-en-Bresse,Bourg-en-Bresse,https://cdn5.wyscout.com/photos/team/public/4441_120x120.png,Ligue 3,LB,LB,100,,0,,0,22,2004-03-18,0,2027-06-30,4,413,0,0.04,0,0.01,14.6,49.25,France,['France'],right,177,0,False,6.97,6.76,41.94,1.96,55.56,0.22,0.39,0.0,3.92,7.11,1.09,2,0.44,0,0.0,2.4,0.0,0,0.0,0.01,0,0.0,1,0.22,100.0,0.0,0.0,3.49,18.75,3.49,18.75,0.0,0.0,0.87,2.4,63.64,5.45,60.0,0.44,0.87,0.22,22.45,1.31,1.96,32.03,71.43,11.77,66.67,6.32,86.21,24.84,83.33,3.7,41.18,20.89,38.6,0.0,0.44,0.0,0.0,0.0,0.0,0.0,3.49,68.75,3.7,23.53,0.0,0.0,0.0,1.31,7.85,66.67,65.96,10.24,0,,0,,0,0.0,0.0,0.0,,,0.65,,1.96,0.0,0.0,0.0,0.0,0,0
L. Montfort,Lenny Montfort,-97711,Bourg-en-Bresse,Bourg-en-Bresse,https://cdn5.wyscout.com/photos/team/public/4441_120x120.png,Ligue 3,GK,GK,100,,0,,0,24,2002-01-16,50000,,4,413,0,0.0,0,0.0,0.44,50.0,France,['France'],right,189,80,False,0.44,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.44,0.79,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,100.0,0.0,0.0,0.0,22.88,0.44,0.22,36.39,89.22,18.74,81.4,0.44,100.0,27.68,99.21,8.72,57.5,27.37,44.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,75.0,0.0,0.0,0.0,0.0,0.0,0.0,7.63,71.43,97.44,17.0,8,1.74,29,6.32,0,72.41,9.63,2.1,1.63,0.355,0.0,1.74,0.22,,,,0.0,0,0
I. Monnier,Isaac Monnier,-734163,Bastia,Bastia,https://cdn5.wyscout.com/photos/team/public/566_120x120.png,Ligue 3,"LWB, LB",LWB,79,LB,20,,0,19,2006-09-09,0,2029-06-30,4,409,0,0.23,1,0.72,20.9,55.79,France,['France'],unknown,0,0,False,10.56,10.12,56.52,0.66,33.33,0.22,0.28,0.88,4.62,5.78,1.76,4,0.88,0,0.0,3.08,0.0,0,0.0,0.05,0,0.0,4,0.88,50.0,0.0,0.22,2.64,41.67,2.42,36.36,0.22,100.0,0.66,1.98,77.78,9.46,60.47,1.1,1.76,0.22,26.85,1.32,3.96,36.75,72.46,14.52,53.03,6.6,83.33,31.25,77.46,3.08,50.0,18.13,44.92,0.16,0.66,0.0,0.0,0.0,0.0,0.66,4.4,50.0,2.86,38.46,0.0,0.0,0.0,1.32,8.58,53.85,82.0,11.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.66,0.22,0.22,0.0,0.44,0,0
A. Roncaglia,Anthony Roncaglia,-169450,Bastia,Bastia,https://cdn5.wyscout.com/photos/team/public/566_120x120.png,Ligue 3,"LCB3, RB, RCB3",LCB3,65,RB,12,RCB3,10,26,2000-08-30,500000,2027-06-30,4,409,0,0.2,0,0.0,7.04,65.63,France,['France'],right,180,70,False,7.26,2.86,84.62,2.2,30.0,0.22,0.28,0.44,4.62,5.78,0.22,0,0.0,0,0.0,0.0,0.0,0,0.0,0.04,0,0.0,1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,80.0,0.22,0.66,0.0,26.85,0.44,1.1,38.51,84.57,18.7,76.47,0.88,75.0,34.33,90.38,4.18,36.84,22.38,46.64,0.0,0.0,0.22,0.0,0.0,0.0,0.0,4.18,52.63,0.44,0.0,0.0,0.0,0.0,0.0,6.38,68.97,94.87,17.16,0,,0,,0,0.0,0.0,0.0,,,0.44,,2.2,0.0,0.0,0.0,0.0,0,0
J. Eickmayer,Joachim Eickmayer,264213,Bastia,Bastia,https://cdn5.wyscout.com/photos/team/public/566_120x120.png,Ligue 3,"DMF, RCMF3, LCMF",DMF,50,RCMF3,19,LCMF,17,33,1993-01-11,400000,2027-06-30,4,409,0,0.01,2,1.3900000000000001,7.92,58.33,France,['France'],right,179,72,False,5.06,3.3,66.67,0.88,25.0,0.0,0.0,0.44,2.86,3.58,0.22,0,0.0,0,0.0,1.54,0.0,0,0.0,0.0,0,0.0,2,0.44,50.0,0.0,0.44,1.1,60.0,0.22,0.0,0.88,75.0,0.22,0.88,75.0,3.74,58.82,0.44,0.0,0.44,16.06,0.0,0.88,27.07,77.24,7.7,62.86,2.2,90.0,22.67,83.5,3.3,40.0,19.53,37.61,0.30000000000000004,1.32,0.0,0.0,0.0,0.0,0.66,3.96,44.44,2.64,50.0,0.22,100.0,0.44,0.66,4.62,52.38,82.76,12.76,0,,0,,0,0.0,0.0,0.0,,,0.44,,0.88,2.42,0.0,0.0,2.86,0,0
T. De Percin,Théo De Percin,522284,Bastia,Bastia,https://cdn5.wyscout.com/photos/team/public/566_120x120.png,Ligue 3,GK,GK,100,,0,,0,25,2001-02-02,100000,2029-06-30,4,409,0,0.0,0,0.0,0.0,0.0,France,"['France', 'Martinique']",right,185,81,True,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.55,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62,0.0,0.0,14.96,69.12,7.26,57.58,0.0,0.0,9.24,92.86,5.72,30.77,32.75,46.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,14.29,0.22,0.0,0.0,0.0,0.0,0.0,4.62,42.86,81.25,7.04,5,1.1,20,4.4,2,75.0,4.33,0.9500000000000001,-0.67,-0.147,0.0,1.54,0.0,,,,0.0,0,0
Emmanuel Kouassi,Saki Calliste Emmanuel Kouassi,-762688,Le Puy-en-Velay,Le Puy-en-Velay,https://cdn5.wyscout.com/photos/team/public/g16245_120x120.png,Ligue 3,"RWB, RB",RWB,88,RB,11,,0,23,2003-02-23,0,,4,405,0,0.05,1,0.92,20.67,43.01,Côte d'Ivoire,"[""Côte d'Ivoire""]",right,177,0,False,8.89,7.11,53.13,2.0,44.44,0.44,0.67,0.22,4.67,7.0,0.89,1,0.22,0,0.0,1.56,0.0,0,0.0,0.01,0,0.0,1,0.22,0.0,0.0,0.22,2.44,27.27,0.44,0.0,2.0,33.33,0.44,2.44,36.36,10.0,28.89,0.44,2.0,0.44,24.44,2.44,2.44,33.78,73.03,10.44,59.57,5.78,88.46,26.22,82.2,5.11,47.83,20.67,43.61,0.2,1.33,0.0,0.0,0.0,0.0,0.44,5.11,56.52,3.56,43.75,0.0,0.0,0.67,0.67,7.78,77.14,73.91,10.22,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.0,1.11,0.0,0.0,2.67,0,0
A. Fatahine,Anis Fatahine,-299301,Le Puy-en-Velay,Le Puy-en-Velay,https://cdn5.wyscout.com/photos/team/public/g16245_120x120.png,Ligue 3,"LWB, LB",LWB,88,LB,11,,0,21,2005-06-17,0,,4,405,0,0.5700000000000001,1,0.39,13.33,51.67,France,['France'],unknown,0,0,False,7.5600000000000005,4.44,60.0,1.78,37.5,0.0,0.0,0.0,4.89,7.33,0.89,1,0.22,0,0.0,1.56,0.0,0,0.0,0.13,0,0.0,3,0.67,0.0,0.0,0.22,4.22,15.79,4.22,15.79,0.0,0.0,0.44,2.0,44.44,6.0,48.15,1.56,2.22,0.0,33.56,1.56,1.11,40.67,68.31,14.22,56.25,7.5600000000000005,97.06,31.56,77.46,5.33,54.17,18.77,40.71,0.09,0.89,0.0,0.0,0.0,0.0,0.89,5.5600000000000005,60.0,3.56,25.0,0.22,100.0,0.67,0.44,9.56,65.12,65.38,11.56,0,,0,,0,0.0,0.0,0.0,,,0.89,,1.78,0.0,0.0,0.0,0.0,0,0
