Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. Cortés Villanueva,Christopher Román  Cortés Villanueva,-720724,Atlético de San Luis U17,Atlético de San Luis U17,https://cdn5.wyscout.com/photos/team/public/g-10495_120x120.png,U17 League,LCB,LCB,100,,0,,0,17.0,2009-08-14,0,,4,381,0,0.31,1,0.53,16.54,55.71,Mexico,['Mexico'],unknown,183,57,False,12.28,8.27,68.57,3.7800000000000002,43.75,0.24,0.35000000000000003,0.71,6.38,9.42,1.8900000000000001,2,0.47000000000000003,0,0.0,0.0,0.0,0,0.0,0.07,0,0.0,2,0.47000000000000003,0.0,0.0,0.24,0.24,0.0,0.24,0.0,0.0,0.0,0.0,0.47000000000000003,0.0,2.13,55.56,0.71,0.47000000000000003,0.0,16.77,0.47000000000000003,0.24,34.25,71.72,15.59,56.06,4.25,77.78,26.46,77.68,7.5600000000000005,53.13,22.86,34.21,0.12,0.24,0.0,0.0,0.0,0.0,0.24,3.31,57.14,0.24,100.0,0.0,0.0,0.47000000000000003,0.0,8.74,40.54,90.74,12.76,0,,0,,0,0.0,0.0,0.0,,,2.6,,3.7800000000000002,0.0,0.0,0.0,0.0,0,0
G. Vega,Gael Tonatiuh Vega Santana,-721372,Atlético de San Luis U17,Atlético de San Luis U17,https://cdn5.wyscout.com/photos/team/public/g-10495_120x120.png,U17 League,RB,RB,94,,0,,0,16.0,2010-05-13,0,,4,366,0,0.06,1,0.49,19.92,50.62,Mexico,['Mexico'],unknown,0,0,False,10.57,9.1,70.27,2.21,33.33,0.25,0.36,0.25,3.93,5.71,0.49,0,0.0,0,0.0,2.7,0.0,0,0.0,0.01,0,0.0,3,0.74,0.0,0.0,0.25,3.44,57.14,0.0,0.0,3.2,53.85,0.98,2.7,27.27,6.39,23.08,0.25,1.48,0.49,12.79,0.98,0.49,25.82,61.9,13.52,60.0,1.48,66.67,17.21,68.57,5.41,45.45,18.99,32.83,0.12,0.74,0.0,0.0,0.0,0.0,1.23,4.43,61.11,2.95,50.0,0.49,50.0,0.0,1.72,8.36,55.88,63.33,7.38,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.21,0.0,0.0,0.0,0.0,0,0
S. Sanchez,Said Sanchez Barajas,-721328,Atlético de San Luis U17,Atlético de San Luis U17,https://cdn5.wyscout.com/photos/team/public/g-10495_120x120.png,U17 League,LB,LB,100,,0,,0,16.0,2010-01-22,0,,4,355,0,0.13,0,0.0,19.77,56.41,Mexico,['Mexico'],unknown,0,0,False,9.89,10.39,73.17,1.52,50.0,0.76,1.11,0.0,1.52,2.22,1.52,0,0.0,0,0.0,1.01,0.0,0,0.0,0.03,0,0.0,4,1.01,0.0,0.0,0.0,1.27,0.0,1.27,0.0,0.0,0.0,0.51,1.27,80.0,5.83,43.48,0.76,0.25,0.25,11.92,0.51,0.51,26.11,61.17,16.73,59.09,2.54,70.0,16.99,74.63,7.86,41.94,23.49,37.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.07,55.0,1.77,0.0,0.51,50.0,0.0,0.0,8.62,64.71,50.0,3.04,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.52,0.0,0.0,0.0,0.0,0,0
Bernardo Anguiano,Bernardo Anguiano Pavón,-803437,Atlético de San Luis U17,Atlético de San Luis U17,https://cdn5.wyscout.com/photos/team/public/g-10495_120x120.png,U17 League,"RCMF, RDMF, AMF",RCMF,43,RDMF,29,AMF,18,16.0,2009-11-18,0,,4,315,0,0.05,1,0.26,26.29,47.83,Mexico,['Mexico'],unknown,0,0,False,10.0,9.43,66.67,4.57,37.5,0.86,1.25,0.0,2.86,4.17,2.29,1,0.29,0,0.0,1.71,0.0,0,0.0,0.02,0,0.0,3,0.86,33.33,0.0,0.29,0.5700000000000001,50.0,0.0,0.0,0.5700000000000001,50.0,0.0,1.43,80.0,8.57,36.67,0.29,1.1400000000000001,0.0,12.86,0.86,1.43,21.71,84.21,7.71,81.48,2.29,100.0,18.57,89.23,2.5700000000000003,55.56,17.57,27.6,0.07,0.86,0.0,0.0,0.0,0.0,0.29,3.43,75.0,0.29,100.0,0.29,0.0,0.0,0.29,4.57,68.75,85.19,7.71,0,,0,,0,0.0,0.0,0.0,,,0.29,,4.57,1.1400000000000001,0.0,0.0,0.0,0,0
J. Montenegro,Jesus David Montenegro Gamez,-721139,América U17,América U17,https://cdn5.wyscout.com/photos/team/public/g26601_120x120.png,U17 League,"RCB, LCB, RCB3",RCB,73,LCB,15,RCB3,10,16.0,2010-04-21,0,,4,313,0,0.12,0,0.0,13.8,70.83,Mexico,['Mexico'],unknown,170,66,False,8.34,3.74,76.92,8.34,72.41,0.58,0.92,0.0,4.89,7.85,1.44,0,0.0,1,0.29,0.29,0.0,0,0.0,0.03,0,0.0,2,0.58,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,14.09,0.0,0.0,26.45,72.83,16.39,59.65,0.86,100.0,17.54,83.61,8.91,51.61,28.35,45.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.61,52.17,0.29,0.0,0.86,0.0,0.0,0.0,9.49,63.64,93.1,8.34,0,,0,,0,0.0,0.0,0.0,,,0.86,,8.34,0.0,0.0,0.0,0.0,0,0
L. Valdez,Luis Emmanuel Valdez Piña,-721167,América U17,América U17,https://cdn5.wyscout.com/photos/team/public/g26601_120x120.png,U17 League,"RCMF, DMF, LCMF",RCMF,42,DMF,29,LCMF,27,16.0,2010-01-24,0,,4,312,0,0.27,0,0.13,17.6,68.85,Mexico,['Mexico'],unknown,0,0,False,13.85,10.38,86.11,2.88,60.0,0.0,0.0,0.58,4.9,6.8,2.31,1,0.29,0,0.0,0.0,0.0,0,0.0,0.08,0,0.0,2,0.58,0.0,0.0,0.0,0.29,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,1.73,16.67,0.0,0.29,0.0,7.21,0.0,0.0,17.6,78.69,9.81,64.71,0.58,100.0,13.27,91.3,4.04,42.86,20.61,28.67,0.04,0.87,0.0,0.0,0.0,0.0,0.0,4.33,66.67,1.44,20.0,1.15,0.0,0.0,0.0,2.31,75.0,95.45,6.35,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.88,0.0,0.0,0.0,0.0,0,0
J. Camacho,Jorge Enrique Camacho Hernández,-721171,América U17,América U17,https://cdn5.wyscout.com/photos/team/public/g26601_120x120.png,U17 League,"AMF, RW, RCMF",AMF,27,RW,25,RCMF,19,16.0,2010-05-25,0,,4,298,0,0.08,0,0.35000000000000003,24.46,51.85,Mexico,['Mexico'],unknown,0,0,False,10.27,8.76,65.52,3.02,50.0,0.6000000000000001,0.85,0.6000000000000001,3.93,5.49,2.11,1,0.30000000000000004,0,0.0,2.42,0.0,0,0.0,0.02,0,0.0,4,1.21,25.0,0.0,0.0,0.6000000000000001,50.0,0.30000000000000004,0.0,0.30000000000000004,100.0,0.0,4.83,37.5,9.66,37.5,0.30000000000000004,0.91,0.30000000000000004,12.68,0.6000000000000001,3.02,22.95,81.58,8.76,72.41,3.32,100.0,18.72,88.71,3.62,50.0,19.9,29.61,0.11,1.21,0.0,0.0,0.0,0.0,0.30000000000000004,3.32,81.82,1.81,66.67,0.91,100.0,1.21,0.30000000000000004,4.53,80.0,86.67,9.06,0,,0,,0,0.0,0.0,0.0,,,0.30000000000000004,,3.02,1.51,0.0,0.0,1.51,0,0
J. Jesús Cabañas Chávez,Juan Carlos De  Jesús Cabañas Chávez,-720675,Atlético de San Luis U17,Atlético de San Luis U17,https://cdn5.wyscout.com/photos/team/public/g-10495_120x120.png,U17 League,"RAMF, RW",RAMF,53,RW,41,,0,17.0,2009-04-08,0,,4,292,0,0.25,0,0.64,20.65,37.31,Mexico,['Mexico'],unknown,171,62,False,5.55,5.24,70.59,2.47,12.5,0.0,0.0,0.0,1.85,2.81,0.92,0,0.0,0,0.0,4.01,0.0,0,0.0,0.08,0,0.0,2,0.62,50.0,0.0,0.0,4.32,35.71,0.0,0.0,4.32,35.71,0.92,4.01,53.85,11.1,30.56,1.54,2.77,0.31,15.72,1.54,0.62,23.73,54.55,8.94,58.62,3.08,60.0,18.8,60.66,0.92,33.33,16.6,36.32,0.2,1.23,0.0,0.0,0.0,0.0,0.92,2.47,62.5,3.39,36.36,0.31,0.0,0.0,1.54,5.55,55.56,52.17,7.09,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.47,0.0,0.0,0.0,2.16,0,0
N. Escobar Rangel,Nicolás Escobar Rangel,-720758,Tigres UANL U19,Tigres UANL U17,https://cdn5.wyscout.com/photos/team/public/g-2552_120x120.png,U19 League,RCB,RCB,100,,0,,0,17.0,2009-05-03,0,,3,290,2,0.85,0,0.0,19.86,70.31,Mexico,['Mexico'],unknown,178,76,False,10.24,8.07,76.92,6.83,68.18,0.31,0.48,0.31,3.7199999999999998,5.71,0.93,1,0.31,0,0.0,0.93,0.62,2,0.62,0.26,2,0.62,4,1.24,75.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7199999999999998,58.33,0.93,1.24,0.0,28.55,0.31,2.17,47.79,80.52,21.1,63.24,2.48,100.0,37.55,88.43,10.24,51.52,24.54,39.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,47.37,0.62,0.0,0.31,0.0,0.0,0.0,9.31,60.0,96.97,20.48,0,,0,,0,0.0,0.0,0.0,,,2.48,,6.83,0.31,0.31,100.0,0.0,0,0
D. Rodríguez,Diego Eli Urbina Rodríguez,-699734,Tigres UANL U17,Tigres UANL U17,https://cdn5.wyscout.com/photos/team/public/g26598_120x120.png,U17 League,"LCB, LB",LCB,89,LB,10,,0,17.0,2009-03-01,0,,3,290,0,0.0,0,0.0,9.31,53.33,Mexico,['Mexico'],,170,61,False,5.9,3.1,50.0,3.1,80.0,0.0,0.0,0.0,4.34,6.67,0.62,0,0.0,1,0.31,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,14.29,0.0,0.62,0.0,23.59,0.0,0.0,37.24,84.17,11.48,59.46,2.17,85.71,32.9,88.68,4.34,50.0,22.28,39.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48,62.5,0.31,0.0,0.31,0.0,0.0,0.0,5.59,44.44,95.71,21.72,0,,0,,0,0.0,0.0,0.0,,,1.55,,3.1,0.0,0.0,0.0,0.0,0,0
