Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Nazarciuc,Artur Nazarciuc,-265707,CSF Bălți,CSF Bălți,https://cdn5.wyscout.com/photos/team/public/g-12757_120x120.png,Super Liga,GK,GK,100,,0,,0,22.0,2004-01-06,0,,10,942,0,0.0,0,0.0,0.86,88.89,Moldova,['Moldova'],right,0,0,False,1.82,0.19,50.0,0.48,100.0,0.0,0.0,0.0,1.72,1.6,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,4.2,0.19,0.38,12.23,75.0,7.45,60.26,0.0,0.0,6.4,95.52,5.83,52.46,36.51,53.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,40.0,0.19,0.0,0.19,50.0,0.0,0.0,3.63,73.68,97.83,4.39,29,2.77,73,6.97,1,60.27,25.55,2.44,-3.45,-0.33,0.0,2.39,0.48,,,,0.0,0,0
D. Sirbu,David Sirbu,-455295,Milsami,Milsami,https://cdn5.wyscout.com/photos/team/public/3926_120x120.png,Super Liga,"RB, RW, LB",RB,27,RW,27,LB,26,20.0,2006-08-31,0,,10,916,1,1.6,2,1.01,20.24,50.49,Moldova,['Moldova'],unknown,0,0,False,7.96,7.07,65.28,2.16,45.45,0.29,0.41000000000000003,0.2,3.05,4.19,0.59,2,0.2,0,0.0,3.93,0.1,1,0.1,0.16,0,0.0,11,1.08,36.36,9.091,0.2,2.95,26.67,0.6900000000000001,28.57,2.26,26.09,0.29,4.22,62.79,9.43,44.79,1.67,3.64,1.08,26.14,1.77,1.18,36.35,70.54,14.64,62.42,4.91,96.0,30.66,76.6,3.05,48.39,18.45,32.32,0.1,0.88,0.0,0.2,0.2,50.0,0.6900000000000001,4.8100000000000005,55.1,3.14,56.25,0.59,16.67,1.08,0.59,8.65,68.18,77.57,10.51,0,,0,,0,0.0,0.0,0.0,,,0.2,,2.16,0.0,0.0,0.0,0.0,0,0
P. Socolov,Pavel Socolov,-285031,Politehnica UTM,Politehnica UTM,https://cdn5.wyscout.com/photos/team/public/595_120x120.png,Super Liga,GK,GK,100,,0,,0,19.0,2006-10-10,0,,10,905,0,0.0,0,0.07,1.29,84.62,Moldova,['Moldova'],,0,0,False,2.98,0.6000000000000001,83.33,0.5,100.0,0.0,0.0,0.0,2.49,3.18,0.0,0,0.0,0,0.0,0.1,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,50.0,0.2,50.0,0.0,0.0,0.0,15.12,0.5,0.1,25.96,85.44,13.23,74.44,0.0,0.0,19.19,96.37,6.66,55.22,28.69,38.46,0.01,0.1,0.1,0.0,0.0,0.0,0.1,1.3900000000000001,57.14,0.30000000000000004,33.33,0.4,50.0,0.1,0.0,5.87,64.41,98.32,11.83,15,1.49,47,4.67,2,68.09,14.22,1.4100000000000001,-0.78,-0.078,0.0,1.79,0.5,,,,0.0,0,0
K. Tomer,Katz Tomer,-823539,Politehnica UTM,Politehnica UTM,https://cdn5.wyscout.com/photos/team/public/595_120x120.png,Super Liga,"LDMF, LCMF, DMF",LDMF,51,LCMF,20,DMF,13,20.0,2006-08-01,0,,10,903,1,0.5700000000000001,2,1.12,13.46,45.93,Moldova,['Moldova'],unknown,0,0,False,5.18,4.58,52.17,3.49,45.71,0.2,0.26,0.1,2.59,3.33,1.8900000000000001,1,0.1,0,0.0,0.9,0.1,1,0.1,0.06,1,0.1,9,0.9,22.22,11.111,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,85.71,2.89,48.28,1.0,1.1,0.1,28.21,0.4,0.7000000000000001,38.57,86.56,10.47,63.81,5.98,98.33,34.09,90.64,4.49,55.56,18.9,37.46,0.11,1.2,0.0,0.0,0.1,100.0,0.4,4.68,63.83,1.4,64.29,0.6000000000000001,50.0,1.1,0.0,3.69,81.08,96.27,16.05,0,,0,,0,0.0,0.0,0.0,,,0.6000000000000001,,3.49,0.0,0.0,0.0,0.0,0,0
Y. Noh Nafeng,Yvan Noh Nafeng,-823536,Politehnica UTM,Politehnica UTM,https://cdn5.wyscout.com/photos/team/public/595_120x120.png,Super Liga,"AMF, RCMF3, RCMF",AMF,42,RCMF3,10,RCMF,10,20.0,2005-10-28,0,,10,881,2,1.47,1,0.72,12.77,51.2,Cameroon,['Cameroon'],unknown,0,0,False,5.82,5.52,62.96,2.25,18.18,0.2,0.26,0.0,2.15,2.7800000000000002,0.8200000000000001,2,0.2,0,0.0,1.8399999999999999,0.2,2,0.2,0.15,0,0.0,15,1.53,40.0,13.333,0.1,1.33,30.77,0.51,40.0,0.8200000000000001,25.0,0.0,1.23,66.67,3.7800000000000002,59.46,1.02,1.74,0.41000000000000003,32.08,0.61,0.72,40.45,78.79,12.57,65.04,5.72,92.86,35.14,82.56,3.98,61.54,18.31,38.3,0.07,0.92,0.1,0.0,0.1,0.0,0.41000000000000003,8.07,64.56,2.96,41.38,0.72,42.86,1.23,0.41000000000000003,6.44,79.37,86.71,14.61,0,,0,,0,0.0,0.0,0.0,,,0.31,,2.25,0.1,0.0,0.0,0.0,0,0
D. Cucer,Daniel Cucer,-433899,Politehnica UTM,Politehnica UTM,https://cdn5.wyscout.com/photos/team/public/595_120x120.png,Super Liga,LB,LB,90,,0,,0,19.0,2006-09-22,0,,10,879,0,0.09,1,1.34,19.25,51.06,Moldova,['Moldova'],unknown,0,0,False,9.22,5.32,63.46,4.61,53.33,0.41000000000000003,0.52,0.2,5.43,6.94,1.13,2,0.2,0,0.0,2.9699999999999998,0.0,0,0.0,0.01,0,0.0,8,0.8200000000000001,12.5,0.0,0.1,5.43,24.53,4.61,20.0,0.8200000000000001,50.0,1.54,2.76,55.56,7.47,42.47,1.02,1.74,0.1,37.88,1.74,1.54,52.94,72.34,18.63,58.79,8.7,92.94,40.75,84.42,7.06,37.68,21.2,41.24,0.14,1.43,0.0,0.0,0.0,0.0,0.2,8.4,48.78,6.55,31.25,1.23,16.67,1.13,1.6400000000000001,10.03,62.24,72.88,18.12,0,,0,,0,0.0,0.0,0.0,,,0.92,,4.61,1.13,0.2,0.0,2.15,0,0
A. Angelov,Aleksandar Angelov,-174459,Milsami,Milsami,https://cdn5.wyscout.com/photos/team/public/3926_120x120.png,Super Liga,"RCB, RCB3",RCB,69,RCB3,21,,0,24.0,2002-05-27,0,,10,873,0,0.42,0,0.34,14.43,58.57,Bulgaria,['Bulgaria'],right,0,0,False,7.32,5.26,58.82,5.46,58.49,0.31,0.41000000000000003,0.41000000000000003,3.92,5.21,0.62,0,0.0,0,0.0,0.41000000000000003,0.0,0,0.0,0.04,0,0.0,2,0.21,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.31,0.0,0.1,0.41000000000000003,75.0,1.34,61.54,0.52,1.24,0.0,43.92,0.62,0.62,61.75,84.97,25.88,72.91,3.51,91.18,52.16,92.49,9.28,45.56,23.09,38.91,0.03,0.21,0.0,0.0,0.1,100.0,0.1,10.0,61.86,1.8599999999999999,16.67,1.24,41.67,0.41000000000000003,0.1,12.89,71.2,95.51,27.53,0,,0,,0,0.0,0.0,0.0,,,1.55,,5.46,0.0,0.0,0.0,0.0,0,0
F. Dujmović,Filip Dujmović,440010,Milsami,Milsami,https://cdn5.wyscout.com/photos/team/public/3926_120x120.png,Super Liga,GK,GK,100,,0,,0,27.0,1999-03-12,100000,2027-06-30,9,870,0,0.0,0,0.0,0.62,83.33,Bosnia and Herzegovina,"['Bosnia and Herzegovina', 'Croatia']",right,191,83,False,1.76,0.1,100.0,0.31,66.67,0.0,0.0,0.0,1.6600000000000001,2.2,0.0,1,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,13.34,0.1,0.21,22.03,87.32,11.79,79.82,0.0,0.0,15.83,96.73,6.21,63.33,28.35,47.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,35.71,0.1,0.0,0.1,0.0,0.0,0.0,5.28,66.67,96.74,9.52,13,1.34,40,4.14,4,67.5,16.51,1.71,3.51,0.363,0.0,2.07,0.31,,,,0.0,0,0
I. Dokić,Ivan Dokić,484790,Zimbru,Zimbru,https://cdn5.wyscout.com/photos/team/public/3413_120x120.png,Super Liga,GK,GK,100,,0,,0,26.0,2000-03-25,200000,2027-06-30,9,869,0,0.0,0,0.0,0.72,85.71,Serbia,['Serbia'],right,187,80,False,1.8599999999999999,0.1,0.0,0.41000000000000003,100.0,0.0,0.0,0.0,1.8599999999999999,3.02,0.0,1,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,100.0,0.0,0.0,0.0,14.4,0.31,0.21,21.33,92.23,8.49,81.71,0.0,0.0,18.12,98.29,3.21,58.06,25.25,45.16,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.93,44.44,0.21,0.0,0.1,0.0,0.0,0.0,2.2800000000000002,72.73,100.0,12.01,10,1.04,35,3.62,4,71.43,10.86,1.12,0.86,0.089,0.0,1.76,0.41000000000000003,,,,0.0,0,0
S. Țurcan,Serghei Țurcan,-433932,Dacia-Buiucani,Dacia-Buiucani,https://cdn5.wyscout.com/photos/team/public/g11313_120x120.png,Super Liga,"RW, LW",RW,44,LW,42,,0,22.0,2004-07-27,0,,9,864,3,3.17,3,1.67,23.02,38.01,Moldova,['Moldova'],unknown,0,0,False,6.46,6.67,59.38,3.23,12.9,0.1,0.11,0.0,2.4,2.56,0.9400000000000001,0,0.0,0,0.0,2.6,0.31,1,0.1,0.33,0,0.0,19,1.98,42.11,15.789,0.31,1.15,45.45,0.52,60.0,0.63,33.33,0.0,3.23,38.71,10.52,34.65,2.81,2.19,0.73,14.48,2.4,1.56,20.42,79.59,4.27,63.41,5.94,94.74,18.54,82.58,0.73,57.14,16.7,28.41,0.17,1.35,0.1,0.0,0.0,0.0,0.31,1.25,75.0,1.88,66.67,0.21,100.0,0.73,0.52,2.71,61.54,82.0,5.21,0,,0,,0,0.0,0.0,0.0,,,0.31,,3.23,0.73,0.1,0.0,1.67,2,100
S. Gandi,Samuel Armanki Gandi,-703180,Politehnica UTM,Politehnica UTM,https://cdn5.wyscout.com/photos/team/public/595_120x120.png,Super Liga,"CF, RDMF",CF,81,RDMF,11,,0,19.0,2006-10-19,0,,9,854,4,6.71,1,0.77,23.71,32.0,Sierra Leone,['Sierra Leone'],unknown,0,0,False,3.06,3.79,50.0,7.17,32.35,0.21,0.28,0.11,0.9500000000000001,1.27,1.48,3,0.32,0,0.0,1.9,0.42,3,0.32,0.71,0,0.0,37,3.9,21.62,10.811,0.11,0.74,42.86,0.63,33.33,0.11,100.0,0.0,1.69,43.75,9.59,21.98,5.06,1.69,0.21,17.28,2.42,0.84,24.13,77.29,4.74,51.11,6.43,88.52,21.29,80.69,2.11,55.0,17.25,31.26,0.08,1.26,0.0,0.0,0.0,0.0,0.42,2.63,60.0,1.9,55.56,0.21,100.0,1.05,0.32,2.85,55.56,80.26,8.01,0,,0,,0,0.0,0.0,0.0,,,0.21,,7.17,0.0,0.0,0.0,0.0,2,50
G. Brînzaniuc,Gheorghe Brînzaniuc,-128767,Real Sireti,Real Sireti,https://cdn5.wyscout.com/photos/team/public/g-25714_120x120.png,Super Liga,RB5,RB5,76,,0,,0,25.0,2001-05-06,75000,,9,854,0,0.34,0,0.6000000000000001,18.34,63.79,Moldova,['Moldova'],right,176,0,False,12.12,7.8,74.32,2.95,67.86,0.11,0.11,0.0,6.22,6.34,0.53,0,0.0,0,0.0,2.74,0.0,0,0.0,0.04,0,0.0,9,0.9500000000000001,33.33,0.0,0.0,3.27,38.71,0.32,33.33,2.95,39.29,0.63,1.69,68.75,5.06,50.0,0.53,1.48,0.32,18.44,1.37,2.11,30.46,63.67,13.07,51.61,5.8,94.55,22.45,73.71,4.85,32.61,21.56,39.67,0.06,0.53,0.0,0.0,0.0,0.0,0.21,4.43,50.0,4.0,42.11,0.32,0.0,0.32,1.26,9.27,56.82,62.07,9.17,0,,0,,0,0.0,0.0,0.0,,,1.26,,2.95,0.0,0.0,0.0,0.0,0,0
Ş. Burghiu,Ştefan Burghiu,177477,Real Sireti,Real Sireti,https://cdn5.wyscout.com/photos/team/public/g-25714_120x120.png,Super Liga,CB,CB,89,,0,,0,35.0,1991-03-28,225000,,9,854,0,0.1,1,0.8,13.81,54.96,Moldova,"['Moldova', 'Romania']",right,191,86,False,10.54,4.22,70.0,6.32,56.67,0.32,0.32,1.16,7.27,7.42,0.53,1,0.11,0,0.0,0.21,0.0,0,0.0,0.01,0,0.0,2,0.21,50.0,0.0,0.11,0.11,100.0,0.11,100.0,0.0,0.0,0.0,0.21,0.0,1.79,17.65,1.05,0.32,0.0,17.49,0.32,0.21,26.77,90.16,10.01,84.21,1.05,90.0,22.87,90.78,3.79,86.11,19.11,32.08,0.08,0.53,0.0,0.0,0.0,0.0,0.32,2.95,89.29,0.63,50.0,0.21,50.0,0.84,0.11,5.27,76.0,96.0,13.17,0,,0,,0,0.0,0.0,0.0,,,0.74,,6.32,0.0,0.0,0.0,0.0,0,0
Marcello,Marcello Gesteira de Souza,-283055,Zimbru,Zimbru,https://cdn5.wyscout.com/photos/team/public/3413_120x120.png,Super Liga,"RCB, CB",RCB,79,CB,11,,0,23.0,2003-04-07,0,2026-12-31,10,851,0,0.72,2,0.49,13.96,55.3,Brazil,['Brazil'],right,180,75,False,7.51,4.55,69.77,6.03,45.61,0.42,0.68,0.32,3.91,6.27,1.37,2,0.21,0,0.0,0.11,0.0,0,0.0,0.08,0,0.0,3,0.32,0.0,0.0,0.21,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.42,25.0,2.01,52.63,0.85,0.63,0.0,45.37,0.42,0.85,62.61,91.89,22.84,86.11,3.17,93.33,57.74,95.24,4.76,53.33,19.86,42.29,0.05,0.11,0.11,0.11,0.0,0.0,0.21,7.61,80.56,0.53,100.0,0.74,100.0,0.53,0.0,9.31,77.27,96.07,29.61,0,,0,,0,0.0,0.0,0.0,,,2.22,,6.03,0.0,0.0,0.0,0.0,0,0
N. Zolotov,Nikolay Zolotov,347001,Zimbru,Zimbru,https://cdn5.wyscout.com/photos/team/public/3413_120x120.png,Super Liga,LB,LB,85,,0,,0,31.0,1994-11-11,300000,2026-12-31,10,846,1,0.62,1,0.81,13.51,52.76,Belarus,['Belarus'],right,177,65,False,10.96,6.28,64.41,3.19,46.67,1.38,2.15,0.53,5.53,8.62,1.49,2,0.21,0,0.0,0.85,0.11,1,0.11,0.07,1,0.11,1,0.11,100.0,100.0,0.11,1.6,26.67,1.6,26.67,0.0,0.0,0.0,0.43,75.0,2.34,45.45,1.38,1.38,0.11,35.74,3.19,0.53,49.68,84.8,18.83,74.58,5.11,93.75,44.79,89.31,3.62,50.0,17.84,34.25,0.09,0.64,0.11,0.0,0.0,0.0,0.43,6.28,69.49,1.7000000000000002,37.5,0.32,66.67,0.85,0.21,8.19,71.43,89.74,16.6,0,,0,,0,0.0,0.0,0.0,,,0.96,,3.19,0.0,0.0,0.0,0.0,0,0
I. Jardan,Ion Jardan,39522,Petrocub,Petrocub,https://cdn5.wyscout.com/photos/team/public/g9135_120x120.png,Super Liga,"RWB, RCB3, CB",RWB,43,RCB3,16,CB,11,36.0,1990-01-10,200000,,10,833,3,3.08,1,2.77,11.45,52.83,Moldova,['Moldova'],right,183,74,False,5.19,3.67,58.82,2.92,40.74,0.22,0.33,0.22,2.81,4.29,1.08,1,0.11,0,0.0,2.81,0.32,3,0.32,0.33,1,0.11,13,1.4,46.15,23.077,0.11,3.7800000000000002,34.29,0.11,100.0,3.5700000000000003,33.33,0.76,1.19,63.64,3.5700000000000003,51.52,2.7,2.59,0.32,41.06,2.16,1.4,53.91,83.17,19.88,77.17,6.48,95.0,44.41,91.24,5.73,52.83,20.43,33.07,0.30000000000000004,1.62,0.0,0.11,0.11,100.0,0.97,10.7,74.75,5.51,52.94,1.19,36.36,1.73,1.4,9.94,94.57,87.75,22.04,0,,0,,0,0.0,0.0,0.0,,,0.54,,2.92,0.0,0.0,0.0,0.0,0,0
B. Fomba,Bourama Fomba,-173781,Sheriff,Sheriff,https://cdn5.wyscout.com/photos/team/public/1979_120x120.png,Super Liga,"RCB, LCB",RCB,53,LCB,46,,0,27.0,1999-07-10,350000,,9,826,0,1.31,0,0.06,11.99,63.64,Mali,['Mali'],right,190,76,False,6.76,5.34,67.35,3.7,76.47,0.33,0.55,0.22,2.83,4.73,1.2,1,0.11,1,0.11,0.22,0.0,0,0.0,0.14,0,0.0,6,0.65,16.67,0.0,0.0,0.22,50.0,0.22,50.0,0.0,0.0,0.0,0.11,0.0,1.63,26.67,1.2,2.07,0.0,49.03,0.44,0.54,66.79,90.86,25.82,82.7,3.38,90.32,61.13,95.19,5.45,44.0,22.14,38.24,0.01,0.33,0.0,0.0,0.0,0.0,0.11,9.7,78.65,0.76,42.86,0.33,33.33,0.33,0.11,12.31,83.19,97.95,31.82,0,,0,,0,0.0,0.0,0.0,,,2.18,,3.7,0.0,0.0,0.0,0.0,0,0
