Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Kirn,Jackson Kirn,-214370,,Bellarmine Knights,,,LCB,LCB,99,,0,,0,,,0,,9,959,0,0.32,0,0.0,12.11,61.24,United States,['United States'],,196,84,False,6.85,3.66,74.36,4.6,51.02,0.28,0.30000000000000004,0.66,3.85,4.07,0.28,1,0.09,0,0.0,0.09,0.0,0,0.0,0.03,0,0.0,2,0.19,0.0,0.0,0.0,0.09,100.0,0.09,100.0,0.0,0.0,0.0,0.0,0.0,0.84,44.44,0.47000000000000003,0.09,0.0,10.6,0.09,0.47000000000000003,20.36,72.81,10.7,59.65,1.03,90.91,13.89,83.11,6.38,50.0,23.45,32.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,46.88,0.09,100.0,0.38,25.0,0.09,0.09,5.54,54.24,87.67,6.85,0,,0,,0,0.0,0.0,0.0,,,0.84,,4.6,0.0,0.0,0.0,0.0,0,0
R. Cederberg,Rikard Cederberg,-271693,NY Pancyprian Freedoms,Bellarmine Knights,https://cdn5.wyscout.com/photos/team/public/g10779_120x120.png,,RCB,RCB,100,,0,,0,25.0,2001-02-23,0,,9,953,0,0.0,0,0.0,13.88,64.63,Sweden,['Sweden'],right,194,0,False,9.82,7.46,74.68,3.12,45.45,0.28,0.30000000000000004,0.38,3.9699999999999998,4.2,0.5700000000000001,3,0.28,0,0.0,0.28,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,75.0,0.9400000000000001,60.0,0.0,0.19,0.28,7.5600000000000005,0.09,0.38,17.19,73.08,8.22,65.52,0.85,88.89,12.47,78.79,4.72,58.0,22.42,33.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.93,41.94,0.19,0.0,0.09,0.0,0.09,0.0,4.63,59.18,80.3,6.23,0,,0,,0,0.0,0.0,0.0,,,0.47000000000000003,,3.12,0.09,0.0,0.0,0.0,0,0
O. Kjoerholt,Ole Kjoerholt,-195371,,Central Arkansas Bears,,,"RCB, RCB3, LCB3",RCB,60,RCB3,21,LCB3,14,,,0,,9,951,0,0.56,0,0.09,18.83,55.28,Norway,['Norway'],,185,77,False,9.09,6.53,68.12,7.1,53.33,0.0,0.0,0.47000000000000003,4.64,7.24,0.38,1,0.09,0,0.0,0.5700000000000001,0.0,0,0.0,0.05,0,0.0,5,0.47000000000000003,20.0,0.0,0.0,0.47000000000000003,40.0,0.09,0.0,0.38,50.0,0.0,0.5700000000000001,50.0,1.8900000000000001,30.0,0.76,0.5700000000000001,0.09,17.51,0.19,0.47000000000000003,34.26,77.07,15.24,62.11,1.8900000000000001,95.0,25.27,85.77,8.52,53.33,25.54,40.74,0.01,0.5700000000000001,0.0,0.0,0.0,0.0,0.09,7.29,58.44,0.76,25.0,0.47000000000000003,0.0,0.28,0.19,8.42,70.79,91.5,14.48,0,,0,,0,0.0,0.0,0.0,,,0.66,,7.1,0.0,0.0,0.0,0.0,0,0
M. Sibley,Michael Sibley,453664,,Lipscomb Bisons,,,GK,GK,100,,0,,0,27.0,1998-10-21,0,,9,950,0,0.0,0,0.0,0.9500000000000001,80.0,England,['England'],,185,81,False,1.99,0.19,50.0,0.5700000000000001,83.33,0.0,0.0,0.0,1.8900000000000001,2.88,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.41,0.09,0.19,19.33,71.57,12.69,56.72,0.09,100.0,8.05,98.82,11.27,52.1,39.85,50.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8900000000000001,30.0,0.09,0.0,0.0,0.0,0.0,0.0,7.29,67.53,100.0,6.25,10,0.9500000000000001,34,3.22,3,70.59,9.91,0.9400000000000001,-0.09,-0.009000000000000001,0.0,1.42,0.5700000000000001,,,,0.0,0,0
C. Range,Connor Range,-214377,,Bellarmine Knights,,,GK,GK,100,,0,,0,,,0,,9,947,0,0.0,0,0.0,1.43,73.33,United States,['United States'],,188,0,False,4.47,0.29,33.33,0.86,88.89,0.0,0.0,0.0,4.37,4.62,0.1,0,0.0,1,0.1,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,50.0,0.0,0.0,0.0,7.03,0.19,0.38,17.11,68.33,14.07,64.86,0.0,0.0,4.5600000000000005,85.42,12.45,62.6,44.49,51.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89,66.13,0.29,0.0,0.29,0.0,0.0,0.0,9.6,77.23,88.89,2.5700000000000003,14,1.33,42,3.99,1,66.67,10.14,0.96,-3.86,-0.367,0.0,1.81,0.86,,,,0.0,0,0
L. Robinson,Louis Robinson,-203220,,Lipscomb Bisons,,,LB,LB,91,,0,,0,,,0,,9,937,1,1.92,0,0.56,20.65,55.81,England,['England'],,181,79,False,11.72,8.84,69.57,2.79,62.07,0.96,1.46,0.0,4.61,6.99,1.34,2,0.19,0,0.0,2.98,0.1,1,0.1,0.18,0,0.0,10,0.96,50.0,10.0,0.0,2.88,40.0,2.88,40.0,0.0,0.0,0.48,1.92,70.0,4.23,50.0,0.86,1.82,0.29,28.24,1.73,1.25,43.51,70.86,22.38,65.24,4.03,92.86,34.77,77.07,5.86,49.18,21.26,38.8,0.05,0.77,0.29,0.0,0.29,0.0,0.0,7.49,71.79,2.69,64.29,0.29,33.33,0.67,1.06,14.98,76.28,75.0,11.53,0,,0,,0,0.0,0.0,0.0,,,0.77,,2.79,0.0,0.0,0.0,0.0,1,0
A. Suarez,Alberto Suarez,-195373,,Central Arkansas Bears,,,"LCB, CB",LCB,57,CB,37,,0,,,0,,9,920,2,2.03,0,0.08,17.71,60.77,Spain,['Spain'],,185,83,False,10.47,4.7,81.25,6.26,60.94,0.49,0.75,0.98,6.16,9.5,0.2,0,0.0,0,0.0,1.08,0.2,1,0.1,0.2,0,0.0,18,1.76,22.22,11.111,0.0,0.2,50.0,0.1,0.0,0.1,100.0,0.0,1.08,54.55,4.3,38.64,1.57,0.88,0.49,16.24,0.88,0.98,34.92,77.59,16.14,62.42,2.25,86.96,27.98,84.62,6.75,49.28,24.28,40.58,0.01,0.1,0.0,0.1,0.1,0.0,0.0,6.55,59.7,0.98,40.0,0.29,0.0,0.29,0.1,9.59,64.29,93.24,14.48,0,,0,,0,0.0,0.0,0.0,,,1.37,,6.26,0.59,0.49,20.0,0.0,1,100
K. Naicker,Kris Naicker,-152904,,Central Arkansas Bears,,,"RB, RWB",RB,62,RWB,36,,0,23.0,2002-12-08,0,,9,917,1,1.0,0,0.39,20.41,49.52,New Zealand,['New Zealand'],right,180,0,False,9.52,8.24,61.9,4.22,37.21,0.59,0.91,0.29,3.83,5.91,0.59,1,0.1,0,0.0,2.45,0.1,1,0.1,0.1,0,0.0,2,0.2,50.0,50.0,0.0,1.08,63.64,0.0,0.0,1.08,63.64,0.1,2.26,73.91,4.42,48.89,0.59,0.49,0.29,17.37,0.49,0.2,29.25,72.82,14.82,66.89,2.65,88.89,21.69,78.73,6.58,55.22,19.43,36.31,0.04,0.49,0.0,0.0,0.0,0.0,0.29,6.38,60.0,2.36,50.0,0.79,12.5,0.49,0.6900000000000001,8.15,74.7,79.22,7.5600000000000005,0,,0,,0,0.0,0.0,0.0,,,0.2,,4.22,0.0,0.0,0.0,0.0,0,0
G. Fischer,Greg Fischer,-214356,,Bellarmine Knights,,,"LCMF, RCMF, LW",LCMF,35,RCMF,25,LW,20,,,0,,9,911,0,0.05,1,1.78,12.45,47.62,United States,['United States'],,175,0,False,7.41,5.63,57.89,2.27,39.13,0.1,0.1,0.2,4.05,4.1,0.4,0,0.0,0,0.0,0.89,0.0,0,0.0,0.01,0,0.0,2,0.2,50.0,0.0,0.1,1.58,43.75,1.09,36.36,0.4,75.0,0.4,0.2,50.0,1.09,36.36,0.49,0.1,0.1,12.65,0.59,0.4,27.66,75.71,10.57,61.68,5.93,96.67,21.24,83.72,4.84,51.02,20.52,33.22,0.18,1.6800000000000002,0.1,0.0,0.1,0.0,0.30000000000000004,5.04,60.78,2.17,50.0,0.1,0.0,0.49,0.79,6.03,68.85,82.5,7.9,0,,0,,0,0.0,0.0,0.0,,,1.09,,2.27,3.95,0.1,0.0,4.15,0,0
N. Gulden,Noah Gulden,429663,,Lipscomb Bisons,,,RB,RB,91,,0,,0,26.0,1999-12-29,0,,9,893,0,0.59,1,2.84,20.46,61.58,Norway,['Norway'],,186,74,False,11.89,7.05,77.14,4.33,51.16,1.21,1.87,0.2,5.24,8.08,0.2,0,0.0,0,0.0,5.34,0.0,0,0.0,0.06,0,0.0,8,0.81,25.0,0.0,0.1,4.13,43.9,0.30000000000000004,33.33,3.83,44.74,0.30000000000000004,5.04,64.0,6.05,58.33,1.21,1.6099999999999999,1.11,23.28,1.4100000000000001,0.71,39.51,71.68,16.63,65.45,5.24,92.31,29.33,83.51,6.15,32.79,20.46,38.64,0.29,1.9100000000000001,0.0,0.1,0.30000000000000004,33.33,0.91,7.05,50.0,4.54,44.44,0.81,25.0,0.71,1.81,10.18,76.24,72.44,12.8,0,,0,,0,0.0,0.0,0.0,,,0.5,,4.33,1.01,0.2,50.0,2.7199999999999998,0,0
