Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Nesteruk,Dillon Nesteruk,-212442,,UMBC Retrievers,,,LCB,LCB,97,,0,,0,,,0,,10,1067,1,0.25,0,0.14,9.7,54.78,United States,['United States'],,177,77,False,7.59,3.54,66.67,2.7,56.25,0.42,0.54,0.59,4.8100000000000005,6.15,0.76,1,0.08,0,0.0,0.17,0.08,1,0.08,0.02,1,0.08,1,0.08,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.93,54.55,0.08,0.42,0.34,12.82,0.17,0.34,28.93,75.51,14.34,63.53,1.01,75.0,23.36,80.14,5.57,56.06,23.49,36.39,0.01,0.08,0.0,0.0,0.0,0.0,0.0,3.8,53.33,0.42,60.0,0.25,33.33,0.34,0.0,7.59,47.78,90.3,11.3,0,,0,,0,0.0,0.0,0.0,,,0.59,,2.7,0.0,0.0,0.0,0.0,0,0.0
H. Nesheim,Hans-Jacob Larsen Nesheim,-192751,,UMBC Retrievers,,,RCB,RCB,97,,0,,0,25.0,2001-04-01,0,,10,1067,0,0.5700000000000001,0,0.0,14.68,64.37,Norway,['Norway'],,190,83,False,12.06,5.99,67.61,4.98,69.49,0.17,0.22,1.18,7.84,10.04,0.59,0,0.0,0,0.0,0.42,0.0,0,0.0,0.05,0,0.0,6,0.51,50.0,0.0,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.17,100.0,0.84,50.0,0.42,0.08,0.17,13.83,0.25,0.51,31.88,74.87,16.36,61.86,2.2800000000000002,92.59,22.27,83.33,9.53,55.75,25.39,38.5,0.0,0.0,0.0,0.0,0.08,0.0,0.0,5.82,53.62,0.42,40.0,0.17,0.0,0.17,0.0,8.86,57.14,90.91,11.13,0,,0,,0,0.0,0.0,0.0,,,1.8599999999999999,,4.98,0.17,0.08,0.0,0.0,0,0.0
J. Conze,Julian Conze,435373,,UMBC Retrievers,,,LB,LB,96,,0,,0,26.0,1999-09-09,0,,10,1064,3,2.99,2,1.94,22.25,51.33,Germany,['Germany'],left,187,81,False,10.57,8.12,60.42,4.23,58.0,0.17,0.22,0.34,5.5,7.01,0.59,1,0.08,0,0.0,4.31,0.25,1,0.08,0.25,0,0.0,15,1.27,53.33,20.0,0.17,4.74,37.5,4.14,36.73,0.51,50.0,0.42,3.98,46.81,6.6,43.59,0.17,2.2,1.35,20.72,1.27,1.02,38.83,59.04,23.09,53.48,2.2800000000000002,92.59,22.08,72.8,12.35,42.47,25.79,40.63,0.16,1.52,0.0,0.08,0.08,0.0,0.25,11.25,48.87,6.17,39.73,0.85,20.0,0.76,1.69,13.53,71.88,60.33,10.23,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.23,2.37,0.68,37.5,2.03,3,66.667
S. Reisgys,Samuel Reisgys,-213898,,NJIT Highlanders,,,GK,GK,100,,0,,0,,,0,,10,1053,0,0.0,0,0.0,1.28,86.67,Germany,['Germany'],,191,77,False,2.05,0.09,0.0,0.77,100.0,0.09,0.11,0.0,1.97,2.63,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,66.67,0.0,0.0,0.0,11.11,0.0,0.34,19.4,79.74,10.09,62.71,0.0,0.0,11.45,99.25,7.95,51.61,33.39,46.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71,40.0,0.0,0.0,0.0,0.0,0.0,0.0,5.73,62.69,98.13,9.15,18,1.54,51,4.36,1,64.71,17.06,1.46,-0.9400000000000001,-0.08,0.0,2.22,0.77,,,,0.0,0,0.0
J. Adames,Jose Adames,-213805,,NJIT Highlanders,,,"LCB3, LCB",LCB3,66,LCB,29,,0,,,0,,10,1053,0,0.09,0,0.16,13.25,61.29,Spain,['Spain'],,173,72,False,11.28,5.9,63.77,3.42,57.5,0.9400000000000001,1.26,0.9400000000000001,6.58,8.82,0.77,3,0.26,0,0.0,0.51,0.0,0,0.0,0.01,0,0.0,3,0.26,0.0,0.0,0.0,0.26,33.33,0.26,33.33,0.0,0.0,0.0,0.51,83.33,1.28,66.67,0.34,0.9400000000000001,0.0,28.89,0.68,0.68,45.21,71.08,24.1,55.32,2.99,91.43,30.85,85.32,14.1,40.61,25.09,39.82,0.01,0.26,0.0,0.0,0.0,0.0,0.09,8.55,45.0,1.11,46.15,0.77,33.33,0.34,0.17,11.71,59.85,90.64,14.62,0,,0,,0,0.0,0.0,0.0,,,1.45,,3.42,0.0,0.0,0.0,0.0,0,0.0
N. Egan,Noah Egan,512299,Irvine Zeta,Vermont Catamouts,https://cdn5.wyscout.com/photos/team/public/g-21143_120x120.png,NISA,LCB,LCB,99,,0,,0,25.0,2000-11-16,0,,10,1046,2,0.85,0,0.0,13.42,64.1,United States,['United States'],,183,77,False,8.0,4.82,69.64,3.5300000000000002,70.73,0.34,0.47000000000000003,0.09,4.3,5.8100000000000005,1.12,1,0.09,0,0.0,0.9500000000000001,0.17,2,0.17,0.07,2,0.17,6,0.52,66.67,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,50.0,2.5,41.38,0.6000000000000001,0.6000000000000001,0.09,26.33,0.0,0.6000000000000001,42.07,85.07,21.51,76.0,1.29,100.0,33.38,92.01,8.69,58.42,24.44,41.36,0.0,0.0,0.0,0.0,0.09,0.0,0.0,6.71,60.26,0.77,22.22,0.77,33.33,0.09,0.0,9.81,79.82,95.79,16.35,0,,0,,0,0.0,0.0,0.0,,,0.86,,3.5300000000000002,0.0,0.0,0.0,0.0,0,0.0
R. Watkins,Regsan Watkins,-213914,,NJIT Highlanders,,,"CF, RAMF",CF,58,RAMF,11,,0,,,0,,10,1037,3,4.01,2,1.52,21.78,39.84,South Africa,['South Africa'],,175,0,False,5.9,5.47,60.32,2.52,20.69,0.0,0.0,0.09,2.6,3.47,1.04,3,0.26,0,0.0,3.38,0.26,3,0.26,0.35000000000000003,0,0.0,24,2.08,50.0,12.5,0.17,0.78,22.22,0.43,20.0,0.26,33.33,0.09,4.69,46.3,10.15,38.46,3.12,1.48,0.6900000000000001,16.06,2.43,0.9500000000000001,22.3,78.99,6.6,67.11,6.34,90.41,20.14,84.05,1.3900000000000001,37.5,15.17,15.38,0.13,0.6900000000000001,0.0,0.0,0.0,0.0,0.43,2.17,68.0,0.6900000000000001,62.5,0.09,100.0,0.9500000000000001,0.09,3.56,82.93,81.63,4.25,0,,0,,0,0.0,0.0,0.0,,,0.09,,2.52,0.0,0.0,0.0,0.0,0,0.0
N. Silveira,Nate Silveira,-212160,,Vermont Catamouts,,,GK,GK,100,,0,,0,26.0,1999-08-10,0,,10,1033,0,0.0,0,0.0,0.44,100.0,United States,['United States'],right,185,86,False,2.27,0.0,0.0,0.26,100.0,0.0,0.0,0.0,2.27,3.06,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,0.0,0.09,14.2,90.18,7.93,82.42,0.0,0.0,10.37,99.16,3.83,65.91,32.3,50.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,64.29,0.0,0.0,0.09,0.0,0.0,0.0,2.96,85.29,100.0,6.1,7,0.61,28,2.44,4,75.0,7.37,0.64,0.37,0.032,0.0,1.57,0.26,,,,0.0,0,0.0
Z. Barrett,Zach Barrett,-212196,Huntsville City,Vermont Catamouts,https://cdn5.wyscout.com/photos/team/public/g-18055_120x120.png,MLS Next Pro,RCB,RCB,99,,0,,0,24.0,2001-07-10,0,2026-12-31,10,1025,2,1.94,0,0.0,16.86,70.31,United States,['United States'],unknown,185,84,False,10.8,4.65,83.02,5.71,72.31,0.09,0.12,0.35000000000000003,6.85,9.18,0.35000000000000003,1,0.09,0,0.0,1.05,0.18,2,0.18,0.17,1,0.09,9,0.79,22.22,22.222,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,1.23,71.43,2.99,47.06,0.97,0.61,0.09,19.93,0.61,0.18,38.63,79.55,19.23,66.67,1.76,95.0,31.17,86.2,7.38,52.38,23.0,38.81,0.0,0.0,0.0,0.0,0.09,0.0,0.0,5.62,51.56,0.79,11.11,0.7000000000000001,25.0,0.18,0.0,8.17,67.74,96.34,14.4,0,,0,,0,0.0,0.0,0.0,,,1.4,,5.71,0.09,0.0,0.0,0.0,0,0.0
R. Becher,Ryan Becher,-212407,Fort Wayne,UMBC Retrievers,https://cdn5.wyscout.com/photos/team/public/g-13966_120x120.png,USL League 1,"AMF, RCMF, CF",AMF,43,RCMF,39,CF,12,25.0,2001-04-04,0,,10,1016,1,1.22,1,0.79,29.5,48.65,United States,['United States'],,191,0,False,9.12,5.94,56.72,13.2,52.35,0.35000000000000003,0.43,0.27,5.4,6.61,2.04,3,0.27,0,0.0,1.42,0.09,1,0.09,0.11,1,0.09,14,1.24,28.57,7.143,0.09,0.89,40.0,0.27,33.33,0.62,42.86,0.09,1.42,43.75,5.4,40.98,1.77,0.44,0.09,17.54,1.77,1.24,30.21,64.81,10.9,53.66,4.61,84.62,25.69,69.31,3.7199999999999998,40.48,19.42,36.61,0.07,0.71,0.09,0.0,0.09,100.0,0.27,5.31,48.33,2.04,43.48,0.62,14.29,0.71,0.27,4.96,53.57,68.07,10.54,0,,0,,0,0.0,0.0,0.0,,,0.0,,13.2,0.0,0.0,0.0,0.0,0,0.0
