Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Dario Caetano,Dario Mendes Caetano,-73279,,Dayton Flyers,,,GK,GK,100,,0,,0,24.0,2001-09-18,0,,11,1141,0,0.0,0,0.0,1.26,93.75,Portugal,['Portugal'],,190,0,False,2.21,0.08,100.0,0.87,100.0,0.0,0.0,0.0,2.13,2.98,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,66.67,0.0,0.0,0.0,12.7,0.16,0.39,21.3,85.56,12.23,81.29,0.0,0.0,12.78,97.53,8.36,68.87,32.7,43.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,46.67,0.0,0.0,0.0,0.0,0.0,0.0,7.1,68.89,93.46,8.44,11,0.87,41,3.23,3,73.17,11.4,0.9,0.4,0.032,0.0,2.37,0.87,,,,0.0,0,0
L. Brown,Logan Brown,512670,,Dayton Flyers,,,"RCB, LCB",RCB,88,LCB,11,,0,25.0,2001-01-09,0,,11,1141,0,0.58,2,0.5,7.89,65.0,United States,['United States'],,183,0,False,7.89,3.79,77.08,2.52,56.25,0.0,0.0,0.9500000000000001,4.97,6.95,0.47000000000000003,1,0.08,0,0.0,0.24,0.0,0,0.0,0.05,0,0.0,3,0.24,0.0,0.0,0.16,0.08,100.0,0.0,0.0,0.08,100.0,0.0,0.39,40.0,0.87,27.27,0.55,0.32,0.0,29.66,0.47000000000000003,0.08,49.61,84.58,21.45,72.06,2.52,100.0,38.97,91.7,10.57,58.21,25.03,42.73,0.04,0.32,0.0,0.0,0.0,0.0,0.16,6.7,65.88,0.63,25.0,0.39,40.0,0.08,0.08,11.04,70.71,95.02,22.16,0,,0,,0,0.0,0.0,0.0,,,2.29,,2.52,0.32,0.0,0.0,0.0,0,0
H. Sigurdsson,Hjalti Sigurdsson,468298,KR,Dayton Flyers,https://cdn5.wyscout.com/photos/team/public/2935_120x120.png,Besta-deild karla,"RB, RCB",RB,88,RCB,11,,0,25.0,2000-09-19,0,2028-11-16,11,1136,4,3.09,0,1.04,16.8,53.3,Iceland,['Iceland'],right,183,78,False,9.19,6.65,52.38,4.28,44.44,0.24,0.33,0.16,5.47,7.67,1.03,3,0.24,0,0.0,3.41,0.32,4,0.32,0.24,2,0.16,20,1.58,30.0,20.0,0.0,3.41,37.21,0.08,100.0,3.33,35.71,0.08,2.06,80.77,4.75,61.67,2.69,2.69,0.63,36.29,1.58,0.87,51.18,80.8,22.34,75.89,5.07,92.19,41.2,88.85,6.89,51.72,21.47,40.47,0.08,0.87,0.16,0.0,0.24,0.0,0.24,8.24,72.12,3.25,43.9,0.48,16.67,0.79,1.03,12.91,77.91,86.6,16.56,0,,0,,0,0.0,0.0,0.0,,,0.79,,4.28,0.0,0.0,0.0,0.08,0,0
M. Bonham,Miles Bonham,-463802,Dayton Flyers,Dayton Flyers,https://cdn5.wyscout.com/photos/team/public/g32986_120x120.png,NCAA D1 Atlantic 10,"RDMF, RCMF",RDMF,57,RCMF,42,,0,,,0,,11,1125,0,0.21,1,0.7000000000000001,19.68,52.85,United States,['United States'],unknown,190,86,False,9.44,7.52,59.57,4.72,45.76,0.24,0.33,0.08,4.72,6.58,0.96,1,0.08,0,0.0,1.3599999999999999,0.0,0,0.0,0.02,0,0.0,7,0.56,42.86,0.0,0.08,0.32,25.0,0.08,0.0,0.24,33.33,0.0,1.6,65.0,4.72,50.85,0.88,0.48,0.08,27.12,0.32,0.64,43.36,83.58,14.88,70.97,6.48,96.3,38.96,86.86,4.08,56.86,18.0,36.81,0.06,0.72,0.0,0.0,0.0,0.0,0.16,6.32,65.82,1.28,43.75,0.16,0.0,0.72,0.08,6.5600000000000005,68.29,92.06,15.12,0,,0,,0,0.0,0.0,0.0,,,0.4,,4.72,0.0,0.0,0.0,0.0,0,0
C. Svendby,Casper Bottolfs Svendby,-280656,Notodden,Dayton Flyers,https://cdn5.wyscout.com/photos/team/public/1613_120x120.png,2. Division,"LB, RB",LB,87,RB,12,,0,22.0,2003-07-17,0,,11,1123,0,0.92,2,0.74,18.11,54.87,Norway,['Norway'],,178,0,False,9.62,8.09,64.36,1.04,38.46,0.0,0.0,0.24,4.41,6.13,1.3599999999999999,1,0.08,0,0.0,4.01,0.0,0,0.0,0.07,0,0.0,16,1.28,25.0,0.0,0.16,1.6,60.0,1.2,53.33,0.4,80.0,0.08,4.8100000000000005,56.67,7.05,47.73,1.76,3.37,1.2,35.9,1.92,0.56,50.25,81.34,21.56,73.23,6.17,96.1,43.92,85.22,4.8100000000000005,53.33,19.55,38.7,0.06,0.88,0.0,0.08,0.16,0.0,0.32,7.37,69.57,2.89,63.89,0.48,33.33,1.2,0.8,11.22,77.86,91.1,15.31,0,,0,,0,0.0,0.0,0.0,,,1.12,,1.04,0.0,0.0,0.0,0.0,0,0
M. Day,Manny Day,-211498,,Dayton Flyers,,,"RAMF, LW, RW",RAMF,42,LW,24,RW,19,,,0,,11,1035,2,3.34,3,1.5899999999999999,27.39,49.21,United States,['United States'],unknown,189,0,False,5.13,4.35,56.0,11.22,59.69,0.09,0.11,0.09,2.61,3.42,1.3,1,0.09,0,0.0,4.35,0.17,2,0.17,0.29,1,0.09,33,2.87,27.27,6.061,0.26,4.09,25.53,1.3,20.0,2.7800000000000002,28.13,0.61,4.43,54.9,9.39,40.74,4.35,2.09,0.87,24.7,4.26,0.52,33.3,71.02,9.48,65.14,6.43,94.59,27.22,80.51,2.17,32.0,18.33,32.62,0.14,1.04,0.17,0.0,0.17,50.0,0.78,3.74,62.79,4.17,35.42,0.35000000000000003,25.0,1.13,1.04,6.7,84.42,63.93,10.61,0,,0,,0,0.0,0.0,0.0,,,0.0,,11.22,0.0,0.0,0.0,0.0,0,0
J. Ermini,John Ermini,-211403,,VCU Rams,,,GK,GK,100,,0,,0,,,0,,10,1019,0,0.0,0,0.0,1.77,80.0,United States,['United States'],unknown,193,77,False,1.15,0.09,100.0,0.97,90.91,0.0,0.0,0.0,1.06,1.6400000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,80.0,0.0,0.0,0.0,12.01,0.0,0.44,17.93,84.24,7.07,65.0,0.0,0.0,11.39,100.0,6.45,57.53,29.39,43.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,42.86,0.0,0.0,0.0,0.0,0.0,0.0,4.15,57.45,97.3,9.8,7,0.62,40,3.5300000000000002,4,82.5,10.63,0.9400000000000001,3.63,0.321,0.0,2.21,0.97,,,,0.0,0,0
J. Kanagwa,Jonathan Kanagwa,-211438,,VCU Rams,,,"LCMF, LDMF",LCMF,68,LDMF,30,,0,,,0,,10,1011,3,2.8200000000000003,3,1.45,17.18,55.44,Uganda,['Uganda'],unknown,177,75,False,9.26,6.41,73.61,4.01,35.56,0.0,0.0,0.45,4.54,6.99,0.71,1,0.09,0,0.0,2.23,0.27,3,0.27,0.25,0,0.0,12,1.07,66.67,25.0,0.27,0.89,50.0,0.8,44.44,0.09,100.0,0.0,1.51,64.71,4.9,45.45,1.96,0.45,0.0,24.84,0.53,0.36,40.86,81.92,12.11,66.18,10.06,95.58,37.39,85.95,2.58,34.48,18.15,33.01,0.13,0.8,0.0,0.0,0.27,33.33,0.53,5.07,66.67,1.6,50.0,0.8,22.22,0.62,0.45,6.77,63.16,88.24,13.62,0,,0,,0,0.0,0.0,0.0,,,0.53,,4.01,0.0,0.0,0.0,0.0,0,0
P. Yeboah,Paul Yeboah,-489849,Dayton Flyers,Dayton Flyers,https://cdn5.wyscout.com/photos/team/public/g32986_120x120.png,NCAA D1 Atlantic 10,LCB,LCB,100,,0,,0,,,0,,10,1009,0,0.92,1,0.2,22.21,65.86,Ghana,['Ghana'],unknown,185,0,False,12.84,7.05,77.22,9.19,66.02,0.27,0.38,0.8,7.14,10.13,0.8,2,0.18,1,0.09,0.27,0.0,0,0.0,0.08,0,0.0,8,0.71,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,50.0,2.77,45.16,0.62,0.18,0.0,30.06,0.45,1.07,48.79,86.47,20.43,79.04,1.69,84.21,43.08,91.51,5.71,48.44,20.82,34.85,0.02,0.18,0.09,0.0,0.0,0.0,0.0,4.28,77.08,0.36,25.0,0.62,57.14,0.18,0.0,10.97,60.98,93.75,22.83,0,,0,,0,0.0,0.0,0.0,,,0.98,,9.19,0.0,0.0,0.0,0.0,0,0
Kenji Mboma Dem,Kenji  Mboma Dem,-222380,Cincinnati,Dayton Flyers,https://cdn5.wyscout.com/photos/team/public/g35679_120x120.png,MLS,CF,CF,93,,0,,0,24.0,2002-01-22,0,2026-12-31,10,1007,9,5.48,1,4.45,20.38,38.6,France,['France'],left,185,68,False,3.66,2.86,59.38,3.22,52.78,0.09,0.13,0.0,1.88,2.74,0.36,1,0.09,0,0.0,4.29,0.8,9,0.8,0.49,1,0.09,50,4.47,44.0,18.0,0.09,1.43,43.75,0.36,25.0,0.98,45.45,0.27,3.04,47.06,10.99,33.33,4.5600000000000005,0.8,0.18,25.74,2.32,1.07,31.55,77.9,6.26,60.0,6.79,85.53,27.8,80.39,2.32,69.23,15.85,32.78,0.4,3.75,0.0,0.27,0.63,42.86,0.63,3.04,64.71,2.95,57.58,0.98,45.45,1.6099999999999999,0.63,3.4,76.32,78.99,10.64,0,,0,,0,0.0,0.0,0.0,,,0.09,,3.22,1.7000000000000002,0.27,33.33,5.09,0,0
M. Ndiaye,Moussa Ndiaye,-571048,Athletic Club Boise,VCU Rams,https://cdn5.wyscout.com/photos/team/public/g-25769_120x120.png,USL League 1,RCB,RCB,100,,0,,0,25.0,2001-01-05,0,,10,1006,1,0.9,0,0.09,11.36,59.06,Senegal,['Senegal'],unknown,0,0,False,7.96,3.31,78.38,5.55,50.0,0.18,0.28,1.16,5.19,8.02,0.63,2,0.18,0,0.0,0.45,0.09,1,0.09,0.08,1,0.09,6,0.54,16.67,16.667,0.0,0.18,50.0,0.09,100.0,0.09,0.0,0.0,0.36,75.0,1.16,38.46,0.72,1.97,0.18,39.54,0.27,0.27,55.56,85.99,20.49,72.49,2.06,100.0,48.22,92.39,7.16,43.75,24.29,42.28,0.01,0.09,0.0,0.0,0.0,0.0,0.0,7.07,62.03,0.54,33.33,0.18,0.0,0.0,0.09,10.2,66.67,94.25,31.13,0,,0,,0,0.0,0.0,0.0,,,1.52,,5.55,0.0,0.0,0.0,0.0,0,0
