Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Lundegard,Adam Lundegard,-127329,,Clemson Tigers,,,"RCB, LCB",RCB,67,LCB,32,,0,22.0,2003-08-08,0,,12,1239,3,1.62,0,0.0,18.96,64.75,United States,['United States'],left,185,73,False,11.4,9.81,68.15,4.94,63.24,0.22,0.30000000000000004,0.29,4.5,6.1,1.38,4,0.29,0,0.0,0.58,0.22,3,0.22,0.12,2,0.15,8,0.58,75.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,28.57,2.25,54.84,0.8,0.44,0.44,19.76,0.29,1.31,33.92,84.58,15.84,76.61,1.67,82.61,27.6,89.74,6.32,62.07,24.34,44.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.67,69.23,0.29,0.0,0.36,20.0,0.07,0.0,8.21,72.57,93.19,13.87,0,,0,,0,0.0,0.0,0.0,,,0.8,,4.94,0.0,0.0,0.0,0.0,0,0
J. Skinner,Joey Skinner,-174356,Charlotte Independence,Clemson Tigers,https://cdn5.wyscout.com/photos/team/public/g32863_120x120.png,USL League 1,LB,LB,100,,0,,0,23.0,2003-03-28,50000,2026-11-30,12,1224,1,0.9500000000000001,0,0.31,21.84,58.59,United States,['United States'],left,185,72,False,11.62,7.94,68.52,4.12,58.93,0.29,0.4,0.37,5.88,7.97,0.44,0,0.0,0,0.0,3.46,0.07,1,0.07,0.07,1,0.07,14,1.03,35.71,7.143,0.0,2.43,21.21,2.43,21.21,0.0,0.0,0.37,4.63,53.97,7.28,51.52,1.76,2.21,1.03,21.62,2.43,1.1,32.28,67.43,15.59,60.85,4.12,94.64,25.81,76.35,4.26,36.21,21.66,37.79,0.02,0.29,0.0,0.07,0.37,20.0,0.15,5.88,48.75,1.8399999999999999,32.0,0.51,14.29,0.22,0.51,7.79,63.21,68.32,7.43,0,,0,,0,0.0,0.0,0.0,,,0.44,,4.12,0.0,0.0,0.0,0.0,0,0
C. Curti,Christian Curti,-237237,,Syracuse Orange,,,"LCB3, RB, CB",LCB3,24,RB,14,CB,11,,,0,,11,1152,0,2.16,1,0.51,19.77,58.1,Canada,['Canada'],,191,80,False,10.23,7.97,61.76,6.88,68.18,0.23,0.36,0.23,5.08,7.86,1.48,3,0.23,0,0.0,1.17,0.0,0,0.0,0.17,0,0.0,12,0.9400000000000001,25.0,0.0,0.08,0.9400000000000001,33.33,0.23,33.33,0.7000000000000001,33.33,0.08,0.9400000000000001,58.33,2.19,35.71,1.09,0.55,0.16,17.89,0.7000000000000001,0.23,33.98,74.48,16.64,69.48,3.83,93.88,29.14,79.89,3.98,45.1,18.79,30.71,0.04,0.23,0.0,0.0,0.08,100.0,0.16,6.33,67.9,0.9400000000000001,41.67,0.23,33.33,0.16,0.23,8.13,72.12,79.81,8.13,0,,0,,0,0.0,0.0,0.0,,,1.09,,6.88,0.0,0.0,0.0,0.0,0,0
R. Shealy,Russell Shealy,496455,,Syracuse Orange,,,GK,GK,100,,0,,0,26.0,1999-09-26,10000,,11,1152,0,0.0,0,0.0,0.31,75.0,United States,['United States'],,185,88,False,1.88,0.0,0.0,0.23,100.0,0.08,0.12,0.0,1.8,2.7800000000000002,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,0.0,18.2,72.96,13.44,64.53,0.0,0.0,8.13,94.23,10.0,56.25,38.89,49.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,46.81,0.31,0.0,0.16,0.0,0.0,0.0,7.8100000000000005,73.0,98.15,4.22,7,0.55,45,3.52,5,84.44,10.24,0.8,3.24,0.253,0.0,1.48,0.23,,,,0.0,0,0
H. Brown,Holden Brown,-150078,Indiana Hoosiers,Virginia Cavaliers,https://cdn5.wyscout.com/photos/team/public/g-2824_120x120.png,NCAA D1 Big Ten,GK,GK,100,,0,,0,24.0,2001-12-10,0,,10,1069,0,0.0,0,0.0,0.34,75.0,United States,['United States'],,195,86,False,1.85,0.0,0.0,0.34,75.0,0.0,0.0,0.0,1.85,2.52,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.74,0.08,0.08,11.28,68.66,7.75,57.61,0.08,100.0,4.8,100.0,6.48,45.45,37.29,44.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,26.09,0.0,0.0,0.0,0.0,0.0,0.0,3.96,70.21,92.31,3.2800000000000002,10,0.84,47,3.96,4,78.72,9.54,0.8,-0.46,-0.039,0.0,0.84,0.34,,,,0.0,0,0
M. Kappelsberger,Moritz Kappelsberger,495886,,Virginia Cavaliers,,,LCB3,LCB3,90,,0,,0,27.0,1999-01-26,0,,10,1069,0,0.32,0,0.0,13.89,59.39,Germany,['Germany'],,193,95,False,9.01,6.48,63.64,3.79,71.11,0.42,0.5700000000000001,0.51,4.46,6.07,0.93,4,0.34,0,0.0,0.67,0.0,0,0.0,0.03,0,0.0,3,0.25,33.33,0.0,0.0,0.34,50.0,0.34,50.0,0.0,0.0,0.0,0.42,100.0,1.6800000000000002,50.0,0.59,0.76,0.08,22.73,0.42,0.42,37.55,80.27,17.68,69.52,2.7800000000000002,96.97,31.66,86.97,5.64,44.78,20.86,39.61,0.0,0.0,0.0,0.08,0.08,0.0,0.0,6.99,66.27,0.59,42.86,0.17,50.0,0.17,0.0,8.92,73.58,90.38,13.13,0,,0,,0,0.0,0.0,0.0,,,0.93,,3.79,0.0,0.0,0.0,0.0,0,0
A. Salim,Abdi Muya Salim,508197,,Syracuse Orange,,,"RCB3, RCB",RCB3,65,RCB,29,,0,25.0,2001-04-01,0,,11,1068,0,1.65,0,0.0,15.59,63.24,Somalia,"['Somalia', 'United States']",right,185,79,False,8.85,4.89,56.9,6.07,77.78,0.51,0.77,0.76,5.5600000000000005,8.43,1.77,2,0.17,0,0.0,0.51,0.0,0,0.0,0.14,0,0.0,10,0.84,40.0,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.25,66.67,1.35,43.75,1.18,0.0,0.0,12.13,0.25,0.84,26.12,78.06,12.05,68.53,3.29,97.44,22.5,84.64,3.54,38.1,19.49,28.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,58.33,0.25,66.67,0.0,0.0,0.17,0.0,5.98,59.15,85.56,7.58,0,,0,,0,0.0,0.0,0.0,,,2.61,,6.07,0.0,0.0,0.0,0.0,0,0
A. Ueland,Andreas Ueland,441483,,Virginia Cavaliers,,,"RCB3, CB",RCB3,51,CB,38,,0,26.0,1999-08-23,0,,10,1063,2,1.8,0,0.26,16.68,56.35,Norway,['Norway'],,198,86,False,10.92,7.37,63.22,4.66,58.18,0.93,1.26,0.68,5.33,7.21,1.52,3,0.25,0,0.0,0.34,0.17,2,0.17,0.15,1,0.08,7,0.59,57.14,28.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,1.6099999999999999,31.58,0.76,1.19,0.08,27.26,0.25,0.34,44.45,83.62,19.73,72.1,2.88,100.0,37.17,90.66,7.28,47.67,23.37,37.68,0.02,0.08,0.0,0.0,0.0,0.0,0.08,6.1,63.89,0.42,40.0,0.17,100.0,0.08,0.0,9.06,66.36,92.38,18.88,0,,0,,0,0.0,0.0,0.0,,,1.8599999999999999,,4.66,0.0,0.0,0.0,0.0,0,0
P. Wiese,Paul Wiese,-44480,,Virginia Cavaliers,,,"RWB, RB5",RWB,74,RB5,16,,0,25.0,2000-08-28,0,,10,1062,0,0.87,2,2.12,16.86,49.25,Germany,['Germany'],right,176,68,False,10.59,9.32,57.27,1.69,80.0,0.08,0.11,0.25,5.17,7.01,1.44,4,0.34,0,0.0,2.37,0.0,0,0.0,0.07,0,0.0,6,0.51,0.0,0.0,0.17,3.47,29.27,0.08,100.0,3.31,25.64,0.68,2.03,45.83,4.49,26.42,0.51,0.76,0.59,22.8,2.71,0.25,32.54,77.08,10.76,69.29,7.63,95.56,24.83,87.71,4.75,53.57,20.49,38.63,0.18,1.6099999999999999,0.08,0.0,0.85,50.0,0.59,4.66,67.27,3.22,47.37,0.93,36.36,0.76,0.93,8.14,72.92,71.3,9.15,0,,0,,0,0.0,0.0,0.0,,,0.42,,1.69,1.02,0.08,0.0,1.53,0,0
D. Mangarov,Daniel Mangarov,497186,Chattanooga,Virginia Cavaliers,https://cdn5.wyscout.com/photos/team/public/g18884_120x120.png,MLS Next Pro,"AMF, RCMF3",AMF,73,RCMF3,10,,0,24.0,2002-03-10,0,2026-12-31,10,1058,1,1.5899999999999999,0,1.72,19.22,45.13,United States,['United States'],,170,63,False,6.29,6.04,57.75,2.64,35.48,0.17,0.23,0.26,2.64,3.55,0.6000000000000001,1,0.09,0,0.0,3.49,0.09,0,0.0,0.14,0,0.0,9,0.77,22.22,11.111,0.0,1.7000000000000002,35.0,1.11,23.08,0.51,66.67,0.0,3.4,62.5,8.42,42.42,1.45,1.19,0.43,23.39,0.68,1.45,33.94,75.94,12.84,64.24,5.7,92.54,29.35,82.32,2.89,35.29,16.38,35.05,0.15,1.28,0.26,0.17,1.79,33.33,0.68,5.7,59.7,3.06,55.56,1.45,11.76,1.11,0.68,6.04,70.42,85.26,8.08,0,,0,,0,0.0,0.0,0.0,,,0.09,,2.64,1.45,0.17,0.0,2.04,1,100
