Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Burns,Lukas Burns,511768,Brooklyn,Providence Friars,https://cdn5.wyscout.com/photos/team/public/g-25731_120x120.png,USL Championship,GK,GK,100,,0,,0,24.0,2002-05-14,0,2026-11-30,12,1277,0,0.0,0,0.0,0.7000000000000001,100.0,United States,['United States'],,195,82,False,1.06,0.07,100.0,0.42,100.0,0.0,0.0,0.0,0.99,1.28,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.19,0.07,0.14,14.73,92.82,8.18,87.07,0.0,0.0,9.73,97.83,5.0,83.1,27.67,42.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.95,82.14,100.0,5.14,14,0.99,44,3.1,4,68.18,11.16,0.79,-2.84,-0.2,0.0,1.48,0.42,,,,0.0,0,0.0
M. Duncan,Malcolm Duncan,-181845,,Providence Friars,,,RCB3,RCB3,100,,0,,0,26.0,1999-09-04,0,,12,1260,0,0.01,0,0.07,15.29,64.95,Canada,['Canada'],,180,82,False,10.57,7.07,74.75,2.36,66.67,1.29,1.6600000000000001,0.14,4.0,5.17,0.64,1,0.07,0,0.0,1.71,0.0,0,0.0,0.0,0,0.0,1,0.07,0.0,0.0,0.0,1.57,45.45,0.0,0.0,1.57,45.45,0.29,1.6400000000000001,60.87,2.86,57.5,0.07,1.9300000000000002,0.86,34.57,1.9300000000000002,0.5,49.79,81.49,23.64,70.39,4.71,95.45,40.36,89.2,8.0,49.11,21.16,38.77,0.01,0.21,0.0,0.07,0.14,0.0,0.0,9.36,63.36,2.0,50.0,0.36,0.0,0.43,0.86,12.64,79.66,92.27,15.71,0,,0,,0,0.0,0.0,0.0,,,0.5,,2.36,0.0,0.0,0.0,0.0,0,0.0
T. Visser,Tommy Visser,-181651,,Butler Bulldogs,,,"LB, LWB",LB,65,LWB,31,,0,25.0,2001-01-01,0,,12,1242,1,1.5899999999999999,2,0.86,23.41,53.56,United States,"['United States', 'Tanzania']",,183,79,False,8.55,6.52,56.67,4.71,61.54,0.0,0.0,0.36,4.86,5.63,0.22,2,0.14,0,0.0,4.71,0.07,1,0.07,0.12,0,0.0,14,1.01,35.71,7.143,0.14,3.12,20.93,3.12,20.93,0.0,0.0,0.51,4.93,69.12,8.91,53.66,1.23,3.48,1.81,22.97,1.09,1.16,37.32,72.43,16.16,69.06,4.28,88.14,31.01,80.61,3.48,43.75,19.7,38.96,0.06,0.58,0.0,0.07,0.51,57.14,0.22,5.51,72.37,3.26,28.89,0.29,25.0,0.8,0.58,9.57,66.67,73.21,12.17,0,,0,,0,0.0,0.0,0.0,,,0.22,,4.71,0.0,0.0,0.0,0.0,0,0.0
G. Gjergji,Gabriel Gjergji,-181563,,Butler Bulldogs,,,GK,GK,100,,0,,0,26.0,2000-01-01,0,,12,1242,0,0.0,0,0.0,0.9400000000000001,92.31,Italy,['Italy'],,185,84,False,1.23,0.0,0.0,0.87,91.67,0.0,0.0,0.0,1.23,1.43,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.13,0.14,0.22,16.59,82.53,9.42,73.08,0.0,0.0,9.06,96.8,7.39,66.67,34.22,48.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,64.0,0.0,0.0,0.07,0.0,0.07,0.0,5.8,77.5,97.75,6.45,12,0.87,56,4.06,4,78.57,13.08,0.9500000000000001,1.08,0.078,0.0,1.74,0.87,,,,0.0,0,0.0
W. Cabrera,Wilmer Cabrera,501251,Charleston Battery,Butler Bulldogs,https://cdn5.wyscout.com/photos/team/public/g3202_120x120.png,USL Championship,"AMF, CF",AMF,59,CF,39,,0,25.0,2000-07-29,125000,2027-11-30,12,1242,3,4.1,1,1.08,34.13,40.13,Colombia,"['Colombia', 'United States']",both,175,0,False,7.83,7.54,66.35,3.55,20.41,0.07,0.08,0.07,2.75,3.19,1.01,2,0.14,0,0.0,3.91,0.22,3,0.22,0.30000000000000004,0,0.0,36,2.61,33.33,8.333,0.07,1.01,42.86,0.43,33.33,0.51,57.14,0.0,5.72,41.77,15.87,34.7,2.39,2.1,2.83,16.01,1.96,2.68,28.48,74.81,7.97,55.45,6.88,91.58,26.59,77.11,0.87,41.67,14.13,16.27,0.08,1.23,0.0,0.07,0.87,25.0,0.43,2.9,60.0,1.81,44.0,0.9400000000000001,23.08,0.9400000000000001,0.36,3.55,65.31,79.59,7.1,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.55,0.22,0.14,0.0,0.07,0,0.0
S. Zawadzki,Sean Zawadzki,496359,Columbus Crew,Georgetown Hoyas,https://cdn5.wyscout.com/photos/team/public/685_120x120.png,MLS,"RCMF, RDMF",RCMF,68,RDMF,21,,0,26.0,2000-04-21,500000,2030-12-31,12,1233,0,0.79,0,0.84,17.52,55.83,United States,['United States'],right,175,73,False,11.31,6.13,63.1,3.7199999999999998,58.82,0.36,0.49,0.22,7.08,9.51,1.02,1,0.07,0,0.0,1.82,0.0,0,0.0,0.06,0,0.0,11,0.8,27.27,0.0,0.0,0.44,16.67,0.07,0.0,0.29,25.0,0.07,1.97,70.37,4.67,59.38,1.9,1.46,0.29,34.45,0.58,1.3900000000000001,51.61,83.03,16.06,73.18,6.2,92.94,47.3,86.11,3.94,51.85,18.21,34.72,0.06,0.88,0.0,0.0,0.44,33.33,0.15,9.71,70.68,1.17,56.25,0.44,16.67,0.58,0.07,8.39,74.78,87.81,20.36,0,,0,,0,0.0,0.0,0.0,,,0.36,,3.7199999999999998,0.0,0.0,0.0,0.0,0,0.0
A. Rocha,Aidan Rocha,488570,Colorado Springs,Georgetown Hoyas,https://cdn5.wyscout.com/photos/team/public/g32864_120x120.png,USL Championship,RB,RB,100,,0,,0,25.0,2000-12-25,0,2027-11-30,12,1226,1,0.65,0,0.35000000000000003,14.02,57.07,United States,['United States'],right,173,70,False,9.18,5.65,61.04,2.7199999999999998,62.16,0.81,1.09,0.07,4.92,6.66,0.88,1,0.07,0,0.0,1.62,0.07,1,0.07,0.05,0,0.0,8,0.59,25.0,12.5,0.0,1.69,34.78,0.22,33.33,1.47,35.0,0.22,1.54,57.14,2.86,51.28,0.88,1.62,0.37,48.74,0.66,0.44,65.77,83.71,34.06,78.45,3.96,90.74,55.2,91.49,9.1,44.35,20.31,40.71,0.03,0.51,0.0,0.07,0.29,0.0,0.07,16.44,78.13,3.16,41.86,1.1,33.33,0.66,0.59,17.84,81.07,89.25,20.48,0,,0,,0,0.0,0.0,0.0,,,0.22,,2.7199999999999998,0.0,0.0,0.0,0.0,0,0.0
K. Nielsen,Kenny Nielsen,-233866,,Georgetown Hoyas,,,"LCB, RCB",LCB,82,RCB,17,,0,,,0,,12,1188,1,0.1,0,0.13,10.08,62.41,United States,['United States'],unknown,178,77,False,7.12,4.47,69.49,2.73,63.89,0.15,0.21,0.45,3.86,5.24,0.38,0,0.0,0,0.0,0.38,0.08,1,0.08,0.01,0,0.0,1,0.08,100.0,100.0,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.61,50.0,1.21,31.25,0.45,1.3599999999999999,0.23,45.15,0.0,0.23,60.38,90.72,24.7,82.52,2.95,92.31,53.86,94.51,6.44,60.0,20.81,37.41,0.01,0.08,0.0,0.0,0.0,0.0,0.0,7.88,75.0,0.30000000000000004,75.0,0.15,0.0,0.23,0.0,10.53,80.58,97.83,27.95,0,,0,,0,0.0,0.0,0.0,,,1.29,,2.73,0.0,0.0,0.0,0.0,0,0.0
D. Polvara,Dante Polvara,507928,St. Louis City ,Georgetown Hoyas,https://cdn5.wyscout.com/photos/team/public/g-15451_120x120.png,MLS,"LCMF, LDMF, RCMF",LCMF,67,LDMF,21,RCMF,10,26.0,2000-06-21,0,2028-06-30,12,1180,2,4.55,1,1.02,24.41,55.0,United States,"['United States', 'Italy']",right,193,82,False,11.75,8.16,71.96,3.36,61.36,0.31,0.39,0.15,5.57,7.18,0.99,0,0.0,0,0.0,4.35,0.15,1,0.08,0.35000000000000003,0,0.0,43,3.2800000000000002,46.51,4.651,0.08,0.84,36.36,0.46,16.67,0.38,60.0,0.08,4.42,53.45,9.84,43.41,1.3,1.9100000000000001,0.53,50.42,0.23,1.07,66.97,84.28,22.81,72.91,9.99,93.89,57.43,88.18,8.69,63.16,19.27,40.42,0.08,0.76,0.0,0.08,0.84,18.18,0.46,13.81,75.14,3.74,53.06,1.83,45.83,1.75,0.31,13.04,79.53,90.3,25.17,0,,0,,0,0.0,0.0,0.0,,,0.08,,3.36,0.38,0.38,60.0,0.0,3,33.333
R. Qawasmy,Ramzi Qawasmy,483419,,Providence Friars,,,CB,CB,100,,0,,0,26.0,1999-11-30,0,,11,1178,0,0.17,0,0.35000000000000003,6.95,56.04,United States,['United States'],,183,84,False,5.65,2.06,74.07,2.22,58.62,0.23,0.30000000000000004,0.61,3.9,5.02,0.38,3,0.23,0,0.0,0.15,0.0,0,0.0,0.01,0,0.0,2,0.15,50.0,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.08,0.08,100.0,0.76,50.0,0.46,0.15,0.0,38.96,0.46,0.23,53.86,91.63,19.86,83.85,2.98,100.0,43.93,96.35,9.86,71.32,25.12,41.96,0.03,0.15,0.0,0.08,0.0,0.0,0.08,6.26,75.61,0.38,20.0,0.23,0.0,0.23,0.0,9.7,81.1,95.95,28.27,0,,0,,0,0.0,0.0,0.0,,,2.14,,2.22,0.53,0.08,100.0,0.0,0,0.0
