Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. Farrar,Charlie Farrar,-420701,Austin FC II,UNC Asheville Bulldogs,https://cdn5.wyscout.com/photos/team/public/g-18056_120x120.png,MLS Next Pro,GK,GK,100,,0,,0,22.0,2003-08-08,0,,9,977,0,0.0,0,0.0,1.38,73.33,England,['England'],,193,81,False,4.7,0.18,0.0,0.64,100.0,0.09,0.14,0.0,4.61,6.91,0.0,1,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,50.0,0.0,0.0,0.0,12.16,0.18,0.37,26.25,81.05,15.2,68.48,0.0,0.0,14.65,99.37,11.61,57.94,38.02,53.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.07,56.36,0.46,20.0,0.18,0.0,0.09,0.0,7.37,78.75,98.29,10.78,14,1.29,49,4.51,2,71.43,15.36,1.4100000000000001,1.3599999999999999,0.125,0.0,2.58,0.64,,,,0.0,0,0
F. Mcrobb,Finn Mcrobb,-218981,One Knoxville SC,High Point Panthers,https://cdn5.wyscout.com/photos/team/public/g-15173_120x120.png,USL League 1,"LCB, LCB3",LCB,68,LCB3,24,,0,24.0,2002-01-30,0,2026-11-30,9,956,2,1.8900000000000001,0,0.02,16.1,62.57,Scotland,['Scotland'],unknown,191,82,False,6.03,2.26,79.17,9.32,62.63,0.0,0.0,0.56,4.24,6.65,0.56,1,0.09,0,0.0,1.04,0.19,2,0.19,0.18,2,0.19,12,1.13,41.67,16.667,0.0,0.38,25.0,0.38,25.0,0.0,0.0,0.09,0.75,62.5,2.17,56.52,1.6,2.35,0.19,43.87,0.56,0.85,64.86,84.33,30.78,74.62,3.11,90.91,53.28,92.58,11.2,47.06,23.32,43.19,0.0,0.09,0.09,0.09,0.0,0.0,0.0,14.78,65.61,2.07,36.36,0.56,33.33,0.75,0.0,15.06,80.63,92.62,25.51,0,,0,,0,0.0,0.0,0.0,,,1.51,,9.32,0.09,0.0,0.0,0.0,0,0
G. Stidham,Griffin Russell Stidham,-239519,,UNC Asheville Bulldogs,,,"RCB, CB, LCB",RCB,43,CB,32,LCB,20,,,0,,9,938,0,0.14,1,0.61,11.9,57.26,United States,['United States'],unknown,188,82,False,8.73,5.85,68.85,3.07,43.75,0.29,0.43,0.58,4.41,6.63,1.15,2,0.19,0,0.0,0.1,0.0,0,0.0,0.01,0,0.0,1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,50.0,0.77,62.5,0.19,0.19,0.0,18.42,0.0,0.29,31.86,79.82,15.16,64.56,1.54,93.75,24.18,90.48,7.68,46.25,25.38,44.37,0.06,0.19,0.0,0.0,0.0,0.0,0.1,5.47,52.63,0.67,14.29,0.67,14.29,0.1,0.0,7.0,67.12,94.24,13.34,0,,0,,0,0.0,0.0,0.0,,,1.25,,3.07,0.0,0.0,0.0,0.0,0,0
B. Herb,Brendan Herb,512448,,UNC Asheville Bulldogs,,,"LCMF, LW, AMF",LCMF,30,LW,21,AMF,18,25.0,2001-04-03,0,,9,897,3,2.17,0,1.19,23.38,49.79,United States,['United States'],,180,75,False,9.83,8.33,61.45,5.12,52.94,0.4,0.56,0.0,4.31,6.03,1.51,1,0.1,0,0.0,1.71,0.30000000000000004,2,0.2,0.22,1,0.1,17,1.71,35.29,17.647,0.0,0.7000000000000001,28.57,0.2,0.0,0.5,40.0,0.0,1.81,44.44,7.12,30.99,1.4,2.01,0.30000000000000004,21.17,1.2,1.2,36.02,77.99,10.64,68.87,7.93,89.87,33.71,80.36,1.6099999999999999,50.0,17.59,37.69,0.12,1.51,0.0,0.2,0.2,50.0,0.4,5.52,70.91,2.01,50.0,0.6000000000000001,66.67,0.8,0.2,6.12,68.85,80.53,11.34,0,,0,,0,0.0,0.0,0.0,,,0.2,,5.12,0.5,0.2,0.0,1.2,1,100
S. Antwi,Seth Antwi,-211502,Birmingham Legion,High Point Panthers,https://cdn5.wyscout.com/photos/team/public/g-9614_120x120.png,USL Championship,"LDMF, RCMF, LCMF",LDMF,49,RCMF,23,LCMF,15,26.0,1999-11-09,0,2026-11-30,9,897,3,0.73,1,0.23,12.74,59.84,Ghana,['Ghana'],unknown,168,0,False,6.32,4.62,71.74,1.1,63.64,0.2,0.31,0.2,2.81,4.31,0.8,0,0.0,0,0.0,0.5,0.30000000000000004,3,0.30000000000000004,0.07,0,0.0,7,0.7000000000000001,57.14,42.857,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.5,20.0,4.01,50.0,0.30000000000000004,0.30000000000000004,0.0,31.3,0.1,1.3,47.66,89.89,9.93,78.79,10.94,95.41,45.75,91.45,1.81,55.56,17.46,27.22,0.02,0.4,0.0,0.0,0.1,0.0,0.1,4.92,79.59,0.8,75.0,0.2,0.0,0.5,0.0,4.52,68.89,94.18,18.96,0,,0,,0,0.0,0.0,0.0,,,0.8,,1.1,0.0,0.0,0.0,0.0,0,0
J. Amaya,Jefferson Amaya,-334541,Charlotte Independence,High Point Panthers,https://cdn5.wyscout.com/photos/team/public/g32863_120x120.png,USL League 1,"RDMF, LCMF, DMF",RDMF,47,LCMF,24,DMF,15,23.0,2003-06-14,0,2026-11-30,9,881,4,1.62,3,3.02,11.85,53.45,United States,['United States'],unknown,185,77,False,7.05,4.29,66.67,2.25,31.82,0.31,0.48,0.0,3.88,6.03,0.72,0,0.0,0,0.0,1.8399999999999999,0.41000000000000003,3,0.31,0.17,0,0.0,23,2.35,52.17,17.391,0.31,0.41000000000000003,25.0,0.2,0.0,0.2,50.0,0.1,0.51,60.0,3.27,46.88,0.1,0.51,0.0,39.02,0.31,0.92,55.68,81.47,17.47,59.06,6.03,98.31,44.64,89.93,10.62,48.08,23.16,39.76,0.31,2.76,0.0,0.0,0.2,100.0,0.0,11.65,65.79,1.8399999999999999,38.89,0.8200000000000001,25.0,0.72,0.1,9.5,76.34,89.8,26.05,0,,0,,0,0.0,0.0,0.0,,,0.8200000000000001,,2.25,3.06,0.72,71.43,5.21,1,100
K. Kendall,Karson Kendall,511237,,High Point Panthers,,,"RB, RCB3, RCB",RB,50,RCB3,25,RCB,15,26.0,2000-04-01,0,,9,861,0,0.30000000000000004,2,0.34,14.01,56.72,US Virgin Islands,"['US Virgin Islands', 'United States']",,191,87,False,7.94,5.75,60.0,5.33,64.71,0.21,0.30000000000000004,0.73,4.29,6.18,0.73,1,0.1,0,0.0,0.21,0.0,0,0.0,0.03,0,0.0,4,0.42,0.0,0.0,0.21,0.31,33.33,0.0,0.0,0.31,33.33,0.1,0.21,50.0,1.46,28.57,0.63,0.63,0.0,31.78,1.3599999999999999,0.31,46.72,81.88,24.67,75.42,4.29,95.12,39.41,87.27,7.0,53.73,20.6,38.02,0.04,0.21,0.0,0.0,0.0,0.0,0.21,9.2,64.77,0.9400000000000001,44.44,0.21,50.0,0.31,0.1,10.87,76.92,89.15,13.48,0,,0,,0,0.0,0.0,0.0,,,0.84,,5.33,0.0,0.0,0.0,0.0,0,0
M. Edmondson,Myles Edmondson,-141518,,UNC Asheville Bulldogs,,,"LB, LB5",LB,62,LB5,26,,0,24.0,2001-10-15,0,,9,825,0,0.07,1,0.84,16.47,53.64,England,['England'],,175,73,False,8.84,6.0,63.64,3.27,56.67,0.22,0.30000000000000004,0.0,4.8,6.53,0.98,1,0.11,0,0.0,2.51,0.0,0,0.0,0.01,0,0.0,3,0.33,0.0,0.0,0.11,2.73,32.0,2.62,33.33,0.11,0.0,0.44,2.84,57.69,5.02,50.0,0.44,1.75,0.33,21.05,2.29,0.55,32.4,64.65,14.62,52.99,4.58,85.71,27.16,71.08,2.84,34.62,19.74,47.04,0.09,0.65,0.0,0.11,0.0,0.0,0.22,7.42,55.88,3.16,24.14,0.44,0.0,0.33,0.76,10.04,66.3,70.27,8.07,0,,0,,0,0.0,0.0,0.0,,,0.33,,3.27,0.0,0.0,0.0,0.0,0,0
K. Ignacio,Kaya Ignacio,513401,,High Point Panthers,,,"LAMF, AMF, CF",LAMF,33,AMF,13,CF,13,24.0,2002-04-03,0,,9,761,1,2.5,1,1.97,27.67,42.74,United States,['United States'],,173,73,False,6.03,5.91,62.0,1.8900000000000001,43.75,0.59,0.81,0.0,1.77,2.43,1.06,0,0.0,0,0.0,3.31,0.12,1,0.12,0.30000000000000004,0,0.0,17,2.01,29.41,5.882,0.12,1.3,0.0,0.59,0.0,0.71,0.0,0.24,3.7800000000000002,56.25,16.08,33.82,3.43,1.18,0.59,24.01,1.42,1.8900000000000001,35.12,77.78,8.87,61.33,10.17,90.7,32.64,81.52,1.42,50.0,16.78,31.67,0.23,1.18,0.0,0.12,1.3,45.45,0.47000000000000003,3.43,68.97,2.6,27.27,1.18,40.0,1.06,0.12,3.43,72.41,75.34,8.63,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.8900000000000001,0.0,0.0,0.0,0.0,0,0
V. Ragnarsson,Vidar Mar Ragnarsson,-128183,Njardvík,UNC Asheville Bulldogs,https://cdn5.wyscout.com/photos/team/public/g2507_120x120.png,1. Deild,"LCB, LCB3",LCB,62,LCB3,30,,0,24.0,2002-04-15,0,,9,759,0,0.2,1,0.25,14.11,50.42,Iceland,['Iceland'],,186,86,False,9.25,5.57,59.57,3.79,40.63,0.12,0.15,0.71,5.8100000000000005,7.54,0.59,1,0.12,0,0.0,0.47000000000000003,0.0,0,0.0,0.02,0,0.0,2,0.24,0.0,0.0,0.12,0.24,50.0,0.24,50.0,0.0,0.0,0.0,0.47000000000000003,75.0,1.78,53.33,0.9500000000000001,0.71,0.0,26.44,0.36,0.47000000000000003,40.91,71.88,21.94,59.46,2.25,78.95,30.0,84.98,10.79,36.26,24.89,43.29,0.03,0.24,0.12,0.0,0.0,0.0,0.24,8.77,37.84,1.9,43.75,1.3,27.27,0.71,0.12,10.55,53.93,88.7,13.64,0,,0,,0,0.0,0.0,0.0,,,1.19,,3.79,0.24,0.0,0.0,0.0,0,0
