Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
H. Le Guennec,Hugo Le Guennec,-178871,,Rutgers Scarlet Knights,,,LCB,LCB,97,,0,,0,26.0,2000-02-10,0,,11,1182,2,0.86,0,0.06,21.62,63.38,France,"['France', 'United States']",,185,77,False,13.1,8.07,68.87,8.22,62.04,0.30000000000000004,0.4,0.6900000000000001,7.23,9.44,1.52,5,0.38,0,0.0,0.84,0.15,2,0.15,0.07,0,0.0,5,0.38,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6900000000000001,66.67,2.9699999999999998,53.85,0.61,1.07,0.0,37.31,0.53,0.6900000000000001,57.49,89.14,25.13,81.52,1.75,100.0,52.08,93.27,5.41,49.3,21.12,40.29,0.0,0.08,0.0,0.0,0.15,100.0,0.0,4.95,67.69,0.46,16.67,0.46,16.67,0.08,0.0,11.04,65.52,96.51,26.19,0,,0,,0,0.0,0.0,0.0,,,0.84,,8.22,0.0,0.0,0.0,0.0,0,0
M. Acosta,Matthew Acosta,511674,Chattanooga Red Wolves,Rutgers Scarlet Knights,https://cdn5.wyscout.com/photos/team/public/g-9620_120x120.png,USL League 1,"RDMF, LCMF, DMF",RDMF,51,LCMF,19,DMF,17,23.0,2002-11-14,0,2026-11-30,11,1156,2,0.71,1,0.54,14.87,58.64,United States,['United States'],,173,66,False,8.72,6.54,69.05,1.79,34.78,0.93,1.2,0.31,3.27,4.21,0.93,2,0.16,0,0.0,1.25,0.16,2,0.16,0.06,0,0.0,15,1.17,40.0,13.333,0.08,0.31,50.0,0.08,0.0,0.16,50.0,0.0,0.93,50.0,3.89,54.0,0.39,1.01,0.54,29.2,0.16,0.93,43.52,84.26,11.91,69.93,5.22,94.03,39.16,88.87,4.05,42.31,19.94,40.42,0.04,0.39,0.0,0.0,0.23,66.67,0.08,5.37,57.97,1.09,57.14,0.54,28.57,0.54,0.16,6.23,67.5,92.75,20.4,0,,0,,0,0.0,0.0,0.0,,,0.23,,1.79,0.08,0.0,0.0,0.0,0,0
C. Cruthers,Cole Cruthers,-345913,Portland Timbers II,Rutgers Scarlet Knights,https://cdn5.wyscout.com/photos/team/public/g13230_120x120.png,MLS Next Pro,"LDMF, RCMF",LDMF,54,RCMF,26,,0,22.0,2003-12-11,0,,11,1143,1,0.64,1,0.97,16.38,49.52,United States,['United States'],,173,63,False,8.11,7.01,53.93,2.91,29.73,0.16,0.2,0.16,4.17,5.26,0.71,0,0.0,0,0.0,1.26,0.08,0,0.0,0.05,0,0.0,9,0.71,11.11,0.0,0.08,0.24,33.33,0.0,0.0,0.16,50.0,0.08,1.8900000000000001,50.0,4.17,54.72,0.31,0.9400000000000001,0.31,26.69,0.08,0.71,37.95,82.37,12.44,68.99,5.98,92.11,34.17,85.71,3.54,53.33,18.85,37.62,0.08,0.71,0.0,0.08,0.39,40.0,0.16,5.91,76.0,0.79,40.0,0.63,37.5,0.47000000000000003,0.08,5.83,71.62,92.61,13.86,0,,0,,0,0.0,0.0,0.0,,,0.47000000000000003,,2.91,0.9400000000000001,0.08,0.0,1.1,0,0
J. Maher,Joey Maher,-238044,,Indiana Hoosiers,,,LCB,LCB,96,,0,,0,,,0,,11,1102,2,1.56,0,0.0,14.13,60.69,United States,['United States'],,188,73,False,9.56,6.04,66.22,5.47,56.72,0.49,0.73,0.5700000000000001,5.06,7.5600000000000005,0.25,1,0.08,0,0.0,0.65,0.16,2,0.16,0.13,1,0.08,8,0.65,75.0,25.0,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.08,0.16,100.0,0.41000000000000003,60.0,1.06,0.9,0.0,32.18,0.0,0.8200000000000001,52.35,90.17,17.15,78.57,2.45,100.0,47.12,94.11,5.15,55.56,22.06,34.79,0.0,0.0,0.0,0.0,0.0,0.0,0.08,4.0,65.31,0.25,0.0,0.0,0.0,0.0,0.08,7.11,67.82,96.7,29.73,0,,0,,0,0.0,0.0,0.0,,,2.12,,5.47,0.0,0.0,0.0,0.0,0,0
N. Sessock,Nykolas Sessock,490586,Las Vegas Lights,Indiana Hoosiers,https://cdn5.wyscout.com/photos/team/public/g-8190_120x120.png,USL Championship,"RB, LB",RB,76,LB,20,,0,26.0,2000-06-17,0,2026-11-30,11,1093,0,0.26,0,1.19,12.27,61.74,United States,['United States'],,170,68,False,7.82,5.35,66.15,1.81,63.64,0.0,0.0,0.33,4.28,6.24,0.33,2,0.16,0,0.0,2.22,0.0,0,0.0,0.02,0,0.0,3,0.25,66.67,0.0,0.0,3.46,26.19,0.58,14.29,2.88,28.57,0.49,1.15,85.71,3.29,55.0,0.74,2.06,0.66,33.6,2.14,0.74,46.85,81.02,17.62,72.9,7.0,98.82,38.95,88.37,4.78,56.9,20.26,35.89,0.1,1.15,0.25,0.0,0.25,66.67,0.58,7.0,81.18,3.62,47.73,0.66,37.5,1.07,0.91,11.03,76.87,82.11,15.65,0,,0,,0,0.0,0.0,0.0,,,1.32,,1.81,0.08,0.0,0.0,0.16,0,0
J. Zalinsky,Joey Zalinsky,521881,,Rutgers Scarlet Knights,,,RCB,RCB,97,,0,,0,23.0,2003-01-03,0,,10,1077,0,0.0,0,0.0,13.96,62.28,United States,['United States'],,178,77,False,9.53,6.35,75.0,3.18,55.26,0.17,0.22,0.67,4.6,5.94,0.75,2,0.17,0,0.0,0.33,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,100.0,1.5899999999999999,63.16,0.17,0.08,0.0,30.33,0.42,0.75,50.22,83.86,23.48,70.11,2.51,96.67,41.03,92.46,9.19,45.45,24.24,40.36,0.0,0.08,0.08,0.0,0.08,100.0,0.0,4.68,51.79,0.33,25.0,0.58,14.29,0.08,0.0,10.03,63.33,96.27,22.4,0,,0,,0,0.0,0.0,0.0,,,2.01,,3.18,0.0,0.0,0.0,0.0,0,0
MD Myers,Matthew Dyan Myers,-218983,Tampa Bay Rowdies,Rutgers Scarlet Knights,https://cdn5.wyscout.com/photos/team/public/g14861_120x120.png,USL Championship,CF,CF,94,,0,,0,25.0,2001-04-05,0,2026-11-30,11,1048,6,7.42,4,1.67,28.51,31.93,United States,['United States'],right,183,74,False,2.83,1.63,84.21,6.96,37.04,0.0,0.0,0.43,1.46,1.7000000000000002,0.9400000000000001,0,0.0,0,0.0,2.4,0.52,6,0.52,0.64,2,0.17,35,3.01,45.71,17.143,0.34,0.52,16.67,0.09,0.0,0.43,20.0,0.0,2.4,39.29,15.37,22.91,4.9,0.77,0.26,14.0,2.32,0.9400000000000001,23.96,74.19,4.21,55.1,6.78,82.28,23.1,75.46,0.43,60.0,13.65,21.3,0.14,1.2,0.09,0.09,0.34,0.0,0.6000000000000001,2.66,61.29,0.77,44.44,0.26,0.0,0.77,0.09,1.8900000000000001,59.09,80.52,6.61,0,,0,,0,0.0,0.0,0.0,,,0.0,,6.96,0.0,0.0,0.0,0.0,1,0
C. Rindov,Christopher Rindov,-178894,Los Angeles Galaxy,Maryland College Park Terrapins,https://cdn5.wyscout.com/photos/team/public/691_120x120.png,MLS,LCB,LCB,99,,0,,0,24.0,2001-10-08,0,2026-12-31,10,1036,1,0.9400000000000001,1,0.9500000000000001,19.37,69.06,United States,"['United States', 'Bulgaria']",right,188,86,False,11.81,5.73,78.79,10.16,68.38,0.17,0.28,0.78,7.12,11.34,0.87,1,0.09,0,0.0,0.78,0.09,1,0.09,0.08,1,0.09,6,0.52,33.33,16.667,0.09,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.78,77.78,1.04,58.33,0.61,0.43,0.0,33.53,0.35000000000000003,0.61,55.6,81.72,25.28,68.38,2.35,96.3,42.22,90.53,13.29,54.25,25.16,40.75,0.08,0.35000000000000003,0.0,0.0,0.0,0.0,0.17,8.6,53.54,1.22,21.43,0.43,40.0,0.35000000000000003,0.0,11.47,71.21,95.12,24.93,0,,0,,0,0.0,0.0,0.0,,,2.08,,10.16,0.09,0.0,0.0,0.0,0,0
N. Richardson,Nicholas  Richardson,-126108,Christos,Maryland College Park Terrapins,https://cdn5.wyscout.com/photos/team/public/g38743_120x120.png,,RB,RB,98,,0,,0,25.0,2000-10-18,0,,10,1036,2,0.66,1,1.2,21.37,55.69,United States,['United States'],,177,68,False,12.16,8.6,68.69,3.91,53.33,0.43,0.6900000000000001,0.35000000000000003,5.82,9.26,0.96,0,0.0,0,0.0,2.17,0.17,2,0.17,0.06,0,0.0,12,1.04,25.0,16.667,0.09,1.65,36.84,0.0,0.0,1.65,36.84,0.43,2.7800000000000002,46.88,6.43,43.24,1.22,1.56,0.35000000000000003,25.71,2.0,1.56,40.22,76.89,19.11,68.64,5.47,88.89,32.58,84.27,6.17,47.89,18.87,35.54,0.1,0.96,0.17,0.0,0.0,0.0,0.26,6.34,68.49,2.52,58.62,0.09,100.0,1.04,0.52,10.86,65.6,84.3,10.51,0,,0,,0,0.0,0.0,0.0,,,0.52,,3.91,0.0,0.0,0.0,0.0,0,0
W. Kulvik,William Kulvik,-274931,,Maryland College Park Terrapins,,,RCB,RCB,99,,0,,0,,,0,,10,1025,1,1.1400000000000001,0,0.23,15.19,61.27,Norway,['Norway'],unknown,185,75,False,8.87,5.44,69.35,3.69,64.29,0.7000000000000001,1.11,0.18,4.39,6.91,0.97,4,0.35000000000000003,0,0.0,0.88,0.09,1,0.09,0.1,0,0.0,3,0.26,33.33,33.333,0.0,0.18,50.0,0.09,100.0,0.09,0.0,0.09,1.1400000000000001,61.54,3.16,47.22,0.61,0.26,0.09,26.25,0.26,0.88,42.23,82.95,17.12,66.67,2.37,92.59,33.98,90.96,8.08,50.0,23.91,38.66,0.02,0.18,0.0,0.0,0.0,0.0,0.0,6.76,53.25,1.23,21.43,0.44,40.0,0.35000000000000003,0.09,7.55,68.6,95.59,19.93,0,,0,,0,0.0,0.0,0.0,,,1.58,,3.69,0.0,0.0,0.0,0.0,0,0
