Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
H. Davies,Henry Davies,-27792,,UC Santa Barbara Gauchos,,,"RCB, CB",RCB,74,CB,20,,0,27.0,1999-04-05,0,,11,1147,1,1.57,0,0.0,13.42,54.97,Australia,['Australia'],,185,77,False,8.4,5.41,60.87,4.0,39.22,0.24,0.37,0.78,4.86,7.69,0.47000000000000003,1,0.08,0,0.0,1.18,0.08,1,0.08,0.12,0,0.0,7,0.55,57.14,14.286,0.0,0.16,50.0,0.08,0.0,0.08,100.0,0.08,1.02,69.23,2.35,56.67,0.78,0.55,0.24,34.21,0.31,0.47000000000000003,57.83,87.65,26.99,80.23,2.35,96.67,48.73,94.2,8.95,52.63,23.57,41.3,0.0,0.0,0.08,0.0,0.08,100.0,0.0,9.81,66.4,0.63,25.0,0.31,0.0,0.08,0.08,13.03,80.72,95.19,24.48,0,,0,,0,0.0,0.0,0.0,,,1.88,,4.0,0.0,0.0,0.0,0.0,0,0
L. Zeller,Leroy Zeller,494813,,UC Santa Barbara Gauchos,,,GK,GK,100,,0,,0,25.0,2000-11-21,25000,,11,1147,0,0.0,0,0.0,1.1,92.86,Germany,['Germany'],,195,93,False,1.02,0.16,100.0,0.55,100.0,0.16,0.25,0.0,0.71,1.12,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,8.87,0.0,0.31,14.28,83.52,7.06,68.89,0.0,0.0,10.67,97.79,3.45,43.18,28.73,52.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,35.29,0.08,0.0,0.08,0.0,0.0,0.0,2.67,50.0,100.0,5.73,9,0.71,52,4.08,6,82.69,10.97,0.86,1.97,0.155,0.0,0.78,0.55,,,,0.0,0,0
T. Windisch,Timon Windisch,-45860,,UC Santa Barbara Gauchos,,,"LCB, LCB3",LCB,75,LCB3,20,,0,25.0,2000-08-14,0,,11,1147,0,0.15,0,0.45,15.85,61.39,Germany,['Germany'],,195,88,False,9.49,7.06,63.33,5.02,68.75,0.47000000000000003,0.74,0.9400000000000001,4.55,7.19,1.26,4,0.31,0,0.0,0.24,0.0,0,0.0,0.01,0,0.0,1,0.08,0.0,0.0,0.0,0.16,50.0,0.16,50.0,0.0,0.0,0.0,0.24,66.67,1.02,38.46,0.31,0.55,0.0,27.78,0.24,0.31,42.37,84.26,19.62,73.2,2.2800000000000002,93.1,33.11,93.13,9.1,52.59,24.43,37.38,0.03,0.08,0.0,0.0,0.0,0.0,0.0,6.98,74.16,0.55,28.57,0.24,33.33,0.08,0.08,10.44,71.43,95.52,17.5,0,,0,,0,0.0,0.0,0.0,,,1.57,,5.02,0.0,0.0,0.0,0.0,0,0
Carlos Gonzalez,Carlos Gonzalez,-222022,,UC Riverside Highlanders,,,GK,GK,100,,0,,0,,,0,,11,1125,0,0.0,0,0.0,0.8,100.0,United States,['United States'],unknown,186,93,False,1.6800000000000002,0.08,100.0,0.64,100.0,0.08,0.11,0.0,1.52,2.12,0.0,1,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.12,0.08,0.24,18.16,85.46,10.0,75.2,0.0,0.0,11.2,99.29,6.88,63.95,34.76,49.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,5.36,73.13,98.95,7.6,8,0.64,43,3.44,5,81.4,8.44,0.68,0.44,0.035,0.0,1.6800000000000002,0.64,,,,0.0,0,0
C. Wenzel,Cooper Wenzel,-221841,,CSUN Matadors,,,GK,GK,100,,0,,0,,,0,,11,1121,0,0.0,0,0.0,1.04,92.31,United States,['United States'],,188,86,False,2.25,0.08,100.0,0.8,100.0,0.0,0.0,0.0,2.17,2.98,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,3.69,0.0,0.16,11.8,89.12,5.22,80.0,0.0,0.0,9.07,94.69,2.73,70.59,30.43,46.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,75.86,97.18,5.7,14,1.12,58,4.66,5,75.86,16.39,1.32,2.39,0.192,0.0,1.45,0.8,,,,0.0,0,0
F. Ómarsson,Freymar Örn Ómarsson,423900,,UC Riverside Highlanders,,,"RCB3, RCB",RCB3,72,RCB,12,,0,27.0,1998-08-28,0,,11,1121,1,0.5700000000000001,0,0.09,11.96,63.09,Iceland,['Iceland'],,191,79,False,8.11,5.62,71.43,3.37,61.9,0.08,0.11,0.32,4.01,5.62,0.56,0,0.0,0,0.0,0.24,0.08,1,0.08,0.05,1,0.08,4,0.32,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,33.33,1.69,47.62,0.4,0.64,0.08,23.6,0.64,0.64,35.41,80.73,15.25,67.37,2.89,91.67,30.59,86.61,4.82,43.33,23.89,42.95,0.01,0.08,0.0,0.0,0.08,0.0,0.08,4.42,49.09,0.64,12.5,0.56,14.29,0.16,0.0,6.9,59.3,94.32,14.13,0,,0,,0,0.0,0.0,0.0,,,1.85,,3.37,0.0,0.0,0.0,0.0,0,0
B. Bustamante,Bryan Bustamante,507005,Central Valley Fuego,CSUN Matadors,https://cdn5.wyscout.com/photos/team/public/g-15170_120x120.png,,"LCB, CB",LCB,85,CB,10,,0,25.0,2001-01-21,0,,11,1117,0,0.26,0,0.0,11.68,62.07,United States,['United States'],,183,79,False,7.57,5.0,77.42,2.74,55.88,0.24,0.33,0.64,3.46,4.74,0.56,1,0.08,0,0.0,0.73,0.0,0,0.0,0.02,0,0.0,5,0.4,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.97,75.0,2.18,55.56,0.24,0.08,0.24,21.03,0.24,0.64,35.53,81.41,11.52,62.94,0.89,72.73,26.19,89.54,9.27,59.13,26.86,40.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.03,56.0,0.48,0.0,0.32,0.0,0.0,0.0,7.25,57.78,92.91,21.59,0,,0,,0,0.0,0.0,0.0,,,0.32,,2.74,0.0,0.0,0.0,0.0,0,0
C. Vom Steeg,Caden Vom Steeg,-278594,,UC Santa Barbara Gauchos,,,"RB, RCB3",RB,73,RCB3,21,,0,,,0,,11,1075,0,0.32,0,0.5,14.9,61.24,United States,['United States'],unknown,185,72,False,8.46,6.28,66.67,3.77,55.56,0.0,0.0,0.25,4.27,6.71,0.42,1,0.08,0,0.0,2.09,0.0,0,0.0,0.03,0,0.0,5,0.42,0.0,0.0,0.0,3.1,40.54,0.08,0.0,2.93,42.86,0.5,1.09,76.92,3.01,47.22,1.0,3.27,1.09,37.34,1.51,0.75,53.75,82.4,23.19,78.34,7.7,93.48,43.95,89.14,7.03,54.76,21.32,40.88,0.04,0.67,0.0,0.0,0.08,0.0,0.33,11.05,68.94,3.18,42.11,0.42,40.0,0.17,1.51,14.9,83.15,81.91,16.66,0,,0,,0,0.0,0.0,0.0,,,0.67,,3.77,0.08,0.0,0.0,0.17,0,0
F. Ballard-McBride,Finn Ballard-McBride,-221606,NWS Spirit,UC Santa Barbara Gauchos,https://cdn5.wyscout.com/photos/team/public/g-16418_120x120.png,New South Wales NPL,CF,CF,98,,0,,0,26.0,1999-12-17,0,,11,1070,10,6.97,0,0.25,28.09,30.24,Australia,['Australia'],unknown,180,77,False,2.69,3.95,46.81,6.22,22.97,0.08,0.12,0.0,0.76,1.12,2.1,0,0.0,0,0.0,3.45,0.84,8,0.67,0.59,1,0.08,22,1.85,68.18,45.455,0.0,1.09,30.77,0.34,50.0,0.76,22.22,0.34,3.87,43.48,13.29,26.58,3.87,1.18,0.5,12.45,2.52,0.93,18.0,78.04,4.21,78.0,4.04,85.42,16.82,81.5,0.08,0.0,13.59,0.21,0.02,0.5,0.08,0.0,0.42,40.0,0.17,0.93,90.91,1.18,57.14,0.25,66.67,0.93,0.42,1.43,70.59,64.0,4.21,0,,0,,0,0.0,0.0,0.0,,,0.0,,6.22,0.0,0.0,0.0,0.08,2,100
J. Kenworthy,Josh Kenworthy,-169606,,UC Irvine Anteaters,,,LCB,LCB,96,,0,,0,23.0,2002-12-12,0,,11,1069,0,0.36,0,0.02,8.17,56.7,United States,['United States'],,188,91,False,5.8100000000000005,3.62,62.79,2.27,59.26,0.0,0.0,0.42,3.54,5.41,0.42,0,0.0,0,0.0,0.08,0.0,0,0.0,0.03,0,0.0,3,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,50.0,0.84,30.0,0.51,0.51,0.0,27.95,0.17,0.0,41.17,86.71,15.15,72.22,1.85,90.91,34.6,93.19,6.57,52.56,23.98,41.14,0.0,0.17,0.0,0.0,0.0,0.0,0.08,4.8,66.67,0.17,50.0,0.25,0.0,0.17,0.0,6.31,66.67,95.8,22.06,0,,0,,0,0.0,0.0,0.0,,,1.26,,2.27,0.0,0.0,0.0,0.0,0,0
