Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
R. Sproat,Reid Davis Sproat,-179662,Fort Wayne,Oakland Golden Grizzlies,https://cdn5.wyscout.com/photos/team/public/g-13966_120x120.png,USL League 1,"RCB, RCB3",RCB,46,RCB3,45,,0,25.0,2001-05-30,0,2026-11-30,12,1254,2,1.5899999999999999,0,0.02,13.13,58.47,United States,['United States'],,189,84,False,10.26,5.6,67.95,2.51,48.57,0.29,0.38,1.0,6.17,8.11,0.5,1,0.07,0,0.0,0.5700000000000001,0.14,2,0.14,0.11,0,0.0,5,0.36,60.0,40.0,0.0,0.43,0.0,0.14,0.0,0.29,0.0,0.14,0.65,55.56,2.94,43.9,0.93,1.44,0.36,29.71,0.79,0.5,47.08,82.32,19.88,66.79,4.74,95.45,39.9,88.67,6.75,50.0,22.25,40.27,0.0,0.07,0.0,0.07,0.0,0.0,0.0,6.6,57.61,0.79,27.27,0.29,25.0,0.14,0.07,9.47,68.18,94.16,19.67,0,,0,,0,0.0,0.0,0.0,,,3.73,,2.51,0.0,0.0,0.0,0.0,0,0.0
A. Soerensen,Andreas Soerensen,-179770,,Milwaukee Panthers,,,RCB,RCB,99,,0,,0,28.0,1998-02-07,0,,12,1248,0,1.42,0,0.28,16.73,60.78,Denmark,['Denmark'],,185,81,False,9.09,6.71,75.27,4.62,51.56,0.29,0.42,0.58,3.75,5.4,0.65,3,0.22,0,0.0,0.58,0.0,0,0.0,0.1,0,0.0,11,0.79,36.36,0.0,0.0,0.07,100.0,0.07,100.0,0.0,0.0,0.0,0.58,37.5,1.5899999999999999,40.91,0.9400000000000001,1.15,0.14,29.35,0.36,0.87,45.22,87.24,17.38,72.61,2.02,96.43,39.01,93.53,6.13,47.06,23.3,40.34,0.02,0.14,0.0,0.07,0.0,0.0,0.07,4.33,45.0,0.36,40.0,0.07,0.0,0.07,0.07,8.94,66.94,97.25,23.58,0,,0,,0,0.0,0.0,0.0,,,1.73,,4.62,0.0,0.0,0.0,0.0,0,0.0
J. Kelderman,Jake Kelderman,-179751,,Milwaukee Panthers,,,LCB,LCB,99,,0,,0,27.0,1998-06-27,0,,12,1248,1,1.1400000000000001,0,0.02,16.3,50.88,United States,['United States'],,188,76,False,10.6,5.91,63.41,6.49,47.78,0.72,1.04,0.72,6.13,8.82,0.79,2,0.14,0,0.0,0.14,0.07,1,0.07,0.08,1,0.07,7,0.5,28.57,14.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,37.5,0.72,0.58,0.0,31.88,0.29,0.29,51.06,82.91,28.56,75.0,1.51,80.95,38.22,91.32,12.84,57.87,25.23,39.61,0.0,0.14,0.07,0.07,0.0,0.0,0.0,9.23,59.38,0.79,36.36,0.58,12.5,0.22,0.0,13.99,73.71,95.54,19.4,0,,0,,0,0.0,0.0,0.0,,,0.79,,6.49,0.0,0.0,0.0,0.0,0,0.0
N. Jensen,Noah Cristoffer Jensen,-179618,Forge,Oakland Golden Grizzlies,https://cdn5.wyscout.com/photos/team/public/g-10178_120x120.png,Canadian Premier League,"RCMF, RCMF3, AMF",RCMF,19,RCMF3,16,AMF,15,26.0,1999-07-20,0,,12,1232,6,3.5,4,2.87,21.26,48.11,Canada,['Canada'],,180,66,False,6.79,5.63,66.23,1.75,45.83,0.22,0.29,0.15,2.85,3.73,0.8,1,0.07,0,0.0,4.6,0.44,5,0.37,0.26,0,0.0,40,2.92,40.0,15.0,0.29,2.48,29.41,1.17,12.5,1.24,47.06,0.37,4.31,50.85,9.72,46.62,1.3900000000000001,1.53,0.66,30.39,1.31,1.6800000000000002,42.0,72.0,19.36,62.26,4.16,91.23,35.14,78.79,4.6,41.27,19.7,37.97,0.21,2.12,0.07,0.0,2.34,21.88,0.29,8.77,61.67,4.09,37.5,3.43,23.4,1.31,0.66,9.86,80.0,80.7,12.49,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.75,3.07,0.44,16.67,4.53,2,50.0
R. Medina,Raúl Medina Castelló,-236969,,Milwaukee Panthers,,,LB,LB,99,,0,,0,25.0,2001-01-12,0,,12,1231,2,1.16,1,2.1,22.23,57.57,Spain,['Spain'],,175,73,False,11.92,10.24,62.86,3.51,50.0,0.0,0.0,0.15,5.48,7.87,1.17,3,0.22,0,0.0,4.75,0.15,1,0.07,0.08,0,0.0,14,1.02,50.0,14.286,0.07,4.17,40.35,4.09,39.29,0.0,0.0,0.44,3.51,72.92,6.29,56.98,1.6099999999999999,2.63,0.8,28.73,1.32,1.02,44.67,73.49,19.16,67.94,5.63,90.91,33.12,81.68,7.53,55.34,21.6,35.6,0.15,0.88,0.0,0.0,0.15,0.0,0.51,8.7,63.87,3.0,31.71,0.44,16.67,0.44,1.6099999999999999,12.65,73.41,75.42,13.09,0,,0,,0,0.0,0.0,0.0,,,0.22,,3.51,0.44,0.0,0.0,0.0,1,100.0
A. Vasquez,Andres Vasquez,-179611,,UIC Flames,,,GK,GK,100,,0,,0,26.0,2000-01-01,0,,12,1230,0,0.0,0,0.0,1.32,88.89,United States,['United States'],,183,76,False,2.34,0.15,50.0,0.9500000000000001,92.31,0.07,0.11,0.07,2.2,3.17,0.07,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.0,0.0,0.0,5.12,0.0,0.22,13.9,88.95,6.59,80.0,0.0,0.0,10.39,97.89,3.51,62.5,28.43,46.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,80.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07,66.67,96.63,6.51,15,1.1,66,4.83,4,77.27,18.2,1.33,3.2,0.234,0.0,1.9,0.9500000000000001,,,,0.0,0,0.0
M. Sonnenberg,Micah Paul Sonnenberg,-179660,,Oakland Golden Grizzlies,,,"LCB3, LB, RB",LCB3,42,LB,23,RB,23,25.0,2000-11-09,0,,12,1224,0,0.5,0,0.17,16.69,53.74,United States,['United States'],,175,68,False,10.22,8.24,59.82,2.87,58.97,0.29,0.39,0.37,5.0,6.58,0.59,1,0.07,0,0.0,1.25,0.0,0,0.0,0.04,0,0.0,3,0.22,66.67,0.0,0.0,0.81,18.18,0.37,20.0,0.44,16.67,0.15,1.9100000000000001,42.31,3.46,40.43,0.22,2.7199999999999998,1.25,26.4,1.18,0.44,43.16,80.07,19.34,69.58,6.69,96.7,36.4,87.07,5.96,45.68,19.79,36.27,0.01,0.15,0.0,0.07,0.29,50.0,0.0,7.35,62.0,1.69,17.39,0.81,45.45,0.07,0.22,10.96,72.48,84.85,12.13,0,,0,,0,0.0,0.0,0.0,,,1.1,,2.87,0.0,0.0,0.0,0.07,0,0.0
A. Nguyen,Aaron Nguyen,507752,Chicago House,UIC Flames,https://cdn5.wyscout.com/photos/team/public/g-14389_120x120.png,,"DMF, RCMF, LCMF",DMF,52,RCMF,21,LCMF,18,26.0,2000-04-14,0,,12,1212,0,0.25,0,0.06,17.67,55.46,United States,['United States'],,180,70,False,9.36,7.95,62.62,4.08,54.55,0.52,0.74,0.15,3.86,5.49,1.4100000000000001,3,0.22,0,0.0,0.59,0.0,0,0.0,0.02,0,0.0,11,0.8200000000000001,27.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,71.43,2.23,46.67,0.30000000000000004,0.30000000000000004,0.07,22.05,0.15,0.59,36.46,80.04,12.7,67.84,3.42,91.3,31.41,84.4,5.05,52.94,19.9,34.6,0.0,0.30000000000000004,0.0,0.15,0.07,0.0,0.0,6.83,63.04,1.19,50.0,0.37,40.0,0.45,0.0,7.2,62.89,87.68,15.67,0,,0,,0,0.0,0.0,0.0,,,0.37,,4.08,0.07,0.0,0.0,0.0,0,0.0
E. Garcia,Eduardo Garcia,489918,,UIC Flames,,,"RWB, RB",RWB,64,RB,18,,0,26.0,1999-09-08,0,,12,1201,1,1.74,2,1.96,21.66,53.29,United States,['United States'],,186,71,False,9.97,7.04,67.02,3.67,59.18,0.67,0.9500000000000001,0.07,4.57,6.44,1.5,1,0.07,0,0.0,4.72,0.07,1,0.07,0.13,0,0.0,28,2.1,35.71,3.571,0.15,4.42,32.2,0.07,100.0,4.35,31.03,0.75,4.05,62.96,7.42,49.49,2.02,3.07,1.12,31.62,1.8,0.97,46.99,70.33,20.68,62.68,4.05,94.44,34.85,82.15,8.09,39.81,21.64,39.63,0.15,1.42,0.0,0.0,0.07,0.0,0.52,9.89,61.36,4.57,40.98,0.97,23.08,0.8200000000000001,1.42,13.86,78.92,74.51,15.29,0,,0,,0,0.0,0.0,0.0,,,0.22,,3.67,0.15,0.07,0.0,0.0,0,0.0
J. Kliewer,Jonathan Kliewer,-236818,Athletic Club Boise,Detroit Mercy Titans,https://cdn5.wyscout.com/photos/team/public/g-25769_120x120.png,USL League 1,GK,GK,100,,0,,0,24.0,2001-09-23,0,,11,1164,0,0.0,0,0.0,1.08,92.86,United States,['United States'],,193,97,False,2.09,0.15,50.0,0.85,100.0,0.0,0.0,0.08,2.01,2.24,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5600000000000005,0.46,0.0,16.24,70.95,12.99,67.86,0.0,0.0,5.88,93.42,10.21,59.09,45.68,53.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.41,52.86,0.0,0.0,0.0,0.0,0.0,0.0,7.11,83.7,87.18,3.02,10,0.77,54,4.18,5,81.48,11.69,0.9,1.69,0.131,0.0,2.94,0.85,,,,0.0,0,0.0
