Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Penn-Kekana,Mothibi Penn-Kekana,-277974,,Dartmouth Big Green,,,RCB,RCB,100,,0,,0,,,0,,7,780,0,0.44,0,0.0,16.04,59.71,England,['England'],unknown,0,0,False,9.23,7.62,62.12,4.96,67.44,0.6900000000000001,1.09,0.6900000000000001,3.81,6.0,0.92,1,0.12,0,0.0,0.58,0.0,0,0.0,0.05,0,0.0,3,0.35000000000000003,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.46,100.0,1.27,54.55,0.58,0.6900000000000001,0.23,17.42,0.23,0.35000000000000003,30.92,79.1,14.31,64.52,1.5,84.62,22.62,87.24,8.19,57.75,24.39,34.53,0.0,0.0,0.0,0.0,0.12,100.0,0.0,6.0,67.31,0.35000000000000003,0.0,0.58,20.0,0.23,0.0,8.54,71.62,95.69,13.38,0,,0,,0,0.0,0.0,0.0,,,1.15,,4.96,0.0,0.0,0.0,0.0,0,0
L. Weisdorf,Louis Weisdorf,-277948,,Dartmouth Big Green,,,LB,LB,100,,0,,0,,,0,,7,772,0,0.01,1,2.09,23.67,44.83,Denmark,['Denmark'],unknown,183,79,False,10.03,8.51,63.01,3.03,46.15,0.23,0.36,0.0,4.43,6.91,1.52,0,0.0,0,0.0,4.2,0.0,0,0.0,0.0,0,0.0,2,0.23,0.0,0.0,0.12,4.08,45.71,3.73,40.63,0.12,100.0,0.7000000000000001,5.25,40.0,7.69,36.36,0.23,1.63,0.58,27.05,1.63,2.1,38.47,76.36,14.69,61.11,6.41,100.0,27.51,87.71,6.88,49.15,19.88,33.93,0.24,2.1,0.0,0.0,0.23,100.0,0.35000000000000003,5.71,57.14,5.13,47.73,1.17,40.0,0.8200000000000001,1.87,10.03,72.09,79.63,12.59,0,,0,,0,0.0,0.0,0.0,,,0.35000000000000003,,3.03,5.01,0.12,0.0,2.91,0,0
A. Stevens,Andrew   Stevens,-280695,,Columbia Lions,,,"LCB, LDMF, DMF",LCB,41,LDMF,21,DMF,18,,,0,,7,769,0,0.17,0,0.0,27.97,53.14,United States,['United States'],unknown,188,86,False,14.98,11.0,62.77,10.42,48.31,0.47000000000000003,0.54,0.35000000000000003,7.61,8.78,2.81,1,0.12,0,0.0,0.12,0.0,0,0.0,0.02,0,0.0,3,0.35000000000000003,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,1.52,38.46,0.47000000000000003,0.12,0.12,16.15,0.7000000000000001,0.7000000000000001,33.82,61.94,17.91,48.37,2.5700000000000003,77.27,21.77,74.73,12.05,38.83,25.89,40.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.65,47.25,1.76,20.0,1.05,11.11,0.35000000000000003,0.0,9.95,61.18,80.9,10.42,0,,0,,0,0.0,0.0,0.0,,,0.47000000000000003,,10.42,0.12,0.12,100.0,0.0,0,0
O. Yahalom,Ohad Yahalom,499002,,Dartmouth Big Green,,,"DMF, LDMF",DMF,80,LDMF,11,,0,26.0,2000-02-23,0,,7,764,1,0.8,0,0.17,26.62,54.42,Israel,['Israel'],,0,0,False,8.36,8.36,61.97,7.42,52.38,0.0,0.0,0.24,3.18,5.0,0.8200000000000001,0,0.0,0,0.0,1.77,0.12,1,0.12,0.09,1,0.12,6,0.71,50.0,16.667,0.0,0.71,33.33,0.24,0.0,0.47000000000000003,50.0,0.12,2.24,52.63,6.6,55.36,0.9400000000000001,0.9400000000000001,0.35000000000000003,21.2,0.12,1.4100000000000001,37.58,76.18,14.84,65.08,2.47,90.48,30.51,81.85,6.36,53.7,20.68,36.11,0.02,0.59,0.0,0.0,0.0,0.0,0.24,7.66,66.15,1.4100000000000001,58.33,0.47000000000000003,25.0,0.35000000000000003,0.24,6.48,72.73,88.06,15.79,0,,0,,0,0.0,0.0,0.0,,,0.0,,7.42,0.0,0.0,0.0,0.0,0,0
T. Presthus,Thomas John Presthus,-137453,Hartford Athletic,Yale Bulldogs,https://cdn5.wyscout.com/photos/team/public/g-9587_120x120.png,USL Championship,"LCB, LCB3",LCB,85,LCB3,13,,0,23.0,2003-02-13,0,2026-11-30,7,759,0,0.25,0,0.07,12.81,62.96,United States,['United States'],,0,0,False,9.49,5.8100000000000005,69.39,2.49,61.9,0.0,0.0,0.8300000000000001,5.45,7.01,0.71,0,0.0,0,0.0,0.24,0.0,0,0.0,0.03,0,0.0,2,0.24,50.0,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.36,33.33,1.6600000000000001,35.71,0.59,0.12,0.0,13.75,0.47000000000000003,0.47000000000000003,25.73,78.8,12.21,66.99,1.19,100.0,18.85,88.68,6.76,52.63,22.89,33.17,0.01,0.12,0.0,0.0,0.0,0.0,0.0,4.27,50.0,0.36,66.67,0.47000000000000003,0.0,0.47000000000000003,0.0,6.28,62.26,90.7,10.2,0,,0,,0,0.0,0.0,0.0,,,0.71,,2.49,0.12,0.0,0.0,0.0,0,0
J. Schaffer,Jacob Schaffer,508187,,Yale Bulldogs,,,"RB, RCB3",RB,85,RCB3,14,,0,25.0,2001-06-09,0,,7,759,0,0.13,0,0.03,16.72,53.19,United States,['United States'],,0,0,False,9.72,7.47,66.67,1.6600000000000001,28.57,0.0,0.0,0.24,4.74,6.09,0.8300000000000001,1,0.12,0,0.0,2.61,0.0,0,0.0,0.02,0,0.0,2,0.24,50.0,0.0,0.0,1.6600000000000001,42.86,0.0,0.0,1.6600000000000001,42.86,0.36,2.73,65.22,5.45,45.65,0.59,1.19,0.47000000000000003,26.56,0.59,0.59,42.33,71.15,24.31,66.83,1.9,62.5,31.19,79.85,9.49,47.5,19.93,34.36,0.0,0.12,0.0,0.0,0.12,0.0,0.0,9.13,70.13,2.61,54.55,0.47000000000000003,50.0,0.8300000000000001,0.59,13.28,68.75,84.44,10.67,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.6600000000000001,0.24,0.0,0.0,0.0,0,0
E. Haddock,Elian Haddock,-277967,,Yale Bulldogs,,,GK,GK,100,,0,,0,,,0,,7,759,0,0.0,0,0.0,0.71,100.0,United States,['United States'],unknown,193,88,False,2.13,0.0,0.0,0.47000000000000003,100.0,0.0,0.0,0.0,2.13,2.74,0.0,0,0.0,0,0.0,0.12,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0,0.24,100.0,0.0,0.0,0.0,2.49,0.0,0.24,10.2,83.72,6.05,76.47,0.0,0.0,5.1,95.35,5.1,72.09,35.98,40.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,60.0,0.12,0.0,0.0,0.0,0.0,0.0,4.39,81.08,94.29,4.15,3,0.36,27,3.2,4,88.89,5.28,0.63,2.2800000000000002,0.27,0.0,2.13,0.47000000000000003,,,,0.0,0,0
J. Schaffer,Jake Schaffer,-291325,Yale Bulldogs,Yale Bulldogs,https://cdn5.wyscout.com/photos/team/public/g-3009_120x120.png,Ivy League,"RB, RCB3",RB,85,RCB3,14,,0,,,0,,7,759,0,0.13,0,0.03,16.72,53.19,United States,['United States'],,0,0,False,9.72,7.47,66.67,1.6600000000000001,28.57,0.0,0.0,0.24,4.74,6.06,0.8300000000000001,1,0.12,0,0.0,2.61,0.0,0,0.0,0.02,0,0.0,2,0.24,50.0,0.0,0.0,1.6600000000000001,42.86,0.0,0.0,1.6600000000000001,42.86,0.36,2.73,65.22,5.45,45.65,0.59,1.19,0.47000000000000003,26.56,0.59,0.59,42.33,71.15,24.31,66.83,1.9,62.5,31.19,79.85,9.49,47.5,19.93,34.36,0.0,0.12,0.0,0.0,0.12,0.0,0.0,9.13,70.13,2.61,54.55,0.47000000000000003,50.0,0.8300000000000001,0.59,13.28,68.75,84.44,10.67,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.6600000000000001,0.24,0.0,0.0,0.0,0,0
L. Burney,Leo Phillips Burney,487895,Drogheda United,Penn Quakers,https://cdn5.wyscout.com/photos/team/public/2571_120x120.png,Premier Division,LCB,LCB,99,,0,,0,24.0,2001-11-02,0,2026-11-30,7,755,1,0.71,0,0.0,13.71,60.0,United States,['United States'],right,192,75,False,9.18,4.53,73.68,5.48,63.04,0.24,0.31,1.19,5.6,7.19,0.72,2,0.24,0,0.0,0.48,0.12,1,0.12,0.08,1,0.12,5,0.6000000000000001,40.0,20.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.6000000000000001,40.0,1.67,21.43,1.31,0.6000000000000001,0.0,18.0,0.48,0.36,31.95,83.21,14.42,73.55,1.31,90.91,26.82,89.33,5.01,52.38,22.17,39.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,54.84,0.72,33.33,0.36,0.0,0.36,0.0,5.84,63.27,93.97,13.83,0,,0,,0,0.0,0.0,0.0,,,0.48,,5.48,0.0,0.0,0.0,0.0,0,0
J. Haddock,Jeremy Haddock,-277973,,Yale Bulldogs,,,"RCB, CB",RCB,86,CB,13,,0,26.0,1999-06-25,0,,7,755,0,0.11,1,1.19,17.28,62.76,United States,['United States'],unknown,193,90,False,9.66,5.13,65.12,8.58,75.0,0.12,0.15,1.31,6.2,7.96,1.43,3,0.36,0,0.0,0.0,0.0,0,0.0,0.01,0,0.0,2,0.24,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.48,0.0,0.0,10.01,0.24,0.36,22.29,73.26,10.37,62.07,0.0,0.0,18.12,76.32,4.17,60.0,21.03,31.77,0.14,0.24,0.0,0.0,0.0,0.0,0.12,1.9100000000000001,62.5,0.12,100.0,0.0,0.0,0.24,0.0,5.84,40.82,83.95,9.66,0,,0,,0,0.0,0.0,0.0,,,0.0,,8.58,0.0,0.0,0.0,0.0,0,0
