Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Blondeau,Malo Blondeau,-170954,Manhattan Jaspers,Manhattan Jaspers,https://cdn5.wyscout.com/photos/team/public/g-3000_120x120.png,NCAA D1 Metro Atlantic Athletic Conference,RCB,RCB,91,,0,,0,,,0,,12,1236,1,1.02,0,0.05,13.03,65.92,France,['France'],,185,88,False,11.43,4.95,70.59,5.46,65.33,0.29,0.39,0.87,7.65,10.36,0.87,1,0.07,0,0.0,0.15,0.07,1,0.07,0.07,0,0.0,6,0.44,33.33,16.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.73,60.0,0.51,0.29,0.07,20.1,0.22,0.44,35.02,83.37,15.22,71.77,0.87,83.33,28.11,90.67,6.92,53.68,23.89,35.69,0.0,0.07,0.0,0.0,0.0,0.0,0.0,4.3,57.63,0.36,20.0,0.0,0.0,0.0,0.0,7.28,64.0,96.02,16.46,0,,0,,0,0.0,0.0,0.0,,,0.44,,5.46,0.0,0.0,0.0,0.0,0,0.0
T. Fillaudeau,Tom Fillaudeau,-133611,Georgia State Panthers,Iona Gaels,https://cdn5.wyscout.com/photos/team/public/g-2970_120x120.png,NCAA D1 Sun Belt,"RCB, RCB3",RCB,80,RCB3,17,,0,24.0,2002-01-01,0,,12,1228,0,0.29,0,0.12,14.95,67.65,France,['France'],,185,77,False,8.28,5.06,68.12,4.62,74.6,0.22,0.31,0.66,4.62,6.5600000000000005,0.73,1,0.07,0,0.0,1.1,0.0,0,0.0,0.02,0,0.0,3,0.22,0.0,0.0,0.0,0.29,0.0,0.07,0.0,0.22,0.0,0.0,1.17,75.0,2.79,63.16,0.22,2.35,0.15,46.91,0.15,1.47,63.47,88.45,21.77,77.44,3.74,92.16,53.79,93.87,9.38,60.16,24.23,39.42,0.01,0.15,0.07,0.0,0.22,100.0,0.0,8.43,66.09,1.25,29.41,1.03,21.43,0.29,0.0,11.36,76.13,95.34,34.59,0,,0,,0,0.0,0.0,0.0,,,2.79,,4.62,0.0,0.0,0.0,0.0,0,0.0
N. Akki,Nassim Akki,-358285,Manhattan Jaspers,Manhattan Jaspers,https://cdn5.wyscout.com/photos/team/public/g-3000_120x120.png,NCAA D1 Metro Atlantic Athletic Conference,LCB,LCB,89,,0,,0,24.0,2002-03-22,0,,12,1184,1,0.89,0,0.32,20.07,57.95,France,['France'],unknown,0,0,False,11.63,5.85,74.03,3.95,55.77,0.08,0.1,0.38,7.22,9.86,0.68,1,0.08,0,0.0,2.2800000000000002,0.08,1,0.08,0.07,1,0.08,9,0.68,44.44,11.111,0.0,0.30000000000000004,25.0,0.23,0.0,0.08,100.0,0.0,3.88,49.02,8.06,47.17,0.46,2.43,0.30000000000000004,27.36,0.61,1.9,44.16,78.14,22.73,66.22,1.75,95.65,31.24,89.05,12.62,52.41,25.89,40.42,0.02,0.15,0.0,0.0,0.08,0.0,0.08,10.03,51.52,1.22,31.25,0.84,18.18,0.30000000000000004,0.08,11.33,71.14,91.56,17.1,0,,0,,0,0.0,0.0,0.0,,,0.53,,3.95,0.15,0.15,50.0,0.0,0,0.0
E. Sanneh,Ensa  Sanneh,-358378,,Manhattan Jaspers,,,"LB, LDMF",LB,62,LDMF,23,,0,,,0,,12,1169,1,0.21,1,0.48,20.48,55.64,United States,['United States'],unknown,168,67,False,13.24,8.93,69.83,3.39,54.55,1.0,1.35,0.62,6.01,8.13,0.85,4,0.31,0,0.0,1.31,0.08,1,0.08,0.02,0,0.0,9,0.6900000000000001,11.11,11.111,0.08,1.85,20.83,1.69,22.73,0.15,0.0,0.23,1.23,68.75,5.08,40.91,0.23,1.0,0.08,18.71,0.6900000000000001,1.23,35.65,76.67,14.47,64.36,4.31,94.64,27.64,84.4,6.47,57.14,21.63,38.97,0.04,0.23,0.0,0.08,0.0,0.0,0.31,7.54,66.33,2.08,33.33,0.6900000000000001,44.44,0.38,0.38,9.85,73.44,81.53,12.09,0,,0,,0,0.0,0.0,0.0,,,0.46,,3.39,0.0,0.0,0.0,0.0,0,0.0
L. Bulfon,Luca Bulfon,-88160,,Marist Red Foxes,,,GK,GK,100,,0,,0,26.0,2000-01-01,0,,11,1146,0,0.0,0,0.0,0.24,33.33,Italy,['Italy'],,188,74,False,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,3.8200000000000003,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,6.6,0.0,0.0,14.92,85.26,7.07,71.11,0.0,0.0,10.21,98.46,4.71,56.67,28.91,40.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,54.55,0.16,0.0,0.08,100.0,0.0,0.0,3.22,65.85,97.83,7.23,16,1.26,40,3.14,2,60.0,13.23,1.04,-2.77,-0.218,0.0,0.55,0.0,,,,0.0,0,0.0
N. Boyce,Noah Boyce,-215732,Wellington Olympic,Manhattan Jaspers,https://cdn5.wyscout.com/photos/team/public/g24411_120x120.png,National League,"RB, LB",RB,49,LB,37,,0,23.0,2002-08-25,0,,11,1140,0,0.2,0,0.47000000000000003,17.84,51.77,New Zealand,['New Zealand'],,178,78,False,10.18,7.34,65.59,3.24,60.98,0.24,0.32,0.32,5.13,6.91,0.55,1,0.08,0,0.0,2.21,0.0,0,0.0,0.02,0,0.0,5,0.39,20.0,0.0,0.0,2.37,40.0,1.11,35.71,1.18,46.67,0.24,2.76,40.0,5.92,33.33,0.47000000000000003,1.42,0.24,24.71,1.82,0.63,35.76,77.04,17.05,71.76,3.32,85.71,30.32,83.07,3.24,46.34,19.22,36.92,0.04,0.32,0.0,0.0,0.24,33.33,0.08,7.18,71.43,2.21,50.0,0.32,50.0,0.24,0.9500000000000001,10.89,73.91,83.94,10.82,0,,0,,0,0.0,0.0,0.0,,,0.16,,3.24,0.0,0.0,0.0,0.0,0,0.0
T. Timchenko,Tim Timchenko,-279192,,Iona Gaels,,,"LCB, LCB3",LCB,85,LCB3,12,,0,,,0,,12,1130,0,0.46,0,0.0,10.35,61.54,Ukraine,['Ukraine'],unknown,189,79,False,7.09,3.66,80.43,4.62,53.45,0.08,0.12,0.48,4.06,6.0,0.0,1,0.08,0,0.0,0.48,0.0,0,0.0,0.04,0,0.0,3,0.24,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,83.33,0.88,54.55,0.32,0.72,0.0,45.24,0.64,0.08,60.85,86.13,23.73,67.11,5.8100000000000005,95.89,49.22,92.23,11.63,60.27,22.28,36.39,0.0,0.08,0.0,0.0,0.0,0.0,0.0,9.64,61.98,1.04,23.08,1.04,23.08,0.24,0.0,13.22,77.71,98.86,28.04,0,,0,,0,0.0,0.0,0.0,,,4.22,,4.62,0.08,0.08,100.0,0.0,0,0.0
S. Rojek,Sebastian Rojek,-212332,Lansdowne Yonkers,Rider Broncs,https://cdn5.wyscout.com/photos/team/public/g36201_120x120.png,,LCB,LCB,90,,0,,0,25.0,2000-10-17,0,,11,1128,0,1.03,0,0.26,16.44,64.56,United States,"['United States', 'Poland']",,188,82,False,8.54,6.3,75.95,3.75,72.34,0.24,0.31,0.64,3.51,4.6,0.96,0,0.0,0,0.0,0.88,0.0,0,0.0,0.08,0,0.0,5,0.4,20.0,0.0,0.0,0.16,0.0,0.16,0.0,0.0,0.0,0.08,1.6,50.0,3.91,51.02,1.12,1.76,0.32,27.53,0.64,0.56,42.21,82.99,22.34,75.36,3.43,88.37,36.3,89.67,5.74,43.06,21.46,44.36,0.02,0.24,0.0,0.0,0.08,0.0,0.08,7.02,60.23,0.72,11.11,0.4,20.0,0.24,0.0,10.37,73.85,93.79,12.85,0,,0,,0,0.0,0.0,0.0,,,1.76,,3.75,0.08,0.0,0.0,0.0,0,0.0
A. Nguionza,Andrea Nguionza,-211419,,Marist Red Foxes,,,LCB,LCB,96,,0,,0,,,0,,11,1126,0,0.55,0,0.2,15.19,53.68,Canada,['Canada'],unknown,192,86,False,7.91,6.15,66.23,4.88,47.54,0.0,0.0,0.4,3.84,5.43,0.72,1,0.08,0,0.0,0.16,0.0,0,0.0,0.04,0,0.0,3,0.24,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,20.0,2.48,25.81,0.56,0.64,0.16,17.74,0.32,0.16,33.65,80.52,16.94,68.87,1.2,100.0,27.82,88.51,5.83,42.47,23.42,37.84,0.02,0.16,0.0,0.0,0.0,0.0,0.08,4.96,56.45,0.32,0.0,0.24,0.0,0.08,0.0,7.67,63.54,94.61,13.35,0,,0,,0,0.0,0.0,0.0,,,0.96,,4.88,0.0,0.0,0.0,0.0,0,0.0
D. Dimarco,Danny Dimarco,-238119,,Manhattan Jaspers,,,GK,GK,100,,0,,0,24.0,2001-10-13,0,,11,1126,0,0.0,0,0.0,0.56,71.43,United States,['United States'],unknown,180,84,False,0.72,0.0,0.0,0.48,66.67,0.0,0.0,0.0,0.72,0.97,0.0,1,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.08,0.0,11.35,85.21,6.47,79.01,0.0,0.0,6.95,98.85,4.4,63.64,32.75,46.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,53.33,0.0,0.0,0.0,0.0,0.08,0.0,3.12,74.36,94.23,4.16,12,0.96,49,3.92,3,75.51,13.67,1.09,1.67,0.133,0.0,1.2,0.48,,,,0.0,0,0.0
