Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Kampman,Marcel Kampman,388941,,Loyola Chicago Ramblers,,,GK,GK,100,,0,,0,28.0,1998-01-15,0,,11,1189,0,0.0,0,0.0,0.68,88.89,New Zealand,['New Zealand'],,0,0,False,1.1400000000000001,0.0,0.0,0.45,100.0,0.0,0.0,0.0,1.1400000000000001,1.6600000000000001,0.0,0,0.0,0,0.0,0.08,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,0.08,100.0,0.0,0.08,0.0,3.63,0.08,0.30000000000000004,10.9,72.92,7.57,65.0,0.0,0.0,4.24,98.21,6.51,56.98,40.43,49.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95,56.41,0.08,0.0,0.08,0.0,0.0,0.0,4.47,76.27,92.68,3.1,10,0.76,34,2.5700000000000003,4,70.59,8.37,0.63,-1.63,-0.123,0.0,1.06,0.45,,,,0.0,0,0
M. Hong,Michael Hong,496786,,Loyola Chicago Ramblers,,,CB,CB,85,,0,,0,26.0,2000-03-25,0,,11,1189,0,0.49,0,0.25,18.47,63.11,United States,['United States'],,183,80,False,8.48,6.51,82.56,5.68,54.67,0.61,0.89,0.38,2.5,3.65,0.98,2,0.15,0,0.0,0.53,0.0,0,0.0,0.04,0,0.0,4,0.30000000000000004,25.0,0.0,0.0,0.15,0.0,0.08,0.0,0.08,0.0,0.0,0.76,60.0,1.74,56.52,0.68,0.38,0.15,19.6,0.23,1.29,31.79,80.24,14.23,67.55,0.98,92.31,25.81,85.34,5.83,59.74,24.48,43.61,0.02,0.15,0.0,0.0,0.0,0.0,0.0,5.83,57.14,0.53,0.0,0.53,28.57,0.08,0.0,8.17,63.89,92.75,14.61,0,,0,,0,0.0,0.0,0.0,,,0.68,,5.68,0.0,0.0,0.0,0.0,0,0
L. Ender,Lukas Ender,-232682,Loyola Chicago Ramblers,Loyola Chicago Ramblers,https://cdn5.wyscout.com/photos/team/public/g-2885_120x120.png,NCAA D1 Atlantic 10,"RCB3, LCB3",RCB3,61,LCB3,23,,0,,,0,,11,1182,2,0.87,0,0.53,14.47,66.32,Germany,['Germany'],,185,0,False,8.38,4.95,67.69,4.49,69.49,0.23,0.33,0.61,4.8,6.87,0.76,1,0.08,0,0.0,1.6800000000000002,0.15,2,0.15,0.07,2,0.15,7,0.53,42.86,28.571,0.0,1.07,42.86,0.30000000000000004,50.0,0.6900000000000001,33.33,0.23,1.29,58.82,2.59,64.71,0.84,1.6800000000000002,0.99,29.47,0.38,0.91,46.07,77.19,22.54,68.92,2.89,94.74,33.05,86.64,12.11,53.46,22.97,37.35,0.04,0.46,0.08,0.0,0.38,60.0,0.23,11.35,61.07,2.66,45.71,1.83,33.33,0.6900000000000001,0.46,12.11,78.62,84.83,16.07,0,,0,,0,0.0,0.0,0.0,,,0.53,,4.49,0.23,0.0,0.0,0.0,0,0
L. Ender,Lukas Ender,494857,,Loyola Chicago Ramblers,,,"RCB3, LCB3",RCB3,61,LCB3,23,,0,26.0,2000-03-16,0,,11,1182,2,0.87,0,0.53,14.47,66.32,Germany,['Germany'],right,182,73,False,8.38,4.95,67.69,4.49,69.49,0.23,0.33,0.61,4.8,6.97,0.76,1,0.08,0,0.0,1.6800000000000002,0.15,2,0.15,0.07,2,0.15,7,0.53,42.86,28.571,0.0,1.07,42.86,0.30000000000000004,50.0,0.6900000000000001,33.33,0.23,1.29,58.82,2.59,64.71,0.84,1.6800000000000002,0.99,29.47,0.38,0.91,46.07,77.19,22.54,68.92,2.89,94.74,33.05,86.64,12.11,53.46,22.97,37.35,0.04,0.46,0.08,0.0,0.38,60.0,0.23,11.35,61.07,2.66,45.71,1.83,33.33,0.6900000000000001,0.46,12.11,78.62,84.83,16.07,0,,0,,0,0.0,0.0,0.0,,,0.53,,4.49,0.23,0.0,0.0,0.0,0,0
M. Torrellas,Marc Torrellas,-242448,,Loyola Chicago Ramblers,,,"RCMF, LCMF, AMF",RCMF,34,LCMF,22,AMF,17,,,0,,11,1139,1,2.1,1,0.8200000000000001,30.34,58.85,Spain,['Spain'],unknown,183,0,False,10.59,7.82,79.8,8.85,58.04,1.03,1.46,0.0,3.32,4.72,1.82,1,0.08,0,0.0,2.77,0.08,1,0.08,0.17,0,0.0,21,1.6600000000000001,23.81,4.7620000000000005,0.08,1.9,33.33,1.11,42.86,0.71,11.11,0.24,2.92,56.76,8.53,48.15,1.82,2.77,2.21,24.73,1.03,1.34,44.41,80.25,15.01,68.95,7.43,95.74,39.43,84.37,3.16,57.5,17.6,36.62,0.07,0.79,0.08,0.08,0.24,33.33,0.32,7.27,63.04,2.37,40.0,0.87,18.18,0.55,0.63,6.87,72.41,83.67,15.49,0,,0,,0,0.0,0.0,0.0,,,0.16,,8.85,0.32,0.08,0.0,0.24,0,0
F. Brunetti,Francesco Brunetti,-63738,,Evansville Purple Aces,,,"RCB3, RB",RCB3,79,RB,19,,0,28.0,1998-03-20,0,,11,1129,0,0.17,0,0.14,17.3,54.84,Italy,['Italy'],,180,68,False,10.12,7.97,56.0,1.99,48.0,0.32,0.38,0.8,5.34,6.4,0.96,2,0.16,0,0.0,1.3599999999999999,0.0,0,0.0,0.01,0,0.0,5,0.4,0.0,0.0,0.0,0.72,11.11,0.0,0.0,0.72,11.11,0.08,2.23,57.14,3.83,56.25,0.4,1.12,0.64,23.36,1.28,1.04,35.16,71.43,19.13,57.5,1.9100000000000001,91.67,24.95,82.75,9.49,46.22,25.03,42.87,0.01,0.24,0.0,0.0,0.32,0.0,0.08,8.69,45.87,1.28,12.5,1.43,27.78,0.24,0.08,8.53,70.09,88.89,10.76,0,,0,,0,0.0,0.0,0.0,,,0.48,,1.99,0.0,0.0,0.0,0.0,0,0
B. Logan,Bryce Logan,-232751,,Bradley Braves,,,GK,GK,100,,0,,0,28.0,1998-03-23,0,,11,1126,0,0.0,0,0.0,1.28,87.5,United States,['United States'],,188,0,False,2.24,0.16,100.0,0.8,90.0,0.08,0.09,0.0,2.0,2.31,0.0,0,0.0,0,0.0,0.08,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.16,100.0,0.0,0.0,0.0,10.31,0.08,0.32,18.54,79.74,14.63,77.05,0.0,0.0,6.39,88.75,12.07,75.5,42.01,47.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.36,66.67,0.0,0.0,0.0,0.0,0.0,0.0,10.39,83.08,91.49,3.76,21,1.6800000000000002,59,4.72,1,64.41,15.63,1.25,-5.37,-0.429,0.0,2.24,0.8,,,,0.0,0,0
M. Creek,Michael Creek,-202701,,Missouri State Bears,,,GK,GK,100,,0,,0,28.0,1998-03-05,0,,11,1097,0,0.0,0,0.0,1.07,92.31,United States,['United States'],right,188,80,False,1.3900000000000001,0.0,0.0,0.98,91.67,0.0,0.0,0.0,1.3900000000000001,1.8599999999999999,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.41000000000000003,13.45,88.41,6.48,77.22,0.0,0.0,9.19,100.0,4.18,64.71,27.75,44.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8200000000000001,60.0,0.08,100.0,0.0,0.0,0.08,0.0,3.2800000000000002,70.0,100.0,5.91,3,0.25,16,1.31,8,81.25,3.98,0.33,0.98,0.08,0.0,2.22,0.98,,,,0.0,0,0
T. Anderson,TC Anderson,-232999,,Drake Bulldogs,,,CB,CB,85,,0,,0,,,0,,11,1090,0,0.89,0,0.11,11.48,55.4,United States,['United States'],unknown,189,0,False,8.34,6.03,61.64,2.89,51.43,0.17,0.22,0.58,4.46,5.89,0.5,0,0.0,0,0.0,0.5,0.0,0,0.0,0.07,0,0.0,5,0.41000000000000003,40.0,0.0,0.0,0.08,100.0,0.08,100.0,0.0,0.0,0.0,0.25,100.0,1.16,50.0,0.58,0.17,0.08,17.01,0.17,0.08,30.96,82.4,11.06,64.93,1.32,100.0,27.5,87.09,3.39,43.9,21.99,32.73,0.01,0.08,0.0,0.0,0.0,0.0,0.08,1.82,40.91,0.17,50.0,0.08,0.0,0.0,0.08,5.61,52.94,92.72,17.01,0,,0,,0,0.0,0.0,0.0,,,1.24,,2.89,0.0,0.0,0.0,0.0,0,0
K. Hiebert,Kyle Hiebert,-202713,St. Louis City ,Missouri State Bears,https://cdn5.wyscout.com/photos/team/public/g-15451_120x120.png,MLS,LCB,LCB,99,,0,,0,28.0,1997-07-30,0,2026-12-31,11,1088,1,1.16,0,0.37,14.48,58.29,Canada,['Canada'],right,183,85,False,5.63,1.82,59.09,6.53,62.03,0.0,0.0,0.33,4.55,6.04,0.41000000000000003,0,0.0,0,0.0,0.66,0.08,1,0.08,0.1,1,0.08,12,0.99,25.0,8.333,0.0,0.08,100.0,0.0,0.0,0.08,100.0,0.0,0.25,100.0,2.48,50.0,1.65,0.74,0.08,37.47,0.25,0.41000000000000003,59.23,88.55,24.57,78.45,3.23,92.31,50.63,94.77,8.52,51.46,19.69,38.23,0.03,0.08,0.0,0.08,0.08,100.0,0.0,7.11,61.63,0.41000000000000003,20.0,0.5,0.0,0.17,0.08,9.68,75.21,98.03,25.23,0,,0,,0,0.0,0.0,0.0,,,1.65,,6.53,0.0,0.0,0.0,0.0,0,0
