Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
E. Dovlo,Enzo Dovlo,-170973,Atlanta United II,UNCG Spartans,https://cdn5.wyscout.com/photos/team/public/g-8357_120x120.png,MLS Next Pro,LB,LB,88,,0,,0,22.0,2003-07-23,0,2026-12-31,11,1137,0,0.6900000000000001,0,1.26,20.58,53.85,France,"['France', 'Togo']",,0,0,False,9.18,7.36,60.22,1.74,59.09,0.4,0.6000000000000001,0.16,4.35,6.65,0.9500000000000001,1,0.08,0,0.0,3.8,0.0,0,0.0,0.05,0,0.0,8,0.63,12.5,0.0,0.0,2.77,34.29,2.69,35.29,0.08,0.0,0.16,3.96,66.0,8.87,48.21,0.47000000000000003,2.45,0.71,29.76,2.37,1.27,42.66,75.51,14.56,62.5,8.23,93.27,34.83,83.18,5.22,43.94,18.12,36.09,0.1,0.9500000000000001,0.0,0.0,0.24,66.67,0.55,4.99,61.9,3.32,47.62,0.87,45.45,0.9500000000000001,1.11,10.05,66.14,76.77,12.27,0,,0,,0,0.0,0.0,0.0,,,0.4,,1.74,0.0,0.0,0.0,0.0,0,0.0
E. Hagan,Emmanuel Hagan,-121780,,UNCG Spartans,,,RCB,RCB,92,,0,,0,26.0,2000-05-16,0,,11,1136,0,0.33,0,0.0,6.89,59.77,Ghana,"['Ghana', 'United States']",,193,82,False,5.78,2.54,71.88,2.22,60.71,0.0,0.0,0.24,3.96,6.05,0.79,3,0.24,0,0.0,0.16,0.0,0,0.0,0.03,0,0.0,4,0.32,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.48,50.0,0.32,0.24,0.0,37.95,0.24,0.16,52.53,88.69,22.82,80.21,0.87,90.91,45.08,94.9,7.45,51.06,24.61,45.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.97,62.5,0.87,9.09,1.6600000000000001,23.81,0.08,0.0,11.49,77.24,96.08,26.3,0,,0,,0,0.0,0.0,0.0,,,0.71,,2.22,0.0,0.0,0.0,0.0,0,0.0
E. Conley,Ethan Conley,-216212,,UNCG Spartans,,,RB,RB,86,,0,,0,25.0,2000-12-21,0,,11,1125,2,0.30000000000000004,0,0.5,18.64,45.06,United States,['United States'],,173,70,False,7.52,7.04,55.68,2.64,39.39,0.4,0.61,0.0,3.2,4.92,1.28,3,0.24,0,0.0,1.92,0.16,2,0.16,0.02,0,0.0,7,0.56,28.57,28.571,0.0,1.44,27.78,0.0,0.0,1.44,27.78,0.24,2.08,61.54,6.24,43.59,0.72,1.6800000000000002,0.4,32.56,1.28,0.96,42.56,79.89,17.6,68.18,8.64,98.15,35.52,88.29,5.6,40.0,18.85,34.7,0.04,0.48,0.0,0.0,0.16,50.0,0.08,6.64,60.24,1.6800000000000002,38.1,0.48,0.0,0.48,0.48,9.68,65.29,83.76,9.36,0,,0,,0,0.0,0.0,0.0,,,0.32,,2.64,0.48,0.0,0.0,0.96,0,0.0
T. Dillon,Trevor Dillon,-218269,,San Diego Toreros,,,CB,CB,87,,0,,0,24.0,2001-12-18,0,,11,1118,1,2.18,0,0.34,8.61,63.55,United States,['United States'],,188,83,False,6.52,2.66,69.7,4.11,66.67,0.32,0.42,0.4,4.35,5.72,0.89,2,0.16,0,0.0,0.4,0.08,1,0.08,0.18,0,0.0,10,0.81,30.0,10.0,0.0,0.16,50.0,0.0,0.0,0.16,50.0,0.0,0.16,50.0,0.72,44.44,0.97,0.16,0.0,23.1,0.56,0.48,33.97,88.39,11.11,72.46,2.01,92.0,28.5,94.63,5.31,56.06,24.87,42.31,0.03,0.08,0.0,0.0,0.0,0.0,0.16,3.3,53.66,0.32,50.0,0.24,0.0,0.16,0.08,5.23,67.69,96.68,19.4,0,,0,,0,0.0,0.0,0.0,,,1.77,,4.11,0.0,0.0,0.0,0.0,0,0.0
F. Moustafa,Farhan Moustafa,-468728,Gonzaga Bulldogs,Gonzaga Bulldogs,https://cdn5.wyscout.com/photos/team/public/g-2953_120x120.png,NCAA D1 West Coast,LCB3,LCB3,89,,0,,0,,,0,,11,1112,0,0.0,0,0.0,11.98,57.43,United States,['United States'],unknown,0,0,False,8.82,6.07,70.67,2.59,46.88,0.24,0.31,0.49,4.29,5.5600000000000005,0.73,0,0.0,0,0.0,0.24,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,75.0,1.8599999999999999,21.74,0.08,0.4,0.08,29.14,0.32,0.08,44.43,85.43,20.72,78.13,2.19,96.3,39.09,91.1,5.34,43.94,22.37,41.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,70.42,0.65,12.5,0.4,20.0,0.0,0.0,10.36,67.97,93.36,18.29,0,,0,,0,0.0,0.0,0.0,,,1.13,,2.59,0.0,0.0,0.0,0.0,0,0.0
C. Victor,Cameron Victor,-215044,Akron City,Wofford Terriers,https://cdn5.wyscout.com/photos/team/public/g-23712_120x120.png,USL League 2,GK,GK,100,,0,,0,25.0,2001-03-19,0,,11,1103,0,0.0,0,0.0,0.98,91.67,United States,['United States'],unknown,188,95,False,2.12,0.24,66.67,0.49,100.0,0.0,0.0,0.0,1.96,2.38,0.0,1,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.71,0.08,0.24,17.95,78.64,8.89,62.39,0.0,0.0,12.16,96.64,5.63,42.03,28.52,44.48,0.0,0.0,0.08,0.0,0.0,0.0,0.0,1.47,22.22,0.16,0.0,0.41000000000000003,60.0,0.0,0.0,3.51,48.84,96.67,7.34,13,1.06,54,4.41,3,75.93,13.67,1.12,0.67,0.055,0.0,1.71,0.49,,,,0.0,0,0.0
Z. Murphy,Zack Murphy,-367642,VMI Keydets,VMI Keydets,https://cdn5.wyscout.com/photos/team/public/g-2434_120x120.png,NCAA D1 Southern,GK,GK,100,,0,,0,,,0,,11,1096,0,0.0,0,0.0,0.5700000000000001,85.71,United States,['United States'],unknown,0,0,False,2.14,0.08,0.0,0.25,100.0,0.0,0.0,0.0,2.14,2.33,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,100.0,0.0,0.0,0.0,2.38,0.0,0.25,9.77,68.91,7.23,61.36,0.0,0.0,3.37,95.12,6.24,56.58,44.67,50.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,42.31,0.08,0.0,0.0,0.0,0.0,0.0,4.52,78.18,92.86,2.3,23,1.8900000000000001,68,5.58,1,66.18,24.38,2.0,1.38,0.113,0.0,0.9,0.25,,,,0.0,0,0.0
O. Walz,Owen Walz,-485277,San Diego Toreros,San Diego Toreros,https://cdn5.wyscout.com/photos/team/public/g-2362_120x120.png,NCAA D1 West Coast,RCB3,RCB3,87,,0,,0,,,0,,11,1054,1,1.11,0,0.05,14.35,62.5,United States,['United States'],unknown,185,77,False,9.99,7.09,72.29,3.33,48.72,0.43,0.55,0.34,4.44,5.76,0.77,0,0.0,0,0.0,0.85,0.09,1,0.09,0.09,0,0.0,4,0.34,25.0,25.0,0.0,0.77,22.22,0.0,0.0,0.68,12.5,0.09,0.77,66.67,2.31,59.26,0.34,1.28,0.34,30.4,1.02,0.9400000000000001,43.72,79.49,23.48,69.82,4.1,100.0,35.01,87.8,8.03,47.87,24.33,43.25,0.0,0.09,0.09,0.0,0.17,50.0,0.0,8.45,60.61,1.45,23.53,0.43,20.0,0.34,0.26,12.13,71.83,89.44,12.13,0,,0,,0,0.0,0.0,0.0,,,1.71,,3.33,0.0,0.0,0.0,0.0,0,0.0
B. Peacock,Bryce Peacock,-216322,,Wofford Terriers,,,"RCB3, CB",RCB3,78,CB,10,,0,24.0,2002-04-29,0,,11,1044,0,0.8300000000000001,0,0.0,14.57,64.5,United States,['United States'],,191,86,False,10.69,6.98,71.6,3.36,71.79,0.78,0.89,0.6000000000000001,4.91,5.66,0.78,0,0.0,0,0.0,0.52,0.0,0,0.0,0.07,0,0.0,2,0.17,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,55.56,1.81,38.1,0.34,0.52,0.0,35.78,0.34,0.34,47.67,86.26,19.83,75.65,3.5300000000000002,90.24,43.02,90.78,4.66,44.44,20.98,38.72,0.0,0.0,0.0,0.17,0.0,0.0,0.0,6.47,69.33,0.17,50.0,0.26,66.67,0.09,0.0,9.05,69.52,96.1,19.91,0,,0,,0,0.0,0.0,0.0,,,1.21,,3.36,0.0,0.0,0.0,0.0,0,0.0
J. Chavez,Javier Chavez,513617,,Pacific Tigers,,,"RCB, LCB, RB",RCB,66,LCB,14,RB,10,23.0,2002-07-27,0,,10,1041,0,0.05,0,0.02,8.73,58.42,United States,['United States'],,180,74,False,7.0,3.29,55.26,2.68,67.74,0.17,0.22,0.9500000000000001,5.01,6.52,0.35000000000000003,2,0.17,0,0.0,0.26,0.0,0,0.0,0.0,0,0.0,1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,60.0,0.78,55.56,0.09,0.86,0.09,32.77,0.52,0.35000000000000003,47.2,84.43,20.92,70.66,2.07,95.83,38.73,92.41,8.47,47.96,23.38,41.31,0.0,0.09,0.09,0.0,0.0,0.0,0.09,5.45,52.38,0.61,28.57,0.61,14.29,0.17,0.0,8.3,62.5,95.45,20.92,0,,0,,0,0.0,0.0,0.0,,,1.12,,2.68,0.0,0.0,0.0,0.0,0,0.0
