Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Skoumbakis,Demetri Skoumbakis,-225653,,LIU Sharks,,,GK,GK,100,,0,,0,,,0,,11,1151,0,0.0,0,0.0,1.02,69.23,Greece,['Greece'],unknown,185,84,False,1.72,0.0,0.0,0.7000000000000001,88.89,0.0,0.0,0.0,1.72,2.41,0.0,1,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,4.46,0.08,0.0,14.0,69.27,10.17,60.77,0.0,0.0,4.3,100.0,9.62,56.1,43.87,51.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.61,61.02,0.31,25.0,0.0,0.0,0.08,0.0,6.57,78.57,93.33,3.52,11,0.86,45,3.52,3,75.56,10.68,0.8300000000000001,-0.32,-0.025,0.0,1.88,0.7000000000000001,,,,0.0,0,0
H. Haferkorn,Henry Haferkorn,498054,Lynn Fighting Knights,LIU Sharks,https://cdn5.wyscout.com/photos/team/public/g-16737_120x120.png,NCAA D2 Sunshine State Conference,RCB,RCB,97,,0,,0,26.0,2000-03-29,0,,11,1140,2,0.6000000000000001,0,0.01,8.68,60.91,Germany,['Germany'],,190,0,False,5.53,3.95,66.0,1.82,52.17,0.24,0.33,0.55,2.68,3.76,0.55,2,0.16,0,0.0,0.55,0.16,2,0.16,0.05,1,0.08,5,0.39,100.0,40.0,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.47000000000000003,33.33,1.03,38.46,0.71,1.42,0.08,15.87,0.16,0.63,28.11,75.0,18.08,68.56,0.79,80.0,17.13,84.79,10.89,60.14,28.54,42.21,0.0,0.08,0.0,0.08,0.0,0.0,0.0,9.71,65.85,1.11,28.57,0.79,30.0,0.55,0.0,10.82,75.91,88.78,7.74,0,,0,,0,0.0,0.0,0.0,,,0.63,,1.82,0.16,0.0,0.0,0.0,0,0
A. Martinez,Alan Martinez,-276306,,LIU Sharks,,,RB,RB,95,,0,,0,23.0,2003-05-06,0,,11,1137,0,0.1,3,0.53,15.44,56.92,United States,['United States'],unknown,173,75,False,10.53,7.6,59.38,1.42,66.67,0.24,0.33,0.32,5.78,8.11,0.71,0,0.0,0,0.0,2.45,0.0,0,0.0,0.01,0,0.0,2,0.16,0.0,0.0,0.24,2.93,40.54,0.0,0.0,2.93,40.54,0.4,2.14,59.26,4.67,57.63,0.08,0.79,0.47000000000000003,13.54,0.4,0.87,28.65,53.04,17.65,47.98,1.98,92.0,14.88,61.17,11.0,46.04,26.34,37.59,0.04,0.47000000000000003,0.08,0.0,0.32,0.0,0.32,9.82,49.19,4.35,38.18,1.42,27.78,0.87,1.03,11.4,65.28,51.85,6.41,0,,0,,0,0.0,0.0,0.0,,,0.16,,1.42,0.0,0.0,0.0,0.0,0,0
R. Winkler,Robert Winkler,-91449,,LIU Sharks,,,LB,LB,88,,0,,0,24.0,2001-11-29,0,,11,1122,2,0.93,2,3.64,22.78,52.46,Germany,['Germany'],,178,78,False,13.72,11.15,66.19,2.65,51.52,0.4,0.56,0.08,5.94,8.22,0.8,0,0.0,0,0.0,4.25,0.16,2,0.16,0.07,0,0.0,15,1.2,33.33,13.333,0.16,4.17,51.92,3.5300000000000002,47.73,0.64,75.0,0.8,3.45,46.51,6.02,38.67,0.96,1.2,0.64,16.04,1.6800000000000002,0.72,32.81,65.28,15.88,57.58,3.69,89.13,22.14,73.55,6.82,47.06,22.4,40.22,0.29,2.73,0.24,0.08,0.4,20.0,0.88,6.34,53.16,4.49,44.64,0.88,9.09,0.56,2.09,10.43,70.77,69.3,9.14,0,,0,,0,0.0,0.0,0.0,,,0.16,,2.65,1.76,0.4,40.0,4.25,0,0
E. Jaaskelainen,Emil Jaaskelainen,-225665,Sporting Jax,LIU Sharks,https://cdn5.wyscout.com/photos/team/public/g-25730_120x120.png,USL Championship,CF,CF,90,,0,,0,25.0,2001-03-16,0,2026-11-30,11,1092,11,9.49,2,0.88,30.41,42.28,England,['England'],unknown,191,88,False,2.64,2.64,62.5,13.43,49.08,0.08,0.12,0.08,0.91,1.29,1.4,0,0.0,0,0.0,6.02,0.91,11,0.91,0.78,3,0.25,59,4.86,59.32,18.644,0.16,0.8200000000000001,30.0,0.74,33.33,0.0,0.0,0.08,4.37,50.94,8.82,37.38,5.36,1.73,0.41000000000000003,15.99,4.53,1.65,18.71,66.08,8.08,57.14,1.9,82.61,16.73,69.95,1.15,35.71,15.66,20.23,0.07,0.99,0.25,0.0,1.32,50.0,0.49,2.47,53.33,2.23,55.56,1.65,40.0,1.81,0.25,3.54,79.07,65.31,4.04,0,,0,,0,0.0,0.0,0.0,,,0.0,,13.43,0.16,0.16,50.0,0.0,0,0
Hugo Bacharach,Hugo Antonio Bacharach Capdevila,-225826,Rhode Island,Fairleigh Dickinson Knights,https://cdn5.wyscout.com/photos/team/public/g-19754_120x120.png,USL Championship,LCB,LCB,97,,0,,0,24.0,2001-07-27,0,2026-11-30,10,1026,3,2.08,0,0.01,18.07,60.19,Spain,['Spain'],right,193,95,False,11.58,5.26,63.33,4.74,70.37,0.53,0.78,0.18,7.72,11.48,1.05,1,0.09,0,0.0,1.32,0.26,3,0.26,0.18,2,0.18,8,0.7000000000000001,62.5,37.5,0.0,0.18,50.0,0.09,100.0,0.09,0.0,0.0,0.96,63.64,3.6,51.22,1.05,1.58,0.88,27.11,0.18,0.96,44.21,82.34,22.89,75.1,1.8399999999999999,100.0,36.32,89.37,7.72,50.0,21.5,38.33,0.0,0.09,0.0,0.0,0.18,100.0,0.0,5.96,61.76,1.05,33.33,0.96,45.45,0.18,0.09,10.79,71.54,93.98,14.56,0,,0,,0,0.0,0.0,0.0,,,1.49,,4.74,0.0,0.0,0.0,0.0,0,0
J. Rehberger,Javi Rehberger,-225657,,LIU Sharks,,,"LCMF3, DMF",LCMF3,52,DMF,32,,0,27.0,1999-05-31,0,,10,1018,0,0.30000000000000004,3,1.82,21.93,54.84,Spain,['Spain'],unknown,179,0,False,13.0,8.13,68.48,6.1,52.17,1.4100000000000001,1.96,0.35000000000000003,6.01,8.33,1.5,1,0.09,1,0.09,1.4100000000000001,0.0,0,0.0,0.03,0,0.0,4,0.35000000000000003,0.0,0.0,0.27,1.33,46.67,1.24,50.0,0.09,0.0,0.18,0.88,60.0,3.01,44.12,0.18,0.35000000000000003,0.18,18.04,0.18,1.5899999999999999,43.41,74.13,17.86,59.9,6.72,89.47,35.19,78.14,6.9,58.97,19.61,34.96,0.16,1.15,0.18,0.0,0.44,60.0,0.62,10.08,64.04,2.39,51.85,1.06,41.67,0.71,0.62,9.46,73.83,85.14,13.08,0,,0,,0,0.0,0.0,0.0,,,0.35000000000000003,,6.1,1.4100000000000001,0.0,0.0,1.77,0,0
A. Lopez,Alberto Herranz Lopez,-276371,,Fairleigh Dickinson Knights,,,RCB,RCB,98,,0,,0,,,0,,10,1005,1,1.2,0,0.58,14.87,67.47,Spain,['Spain'],unknown,183,76,False,9.94,7.61,70.59,3.49,64.1,0.0,0.0,0.36,4.57,6.77,0.99,1,0.09,0,0.0,0.54,0.09,1,0.09,0.11,1,0.09,9,0.81,44.44,11.111,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.27,66.67,1.7000000000000002,57.89,1.16,0.27,0.09,22.21,0.27,0.99,37.34,87.05,16.75,77.01,2.51,96.43,29.55,93.03,7.7,65.12,22.81,38.13,0.05,0.18,0.0,0.0,0.0,0.0,0.09,5.1,59.65,0.0,0.0,0.18,0.0,0.18,0.0,7.43,77.11,95.51,13.97,0,,0,,0,0.0,0.0,0.0,,,1.79,,3.49,0.0,0.0,0.0,0.0,0,0
F. Andberg,Fridtjof Andberg,-225655,,LIU Sharks,,,"DMF, RCMF, LCMF",DMF,55,RCMF,11,LCMF,10,,,0,,10,1004,1,0.9,0,0.14,31.64,54.11,Norway,['Norway'],unknown,185,0,False,11.38,8.87,59.6,9.68,63.89,0.27,0.38,0.36,5.83,8.23,2.06,5,0.45,0,0.0,1.52,0.09,1,0.09,0.08,0,0.0,9,0.81,44.44,11.111,0.0,0.9,0.0,0.27,0.0,0.54,0.0,0.36,2.42,44.44,7.71,46.51,1.88,1.97,0.54,15.96,0.36,2.42,35.41,76.96,14.7,67.68,4.75,84.91,31.37,83.14,3.14,37.14,18.18,34.77,0.01,0.45,0.18,0.27,0.81,11.11,0.09,5.38,76.67,1.25,28.57,0.72,12.5,0.63,0.0,6.54,58.9,85.34,10.4,0,,0,,0,0.0,0.0,0.0,,,0.45,,9.68,0.0,0.0,0.0,0.0,0,0
B. Fall,Ben Assane Fall,-276317,Western Mass Pioneers,LIU Sharks,https://cdn5.wyscout.com/photos/team/public/g8100_120x120.png,PDL,"CF, RWF",CF,86,RWF,10,,0,28.0,1997-08-09,0,,11,997,4,4.03,3,1.45,33.85,44.27,Senegal,['Senegal'],unknown,188,77,False,4.96,4.87,61.11,7.04,55.13,0.0,0.0,0.09,1.99,2.7199999999999998,1.99,0,0.0,0,0.0,6.41,0.36,4,0.36,0.36,0,0.0,28,2.5300000000000002,50.0,14.286,0.27,3.88,32.56,1.81,30.0,1.99,31.82,0.54,7.4,51.22,17.69,39.8,4.51,2.17,1.35,11.01,2.71,1.26,22.12,58.37,5.06,53.57,3.9699999999999998,86.36,17.87,63.64,0.63,71.43,19.29,25.34,0.13,1.08,0.0,0.09,0.54,16.67,0.45,2.08,52.17,3.52,38.46,0.45,20.0,0.72,1.26,2.8,90.32,58.82,7.67,0,,0,,0,0.0,0.0,0.0,,,0.0,,7.04,0.0,0.0,0.0,0.0,0,0
