Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Carmichael,Kevin Carmichael,-278123,Forward Madison,Berkeley Golden Bears,https://cdn5.wyscout.com/photos/team/public/g-9621_120x120.png,USL League 1,RCB,RCB,100,,0,,0,,,0,,10,1028,1,1.31,0,0.0,14.18,64.81,United States,['United States'],unknown,0,0,False,7.88,3.33,73.68,7.79,67.42,0.09,0.11,0.96,5.34,6.88,0.96,0,0.0,0,0.0,0.61,0.09,1,0.09,0.11,1,0.09,7,0.61,42.86,14.286,0.0,0.09,100.0,0.0,0.0,0.09,100.0,0.0,0.44,60.0,0.96,45.45,1.23,0.44,0.0,21.71,0.7000000000000001,0.35000000000000003,34.58,84.3,16.02,72.68,2.2800000000000002,100.0,27.84,91.82,6.65,52.63,23.21,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.94,75.56,0.61,42.86,0.44,40.0,0.26,0.09,7.97,65.93,95.15,14.45,0,,0,,0,0.0,0.0,0.0,,,1.58,,7.79,0.0,0.0,0.0,0.0,0,0
W. Meyer,Wyatt Meyer,-241917,Sporting KC,Berkeley Golden Bears,https://cdn5.wyscout.com/photos/team/public/3467_120x120.png,MLS,"LCB, LDMF",LCB,79,LDMF,11,,0,25.0,2001-01-11,0,2026-12-31,10,1028,2,1.11,0,0.35000000000000003,18.04,61.17,United States,['United States'],,188,79,False,11.21,6.83,76.92,5.34,65.57,0.0,0.0,0.88,5.95,7.67,0.26,0,0.0,0,0.0,1.1400000000000001,0.18,2,0.18,0.1,0,0.0,6,0.53,83.33,33.333,0.0,0.35000000000000003,75.0,0.26,66.67,0.09,100.0,0.18,0.7000000000000001,62.5,2.45,35.71,0.79,0.44,0.09,26.18,0.18,0.44,42.02,82.29,17.6,69.15,2.63,96.67,33.44,88.22,8.23,58.51,22.9,36.19,0.03,0.18,0.0,0.0,0.09,0.0,0.09,5.17,72.88,0.88,50.0,0.35000000000000003,25.0,0.35000000000000003,0.26,9.63,62.73,94.79,18.47,0,,0,,0,0.0,0.0,0.0,,,0.53,,5.34,0.09,0.0,0.0,0.0,0,0
R. Sproat,Reid Davis Sproat,-179662,Fort Wayne,San Diego State Aztecs,https://cdn5.wyscout.com/photos/team/public/g-13966_120x120.png,USL League 1,RCB,RCB,99,,0,,0,25.0,2001-05-30,0,2026-11-30,10,1024,0,0.49,0,0.0,14.85,52.07,United States,['United States'],,189,84,False,9.23,4.66,66.04,6.06,55.07,0.18,0.23,1.1400000000000001,5.98,7.73,1.1400000000000001,1,0.09,0,0.0,0.26,0.0,0,0.0,0.04,0,0.0,3,0.26,66.67,0.0,0.0,0.09,100.0,0.09,100.0,0.0,0.0,0.09,0.18,0.0,1.49,17.65,0.53,0.18,0.0,17.49,0.26,0.44,30.59,81.03,13.97,75.47,1.58,100.0,23.91,87.5,6.59,57.33,24.24,44.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.57,61.54,0.44,20.0,0.09,0.0,0.0,0.09,7.73,65.91,84.25,12.83,0,,0,,0,0.0,0.0,0.0,,,1.1400000000000001,,6.06,0.0,0.0,0.0,0.0,0,0
N. Jones,Nate Jones,-234956,,Washington Huskies,,,LCB,LCB,100,,0,,0,24.0,2001-08-23,0,,10,1022,1,1.9,2,0.30000000000000004,21.31,59.92,United States,['United States'],left,188,84,False,9.51,6.08,68.12,10.04,63.16,0.26,0.41000000000000003,0.88,5.11,7.91,1.5899999999999999,2,0.18,0,0.0,1.06,0.09,1,0.09,0.17,1,0.09,12,1.06,50.0,8.333,0.18,0.35000000000000003,50.0,0.26,33.33,0.09,100.0,0.09,0.62,42.86,2.03,47.83,1.76,1.76,0.26,20.69,0.26,0.7000000000000001,39.01,76.07,21.66,68.29,1.5,76.47,29.59,83.63,9.07,52.43,24.43,40.48,0.03,0.26,0.0,0.0,0.18,50.0,0.18,9.86,65.18,1.1400000000000001,38.46,0.35000000000000003,0.0,0.44,0.18,11.18,74.02,90.41,12.86,0,,0,,0,0.0,0.0,0.0,,,0.79,,10.04,0.0,0.0,0.0,0.0,0,0
R. Fisher,Reid Fisher,-352768,Toronto II,San Diego State Aztecs,https://cdn5.wyscout.com/photos/team/public/g32871_120x120.png,MLS Next Pro,LCB,LCB,97,,0,,0,22.0,2004-05-26,0,2026-12-31,10,1019,0,0.6900000000000001,0,0.47000000000000003,16.16,55.74,United States,['United States'],unknown,191,82,False,8.04,5.92,61.19,6.18,60.0,0.18,0.23,0.97,4.24,5.45,1.32,0,0.0,0,0.0,0.44,0.0,0,0.0,0.06,0,0.0,7,0.62,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35000000000000003,75.0,2.03,47.83,0.71,0.18,0.0,15.19,0.0,0.97,24.82,83.63,11.22,70.08,1.06,83.33,21.37,87.6,3.44,58.97,21.18,32.3,0.04,0.09,0.0,0.0,0.0,0.0,0.09,2.56,62.07,0.18,50.0,0.0,0.0,0.18,0.0,4.59,59.62,97.52,10.69,0,,0,,0,0.0,0.0,0.0,,,0.71,,6.18,0.0,0.0,0.0,0.0,0,0
N. Adnan,Noah Santosa Adnan,-241855,Loudoun United,Stanford Cardinal,https://cdn5.wyscout.com/photos/team/public/g-9615_120x120.png,USL Championship,RCB,RCB,99,,0,,0,24.0,2002-01-21,0,2026-11-30,10,1013,2,1.78,0,0.05,21.06,54.85,United States,['United States'],unknown,188,82,False,10.22,7.64,62.79,9.95,46.43,0.27,0.46,0.89,5.15,8.97,1.15,1,0.09,0,0.0,0.71,0.18,2,0.18,0.16,0,0.0,11,0.98,63.64,18.182,0.0,0.09,100.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,0.71,62.5,1.33,0.44,0.0,13.95,0.18,0.62,30.92,78.16,18.04,70.94,1.87,90.48,22.39,84.92,8.44,60.0,25.0,39.16,0.0,0.09,0.0,0.0,0.09,0.0,0.0,6.84,67.53,0.71,62.5,0.44,40.0,0.36,0.09,10.39,70.94,92.38,9.33,0,,0,,0,0.0,0.0,0.0,,,1.42,,9.95,0.27,0.0,0.0,0.0,0,0
T. Humphrey,Turner Humphrey,-221298,Forward Madison,Oregon State Beavers,https://cdn5.wyscout.com/photos/team/public/g-9621_120x120.png,USL League 1,RCB,RCB,95,,0,,0,25.0,2000-10-16,0,2026-11-30,10,1007,0,1.16,0,0.01,15.01,72.02,United States,['United States'],unknown,193,86,False,9.74,5.99,71.64,4.83,74.07,0.09,0.11,0.63,5.36,6.64,1.16,1,0.09,0,0.0,1.25,0.0,0,0.0,0.1,0,0.0,7,0.63,42.86,0.0,0.0,0.09,100.0,0.09,100.0,0.0,0.0,0.0,0.8,100.0,2.41,74.07,0.8,0.8,0.18,21.27,0.27,0.63,36.29,78.33,18.68,67.46,2.32,84.62,30.12,86.65,6.08,36.76,22.09,42.17,0.0,0.27,0.0,0.0,0.09,100.0,0.0,5.99,62.69,0.71,12.5,0.36,50.0,0.0,0.09,9.83,59.09,91.97,12.24,0,,0,,0,0.0,0.0,0.0,,,0.45,,4.83,0.0,0.0,0.0,0.0,0,0
P. Bank,Palmer Bank,-352786,Stanford Cardinal,Stanford Cardinal,https://cdn5.wyscout.com/photos/team/public/g-2869_120x120.png,NCAA D1 Atlantic Coast,LB,LB,99,,0,,0,,,0,,10,1003,0,1.03,0,1.98,21.18,58.9,United States,['United States'],unknown,183,84,False,9.96,7.18,68.75,5.83,70.77,0.54,0.93,0.27,4.49,7.77,1.44,0,0.0,0,0.0,1.53,0.0,0,0.0,0.09,0,0.0,2,0.18,50.0,0.0,0.0,3.14,40.0,3.05,41.18,0.09,0.0,0.27,0.81,22.22,3.95,38.64,0.54,0.54,0.09,18.31,0.9,1.26,31.41,74.0,15.97,70.79,5.65,88.89,22.7,84.58,5.65,49.21,23.0,40.43,0.18,1.7000000000000002,0.0,0.0,0.0,0.0,0.54,8.08,67.78,3.14,54.29,0.27,66.67,0.54,1.35,10.86,81.82,68.49,6.55,0,,0,,0,0.0,0.0,0.0,,,0.72,,5.83,0.0,0.0,0.0,0.0,0,0
L. Castillo,Luis  Castillo,-359738,,Oregon State Beavers,,,GK,GK,100,,0,,0,26.0,2000-01-31,0,,10,993,0,0.0,0,0.0,1.45,93.75,Spain,['Spain'],unknown,180,75,False,1.27,0.09,100.0,1.27,92.86,0.0,0.0,0.0,1.18,1.47,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,3.7199999999999998,0.09,0.27,9.15,77.23,6.53,68.06,0.0,0.0,3.35,97.3,5.8,65.63,37.13,47.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,68.42,0.0,0.0,0.0,0.0,0.0,0.0,4.44,77.55,100.0,1.81,13,1.18,37,3.35,4,64.86,13.88,1.26,0.88,0.08,0.0,2.36,1.27,,,,0.0,0,0
Luis Castillo,Luis Castillo Grau,-52122,,Oregon State Beavers,,,GK,GK,100,,0,,0,26.0,2000-01-31,0,,10,993,0,0.0,0,0.0,1.45,93.75,Spain,['Spain'],right,185,0,False,1.27,0.09,100.0,1.27,92.86,0.0,0.0,0.0,1.18,1.47,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,3.7199999999999998,0.09,0.27,9.15,77.23,6.53,68.06,0.0,0.0,3.35,97.3,5.8,65.63,37.13,47.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,68.42,0.0,0.0,0.0,0.0,0.0,0.0,4.44,77.55,100.0,1.81,13,1.18,37,3.35,4,64.86,13.88,1.26,0.88,0.08,0.0,2.36,1.27,,,,0.0,0,0
