Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Agard,Sekou Agard,-274279,,Mercer Bears,,,"RCB, RCB3",RCB,68,RCB3,31,,0,,,0,,7,693,0,0.41000000000000003,0,0.05,12.08,65.59,United States,['United States'],,183,70,False,9.22,5.58,69.77,3.38,61.54,0.0,0.0,0.65,5.32,6.28,0.52,0,0.0,0,0.0,0.65,0.0,0,0.0,0.05,0,0.0,3,0.39,66.67,0.0,0.0,0.13,100.0,0.0,0.0,0.0,0.0,0.0,0.39,66.67,1.17,77.78,0.39,0.52,0.0,7.79,0.13,0.52,22.99,72.88,12.34,60.0,1.43,100.0,16.62,83.59,6.23,43.75,23.18,37.24,0.01,0.26,0.0,0.0,0.0,0.0,0.0,4.29,45.45,0.91,28.57,0.52,25.0,0.13,0.0,5.19,60.0,84.21,7.4,0,,0,,0,0.0,0.0,0.0,,,1.17,,3.38,0.0,0.0,0.0,0.0,0,0
C. Eldridge,Chad Eldridge,-274278,,Mercer Bears,,,"LCB, CB",LCB,68,CB,31,,0,,,0,,7,693,0,0.31,0,0.0,12.86,62.63,United States,['United States'],unknown,190,84,False,7.79,4.29,84.85,5.19,62.5,0.13,0.15,0.13,4.03,4.74,0.39,0,0.0,0,0.0,0.0,0.0,0,0.0,0.04,0,0.0,2,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,1.56,41.67,0.26,0.26,0.13,10.39,0.0,0.52,23.12,71.35,11.95,61.96,0.78,100.0,16.75,82.17,6.36,42.86,25.26,43.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.32,48.78,0.39,33.33,0.26,50.0,0.0,0.0,6.75,59.62,83.93,7.27,0,,0,,0,0.0,0.0,0.0,,,0.65,,5.19,0.26,0.0,0.0,0.0,0,0
W. Pondeca,William Pondeca,-274276,,Mercer Bears,,,"LB, LCB3",LB,68,LCB3,31,,0,,,0,,7,693,0,0.11,0,0.02,18.96,59.59,United States,['United States'],,180,72,False,12.08,8.44,69.23,3.77,65.52,0.26,0.31,0.26,5.97,7.04,1.56,1,0.13,0,0.0,0.65,0.0,0,0.0,0.01,0,0.0,2,0.26,0.0,0.0,0.0,0.65,20.0,0.65,20.0,0.0,0.0,0.0,0.78,66.67,4.29,39.39,0.13,1.17,0.13,13.38,0.39,0.78,27.53,74.06,13.25,60.78,4.03,100.0,22.6,82.76,4.42,35.29,20.47,39.11,0.0,0.26,0.0,0.0,0.0,0.0,0.13,5.97,58.7,0.91,14.29,0.13,0.0,0.0,0.13,6.62,64.71,81.36,7.66,0,,0,,0,0.0,0.0,0.0,,,0.65,,3.77,0.0,0.0,0.0,0.0,0,0
N. Wanzer,Nick Wanzer,-202408,,Mercer Bears,,,"RCMF, LDMF, RDMF",RCMF,43,LDMF,19,RDMF,18,,,0,,7,683,1,0.9,0,0.0,23.98,60.44,United States,['United States'],unknown,183,0,False,14.76,10.81,74.39,7.91,55.0,1.05,1.22,0.26,5.67,6.58,1.71,1,0.13,0,0.0,1.05,0.13,1,0.13,0.12,1,0.13,9,1.19,44.44,11.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,66.67,3.03,43.48,1.58,0.13,0.0,9.36,0.26,0.66,23.72,78.33,10.54,65.0,2.24,100.0,21.35,82.72,2.37,38.89,17.75,27.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08,48.39,0.4,33.33,0.0,0.0,0.13,0.0,3.95,66.67,85.71,7.38,0,,0,,0,0.0,0.0,0.0,,,0.0,,7.91,0.0,0.0,0.0,0.0,0,0
B. Jackson,Bryant Jackson,512425,,Mercer Bears,,,"RB, RB5",RB,60,RB5,29,,0,25.0,2001-03-23,0,,7,620,0,0.0,0,0.29,20.32,55.0,United States,['United States'],,185,84,False,10.02,9.0,61.29,2.61,66.67,0.0,0.0,0.0,4.5,4.74,0.87,0,0.0,0,0.0,2.32,0.0,0,0.0,0.0,0,0.0,1,0.15,0.0,0.0,0.0,1.31,33.33,0.0,0.0,1.31,33.33,0.15,4.35,43.33,6.97,43.75,0.29,1.45,0.29,11.47,0.73,0.87,20.61,54.93,12.48,47.67,1.02,71.43,13.35,68.48,5.95,29.27,22.94,36.68,0.04,0.58,0.0,0.0,0.0,0.0,0.29,6.68,50.0,3.19,31.82,0.29,0.0,0.44,0.44,6.53,77.78,60.61,4.79,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.61,0.15,0.0,0.0,0.0,0,0
N. Wild,Niclas Wild,399287,,UNCG Spartans,,,GK,GK,100,,0,,0,27.0,1999-02-16,0,,6,617,0,0.0,0,0.0,0.73,100.0,Germany,['Germany'],,190,85,False,2.33,0.0,0.0,0.73,100.0,0.0,0.0,0.0,2.33,3.75,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.17,0.0,0.15,14.59,88.0,10.21,85.71,0.0,0.0,7.44,98.04,7.15,77.55,34.92,45.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,72.73,0.0,0.0,0.0,0.0,0.0,0.0,5.4,86.49,96.0,3.65,7,1.02,17,2.48,1,58.82,5.64,0.8200000000000001,-1.3599999999999999,-0.198,0.0,1.31,0.73,,,,0.0,0,0
M. Milanese,Marco Milanese,459883,,UNCG Spartans,,,LB,LB,93,,0,,0,27.0,1998-07-31,0,,6,614,0,0.41000000000000003,0,0.2,17.3,61.86,Italy,['Italy'],left,185,75,False,10.99,7.48,76.47,3.37,52.17,0.29,0.47000000000000003,0.15,4.98,8.03,1.17,0,0.0,0,0.0,2.05,0.0,0,0.0,0.06,0,0.0,3,0.44,0.0,0.0,0.0,1.17,50.0,1.17,50.0,0.0,0.0,0.15,1.47,90.0,4.4,56.67,0.73,2.93,0.73,48.66,1.03,1.32,66.84,82.89,31.66,76.39,7.48,88.24,57.17,87.18,8.65,57.63,21.48,38.04,0.03,0.44,0.0,0.0,0.15,100.0,0.44,15.98,80.73,1.6099999999999999,54.55,0.15,0.0,0.29,0.59,18.32,79.2,91.67,22.87,0,,0,,0,0.0,0.0,0.0,,,1.32,,3.37,0.0,0.0,0.0,0.0,0,0
S. Lachekar,Sami Lachekar,-270922,Cincinnati II,UNCG Spartans,https://cdn5.wyscout.com/photos/team/public/g-15447_120x120.png,MLS Next Pro,LCB,LCB,90,,0,,0,23.0,2003-01-10,0,2026-12-31,6,614,0,0.06,1,0.28,9.67,60.61,France,['France'],unknown,0,0,False,6.45,5.13,80.0,1.47,40.0,0.15,0.24,0.0,2.2,3.54,0.88,1,0.15,0,0.0,0.15,0.0,0,0.0,0.01,0,0.0,1,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,50.0,1.9100000000000001,30.77,0.44,3.81,0.29,50.72,0.29,0.73,66.99,93.0,17.44,76.47,1.6099999999999999,90.91,63.91,96.56,3.08,19.05,21.65,43.04,0.04,0.15,0.15,0.15,0.0,0.0,0.15,6.01,58.54,0.59,25.0,0.44,0.0,0.29,0.0,7.77,75.47,99.33,43.68,0,,0,,0,0.0,0.0,0.0,,,0.88,,1.47,0.0,0.0,0.0,0.0,0,0
E. Hagan,Emmanuel Hagan,-121780,,UNCG Spartans,,,RCB,RCB,93,,0,,0,26.0,2000-05-16,0,,6,605,1,0.8,0,0.0,6.25,64.29,Ghana,"['Ghana', 'United States']",,193,82,False,3.87,2.08,78.57,2.08,57.14,0.0,0.0,0.0,2.23,3.52,0.74,1,0.15,0,0.0,0.6000000000000001,0.15,1,0.15,0.12,0,0.0,4,0.6000000000000001,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,66.67,1.04,57.14,0.74,1.04,0.0,44.78,0.45,0.15,59.36,91.23,21.72,81.51,2.38,93.75,53.11,95.52,6.25,54.76,23.04,42.24,0.0,0.0,0.15,0.0,0.15,0.0,0.0,11.45,72.73,1.04,0.0,0.30000000000000004,0.0,0.0,0.0,10.86,90.41,97.26,32.58,0,,0,,0,0.0,0.0,0.0,,,1.34,,2.08,0.15,0.15,0.0,0.0,0,0
D. Gaither,Dylan Gaither,511467,,Mercer Bears,,,"LAMF, LW, CF",LAMF,23,LW,19,CF,17,25.0,2000-08-13,0,,7,601,1,1.65,2,2.42,14.83,45.45,United States,['United States'],,175,74,False,3.29,2.25,66.67,4.19,25.0,0.0,0.0,0.0,1.8,1.99,0.45,0,0.0,0,0.0,3.44,0.15,1,0.15,0.25,0,0.0,20,3.0,35.0,5.0,0.30000000000000004,2.1,42.86,1.5,40.0,0.6000000000000001,50.0,0.15,2.7,44.44,6.89,52.17,2.4,1.05,0.30000000000000004,15.42,1.35,0.9,25.31,66.86,10.93,57.53,3.29,90.91,19.62,75.57,3.59,33.33,21.18,40.72,0.36,2.4,0.0,0.0,0.30000000000000004,100.0,0.45,5.39,52.78,2.7,50.0,0.6000000000000001,50.0,1.05,0.9,5.24,91.43,67.39,6.89,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.19,2.55,0.9,33.33,3.44,1,0
J. Ngando,J.C. Ngando,-280256,Vancouver Whitecaps,UNCG Spartans,https://cdn5.wyscout.com/photos/team/public/3270_120x120.png,MLS,"CF, AMF, LCMF3",CF,42,AMF,34,LCMF3,11,26.0,1999-11-20,0,2026-12-31,6,597,2,2.38,3,2.85,45.08,44.48,Cameroon,"['Cameroon', 'France']",right,175,79,False,3.77,4.82,56.25,1.96,23.08,0.0,0.0,0.15,1.06,1.67,1.21,1,0.15,0,0.0,12.51,0.30000000000000004,1,0.15,0.36,0,0.0,17,2.56,29.41,11.765,0.45,3.47,26.09,2.56,29.41,0.9,16.67,0.6000000000000001,16.58,59.09,34.37,46.05,5.28,6.78,1.3599999999999999,21.71,0.9,2.11,38.44,71.76,9.95,62.12,9.8,90.77,32.56,79.63,2.41,31.25,19.62,35.03,0.43,2.41,0.0,0.0,2.11,50.0,1.3599999999999999,4.67,45.16,6.63,45.45,2.11,35.71,3.02,0.9,5.58,86.49,71.26,13.12,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.96,1.96,0.15,0.0,2.86,2,50
T. McMullen,Trevor McMullen,-202331,Birmingham Legion,Mercer Bears,https://cdn5.wyscout.com/photos/team/public/g-9614_120x120.png,USL Championship,GK,GK,100,,0,,0,24.0,2002-01-23,0,2026-11-30,6,593,0,0.0,0,0.0,0.46,100.0,United States,['United States'],,185,88,False,1.82,0.0,0.0,0.30000000000000004,100.0,0.0,0.0,0.0,1.82,2.2800000000000002,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.0,0.0,0.0,4.7,0.0,0.15,13.2,68.97,12.14,66.25,0.0,0.0,1.52,90.0,11.69,66.23,51.23,54.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.83,73.33,0.0,0.0,0.0,0.0,0.0,0.0,8.95,83.05,100.0,1.06,4,0.61,23,3.49,3,82.61,7.33,1.11,3.33,0.505,0.0,1.21,0.30000000000000004,,,,0.0,0,0
B. Marc,Basile Marc,-196261,,UNCG Spartans,,,"LCMF, LDMF, RCMF3",LCMF,42,LDMF,27,RCMF3,12,26.0,2000-03-17,0,,6,588,2,1.54,1,0.38,15.92,58.65,France,['France'],,184,79,False,5.97,6.12,60.0,3.83,68.0,0.15,0.25,0.0,2.14,3.44,1.38,1,0.15,0,0.0,1.6800000000000002,0.31,0,0.0,0.24,0,0.0,4,0.61,50.0,50.0,0.15,1.99,30.77,1.8399999999999999,25.0,0.15,100.0,0.46,0.92,66.67,3.21,52.38,0.46,2.45,0.46,30.61,0.61,0.31,42.09,84.73,13.78,75.56,6.28,95.12,37.5,89.8,2.6,52.94,20.64,40.0,0.06,0.46,0.0,0.0,0.46,33.33,0.31,7.04,82.61,3.37,45.45,0.77,40.0,0.46,0.61,8.88,77.59,90.0,15.31,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.83,0.15,0.15,0.0,0.31,2,100
O. Jabang,Ousman Jabang,512432,New Mexico United,Mercer Bears,https://cdn5.wyscout.com/photos/team/public/g-9619_120x120.png,USL Championship,"LCMF, AMF",LCMF,46,AMF,15,,0,25.0,2001-03-24,0,2026-11-30,6,579,0,1.12,1,0.14,26.89,45.09,United States,['United States'],right,188,81,False,5.28,3.89,48.0,9.95,50.0,0.31,0.34,0.16,3.11,3.39,2.64,2,0.31,0,0.0,3.58,0.0,0,0.0,0.17,0,0.0,14,2.18,35.71,0.0,0.16,0.31,50.0,0.16,100.0,0.0,0.0,0.0,4.66,56.67,10.1,44.62,1.55,1.55,0.62,17.72,0.62,1.55,27.67,78.65,10.26,66.67,3.42,95.45,23.78,83.66,3.58,47.83,21.02,43.75,0.02,0.47000000000000003,0.0,0.0,0.16,0.0,0.16,6.53,66.67,1.87,25.0,0.93,16.67,0.62,0.0,4.35,78.57,84.29,10.88,0,,0,,0,0.0,0.0,0.0,,,0.16,,9.95,0.0,0.0,0.0,0.16,0,0
E. Conley,Ethan Conley,-216212,,UNCG Spartans,,,RB,RB,90,,0,,0,25.0,2000-12-21,0,,6,559,0,0.03,0,0.89,14.97,54.84,United States,['United States'],,173,70,False,6.12,6.12,63.16,1.6099999999999999,70.0,0.32,0.48,0.0,1.9300000000000002,2.9,0.64,0,0.0,0,0.0,2.74,0.0,0,0.0,0.0,0,0.0,1,0.16,100.0,0.0,0.0,1.6099999999999999,50.0,0.16,100.0,1.45,44.44,0.16,2.58,62.5,6.44,45.0,0.81,1.6099999999999999,0.32,23.67,0.0,1.6099999999999999,33.01,84.88,11.43,67.61,8.53,98.11,27.53,92.4,4.35,48.15,20.4,33.98,0.14,1.29,0.0,0.0,0.16,100.0,0.48,4.67,58.62,0.97,50.0,0.16,100.0,0.16,0.64,5.47,79.41,90.48,10.14,0,,0,,0,0.0,0.0,0.0,,,0.64,,1.6099999999999999,0.0,0.0,0.0,1.13,0,0
K. Agard,Kadeem Agard,-274277,,Mercer Bears,,,"CF, RW",CF,79,RW,13,,0,,,0,,7,512,3,2.49,0,0.45,30.76,44.0,United States,['United States'],unknown,183,70,False,7.38,5.98,76.47,7.38,59.52,1.05,0.9500000000000001,0.0,1.76,1.58,0.35000000000000003,0,0.0,0,0.0,2.81,0.53,3,0.53,0.44,1,0.18,12,2.11,50.0,25.0,0.0,1.05,16.67,0.0,0.0,1.05,16.67,0.0,3.34,47.37,11.78,25.37,3.52,1.05,0.0,9.84,1.9300000000000002,1.05,17.23,71.43,2.29,53.85,6.86,84.62,16.0,74.73,0.18,100.0,14.79,5.8100000000000005,0.08,0.7000000000000001,0.0,0.0,0.0,0.0,0.18,0.53,66.67,1.9300000000000002,27.27,0.0,0.0,0.88,0.18,0.7000000000000001,100.0,62.5,4.22,0,,0,,0,0.0,0.0,0.0,,,0.0,,7.38,0.0,0.0,0.0,0.0,0,0
B. Roberts,Ben Roberts,-216199,,Furman Paladins,,,GK,GK,100,,0,,0,,,0,,5,511,0,0.0,0,0.06,0.35000000000000003,100.0,United States,['United States'],,191,88,False,2.47,0.0,0.0,0.35000000000000003,100.0,0.0,0.0,0.0,2.47,3.13,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.63,0.35000000000000003,0.18,16.73,76.84,11.27,68.75,0.0,0.0,9.86,91.07,6.87,56.41,37.4,50.29,0.01,0.18,0.0,0.0,0.0,0.0,0.0,1.76,30.0,0.0,0.0,0.18,0.0,0.18,0.0,4.93,60.71,96.3,4.76,14,2.47,33,5.8100000000000005,1,57.58,10.87,1.9100000000000001,-3.13,-0.551,0.0,1.94,0.35000000000000003,,,,0.0,0,0
S. Starnes,Slade Starnes,-353017,North Texas,Furman Paladins,https://cdn5.wyscout.com/photos/team/public/g-9624_120x120.png,MLS Next Pro,"LCB, CB",LCB,51,CB,48,,0,22.0,2003-10-10,0,2027-06-30,5,511,1,0.51,0,0.0,17.96,69.61,United States,['United States'],unknown,191,84,False,10.39,6.69,68.42,6.69,71.05,0.53,0.67,0.88,5.28,6.72,1.23,2,0.35000000000000003,0,0.0,1.23,0.18,1,0.18,0.09,1,0.18,4,0.7000000000000001,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4100000000000001,75.0,2.29,69.23,1.23,1.06,0.0,16.73,0.18,0.7000000000000001,31.88,89.5,11.27,82.81,1.5899999999999999,100.0,30.29,91.86,1.5899999999999999,44.44,19.58,28.07,0.0,0.18,0.0,0.0,0.0,0.0,0.0,1.06,66.67,0.18,0.0,0.0,0.0,0.0,0.0,3.35,31.58,95.24,14.79,0,,0,,0,0.0,0.0,0.0,,,1.06,,6.69,0.0,0.0,0.0,0.0,0,0
J. Hosie,Josh Hosie,515525,,Furman Paladins,,,"RB, RWB",RB,50,RWB,47,,0,24.0,2001-09-09,0,,5,509,0,0.0,1,0.85,16.97,46.88,Wales,['Wales'],,183,75,False,6.19,7.78,40.91,3.54,60.0,0.53,0.67,0.0,2.48,3.13,1.24,0,0.0,0,0.0,1.94,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.18,3.71,33.33,0.18,100.0,3.54,30.0,0.35000000000000003,1.5899999999999999,44.44,3.01,47.06,0.71,1.24,0.71,31.83,1.94,0.35000000000000003,40.67,80.0,15.21,73.26,6.9,89.74,34.66,85.2,2.48,71.43,18.74,27.66,0.15,0.53,0.0,0.0,0.18,0.0,0.35000000000000003,4.95,67.86,3.71,33.33,0.53,33.33,0.53,1.77,7.43,76.19,83.58,11.85,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.54,0.35000000000000003,0.0,0.0,1.4100000000000001,0,0
S. Miller,Sam Miller,-216194,,Furman Paladins,,,"LB, LWB, LCB3",LB,52,LWB,25,LCB3,22,,,0,,5,508,2,0.13,1,1.12,15.94,53.33,United States,['United States'],,178,70,False,10.63,9.21,65.38,2.3,30.77,0.35000000000000003,0.45,0.18,4.25,5.37,0.89,2,0.35000000000000003,0,0.0,2.66,0.35000000000000003,2,0.35000000000000003,0.02,0,0.0,3,0.53,100.0,66.667,0.18,2.83,31.25,2.66,33.33,0.18,0.0,0.71,2.66,46.67,3.01,47.06,0.35000000000000003,1.42,0.35000000000000003,26.57,1.42,0.0,38.09,67.91,19.31,64.22,5.85,87.88,28.52,80.75,6.91,30.77,24.13,40.57,0.2,1.06,0.0,0.18,0.35000000000000003,0.0,0.18,7.09,52.5,4.43,28.0,0.35000000000000003,0.0,0.53,0.89,12.22,73.91,61.4,10.1,0,,0,,0,0.0,0.0,0.0,,,0.18,,2.3,2.13,0.35000000000000003,100.0,2.13,0,0
D. Lane,Dylan  Lane,511994,,Furman Paladins,,,"AMF, RAMF",AMF,55,RAMF,14,,0,25.0,2001-01-25,0,,5,498,1,1.19,1,1.12,29.28,43.83,United States,['United States'],,178,70,False,7.77,9.4,57.69,0.9,20.0,0.36,0.45,0.0,1.99,2.5,1.99,2,0.36,0,0.0,3.07,0.18,1,0.18,0.22,1,0.18,8,1.45,37.5,12.5,0.18,0.9,40.0,0.18,0.0,0.72,50.0,0.18,4.52,40.0,15.36,37.65,1.81,1.99,1.27,22.59,1.08,0.9,38.13,81.04,8.13,55.56,8.31,95.65,35.24,83.59,1.99,54.55,18.3,45.39,0.2,0.9,0.18,0.0,0.54,66.67,0.36,6.51,63.89,1.27,42.86,0.54,66.67,0.54,0.36,3.61,75.0,84.34,15.0,0,,0,,0,0.0,0.0,0.0,,,0.18,,0.9,0.0,0.0,0.0,0.0,0,0
