Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. Clark,Cooper Clark,484201,,UMKC Kangaroos,,,GK,GK,100,,0,,0,27.0,1999-01-20,0,,10,1003,0,0.0,0,0.0,0.81,100.0,United States,['United States'],,185,0,False,3.23,0.18,100.0,0.54,100.0,0.0,0.0,0.0,3.05,4.1,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,14.45,0.18,0.18,27.64,86.04,12.2,72.79,0.0,0.0,22.34,97.19,5.2,39.66,29.81,50.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87,31.25,0.18,0.0,0.0,0.0,0.0,0.0,3.23,66.67,97.01,14.99,11,0.99,49,4.4,4,77.55,10.04,0.9,-0.96,-0.08600000000000001,0.0,2.51,0.54,,,,0.0,0,0
J. Coste,Jérémy Coste,438670,,Oral Roberts Golden Eagles,,,GK,GK,100,,0,,0,27.0,1998-09-06,0,,9,930,0,0.0,0,0.0,0.48,100.0,France,['France'],,0,0,False,1.35,0.1,100.0,0.19,100.0,0.0,0.0,0.0,1.26,1.8399999999999999,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,8.03,0.1,0.19,15.87,86.59,7.16,75.68,0.0,0.0,11.61,96.67,4.26,59.09,28.36,45.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,45.45,0.1,0.0,0.1,0.0,0.0,0.0,2.81,65.52,94.59,7.16,7,0.68,30,2.9,4,76.67,7.11,0.6900000000000001,0.11,0.011,0.0,1.35,0.19,,,,0.0,0,0
T. Wright,Trevor Wright,510901,Vancouver Whitecaps II,Denver Pioneers,https://cdn5.wyscout.com/photos/team/public/g32873_120x120.png,MLS Next Pro,LCB,LCB,91,,0,,0,24.0,2002-05-29,0,2026-12-31,9,911,2,1.44,1,0.26,13.04,71.21,United States,['United States'],,190,91,False,6.03,3.66,83.78,5.83,72.88,0.1,0.14,0.30000000000000004,2.86,4.16,0.4,0,0.0,0,0.0,0.99,0.2,2,0.2,0.14,1,0.1,7,0.6900000000000001,57.14,28.571,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.59,100.0,1.98,55.0,0.89,1.38,0.0,54.73,0.30000000000000004,0.4,72.91,88.08,31.02,77.71,2.37,95.83,64.22,93.54,8.59,48.28,21.76,39.24,0.03,0.2,0.0,0.0,0.0,0.0,0.2,9.68,65.31,0.59,33.33,0.79,62.5,0.30000000000000004,0.0,16.0,82.1,96.79,33.89,0,,0,,0,0.0,0.0,0.0,,,1.19,,5.83,0.0,0.0,0.0,0.0,0,0
S. Kacich,Seth Kacich,-181368,,UMKC Kangaroos,,,RCB,RCB,99,,0,,0,24.0,2001-07-02,0,,10,878,0,0.4,0,0.05,10.35,62.38,United States,['United States'],,188,82,False,8.51,3.9,57.89,3.38,66.67,0.1,0.14,1.13,6.15,8.22,0.92,1,0.1,0,0.0,0.72,0.0,0,0.0,0.04,0,0.0,3,0.31,33.33,0.0,0.0,0.1,100.0,0.0,0.0,0.1,100.0,0.0,0.62,83.33,1.6400000000000001,62.5,0.62,0.51,0.31,32.19,0.1,0.8200000000000001,51.77,80.79,23.17,65.49,2.77,100.0,43.46,88.44,8.2,40.0,23.42,41.98,0.0,0.21,0.0,0.0,0.0,0.0,0.1,8.3,51.85,0.8200000000000001,25.0,0.41000000000000003,0.0,0.21,0.1,11.58,64.6,94.32,23.47,0,,0,,0,0.0,0.0,0.0,,,2.77,,3.38,0.0,0.0,0.0,0.1,0,0
C. Koffi,Christian Koffi,-278157,,UMKC Kangaroos,,,"CF, LWF",CF,60,LWF,12,,0,26.0,1999-11-08,0,,10,872,4,4.13,0,0.31,27.04,32.82,France,['France'],unknown,178,0,False,4.13,5.16,50.0,1.44,28.57,0.1,0.13,0.0,1.44,1.76,2.48,1,0.1,0,0.0,5.37,0.41000000000000003,4,0.41000000000000003,0.43,2,0.21,48,4.95,35.42,8.333,0.0,1.24,16.67,0.93,22.22,0.31,0.0,0.21,5.26,49.02,17.44,31.95,4.95,2.37,0.62,13.93,1.55,0.62,18.27,68.93,5.16,56.0,4.03,89.74,16.1,74.36,1.03,40.0,18.42,24.25,0.03,0.41000000000000003,0.1,0.0,1.03,80.0,0.31,2.27,50.0,1.75,29.41,1.1400000000000001,63.64,0.72,0.21,1.96,68.42,70.18,5.88,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.44,0.0,0.0,0.0,0.0,0,0
J. Belloli,Jason Belloli,-169312,,Denver Pioneers,,,RCB,RCB,91,,0,,0,23.0,2003-02-17,0,,9,870,2,1.32,0,0.18,9.72,62.77,United States,['United States'],,190,88,False,5.17,2.59,56.0,4.97,77.08,0.0,0.0,0.21,3.7199999999999998,5.4,0.8300000000000001,1,0.1,0,0.0,0.31,0.21,2,0.21,0.14,2,0.21,10,1.03,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.52,20.0,1.24,0.21,0.0,55.76,0.31,0.52,70.97,89.94,32.59,83.81,1.76,88.24,63.0,94.91,7.97,50.65,21.42,41.84,0.02,0.1,0.0,0.0,0.0,0.0,0.0,8.28,60.0,0.21,0.0,0.52,20.0,0.1,0.0,13.86,82.09,95.74,31.55,0,,0,,0,0.0,0.0,0.0,,,1.1400000000000001,,4.97,0.0,0.0,0.0,0.0,0,0
C. Lindsey,Carson Lindsey,-242893,,UMKC Kangaroos,,,RB,RB,82,,0,,0,25.0,2000-11-11,0,,10,843,0,0.41000000000000003,0,0.30000000000000004,19.64,67.93,United States,['United States'],unknown,183,0,False,13.88,9.5,64.04,4.91,73.91,1.28,1.65,0.85,6.51,8.39,1.07,1,0.11,0,0.0,1.71,0.0,0,0.0,0.04,0,0.0,4,0.43,50.0,0.0,0.0,1.71,37.5,0.0,0.0,1.71,37.5,0.43,1.17,63.64,3.52,66.67,0.96,0.96,0.11,23.81,1.6,1.6,34.7,69.23,15.59,56.85,3.63,91.18,28.29,75.85,4.7,40.91,20.96,35.55,0.03,0.64,0.0,0.0,0.32,33.33,0.11,6.19,58.62,1.6,20.0,0.53,20.0,0.53,0.53,9.93,58.06,80.2,10.78,0,,0,,0,0.0,0.0,0.0,,,0.96,,4.91,0.0,0.0,0.0,0.0,0,0
R. Bosquiero,Romulo Bosquiero,-276436,,Oral Roberts Golden Eagles,,,"LCB, RCB",LCB,82,RCB,13,,0,,,0,,9,827,1,0.51,0,0.89,8.81,58.02,Brazil,['Brazil'],unknown,188,0,False,6.53,3.37,87.1,2.18,45.0,0.0,0.0,0.44,3.59,5.27,0.11,0,0.0,0,0.0,0.65,0.11,1,0.11,0.06,1,0.11,5,0.54,40.0,20.0,0.0,0.33,66.67,0.11,100.0,0.11,100.0,0.11,0.33,66.67,1.74,43.75,1.31,0.54,0.33,35.91,0.11,0.76,49.95,85.84,19.7,70.72,1.85,94.12,41.25,94.46,8.38,44.16,23.46,40.72,0.1,0.22,0.0,0.0,0.0,0.0,0.11,6.2,43.86,0.76,28.57,0.33,0.0,0.22,0.11,8.16,60.0,96.49,24.81,0,,0,,0,0.0,0.0,0.0,,,1.31,,2.18,0.0,0.0,0.0,0.0,0,0
A. Meissner,Alec Meissner,-353266,,Southern Indiana Screaming Eagles,,,GK,GK,100,,0,,0,,,0,,8,796,0,0.0,0,0.0,1.02,77.78,United States,['United States'],unknown,190,78,False,2.04,0.11,0.0,0.68,100.0,0.0,0.0,0.0,2.04,2.01,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.23,50.0,0.0,0.0,0.0,6.5600000000000005,0.0,0.23,16.85,74.5,13.34,69.49,0.0,0.0,4.64,95.12,12.1,67.29,44.1,50.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18,51.35,0.23,0.0,0.0,0.0,0.0,0.0,9.16,82.72,96.55,3.2800000000000002,21,2.37,68,7.69,1,69.12,19.85,2.24,-1.15,-0.13,0.0,2.26,0.68,,,,0.0,0,0
R. Wynne,Ronan Desmond Wynne,-205418,Auckland FC II,Denver Pioneers,https://cdn5.wyscout.com/photos/team/public/g-24732_120x120.png,National League,RB,RB,91,,0,,0,25.0,2001-05-28,0,,9,780,0,0.61,2,2.19,19.85,57.56,New Zealand,"['New Zealand', 'England']",,0,0,False,6.8100000000000005,6.35,56.36,4.5,69.23,0.12,0.15,0.12,3.12,4.05,1.27,2,0.23,0,0.0,5.19,0.0,0,0.0,0.07,0,0.0,7,0.81,14.29,0.0,0.23,4.85,45.24,0.0,0.0,4.85,45.24,1.04,4.27,64.86,6.46,50.0,1.96,2.54,0.58,24.69,2.08,0.81,36.69,74.84,14.54,65.08,6.12,88.68,26.31,87.28,5.65,42.86,21.82,39.51,0.25,1.96,0.35000000000000003,0.0,0.12,100.0,0.58,4.5,48.72,4.73,53.66,0.58,40.0,0.81,1.96,9.0,78.21,82.65,11.31,0,,0,,0,0.0,0.0,0.0,,,0.92,,4.5,0.0,0.0,0.0,0.0,0,0
