Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Conlon,Sebastian Conlon,-127567,Ventura County,JMU Dukes,https://cdn5.wyscout.com/photos/team/public/g27577_120x120.png,MLS Next Pro,GK,GK,100,,0,,0,23.0,2003-06-02,0,2026-12-31,11,1117,0,0.0,0,0.0,1.37,70.59,United States,['United States'],,189,81,False,2.8200000000000003,0.16,50.0,0.89,90.91,0.0,0.0,0.0,2.74,3.48,0.0,2,0.16,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.0,7.49,0.16,0.16,16.28,86.14,10.15,79.37,0.0,0.0,10.15,98.41,6.12,65.79,29.02,44.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,42.86,0.08,0.0,0.0,0.0,0.0,0.0,3.95,67.35,96.88,5.16,12,0.97,44,3.55,5,72.73,14.41,1.16,2.41,0.194,0.0,2.34,0.89,,,,0.0,0,0
M. Anshelm,Melker Anshelm,-239985,,JMU Dukes,,,RCB,RCB,97,,0,,0,,,0,,11,1108,0,0.86,0,0.04,13.48,62.65,Sweden,['Sweden'],unknown,189,81,False,9.02,5.12,73.02,4.87,51.67,0.16,0.21,0.49,5.12,6.47,0.49,1,0.08,0,0.0,0.65,0.0,0,0.0,0.07,0,0.0,7,0.5700000000000001,42.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41000000000000003,100.0,1.79,59.09,0.73,0.41000000000000003,0.08,29.57,0.65,0.73,45.16,86.51,20.47,79.76,2.52,96.77,40.53,91.58,4.63,42.11,20.3,39.39,0.0,0.08,0.0,0.0,0.0,0.0,0.0,4.71,62.07,0.16,0.0,0.16,0.0,0.0,0.0,8.69,64.49,91.77,18.76,0,,0,,0,0.0,0.0,0.0,,,2.03,,4.87,0.0,0.0,0.0,0.0,0,0
C. Strine,Chay Strine,-240028,,JMU Dukes,,,"RDMF, LDMF",RDMF,60,LDMF,30,,0,,,0,,11,1099,0,0.11,0,0.07,19.49,54.2,United States,['United States'],unknown,180,77,False,12.53,8.43,58.25,3.85,59.57,0.25,0.31,0.25,7.37,9.31,0.8200000000000001,1,0.08,0,0.0,0.74,0.0,0,0.0,0.01,0,0.0,7,0.5700000000000001,14.29,0.0,0.0,0.33,50.0,0.0,0.0,0.33,50.0,0.0,0.74,44.44,3.85,44.68,0.25,0.8200000000000001,0.16,36.28,0.49,1.47,53.72,84.76,17.36,70.28,8.27,96.04,46.27,89.2,7.12,57.47,19.98,36.43,0.01,0.16,0.0,0.0,0.49,33.33,0.0,8.93,67.89,1.6400000000000001,45.0,0.98,16.67,0.41000000000000003,0.16,9.01,70.0,94.49,20.8,0,,0,,0,0.0,0.0,0.0,,,0.74,,3.85,0.16,0.0,0.0,0.0,0,0
L. Rodrigues,Lucca Rodrigues,-278340,,Kentucky Wildcats,,,RCB,RCB,100,,0,,0,,,0,,11,1093,1,2.7,0,0.51,13.42,57.67,Brazil,['Brazil'],unknown,185,90,False,8.73,4.78,75.86,4.61,53.57,0.33,0.49,0.58,4.78,7.1,0.58,1,0.08,0,0.0,0.74,0.08,0,0.0,0.22,0,0.0,9,0.74,22.22,11.111,0.0,0.25,66.67,0.08,0.0,0.16,100.0,0.08,0.49,66.67,2.96,38.89,1.07,2.96,0.25,49.57,0.66,0.33,66.94,91.27,22.73,80.43,3.46,92.86,57.8,95.58,8.89,63.89,23.5,37.33,0.04,0.25,0.0,0.16,0.16,50.0,0.08,9.06,79.09,0.99,66.67,0.66,25.0,0.74,0.16,10.79,80.92,97.82,37.8,0,,0,,0,0.0,0.0,0.0,,,2.39,,4.61,0.0,0.0,0.0,0.0,1,100
L. Grassow,Luis Grassow,492580,,Kentucky Wildcats,,,LCB,LCB,100,,0,,0,27.0,1998-07-08,0,,11,1078,2,1.56,0,0.17,12.86,69.48,Germany,['Germany'],right,185,91,False,8.01,4.09,75.51,5.76,68.12,0.25,0.38,0.67,4.68,7.0,0.33,0,0.0,0,0.0,0.42,0.17,2,0.17,0.13,0,0.0,9,0.75,44.44,22.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,1.8399999999999999,81.82,1.0,1.25,0.08,55.19,0.33,1.5,70.8,91.04,24.38,80.14,2.0,95.83,60.45,95.3,10.35,66.13,24.24,40.99,0.01,0.08,0.0,0.0,0.0,0.0,0.0,9.27,70.27,0.58,28.57,0.42,40.0,0.25,0.0,12.19,78.77,97.31,40.41,0,,0,,0,0.0,0.0,0.0,,,1.42,,5.76,0.08,0.0,0.0,0.0,0,0
M. Miller,Max Miller,-331757,Kentucky Wildcats,Kentucky Wildcats,https://cdn5.wyscout.com/photos/team/public/g-2310_120x120.png,NCAA D1 Sun Belt,"LB, RB",LB,83,RB,16,,0,23.0,2003-03-09,0,,11,1077,0,0.48,3,1.03,17.63,56.87,United States,['United States'],unknown,0,0,False,9.53,7.1,67.06,1.92,47.83,0.58,0.85,0.08,4.18,6.07,0.75,1,0.08,0,0.0,3.34,0.0,0,0.0,0.04,0,0.0,5,0.42,40.0,0.0,0.25,1.92,34.78,1.0,16.67,0.92,54.55,0.25,3.59,67.44,7.1,52.94,0.67,4.35,1.5,40.53,2.92,0.92,53.06,88.5,16.04,78.13,8.86,97.17,47.97,93.03,3.26,51.28,18.52,33.18,0.09,0.84,0.0,0.08,0.5,16.67,0.58,4.85,72.41,2.67,40.63,0.5,16.67,0.67,0.58,8.94,84.11,93.23,20.97,0,,0,,0,0.0,0.0,0.0,,,0.84,,1.92,0.0,0.0,0.0,0.0,0,0
G. Rankenburg,Gunther Rankenburg,-195573,Connecticut FC,Georgia State Panthers,https://cdn5.wyscout.com/photos/team/public/g-25653_120x120.png,MLS Next Pro,GK,GK,100,,0,,0,26.0,1999-10-05,0,2026-12-31,10,1034,0,0.0,0,0.0,1.31,86.67,United States,['United States'],,190,92,False,1.3900000000000001,0.17,50.0,0.96,100.0,0.0,0.0,0.0,1.31,1.5,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,50.0,0.0,0.0,0.0,8.7,0.26,0.35000000000000003,14.97,73.26,10.88,66.4,0.0,0.0,6.7,90.91,7.92,60.44,39.71,50.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,54.17,0.17,50.0,0.17,50.0,0.09,0.0,6.53,66.67,97.56,3.5700000000000003,22,1.9100000000000001,63,5.48,1,65.08,18.6,1.62,-3.4,-0.296,0.0,1.65,0.96,,,,0.0,0,0
R. Munoz,Ramon Munoz,-195567,Apotheos,Georgia State Panthers,https://cdn5.wyscout.com/photos/team/public/g-21153_120x120.png,,LB,LB,100,,0,,0,26.0,2000-03-09,0,,10,1034,0,0.46,2,1.2,20.63,59.49,United States,['United States'],,188,88,False,11.23,8.79,65.35,4.79,56.36,0.52,0.6000000000000001,0.52,4.96,5.7,1.13,0,0.0,0,0.0,1.3900000000000001,0.0,0,0.0,0.04,0,0.0,2,0.17,0.0,0.0,0.17,0.26,33.33,0.26,33.33,0.0,0.0,0.0,1.31,86.67,4.44,52.94,0.52,1.13,0.52,22.2,0.44,1.04,36.03,71.74,22.28,65.63,1.3900000000000001,93.75,29.77,79.82,6.01,33.33,21.56,39.48,0.1,0.44,0.0,0.0,0.35000000000000003,50.0,0.52,8.36,60.42,1.3900000000000001,31.25,1.3900000000000001,31.25,0.61,0.09,10.53,67.77,86.27,8.88,0,,0,,0,0.0,0.0,0.0,,,0.52,,4.79,0.0,0.0,0.0,0.0,0,0
C. Holstad,Clay Holstad,514884,Rhode Island,Kentucky Wildcats,https://cdn5.wyscout.com/photos/team/public/g-19754_120x120.png,USL Championship,"LDMF, RDMF",LDMF,51,RDMF,45,,0,26.0,2000-01-12,100000,2026-11-30,11,1008,0,1.09,2,1.2,21.25,56.72,United States,['United States'],right,183,73,False,12.86,8.84,68.69,3.13,60.0,0.36,0.5,0.18,6.43,8.93,0.8,3,0.27,0,0.0,1.25,0.0,0,0.0,0.1,0,0.0,8,0.71,25.0,0.0,0.18,0.89,20.0,0.09,100.0,0.8,11.11,0.0,1.43,62.5,6.07,39.71,0.54,1.96,0.36,39.91,0.0,1.25,59.02,87.29,21.96,76.83,7.59,96.47,52.86,90.88,5.36,61.67,18.86,42.87,0.11,0.8,0.18,0.18,0.27,0.0,0.27,13.21,78.38,2.23,60.0,0.27,0.0,1.25,0.27,11.52,85.27,92.65,21.88,0,,0,,0,0.0,0.0,0.0,,,0.27,,3.13,0.0,0.0,0.0,0.0,0,0
R. Screen,Robert Screen,497673,,Kentucky Wildcats,,,"RB, LB",RB,89,LB,10,,0,26.0,2000-05-25,0,,11,1007,0,1.13,1,3.61,18.5,48.31,United States,['United States'],,175,65,False,11.08,10.46,55.56,1.52,35.29,0.09,0.13,0.27,5.18,7.7,0.71,2,0.18,0,0.0,3.04,0.0,0,0.0,0.1,0,0.0,10,0.89,50.0,0.0,0.09,4.38,28.57,0.54,16.67,3.84,30.23,0.54,2.77,45.16,4.5600000000000005,43.14,1.07,2.06,0.89,40.58,4.02,0.89,54.79,80.59,20.65,72.73,7.69,95.35,46.39,86.9,4.29,62.5,20.33,39.58,0.32,1.7000000000000002,0.27,0.0,0.36,25.0,0.45,10.72,75.83,5.45,40.98,0.27,0.0,1.52,1.34,15.46,86.71,84.3,19.93,0,,0,,0,0.0,0.0,0.0,,,0.54,,1.52,0.89,0.09,0.0,2.86,1,0
A. Denk,Aaron Denk Gracia,-215304,,West Virginia Mountaineers,,,"RCB, LCB3, RCB3",RCB,70,LCB3,18,RCB3,11,,,0,,10,1001,0,0.0,1,0.36,14.75,64.02,Germany,"['Germany', 'United States']",unknown,190,90,False,9.8,6.2,69.57,4.68,55.77,0.09,0.14,0.45,5.39,8.22,0.63,1,0.09,0,0.0,0.36,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.09,0.09,100.0,0.09,100.0,0.0,0.0,0.0,0.36,75.0,1.44,68.75,0.18,1.8900000000000001,0.36,40.73,0.63,0.81,60.87,84.64,26.07,72.41,4.95,96.36,52.69,90.78,8.09,44.44,21.81,43.51,0.03,0.09,0.0,0.0,0.09,0.0,0.09,9.98,59.46,0.81,22.22,0.81,33.33,0.18,0.09,11.6,68.99,96.55,23.47,0,,0,,0,0.0,0.0,0.0,,,3.06,,4.68,0.0,0.0,0.0,0.0,0,0
T. Clegg,Tyler Clegg,-240029, Northern Virginia,JMU Dukes,https://cdn5.wyscout.com/photos/team/public/g35719_120x120.png,PDL,LCB,LCB,97,,0,,0,26.0,2000-05-01,0,,10,1000,3,3.0,0,0.08,13.05,64.83,United States,['United States'],unknown,190,89,False,10.53,5.04,67.86,2.9699999999999998,81.82,0.72,0.93,0.72,6.39,8.26,0.54,3,0.27,0,0.0,1.26,0.27,0,0.0,0.27,0,0.0,12,1.08,33.33,25.0,0.0,0.18,50.0,0.18,50.0,0.0,0.0,0.0,1.35,60.0,3.6,52.5,0.63,3.7800000000000002,0.72,34.92,0.27,0.63,52.74,81.91,28.62,74.53,1.26,71.43,42.48,86.44,10.08,63.39,24.05,46.09,0.01,0.27,0.0,0.0,0.18,0.0,0.18,10.62,66.1,1.35,26.67,0.72,25.0,0.36,0.09,15.21,78.11,94.63,18.45,0,,0,,0,0.0,0.0,0.0,,,0.27,,2.9699999999999998,0.27,0.27,0.0,0.0,3,100
J. Blanton,Josiah Blanton,-239961,,JMU Dukes,,,LB,LB,89,,0,,0,,,0,,11,999,0,0.27,0,1.3,14.77,53.66,United States,['United States'],unknown,185,81,False,8.47,6.04,71.64,2.61,44.83,0.0,0.0,0.18,4.14,5.07,0.36,0,0.0,0,0.0,1.8,0.0,0,0.0,0.02,0,0.0,2,0.18,50.0,0.0,0.0,2.25,40.0,2.16,41.67,0.09,0.0,0.36,1.8,40.0,3.87,34.88,0.99,2.43,0.27,28.02,1.98,0.36,39.82,78.51,17.21,70.16,5.77,93.75,33.24,85.09,4.32,47.92,20.8,36.15,0.12,0.72,0.0,0.0,0.27,33.33,0.45,5.41,66.67,2.61,51.72,0.45,20.0,0.72,1.26,10.45,66.38,81.75,11.35,0,,0,,0,0.0,0.0,0.0,,,0.9,,2.61,0.0,0.0,0.0,0.0,0,0
