Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Oladapo,Kashope Oladapo,505452,Portland Hearts of Pine,Portland Pilots,https://cdn5.wyscout.com/photos/team/public/g-22932_120x120.png,USL League 1,GK,GK,100,,0,,0,24.0,2002-05-01,0,2026-11-30,7,728,0,0.0,0,0.0,0.0,0.0,United States,"['United States', 'Nigeria']",left,195,88,False,1.3599999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3599999999999999,2.2,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.17,0.0,0.0,13.35,86.11,6.68,72.22,0.0,0.0,8.53,98.55,4.82,64.1,30.72,43.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,60.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59,75.86,100.0,5.69,3,0.37,16,1.98,4,81.25,2.36,0.29,-0.64,-0.079,0.0,0.49,0.0,,,,0.0,0,0
J. Chavez,Javier Chavez,513617,,Pacific Tigers,,,"RCB, LCB",RCB,79,LCB,13,,0,23.0,2002-07-27,0,,7,721,0,0.18,0,0.0,9.36,49.33,United States,['United States'],,180,74,False,7.86,4.49,52.78,2.87,47.83,0.5,0.77,0.62,4.99,7.69,0.25,2,0.25,0,0.0,0.25,0.0,0,0.0,0.02,0,0.0,2,0.25,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.25,100.0,0.87,57.14,0.25,0.5,0.0,39.82,0.12,0.5,59.42,88.66,24.97,79.0,1.62,92.31,46.81,96.0,12.48,62.0,24.68,41.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.49,68.42,0.87,0.0,0.87,28.57,0.0,0.0,10.36,78.31,96.35,27.34,0,,0,,0,0.0,0.0,0.0,,,1.25,,2.87,0.0,0.0,0.0,0.0,0,0
B. Fidelak,Braden Fidelak,510782,Boulder Harpos,LMU Lions,https://cdn5.wyscout.com/photos/team/public/g-23473_120x120.png,,"RCB3, DMF, LCMF",RCB3,20,DMF,20,LCMF,15,24.0,2001-12-30,0,,7,715,0,0.19,0,0.01,17.24,63.5,United States,['United States'],,191,88,False,10.45,8.18,66.15,4.91,74.36,0.5,0.58,0.38,4.53,5.22,1.38,1,0.13,0,0.0,0.0,0.0,0,0.0,0.02,0,0.0,2,0.25,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.13,0.0,0.0,0.25,0.0,1.38,54.55,0.63,0.63,0.13,19.38,0.76,0.63,32.6,84.94,13.22,75.24,2.52,95.0,29.2,88.79,3.27,53.85,20.94,28.83,0.0,0.13,0.0,0.0,0.0,0.0,0.13,4.53,75.0,0.25,100.0,0.0,0.0,0.5,0.0,8.18,70.77,94.23,13.09,0,,0,,0,0.0,0.0,0.0,,,0.38,,4.91,0.0,0.0,0.0,0.0,0,0
F. Moustafa,Farhan Moustafa,-468728,Gonzaga Bulldogs,Gonzaga Bulldogs,https://cdn5.wyscout.com/photos/team/public/g-2953_120x120.png,NCAA D1 West Coast,LCB3,LCB3,90,,0,,0,,,0,,7,714,0,0.03,0,0.2,14.75,56.41,United States,['United States'],unknown,0,0,False,12.1,8.45,67.16,1.6400000000000001,38.46,0.63,0.72,0.25,5.8,6.67,0.76,1,0.13,0,0.0,0.76,0.0,0,0.0,0.0,0,0.0,1,0.13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,71.43,2.65,42.86,0.0,1.76,0.0,29.5,1.01,0.25,48.15,83.51,21.81,72.83,3.7800000000000002,86.67,42.86,88.24,5.29,45.24,20.61,36.15,0.02,0.38,0.0,0.0,0.0,0.0,0.13,5.29,57.14,0.25,50.0,0.13,0.0,0.13,0.0,10.34,57.32,96.45,17.77,0,,0,,0,0.0,0.0,0.0,,,0.63,,1.6400000000000001,0.13,0.0,0.0,0.0,0,0
E. Warne,Ethan Warne,-356626,San Diego Toreros,San Diego Toreros,https://cdn5.wyscout.com/photos/team/public/g-2362_120x120.png,NCAA D1 West Coast,"LCB3, LB",LCB3,85,LB,14,,0,,,0,,7,714,0,0.0,0,0.13,19.29,58.17,England,['England'],unknown,188,86,False,9.2,8.57,57.35,3.66,68.97,0.0,0.0,0.25,4.29,5.28,1.26,1,0.13,0,0.0,1.51,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.63,40.0,0.63,40.0,0.0,0.0,0.0,1.76,71.43,4.92,58.97,0.13,3.03,0.38,35.42,1.26,0.88,48.66,81.87,24.08,73.3,4.79,89.47,43.11,87.72,4.92,35.9,18.75,34.5,0.02,0.13,0.0,0.0,0.25,0.0,0.13,8.07,64.06,1.51,50.0,0.88,42.86,0.25,0.25,11.22,76.4,94.17,12.98,0,,0,,0,0.0,0.0,0.0,,,0.88,,3.66,0.0,0.0,0.0,0.0,0,0
C. Ludosan,Carl Luis Ludosan,518190,,San Diego Toreros,,,GK,GK,100,,0,,0,25.0,2001-01-30,0,,7,714,0,0.0,0,0.0,1.13,77.78,Germany,"['Germany', 'Romania']",,201,105,False,1.26,0.13,100.0,0.76,83.33,0.0,0.0,0.0,1.13,1.4,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.59,0.0,0.13,17.65,79.29,8.07,59.38,0.0,0.0,10.08,97.5,7.5600000000000005,55.0,32.39,45.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,44.44,0.0,0.0,0.0,0.0,0.0,0.0,5.55,59.09,95.89,9.2,7,0.88,26,3.2800000000000002,4,73.08,6.43,0.81,-0.5700000000000001,-0.07200000000000001,0.0,1.13,0.76,,,,0.0,0,0
A. Sandhu,Aaron Sandhu,-280353,,Santa Clara Broncos,,,CB,CB,90,,0,,0,,,0,,7,708,0,0.0,0,0.0,5.34,61.9,United States,['United States'],unknown,183,83,False,8.26,2.67,76.19,1.53,58.33,0.38,0.45,0.38,5.85,6.83,0.25,1,0.13,0,0.0,0.25,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.51,50.0,0.13,0.0,0.38,66.67,0.25,0.0,0.0,0.51,50.0,0.25,0.38,0.0,16.27,0.0,0.13,25.17,87.37,9.15,73.61,3.31,100.0,20.72,94.48,3.94,54.84,23.25,35.27,0.0,0.0,0.0,0.13,0.0,0.0,0.0,2.42,68.42,0.76,50.0,0.0,0.0,0.13,0.25,4.58,66.67,96.43,10.68,0,,0,,0,0.0,0.0,0.0,,,3.05,,1.53,0.0,0.0,0.0,0.0,0,0
Y. Aidlberg,Yoni Aidlberg,-272397,,Santa Clara Broncos,,,RCB3,RCB3,90,,0,,0,,,0,,7,708,0,0.01,2,0.39,14.11,63.06,United States,['United States'],unknown,176,72,False,10.17,6.74,75.47,3.18,48.0,0.25,0.30000000000000004,0.51,4.83,5.64,0.38,0,0.0,0,0.0,1.02,0.0,0,0.0,0.0,0,0.0,1,0.13,0.0,0.0,0.25,1.65,46.15,0.0,0.0,1.4,36.36,0.25,0.51,50.0,2.54,65.0,0.0,2.29,0.13,24.92,0.89,0.64,42.58,74.03,25.81,66.01,4.32,91.18,27.84,86.3,13.09,51.46,24.32,37.58,0.05,0.38,0.13,0.0,0.0,0.0,0.13,11.69,63.04,3.18,48.0,1.02,37.5,1.02,0.76,14.62,73.04,84.62,9.92,0,,0,,0,0.0,0.0,0.0,,,0.76,,3.18,0.13,0.0,0.0,0.0,0,0
J. Stoecker,Jack Stoecker,-227825,,Santa Clara Broncos,,,GK,GK,100,,0,,0,,,0,,7,708,0,0.0,0,0.0,1.1400000000000001,77.78,United States,['United States'],,200,97,False,1.27,0.13,100.0,0.64,80.0,0.0,0.0,0.0,1.1400000000000001,1.34,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,50.0,0.0,0.0,0.0,8.39,0.0,0.13,17.67,78.42,11.95,69.15,0.0,0.0,6.86,96.3,10.81,67.06,37.76,45.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1400000000000001,77.78,0.0,0.0,0.0,0.0,0.0,0.0,8.26,78.46,97.56,5.21,6,0.76,32,4.07,3,81.25,6.14,0.78,0.14,0.018000000000000002,0.0,1.9100000000000001,0.64,,,,0.0,0,0
R. Roberts,Reid Roberts,-355487,SJ Earthquakes,San Francisco Dons,https://cdn5.wyscout.com/photos/team/public/697_120x120.png,MLS Next Pro,"RCB3, RCB",RCB3,66,RCB,28,,0,22.0,2003-12-09,0,2026-12-31,7,706,0,0.6900000000000001,0,0.1,22.18,60.92,United States,['United States'],unknown,185,0,False,13.64,11.09,72.41,5.23,48.78,0.13,0.17,0.51,5.48,7.17,1.15,0,0.0,0,0.0,1.15,0.0,0,0.0,0.09,0,0.0,6,0.76,50.0,0.0,0.0,0.25,100.0,0.0,0.0,0.25,100.0,0.0,0.76,66.67,2.8,45.45,0.76,0.64,0.13,30.21,0.38,0.25,46.66,86.89,19.12,76.0,2.8,90.91,38.88,92.79,7.52,55.93,22.1,37.45,0.01,0.38,0.0,0.0,0.0,0.0,0.13,4.97,74.36,0.64,80.0,0.25,50.0,0.25,0.25,10.96,70.93,96.34,20.91,0,,0,,0,0.0,0.0,0.0,,,0.51,,5.23,0.0,0.0,0.0,0.0,0,0
