Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
H. Lemos,Hugo Lemos,-479782,UNLV Rebels,UNLV Rebels,https://cdn5.wyscout.com/photos/team/public/g-2999_120x120.png,NCAA D1 Western Athletic,GK,GK,100,,0,,0,,,0,,11,1216,0,0.0,0,0.0,0.81,90.91,Spain,['Spain'],unknown,0,0,False,0.89,0.07,0.0,0.67,100.0,0.0,0.0,0.0,0.89,1.07,0.07,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.29,0.07,0.0,12.14,78.66,6.96,63.83,0.0,0.0,5.85,100.0,6.29,58.82,32.9,45.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,47.06,0.0,0.0,0.0,0.0,0.0,0.0,4.07,69.09,98.31,4.37,14,1.04,55,4.07,2,74.55,16.6,1.23,2.6,0.192,0.0,1.33,0.67,,,,0.0,0,0
B. Howard,Brophy Howard,-226829,,UNLV Rebels,,,"LB, LW",LB,62,LW,28,,0,,,0,,11,1199,0,1.28,1,1.45,17.49,53.65,United States,['United States'],,178,0,False,9.38,6.38,67.06,4.35,48.28,0.23,0.27,0.15,4.88,5.8,0.8300000000000001,1,0.08,0,0.0,2.4,0.0,0,0.0,0.1,0,0.0,17,1.28,29.41,0.0,0.08,2.55,26.47,2.48,27.27,0.08,0.0,0.45,2.63,51.43,4.28,43.86,1.5,1.13,0.23,17.64,1.5,1.2,27.25,68.32,10.73,55.24,5.1,95.59,21.92,78.08,2.93,30.77,21.23,39.45,0.11,0.6000000000000001,0.0,0.0,0.08,0.0,0.38,4.58,54.1,2.85,42.11,0.38,20.0,0.68,0.8300000000000001,6.83,60.44,69.39,7.36,0,,0,,0,0.0,0.0,0.0,,,0.30000000000000004,,4.35,0.08,0.08,0.0,0.0,0,0
N. Lopez,Nico Lopez,512450,,UNLV Rebels,,,"CF, AMF",CF,70,AMF,14,,0,24.0,2001-11-01,0,,11,1178,5,3.07,1,2.52,12.53,37.8,United States,['United States'],,175,60,False,3.06,2.83,59.46,2.22,24.14,0.0,0.0,0.08,1.38,1.6099999999999999,0.61,2,0.15,0,0.0,2.52,0.38,5,0.38,0.23,1,0.08,21,1.6,47.62,23.81,0.08,0.76,40.0,0.31,50.0,0.46,33.33,0.15,2.75,41.67,5.04,33.33,2.6,0.84,0.23,12.91,0.92,0.31,20.93,79.93,7.11,61.29,4.8100000000000005,98.41,17.88,85.9,2.29,46.67,18.42,26.12,0.19,1.3,0.0,0.0,0.46,66.67,0.38,3.51,63.04,1.9100000000000001,52.0,0.76,40.0,1.15,0.38,3.74,71.43,82.05,5.96,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.22,1.83,0.23,66.67,1.3,1,0
M. Madrid,Mikah Madrid,-482045,UNLV Rebels,UNLV Rebels,https://cdn5.wyscout.com/photos/team/public/g-2999_120x120.png,NCAA D1 Western Athletic,RB,RB,98,,0,,0,,,0,,11,1165,1,0.16,1,0.63,17.85,56.71,Mexico,['Mexico'],unknown,0,0,False,11.43,9.42,62.3,2.63,58.82,0.62,0.72,0.46,4.94,5.78,0.85,0,0.0,0,0.0,2.01,0.08,1,0.08,0.01,0,0.0,4,0.31,100.0,25.0,0.08,1.0,53.85,0.0,0.0,1.0,53.85,0.08,1.78,60.87,3.63,55.32,0.54,0.77,0.0,18.31,1.3900000000000001,1.0,28.66,76.82,11.59,66.67,4.79,90.32,24.41,81.33,3.24,50.0,18.74,29.54,0.05,0.46,0.08,0.08,0.15,50.0,0.39,4.17,66.67,1.55,60.0,0.08,0.0,0.39,0.54,6.95,66.67,86.14,7.8,0,,0,,0,0.0,0.0,0.0,,,0.54,,2.63,0.0,0.0,0.0,0.0,0,0
J. Craig,Jonah Craig,-361709,UNLV Rebels,UNLV Rebels,https://cdn5.wyscout.com/photos/team/public/g-2999_120x120.png,NCAA D1 Western Athletic,"LCMF, RCMF",LCMF,62,RCMF,28,,0,,,0,,11,1125,0,0.19,0,0.1,14.0,49.14,United States,['United States'],unknown,0,0,False,7.52,6.0,57.33,2.7199999999999998,52.94,0.16,0.19,0.4,3.92,4.68,1.04,3,0.24,0,0.0,0.32,0.0,0,0.0,0.01,0,0.0,6,0.48,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.56,57.14,2.48,45.16,0.24,0.16,0.0,16.24,0.08,1.28,25.76,79.5,8.56,55.14,4.48,96.43,22.4,83.57,3.2800000000000002,53.66,19.92,29.01,0.01,0.24,0.08,0.08,0.0,0.0,0.0,4.96,56.45,0.56,57.14,0.24,100.0,0.32,0.0,4.5600000000000005,68.42,90.68,9.44,0,,0,,0,0.0,0.0,0.0,,,0.24,,2.7199999999999998,0.72,0.0,0.0,0.4,0,0
L. Hiepen,Louis Hiepen,496895,Rödinghausen,UNLV Rebels,https://cdn5.wyscout.com/photos/team/public/g24885_120x120.png,Regionalliga West,LCB,LCB,99,,0,,0,26.0,2000-06-24,0,2027-06-30,10,1048,1,1.5899999999999999,0,0.0,8.07,59.57,Germany,['Germany'],,191,0,False,6.53,2.4,71.43,3.35,61.54,0.17,0.2,0.6900000000000001,4.64,5.49,0.26,2,0.17,0,0.0,0.17,0.09,1,0.09,0.14,0,0.0,9,0.77,22.22,11.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,75.0,0.9400000000000001,0.34,0.0,31.86,0.17,0.43,45.86,81.27,22.59,65.4,1.8,90.48,32.72,93.18,13.14,51.63,26.83,41.82,0.0,0.0,0.17,0.09,0.0,0.0,0.0,11.42,57.89,0.6000000000000001,28.57,0.52,16.67,0.17,0.0,12.11,80.85,97.74,18.98,0,,0,,0,0.0,0.0,0.0,,,1.29,,3.35,0.0,0.0,0.0,0.0,0,0
L. Gelebart,Lucas Gelebart,-270980,UNLV Rebels,UNLV Rebels,https://cdn5.wyscout.com/photos/team/public/g-2999_120x120.png,NCAA D1 Western Athletic,"RW, LW",RW,64,LW,23,,0,23.0,2002-07-28,0,,11,1035,2,2.61,1,1.31,21.39,44.31,France,['France'],unknown,0,0,False,5.65,6.26,51.39,3.3,50.0,0.43,0.45,0.0,2.0,2.06,1.9100000000000001,1,0.09,0,0.0,3.83,0.17,2,0.17,0.23,0,0.0,17,1.48,41.18,11.765,0.09,2.87,33.33,1.83,33.33,0.96,36.36,0.09,4.87,44.64,9.3,42.99,2.52,2.26,0.7000000000000001,13.91,1.13,1.13,21.65,73.09,5.39,64.52,5.3,91.8,17.3,82.41,1.74,35.0,21.35,26.44,0.11,0.96,0.0,0.0,0.52,16.67,0.61,2.43,60.71,2.43,57.14,0.52,16.67,0.87,0.87,3.39,74.36,75.68,6.43,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.3,0.0,0.0,0.0,0.0,0,0
J. Herrera,Julian Herrera,-218274,,Utah Tech Trailblazers,,,RCB,RCB,99,,0,,0,25.0,2000-12-06,0,,10,1027,0,0.07,0,0.0,9.55,61.47,United States,['United States'],,188,0,False,8.06,3.86,72.73,3.51,62.5,0.09,0.11,1.4,5.17,6.48,0.09,0,0.0,0,0.0,0.53,0.0,0,0.0,0.01,0,0.0,2,0.18,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,100.0,1.4,37.5,0.88,0.0,0.0,28.57,1.05,0.09,41.98,84.13,21.12,77.59,2.54,86.21,33.91,91.21,8.06,54.35,23.31,43.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.05,59.42,0.35000000000000003,0.0,0.18,50.0,0.09,0.0,9.38,76.64,91.71,15.86,0,,0,,0,0.0,0.0,0.0,,,1.75,,3.51,0.0,0.0,0.0,0.0,0,0
S. Short,Stockton Short,-355346,Utah Tech Trailblazers,Utah Tech Trailblazers,https://cdn5.wyscout.com/photos/team/public/g-13332_120x120.png,NCAA D1 Western Athletic,GK,GK,100,,0,,0,,,0,,10,978,0,0.33,0,0.0,0.8300000000000001,100.0,United States,['United States'],unknown,190,0,False,1.56,0.0,0.0,0.64,100.0,0.0,0.0,0.0,1.56,1.98,0.0,0,0.0,0,0.0,0.09,0.0,0,0.0,0.03,0,0.0,3,0.28,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.28,0.0,0.0,12.52,0.28,0.28,21.17,84.78,11.32,75.61,0.0,0.0,13.9,96.69,7.18,62.82,32.18,49.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,40.91,0.0,0.0,0.0,0.0,0.0,0.0,5.34,70.69,96.08,9.39,13,1.2,40,3.68,3,67.5,12.58,1.16,-0.42,-0.039,0.0,2.02,0.64,,,,0.0,0,0
T. Minard,Theo Minard,508622,,UNLV Rebels,,,"LB, RCB, LCB",LB,45,RCB,40,LCB,13,25.0,2001-02-24,0,,11,973,0,0.0,0,0.02,12.12,52.67,France,['France'],,0,0,False,6.84,4.07,59.09,3.05,60.61,0.18,0.2,0.18,4.25,4.51,0.55,3,0.28,0,0.0,1.02,0.0,0,0.0,0.0,0,0.0,1,0.09,0.0,0.0,0.0,0.37,25.0,0.37,25.0,0.0,0.0,0.09,1.76,52.63,3.79,46.34,0.09,1.02,0.18,22.94,0.37,0.8300000000000001,33.95,85.83,12.3,73.68,3.88,97.62,29.04,91.72,4.53,53.06,21.42,38.11,0.0,0.09,0.0,0.09,0.0,0.0,0.0,4.72,56.86,0.65,0.0,0.37,25.0,0.0,0.09,4.8100000000000005,73.08,93.87,15.08,0,,0,,0,0.0,0.0,0.0,,,1.3900000000000001,,3.05,0.0,0.0,0.0,0.0,0,0
