Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
P. Recasens,Pau Nel-lo Recasens,-462517,Emmanuel Lions,Emmanuel Lions,https://cdn5.wyscout.com/photos/team/public/g-18302_120x120.png,NCAA D2 Conference Carolinas,RCB,RCB,84,,0,,0,,,0,,13,1292,2,0.79,0,0.27,12.4,58.99,Spain,['Spain'],unknown,180,0,False,8.22,4.74,66.18,2.37,67.65,0.63,0.88,0.28,4.46,6.27,1.04,2,0.14,0,0.0,1.53,0.14,2,0.14,0.06,0,0.0,7,0.49,85.71,28.571,0.0,0.49,28.57,0.07,0.0,0.42,33.33,0.0,1.25,66.67,3.27,55.32,0.28,1.67,0.35000000000000003,21.46,0.28,0.56,36.99,77.02,18.74,66.17,2.44,91.43,29.54,87.03,7.04,38.61,24.26,42.65,0.02,0.21,0.14,0.0,0.14,100.0,0.14,7.45,43.93,1.9500000000000002,25.0,1.32,26.32,0.42,0.07,8.08,67.24,88.41,14.42,0,,0,,0,0.0,0.0,0.0,,,1.74,,2.37,1.53,0.14,50.0,0.0,0,0
R. Calderon,Rafael Calderon,-462501,,Emmanuel Lions,,,RB,RB,89,,0,,0,,,0,,13,1268,3,2.18,1,0.45,14.69,54.59,United States,['United States'],unknown,175,0,False,9.09,5.04,61.97,2.27,43.75,0.28,0.41000000000000003,0.5,5.68,8.11,1.21,0,0.0,0,0.0,3.05,0.21,3,0.21,0.15,2,0.14,14,0.99,42.86,21.429,0.07,1.49,57.14,0.07,0.0,1.42,60.0,0.21,2.41,70.59,5.04,49.3,1.06,1.21,0.5700000000000001,13.98,0.35000000000000003,1.49,27.47,71.32,12.85,65.75,3.34,89.36,20.58,79.66,5.39,43.42,20.54,35.62,0.03,0.35000000000000003,0.0,0.07,0.07,100.0,0.14,6.39,57.78,1.85,53.85,0.28,75.0,0.28,0.78,8.23,68.97,70.09,8.3,0,,0,,0,0.0,0.0,0.0,,,0.21,,2.27,0.0,0.0,0.0,0.14,0,0
M. Cruz,Martin Cruz,-462516,,Emmanuel Lions,,,LCB,LCB,84,,0,,0,,,0,,13,1262,0,0.27,1,0.53,7.99,61.61,United States,['United States'],unknown,178,0,False,7.63,2.64,64.86,3.21,66.67,0.21,0.30000000000000004,0.43,5.71,8.11,0.71,2,0.14,0,0.0,0.29,0.0,0,0.0,0.02,0,0.0,2,0.14,100.0,0.0,0.07,0.14,50.0,0.07,0.0,0.07,100.0,0.0,0.07,100.0,0.86,25.0,0.64,0.0,0.0,16.9,0.43,0.5700000000000001,33.23,72.75,16.62,58.37,2.92,92.68,24.89,84.53,8.27,37.93,24.9,41.32,0.04,0.14,0.0,0.0,0.0,0.0,0.07,5.49,35.06,0.78,18.18,0.5700000000000001,25.0,0.29,0.0,6.92,46.39,88.89,11.55,0,,0,,0,0.0,0.0,0.0,,,2.42,,3.21,0.21,0.0,0.0,0.0,0,0
N. Faus,Natxo Faus,-462519,,Emmanuel Lions,,,GK,GK,100,,0,,0,,,0,,13,1245,0,0.0,0,0.0,0.87,66.67,United States,['United States'],unknown,180,0,False,1.16,0.0,0.0,0.43,66.67,0.07,0.1,0.0,1.08,1.55,0.0,0,0.0,0,0.0,0.07,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.22,100.0,0.0,0.0,0.0,8.96,0.0,0.14,18.36,83.07,10.27,71.13,0.0,0.0,10.77,98.66,7.59,60.95,35.12,47.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,57.58,0.07,0.0,0.0,0.0,0.0,0.0,4.99,78.26,98.11,7.66,11,0.8,59,4.27,4,81.36,14.2,1.03,3.2,0.231,0.0,1.52,0.43,,,,0.0,0,0
A. Meca,Alberto Hernandez Meca,-462513,,Emmanuel Lions,,,"RDMF, AMF, RCMF",RDMF,36,AMF,22,RCMF,16,,,0,,13,1207,2,2.14,1,1.6,23.12,49.68,United States,['United States'],unknown,175,0,False,10.29,8.13,66.06,4.92,31.82,1.04,1.3900000000000001,0.15,3.88,5.17,1.42,5,0.37,0,0.0,1.8599999999999999,0.15,1,0.07,0.16,0,0.0,18,1.34,44.44,11.111,0.07,0.89,66.67,0.37,80.0,0.52,57.14,0.0,0.8200000000000001,81.82,5.29,43.66,1.49,1.27,0.30000000000000004,17.22,0.6000000000000001,1.34,29.68,72.36,11.48,55.84,2.83,92.11,25.65,77.03,3.21,37.21,18.96,35.36,0.12,1.04,0.15,0.0,0.37,0.0,0.45,6.86,51.09,2.01,40.74,0.89,16.67,0.6000000000000001,0.52,5.37,68.06,83.33,11.18,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.92,0.52,0.07,100.0,1.6400000000000001,1,100
C. Wedderburn,Colin Wedderburn,-462514,Emmanuel Lions,Emmanuel Lions,https://cdn5.wyscout.com/photos/team/public/g-18302_120x120.png,NCAA D2 Conference Carolinas,LB,LB,88,,0,,0,,,0,,13,1128,1,0.48,0,0.29,17.79,55.16,United States,['United States'],unknown,175,0,False,10.85,7.66,68.75,3.03,55.26,0.48,0.63,0.32,5.11,6.67,1.44,1,0.08,0,0.0,1.2,0.08,1,0.08,0.04,0,0.0,4,0.32,75.0,25.0,0.0,0.4,40.0,0.24,33.33,0.16,50.0,0.08,1.28,56.25,4.47,42.86,0.08,0.64,0.24,13.24,0.72,1.04,23.7,71.72,12.29,59.74,1.9100000000000001,87.5,19.23,78.42,4.07,43.14,20.81,35.41,0.02,0.32,0.0,0.0,0.16,50.0,0.16,4.07,54.9,0.88,27.27,0.56,42.86,0.16,0.16,7.18,65.56,82.11,7.58,0,,0,,0,0.0,0.0,0.0,,,0.32,,3.03,0.0,0.0,0.0,0.0,0,0
M. Fitzer,Matt Fitzer,-462510,,Emmanuel Lions,,,CF,CF,90,,0,,0,,,0,,13,1114,7,5.08,2,0.88,27.63,37.43,United States,['United States'],unknown,185,0,False,3.88,3.88,66.67,5.49,29.41,0.16,0.2,0.16,1.13,1.43,1.29,0,0.0,0,0.0,3.8,0.5700000000000001,7,0.5700000000000001,0.41000000000000003,2,0.16,31,2.5,51.61,22.581,0.16,1.29,18.75,0.65,25.0,0.65,12.5,0.32,2.42,76.67,12.68,38.85,3.47,0.5700000000000001,0.16,14.62,1.8599999999999999,1.62,23.99,73.06,6.3,53.85,6.62,91.46,21.57,78.65,1.21,26.67,16.43,33.37,0.07,0.97,0.08,0.0,0.81,50.0,0.32,3.07,57.89,2.02,40.0,0.81,50.0,0.73,0.32,2.99,67.57,70.67,6.06,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.49,0.08,0.08,100.0,0.08,0,0
P. Herrera,Pedro Herrera,-491424,,King Tornado,,,"AMF, LCMF, RCMF",AMF,58,LCMF,18,RCMF,12,,,0,,11,985,2,1.7000000000000002,0,0.39,29.97,45.73,Colombia,['Colombia'],unknown,178,0,False,7.86,7.77,63.53,5.21,33.33,0.09,0.13,0.0,2.83,4.04,2.1,4,0.37,0,0.0,2.74,0.18,2,0.18,0.16,2,0.18,22,2.01,18.18,9.091,0.0,0.27,0.0,0.0,0.0,0.27,0.0,0.0,4.48,53.06,13.07,42.66,1.55,1.55,0.27,12.61,0.73,2.1,25.68,71.89,8.41,63.04,3.38,97.3,23.21,74.41,2.19,54.17,17.1,29.99,0.04,0.64,0.0,0.0,0.64,0.0,0.18,4.66,47.06,1.19,30.77,0.91,0.0,0.46,0.0,4.02,70.45,71.43,7.68,0,,0,,0,0.0,0.0,0.0,,,0.09,,5.21,0.18,0.18,0.0,0.0,0,0
R. Lamont,Ross  Lamont,-484830,,Emmanuel Lions,,,"LDMF, LCMF",LDMF,59,LCMF,24,,0,,,0,,12,974,1,1.2,0,0.47000000000000003,19.68,51.64,Scotland,['Scotland'],unknown,183,0,False,8.5,6.93,56.0,5.45,54.24,0.46,0.55,0.0,4.16,4.95,1.94,3,0.28,0,0.0,1.3900000000000001,0.09,1,0.09,0.11,1,0.09,14,1.29,28.57,7.143,0.0,1.02,18.18,0.92,20.0,0.09,0.0,0.09,1.48,50.0,4.07,40.91,0.74,0.46,0.0,16.36,0.46,0.8300000000000001,30.59,68.88,14.6,58.86,2.4,92.31,23.56,79.22,6.28,38.24,21.42,35.56,0.04,0.46,0.0,0.0,0.28,33.33,0.18,7.3,54.43,1.76,26.32,0.65,14.29,0.46,0.09,7.58,60.98,76.72,10.72,0,,0,,0,0.0,0.0,0.0,,,0.09,,5.45,1.02,0.0,0.0,0.37,0,0
G. Lumale,Gauthier Lumale,-491473,,King Tornado,,,GK,GK,100,,0,,0,,,0,,9,925,0,0.0,0,0.0,0.88,88.89,France,['France'],unknown,183,0,False,1.3599999999999999,0.0,0.0,0.68,85.71,0.0,0.0,0.0,1.3599999999999999,1.8,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,3.7,0.1,0.19,11.87,81.15,7.01,69.44,0.0,0.0,7.3,94.67,4.57,59.57,34.37,49.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,30.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79,64.1,97.67,4.18,34,3.31,84,8.17,0,59.52,25.34,2.47,-8.66,-0.843,0.0,1.65,0.68,,,,0.0,0,0
