Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Christian Herluf,Christian Herluf Braae-andersen,-489117,NC State Wolfpack,McKendree Bearcats,https://cdn5.wyscout.com/photos/team/public/g27622_120x120.png,NCAA D1 Atlantic Coast,GK,GK,100,,0,,0,21.0,2005-04-08,0,,15,1492,0,0.0,0,0.19,0.9,73.33,Denmark,['Denmark'],unknown,187,0,False,1.33,0.0,0.0,0.66,72.73,0.0,0.0,0.0,1.33,1.9100000000000001,0.0,1,0.06,0,0.0,0.12,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0,0.12,100.0,0.0,0.0,0.0,25.21,0.54,0.06,35.59,81.02,16.77,65.11,0.06,100.0,22.2,95.92,13.21,57.08,35.04,51.35,0.01,0.06,0.0,0.0,0.0,0.0,0.0,7.0,43.97,1.09,27.78,0.06,0.0,0.18,0.0,9.23,76.47,96.26,17.73,5,0.30000000000000004,33,1.99,10,84.85,6.82,0.41000000000000003,1.82,0.11,0.06,2.05,0.66,,,,0.0,0,0
M. Schubert,Matteo Schubert,-240601,,McKendree Bearcats,,,"LB5, LWB",LB5,49,LWB,34,,0,21.0,2004-09-03,0,,15,1479,1,0.45,3,3.12,14.91,58.37,Austria,['Austria'],,178,0,False,6.94,5.72,77.66,2.49,46.34,0.12,0.17,0.0,2.37,3.41,0.43,1,0.06,0,0.0,3.65,0.06,1,0.06,0.03,0,0.0,6,0.37,50.0,16.667,0.18,4.8100000000000005,40.51,4.5,37.84,0.30000000000000004,80.0,0.61,2.43,62.5,5.42,44.94,0.61,0.85,0.30000000000000004,20.08,1.83,0.67,34.14,72.01,12.72,64.11,7.97,95.42,23.79,85.17,5.72,41.49,20.21,32.84,0.19,1.46,0.0,0.0,0.0,0.0,0.49,4.93,59.26,5.05,42.17,0.06,0.0,0.37,1.9500000000000002,7.55,74.19,60.51,9.55,0,,0,,0,0.0,0.0,0.0,,,0.24,,2.49,0.67,0.0,0.0,2.25,0,0
R. Davies,Rhys  Davies,-488998,Bellarmine Knights,McKendree Bearcats,https://cdn5.wyscout.com/photos/team/public/g-13209_120x120.png,NCAA D1 ASUN,"RCB3, DMF, RB5",RCB3,38,DMF,15,RB5,14,,,0,,15,1436,1,1.47,1,0.41000000000000003,14.04,57.14,New Zealand,['New Zealand'],unknown,178,0,False,6.96,4.51,59.72,4.58,64.38,0.25,0.35000000000000003,0.56,4.01,5.6,0.63,1,0.06,0,0.0,1.57,0.06,1,0.06,0.09,1,0.06,11,0.6900000000000001,45.45,9.091,0.06,1.63,34.62,0.06,100.0,1.57,32.0,0.31,0.9400000000000001,73.33,2.63,57.14,1.13,0.5,0.06,15.42,1.07,1.5,28.14,73.05,10.34,57.58,4.83,93.51,22.44,81.56,4.39,44.29,21.09,31.92,0.03,0.63,0.0,0.0,0.0,0.0,0.06,3.89,37.1,1.88,26.67,0.0,0.0,0.25,0.44,4.89,56.41,77.92,9.65,0,,0,,0,0.0,0.0,0.0,,,1.94,,4.58,0.06,0.0,0.0,0.06,0,0
M. Hodgson,Michael Hodgson,-240590,,McKendree Bearcats,,,"CB, LCB3",CB,50,LCB3,28,,0,,,0,,15,1420,2,1.52,0,0.37,7.54,60.5,England,['England'],,185,0,False,4.88,3.04,72.92,2.54,50.0,0.25,0.36,0.44,2.41,3.42,0.63,3,0.19,0,0.0,0.38,0.13,0,0.0,0.1,0,0.0,2,0.13,100.0,100.0,0.0,0.19,66.67,0.13,50.0,0.06,100.0,0.0,0.06,100.0,1.01,43.75,0.0,0.38,0.06,31.63,0.63,0.7000000000000001,43.99,81.12,19.39,65.36,1.08,100.0,33.21,92.18,10.58,46.71,25.18,38.33,0.02,0.19,0.06,0.0,0.06,100.0,0.0,7.54,50.42,1.27,20.0,0.32,0.0,0.06,0.13,10.39,65.24,94.5,20.73,0,,0,,0,0.0,0.0,0.0,,,0.76,,2.54,0.19,0.0,0.0,0.0,2,100
P. Schmidt,Philipp  Schmidt,-489036,,McKendree Bearcats,,,"LCMF3, DMF, AMF",LCMF3,51,DMF,16,AMF,14,22.0,2004-04-08,0,,15,1298,3,1.06,2,0.9,29.54,54.46,Germany,['Germany'],unknown,194,0,False,9.57,7.5600000000000005,67.89,6.24,58.89,0.21,0.27,0.07,4.23,5.46,1.18,1,0.07,0,0.0,3.26,0.21,3,0.21,0.07,0,0.0,23,1.5899999999999999,26.09,13.043,0.14,1.8,15.38,1.53,18.18,0.14,0.0,0.14,3.67,67.92,11.16,47.83,1.3900000000000001,2.01,0.49,17.54,1.25,1.6600000000000001,34.6,67.54,13.24,56.02,5.82,88.1,27.46,77.02,5.41,35.9,20.12,36.85,0.06,0.55,0.07,0.0,0.07,100.0,0.14,6.38,46.74,3.26,23.4,0.55,12.5,0.6900000000000001,0.14,6.59,66.32,70.63,9.92,0,,0,,0,0.0,0.0,0.0,,,0.21,,6.24,0.62,0.21,0.0,0.55,0,0
K. Huels,Karson Huels,-240591,,McKendree Bearcats,,,"DMF, LCMF",DMF,59,LCMF,11,,0,,,0,,14,1210,1,0.72,0,0.13,19.41,54.41,United States,['United States'],,180,0,False,7.44,4.83,60.0,9.3,57.6,0.30000000000000004,0.4,0.07,4.24,5.68,1.49,2,0.15,0,0.0,0.67,0.07,1,0.07,0.05,1,0.07,8,0.6000000000000001,25.0,12.5,0.0,0.22,33.33,0.07,0.0,0.15,50.0,0.0,0.74,60.0,2.6,48.57,0.45,0.45,0.37,14.88,0.67,1.12,28.49,78.59,8.55,60.0,5.28,98.59,25.81,81.84,2.45,48.48,19.85,35.72,0.01,0.15,0.07,0.0,0.0,0.0,0.0,3.35,55.56,0.67,33.33,0.07,0.0,0.15,0.07,3.87,53.85,85.26,11.6,0,,0,,0,0.0,0.0,0.0,,,1.56,,9.3,0.07,0.0,0.0,0.0,0,0
F. Nielsen,Fred  Nielsen,-489027,,McKendree Bearcats,,,"RCB3, CB, RCB",RCB3,56,CB,24,RCB,18,22.0,2004-05-26,0,,11,1040,3,1.02,0,0.02,10.04,62.07,Denmark,['Denmark'],unknown,194,0,False,6.66,3.63,73.81,3.29,65.79,0.09,0.12,0.35000000000000003,3.89,5.53,0.6900000000000001,0,0.0,0,0.0,0.61,0.26,3,0.26,0.09,2,0.17,7,0.61,57.14,42.857,0.0,0.17,50.0,0.0,0.0,0.17,50.0,0.0,0.26,66.67,1.47,41.18,0.61,0.26,0.0,21.03,0.61,0.52,32.37,78.34,13.15,55.92,3.38,94.87,24.58,88.03,7.62,47.73,24.18,38.77,0.0,0.09,0.0,0.0,0.0,0.0,0.0,5.37,45.16,1.13,30.77,0.17,50.0,0.17,0.09,6.84,59.49,94.27,13.59,0,,0,,0,0.0,0.0,0.0,,,2.77,,3.29,0.09,0.0,0.0,0.0,0,0
L. Edmondson,Luis  Edmondson,-489001,,McKendree Bearcats,,,"LCB3, CB, LCB",LCB3,62,CB,20,LCB,10,,,0,,14,966,1,0.46,0,0.03,8.66,55.91,England,['England'],unknown,188,0,False,4.47,2.89,64.52,3.35,63.89,0.09,0.11,0.28,2.52,3.05,0.65,2,0.19,0,0.0,0.56,0.09,1,0.09,0.04,0,0.0,9,0.84,44.44,11.111,0.0,0.47000000000000003,20.0,0.47000000000000003,20.0,0.0,0.0,0.0,0.09,100.0,0.84,44.44,0.37,0.37,0.0,23.01,0.65,0.19,33.54,74.72,15.56,60.48,2.61,82.14,26.74,84.67,6.52,35.71,21.26,35.54,0.0,0.09,0.0,0.0,0.0,0.0,0.0,5.68,44.26,1.3,28.57,0.28,66.67,0.37,0.09,6.61,67.61,92.97,11.93,0,,0,,0,0.0,0.0,0.0,,,0.65,,3.35,0.75,0.56,50.0,0.0,0,0
O. Ridelius,Olle  Ridelius,-489033,Hawaii Pacific Sharks,McKendree Bearcats,https://cdn5.wyscout.com/photos/team/public/g-18459_120x120.png,NCAA D2 Pacific West Conference,"RCMF3, CF, LCMF3",RCMF3,47,CF,21,LCMF3,14,22.0,2003-07-20,0,,15,893,1,2.55,1,0.64,32.75,45.85,Sweden,['Sweden'],unknown,183,0,False,9.88,9.37,65.59,5.24,40.38,0.4,0.42,0.0,3.33,3.43,1.11,1,0.1,0,0.0,4.23,0.1,1,0.1,0.26,0,0.0,16,1.6099999999999999,43.75,6.25,0.1,0.81,62.5,0.5,60.0,0.30000000000000004,66.67,0.0,4.43,65.91,13.3,36.36,1.6099999999999999,2.12,1.51,14.01,2.02,1.9100000000000001,27.41,80.51,5.24,65.38,6.95,91.3,25.4,82.14,1.21,58.33,14.97,18.79,0.06,1.11,0.0,0.0,0.30000000000000004,33.33,0.30000000000000004,2.32,65.22,1.4100000000000001,50.0,0.30000000000000004,66.67,0.5,0.2,2.42,62.5,81.72,9.37,0,,0,,0,0.0,0.0,0.0,,,0.2,,5.24,0.1,0.0,0.0,1.21,0,0
G. Hallsten,Gabe  Hallsten,-489008,,McKendree Bearcats,,,"RWB, RB5, RCMF3",RWB,31,RB5,22,RCMF3,16,,,0,,15,800,1,0.79,1,0.72,22.73,50.5,United States,['United States'],unknown,173,0,False,9.79,7.99,69.01,3.15,46.43,0.34,0.39,0.0,3.94,4.51,1.35,1,0.11,0,0.0,2.7,0.11,1,0.11,0.09,1,0.11,8,0.9,62.5,12.5,0.11,2.48,27.27,0.45,50.0,2.03,22.22,0.45,3.15,46.43,8.55,38.16,0.9,0.9,0.79,10.91,1.01,1.8,21.71,67.36,7.2,51.56,5.06,93.33,15.08,81.34,4.28,42.11,19.55,23.61,0.08,0.68,0.0,0.0,0.11,0.0,0.23,2.36,47.62,2.59,34.78,0.45,75.0,0.45,0.9,5.06,51.11,61.29,6.98,0,,0,,0,0.0,0.0,0.0,,,1.35,,3.15,0.0,0.0,0.0,0.11,0,0
