Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
N. Ito,Nori Ito,-491327,,Tyler Patriots,,,LCB,LCB,99,,0,,0,,,0,,9,752,0,0.0,0,0.73,13.16,64.55,Japan,['Japan'],unknown,175,0,False,8.5,7.78,70.77,1.6800000000000002,50.0,0.0,0.0,0.48,2.99,3.39,0.96,0,0.0,0,0.0,0.12,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.24,0.0,0.12,0.0,0.12,0.0,0.12,0.12,100.0,1.56,53.85,0.0,0.36,0.0,39.14,0.6000000000000001,0.36,56.01,85.68,20.59,68.02,2.63,90.91,44.4,94.34,11.37,53.68,27.94,39.85,0.09,0.48,0.0,0.0,0.0,0.0,0.0,8.62,55.56,1.08,22.22,0.48,25.0,0.24,0.0,10.29,73.26,97.66,30.64,0,,0,,0,0.0,0.0,0.0,,,1.2,,1.6800000000000002,0.24,0.0,0.0,0.12,0,0
C. Chisholm,Craig Chisholm,-491390,,Tyler Patriots,,,LB,LB,100,,0,,0,,,0,,9,686,0,0.0,0,0.30000000000000004,15.22,52.59,England,['England'],unknown,172,0,False,10.76,7.61,62.07,2.23,47.06,0.0,0.0,0.13,6.03,6.36,0.52,1,0.13,0,0.0,1.44,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.76,23.81,2.76,23.81,0.0,0.0,0.26,1.71,46.15,3.94,40.0,0.26,2.36,0.52,23.09,1.71,0.52,37.13,74.2,17.19,65.65,7.35,96.43,29.26,82.96,5.38,51.22,21.14,38.97,0.04,0.39,0.0,0.0,0.0,0.0,0.26,7.61,68.97,3.02,26.09,0.52,0.0,0.13,0.52,11.68,73.03,73.24,9.31,0,,0,,0,0.0,0.0,0.0,,,0.39,,2.23,0.26,0.0,0.0,0.13,0,0
L. Paulun,Lukas Paulun,-491332,,Tyler Patriots,,,"CF, AMF, RDMF",CF,52,AMF,17,RDMF,12,,,0,,9,621,0,1.05,0,0.27,27.68,37.7,Germany,['Germany'],unknown,182,0,False,4.2,5.51,50.0,7.97,34.55,0.14,0.13,0.0,1.3,1.1400000000000001,1.88,2,0.29,0,0.0,2.03,0.0,0,0.0,0.15,0,0.0,16,2.32,18.75,0.0,0.0,1.45,30.0,0.43,33.33,0.87,16.67,0.14,2.61,44.44,9.86,35.29,2.32,1.01,0.14,16.67,2.75,1.74,23.19,71.25,5.65,53.85,5.22,86.11,19.86,76.64,1.88,46.15,18.14,20.22,0.04,0.58,0.0,0.0,0.58,0.0,0.29,3.62,64.0,2.17,33.33,0.43,0.0,0.43,0.58,3.33,82.61,76.19,9.13,0,,0,,0,0.0,0.0,0.0,,,0.0,,7.97,0.14,0.14,0.0,0.0,0,0
C. Ulrich,Colin  Ulrich,-506719,L체beck,Eastern New Mexico Greyhounds,https://cdn5.wyscout.com/photos/team/public/2675_120x120.png,Regionalliga Nord,RCB3,RCB3,90,,0,,0,22.0,2003-12-08,0,,6,613,0,0.0,0,0.06,14.54,67.68,Germany,['Germany'],unknown,180,0,False,12.63,9.25,76.19,1.03,42.86,0.44,0.45,0.44,5.14,5.2,0.73,0,0.0,0,0.0,0.59,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,66.67,2.2,40.0,0.0,0.29,0.15,21.0,1.47,0.59,36.41,85.48,12.77,74.71,4.99,94.12,32.89,89.29,3.52,50.0,18.99,40.12,0.01,0.15,0.0,0.0,0.0,0.0,0.0,1.9100000000000001,61.54,0.0,0.0,0.0,0.0,0.0,0.0,4.7,34.38,91.3,13.51,0,,0,,0,0.0,0.0,0.0,,,2.06,,1.03,0.0,0.0,0.0,0.0,0,0
A. Lopez,Abraham Lopez,-506632,,Eastern New Mexico Greyhounds,,,"RCMF, DMF, LCMF",RCMF,48,DMF,22,LCMF,15,,,0,,6,613,0,0.01,0,0.0,10.86,55.41,United States,['United States'],unknown,172,0,False,8.22,5.14,60.0,0.15,0.0,0.73,0.74,0.15,4.4,4.46,0.59,1,0.15,0,0.0,1.03,0.0,0,0.0,0.0,0,0.0,1,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,1.32,77.78,3.8200000000000003,57.69,0.0,0.88,0.29,20.85,0.0,0.59,33.47,85.09,9.98,77.94,5.58,92.11,31.86,87.56,1.47,40.0,16.74,16.09,0.0,0.0,0.0,0.15,0.0,0.0,0.0,4.85,75.76,0.73,40.0,0.29,0.0,0.29,0.0,5.73,51.28,90.7,12.63,0,,0,,0,0.0,0.0,0.0,,,0.29,,0.15,0.0,0.0,0.0,0.0,0,0
M. Beuvain,Mathieu  Beuvain,-506621,Western Michigan Broncos,Eastern New Mexico Greyhounds,https://cdn5.wyscout.com/photos/team/public/g-2855_120x120.png,NCAA D1 Missouri Valley,LCB3,LCB3,92,,0,,0,,,0,,6,613,0,0.0,0,0.04,12.48,65.88,France,['France'],unknown,182,0,False,11.31,8.22,73.21,1.76,58.33,0.29,0.30000000000000004,0.15,4.99,5.05,1.03,2,0.29,0,0.0,0.29,0.0,0,0.0,0.0,0,0.0,1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,50.0,1.62,45.45,0.0,1.17,0.0,30.69,0.88,0.29,47.13,79.75,20.55,65.71,3.23,95.45,37.73,85.99,9.4,54.69,24.17,45.76,0.01,0.15,0.0,0.0,0.0,0.0,0.0,6.02,48.78,0.59,25.0,1.17,12.5,0.15,0.0,10.72,49.32,89.55,19.67,0,,0,,0,0.0,0.0,0.0,,,1.9100000000000001,,1.76,0.29,0.0,0.0,0.88,0,0
R. Mendes,Rodrigo Mendes,-491341,UNC Asheville Bulldogs,Tyler Patriots,https://cdn5.wyscout.com/photos/team/public/g-2435_120x120.png,NCAA D1 Big South,"RAMF, RW",RAMF,62,RW,31,,0,,,0,,9,611,2,1.56,0,1.11,22.54,42.48,Portugal,['Portugal'],unknown,162,0,False,8.1,8.4,68.42,1.62,0.0,0.15,0.13,0.0,2.21,1.97,0.74,0,0.0,0,0.0,3.54,0.29,2,0.29,0.23,0,0.0,14,2.06,28.57,14.286,0.0,2.06,42.86,0.29,0.0,1.77,50.0,0.44,5.3,38.89,11.64,31.65,2.06,2.5,1.33,21.51,2.5,0.74,30.2,74.15,9.43,59.38,6.19,97.62,24.89,78.11,3.24,63.64,19.26,39.93,0.16,1.33,0.0,0.0,0.29,0.0,0.59,3.68,48.0,2.95,50.0,0.88,0.0,0.74,0.88,4.71,65.63,76.92,9.57,0,,0,,0,0.0,0.0,0.0,,,0.15,,1.62,0.88,0.15,0.0,2.06,0,0
L. Ryan,Luke Ryan,-491307,Tyler Patriots,Tyler Patriots,https://cdn5.wyscout.com/photos/team/public/g-3045_120x120.png,NCAA D2 Lone Star Conference,GK,GK,100,,0,,0,,,0,,7,611,0,0.0,0,0.0,0.88,83.33,Republic of Ireland,['Republic of Ireland'],unknown,185,87,False,1.62,0.0,0.0,0.44,100.0,0.0,0.0,0.0,1.62,2.1,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.0,0.0,0.0,14.29,0.29,0.15,24.45,89.16,9.43,75.0,0.0,0.0,16.64,98.23,7.8100000000000005,69.81,30.22,45.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,37.5,0.0,0.0,0.0,0.0,0.0,0.0,5.01,70.59,98.0,14.73,10,1.47,37,5.45,1,72.97,8.49,1.25,-1.51,-0.222,0.0,1.62,0.44,,,,0.0,0,0
F. Drizinsky,Felix Drizinsky,-506619,Hawaii Hilo Vulcans,Eastern New Mexico Greyhounds,https://cdn5.wyscout.com/photos/team/public/g-18461_120x120.png,NCAA D2 Pacific West Conference,RB5,RB5,92,,0,,0,,,0,,6,601,0,0.78,2,1.73,16.47,57.27,Germany,['Germany'],unknown,193,93,False,7.04,5.54,70.27,0.6000000000000001,50.0,0.0,0.0,0.30000000000000004,3.14,3.12,0.9,0,0.0,0,0.0,4.94,0.0,0,0.0,0.12,0,0.0,6,0.9,33.33,0.0,0.30000000000000004,3.59,33.33,0.0,0.0,3.59,33.33,0.30000000000000004,5.39,61.11,8.69,50.0,2.55,2.1,1.5,18.72,3.59,0.30000000000000004,26.96,68.89,8.84,62.71,3.59,91.67,21.41,80.42,2.1,7.14,20.05,37.53,0.26,2.1,0.0,0.0,0.15,100.0,0.9,1.8,58.33,3.0,50.0,0.30000000000000004,50.0,0.9,1.2,6.59,56.82,65.52,8.69,0,,0,,0,0.0,0.0,0.0,,,0.30000000000000004,,0.6000000000000001,0.0,0.0,0.0,0.0,0,0
T. Meko,Thato Meko,-491353,,Tyler Patriots,,,"LAMF, LW, AMF",LAMF,47,LW,18,AMF,17,,,0,,9,598,2,2.02,0,0.33,27.69,49.46,United States,['United States'],unknown,172,0,False,5.87,6.17,65.85,1.05,42.86,0.30000000000000004,0.26,0.0,1.51,1.29,0.45,0,0.0,0,0.0,6.92,0.30000000000000004,1,0.15,0.30000000000000004,0,0.0,14,2.11,42.86,14.286,0.0,1.96,46.15,1.6600000000000001,54.55,0.30000000000000004,0.0,0.30000000000000004,9.33,54.84,18.21,47.11,3.31,5.12,1.96,14.75,1.05,2.26,26.04,70.52,7.22,56.25,3.61,87.5,22.88,73.68,1.35,55.56,17.95,22.46,0.05,0.6000000000000001,0.0,0.0,0.6000000000000001,0.0,0.15,3.01,70.0,2.86,42.11,0.6000000000000001,0.0,1.05,0.6000000000000001,4.67,80.65,73.85,9.78,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.05,0.0,0.0,0.0,0.15,1,100
