Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Y. Addar,Younes Addar Khanoussi,-444998,,Franklin Pierce Ravens,,,CF,CF,98,,0,,0,,,0,,13,1161,12,8.48,0,1.97,21.24,44.16,Spain,['Spain'],,187,77,False,1.71,2.09,55.56,7.13,55.43,0.08,0.13,0.0,0.47000000000000003,0.79,0.93,1,0.08,0,0.0,4.03,0.93,12,0.93,0.66,3,0.23,58,4.5,53.45,20.69,0.0,0.16,50.0,0.08,100.0,0.08,0.0,0.0,2.87,51.35,7.91,35.29,6.98,0.31,0.23,10.47,1.94,1.71,15.5,80.5,3.1,72.5,4.73,93.44,14.57,82.45,0.78,50.0,14.59,21.87,0.15,1.55,0.0,0.0,0.16,50.0,0.47000000000000003,1.24,62.5,0.93,66.67,0.39,20.0,1.01,0.08,0.93,91.67,79.63,4.19,0,,0,,0,0.0,0.0,0.0,,,0.0,,7.13,0.0,0.0,0.0,0.0,0,0
R. Parafita Bestilliero,Rodrigo Parafita Bestilliero,-489293,,Franklin Pierce Ravens,,,"LCB3, LWB",LCB3,62,LWB,31,,0,,,0,,12,1147,1,0.93,1,2.43,17.11,61.01,Spain,['Spain'],unknown,175,72,False,6.43,4.86,61.29,2.67,64.71,0.16,0.29,0.39,3.3,6.09,1.49,2,0.16,0,0.0,5.18,0.08,1,0.08,0.07,0,0.0,12,0.9400000000000001,41.67,8.333,0.08,5.18,43.94,5.02,45.31,0.16,0.0,1.02,2.98,78.95,7.06,66.67,0.71,3.5300000000000002,0.71,35.07,2.75,2.35,50.14,77.31,19.69,67.33,7.06,90.0,37.04,87.5,8.16,51.92,23.59,44.23,0.19,1.73,0.08,0.0,0.55,28.57,0.63,7.85,60.0,5.73,38.36,1.4100000000000001,22.22,0.16,2.2800000000000002,12.71,77.78,83.75,18.83,0,,0,,0,0.0,0.0,0.0,,,0.63,,2.67,1.8,0.08,0.0,2.75,0,0
H. Boehn,Hallvard  Boehn,-488551,,AIC Yellow Jackets,,,"CB, RCB",CB,74,RCB,25,,0,,,0,,11,1141,1,0.56,0,0.0,12.38,58.6,United States,['United States'],unknown,185,0,False,10.41,3.47,77.27,4.8100000000000005,52.46,0.24,0.35000000000000003,0.63,7.49,11.18,0.63,1,0.08,0,0.0,0.39,0.08,1,0.08,0.04,1,0.08,4,0.32,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,60.0,2.05,61.54,0.39,0.16,0.0,28.32,0.32,0.87,46.85,87.71,18.22,76.62,1.1,92.86,43.07,90.84,3.79,52.08,21.44,33.71,0.0,0.0,0.0,0.08,0.0,0.0,0.0,2.6,72.73,0.16,100.0,0.08,100.0,0.16,0.0,7.02,52.81,96.24,25.16,0,,0,,0,0.0,0.0,0.0,,,0.87,,4.8100000000000005,0.08,0.0,0.0,0.0,0,0
Álvaro Rey,Álvaro Rey Mirá,325915,,Franklin Pierce Ravens,,,RWB,RWB,96,,0,,0,29.0,1997-03-29,0,,13,1102,2,1.53,4,2.5700000000000003,16.25,56.78,Spain,['Spain'],,180,79,False,5.31,3.92,64.58,1.8,72.73,0.0,0.0,0.0,2.7800000000000002,4.42,1.1400000000000001,2,0.16,0,0.0,6.45,0.16,2,0.16,0.13,1,0.08,15,1.23,40.0,13.333,0.33,8.09,34.34,0.08,0.0,8.0,34.69,1.1400000000000001,4.57,64.29,8.66,56.6,2.29,4.08,1.3900000000000001,30.79,4.25,1.47,42.22,70.02,11.03,61.48,8.09,100.0,30.3,81.4,4.33,54.72,21.51,37.42,0.21,1.8,0.16,0.0,0.5700000000000001,42.86,1.06,4.41,66.67,7.35,43.33,0.65,50.0,0.98,2.5300000000000002,9.07,77.48,64.1,15.93,0,,0,,0,0.0,0.0,0.0,,,0.5700000000000001,,1.8,0.08,0.08,100.0,0.25,0,0
L. Morales-Fernandez,Lucas  Morales-Fernandez,-488314,,AIC Yellow Jackets,,,GK,GK,100,,0,,0,,,0,,10,1057,0,0.0,0,0.0,1.62,73.68,United States,['United States'],unknown,180,0,False,3.49,0.17,0.0,0.9400000000000001,81.82,0.17,0.25,0.0,3.32,4.85,0.17,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,75.0,0.0,0.0,0.09,7.75,0.09,0.34,18.39,77.78,10.56,63.71,0.0,0.0,12.09,93.66,6.3,47.3,34.49,47.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,34.78,0.17,0.0,0.17,50.0,0.0,0.0,4.09,56.25,98.85,7.41,15,1.28,45,3.83,2,66.67,14.22,1.21,-0.78,-0.066,0.0,2.13,0.9400000000000001,,,,0.0,0,0
G. Afonso,Guilherme Afonso,-484444,AIC Yellow Jackets,AIC Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-13923_120x120.png,NCAA D2 Northeast-10 Conference,"LCB3, LCB, LB",LCB3,72,LCB,17,LB,10,,,0,,10,1042,1,0.42,0,0.4,13.65,56.33,Portugal,['Portugal'],unknown,188,0,False,8.29,5.44,52.38,1.73,65.0,0.26,0.38,0.09,5.18,7.59,1.73,2,0.17,0,0.0,2.33,0.09,1,0.09,0.04,0,0.0,7,0.6000000000000001,42.86,14.286,0.0,0.6900000000000001,37.5,0.6000000000000001,42.86,0.0,0.0,0.0,1.99,91.3,4.15,70.83,0.52,1.99,0.17,35.07,1.04,0.52,50.01,75.82,27.29,67.09,1.73,100.0,38.35,84.68,10.97,47.24,25.29,44.45,0.03,0.43,0.09,0.0,0.43,0.0,0.09,13.13,56.58,2.42,21.43,2.07,33.33,0.35000000000000003,0.35000000000000003,15.29,76.84,85.57,16.76,0,,0,,0,0.0,0.0,0.0,,,0.6900000000000001,,1.73,0.78,0.26,33.33,0.0,0,0
D. Montoya,Diego Montoya Casillas,-88916,Franklin Pierce Ravens,Franklin Pierce Ravens,https://cdn5.wyscout.com/photos/team/public/g-13906_120x120.png,NCAA D2 Northeast-10 Conference,GK,GK,100,,0,,0,24.0,2001-10-11,0,,9,978,0,0.0,0,0.0,0.8300000000000001,77.78,Mexico,['Mexico'],,182,63,False,1.75,0.09,100.0,0.37,75.0,0.0,0.0,0.0,1.6600000000000001,3.09,0.0,1,0.09,0,0.0,0.09,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.28,66.67,0.0,0.0,0.0,10.58,0.09,0.28,17.12,90.32,7.18,78.21,0.09,100.0,12.98,97.87,4.14,66.67,28.32,40.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,53.85,99.0,9.2,8,0.74,22,2.02,4,63.64,4.87,0.45,-3.13,-0.28800000000000003,0.0,1.01,0.37,,,,0.0,0,0
T. Esperoe,Thomas Esperoe,-461824,,Franklin Pierce Ravens,,,CB,CB,96,,0,,0,,,0,,10,946,0,1.01,1,0.07,15.13,70.44,Norway,['Norway'],unknown,188,85,False,6.95,2.76,75.86,9.13,75.0,0.19,0.36,0.38,4.66,8.8,0.48,0,0.0,0,0.0,0.48,0.0,0,0.0,0.1,0,0.0,7,0.67,57.14,0.0,0.1,0.1,100.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,0.9500000000000001,60.0,0.67,0.19,0.0,28.45,0.29,0.38,44.9,89.19,13.7,79.17,1.81,94.74,39.96,92.38,4.85,62.75,22.55,36.22,0.01,0.1,0.0,0.1,0.0,0.0,0.0,3.62,71.05,0.38,25.0,0.0,0.0,0.0,0.1,7.04,67.57,94.77,27.3,0,,0,,0,0.0,0.0,0.0,,,1.1400000000000001,,9.13,0.19,0.0,0.0,0.0,0,0
A. Taleb,Ali  Taleb,-488533,,AIC Yellow Jackets,,,CF,CF,95,,0,,0,,,0,,11,919,3,2.32,1,0.96,25.07,32.81,United States,['United States'],unknown,185,0,False,4.21,4.21,53.49,3.43,25.71,0.59,0.8,0.2,1.37,1.87,1.96,0,0.0,0,0.0,2.15,0.29,3,0.29,0.23,0,0.0,14,1.37,50.0,21.429,0.1,0.59,0.0,0.1,0.0,0.49,0.0,0.1,2.35,50.0,12.73,32.31,2.64,1.6600000000000001,0.59,14.49,1.96,1.76,23.31,79.41,4.21,58.14,8.52,93.1,21.84,82.96,0.88,44.44,14.98,20.15,0.09,0.59,0.0,0.0,0.39,75.0,0.29,2.06,52.38,1.8599999999999999,57.89,0.59,50.0,1.57,0.1,1.27,61.54,72.41,5.68,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.43,0.0,0.0,0.0,0.0,1,0
T. Hulshof,Thom  Hulshof,-488377,DZOH,AIC Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g29319_120x120.png,Eerste Klasse,"RCMF, DMF",RCMF,65,DMF,25,,0,23.0,2003-01-01,0,,10,916,1,0.39,0,0.11,19.06,53.61,Netherlands,['Netherlands'],unknown,183,0,False,11.59,7.86,62.5,4.32,61.36,0.6900000000000001,1.0,0.29,5.99,8.67,1.47,1,0.1,0,0.0,0.6900000000000001,0.1,1,0.1,0.04,1,0.1,3,0.29,33.33,33.333,0.0,0.29,33.33,0.1,0.0,0.2,50.0,0.0,0.98,40.0,4.13,33.33,0.2,0.39,0.2,24.96,0.1,0.79,41.56,89.13,8.94,71.43,8.06,97.56,39.3,90.0,1.97,80.0,17.3,20.74,0.01,0.2,0.0,0.0,0.1,100.0,0.1,5.8,74.58,0.59,33.33,0.2,100.0,0.1,0.1,3.83,66.67,96.0,17.19,0,,0,,0,0.0,0.0,0.0,,,0.2,,4.32,0.0,0.0,0.0,0.0,0,0
