Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
B. Highfill,Brady Highfill,-276494,,Westmont Warriors,,,GK,GK,100,,0,,0,,,0,,9,924,0,0.0,0,0.0,0.88,77.78,United States,['United States'],unknown,196,79,False,1.3599999999999999,0.19,100.0,0.49,100.0,0.0,0.0,0.0,1.17,1.6099999999999999,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.95,0.19,0.19,23.28,89.12,11.3,81.03,0.0,0.0,17.73,97.25,5.55,63.16,26.88,42.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3599999999999999,42.86,0.0,0.0,0.0,0.0,0.0,0.0,4.19,69.77,95.96,9.64,9,0.88,39,3.8,5,76.92,8.79,0.86,-0.21,-0.02,0.0,1.27,0.49,,,,0.0,0,0
L. Amaral,Landon Amaral,-238781,,Westmont Warriors,,,"LCB, CB",LCB,54,CB,38,,0,,,0,,9,900,2,1.48,0,0.06,14.7,66.67,United States,['United States'],unknown,180,78,False,9.1,4.5,68.89,5.4,75.93,0.5,0.68,0.5,5.5,7.47,0.6000000000000001,1,0.1,0,0.0,1.3,0.2,2,0.2,0.15,1,0.1,6,0.6000000000000001,50.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,90.91,2.9,58.62,0.6000000000000001,0.4,0.2,26.0,0.5,0.7000000000000001,46.9,80.38,21.8,65.6,2.5,96.0,35.4,88.98,11.5,53.91,25.26,41.39,0.01,0.1,0.0,0.0,0.0,0.0,0.0,6.3,50.79,0.30000000000000004,66.67,0.1,0.0,0.1,0.0,11.0,59.09,93.81,19.4,0,,0,,0,0.0,0.0,0.0,,,1.8,,5.4,0.0,0.0,0.0,0.0,0,0
M. Diklic,Milan Diklic,-461641,,Point Loma Sea Lions,,,"DMF, RCB, LB",DMF,51,RCB,21,LB,13,,,0,,9,898,0,0.35000000000000003,0,0.97,21.55,72.56,France,['France'],unknown,185,77,False,11.22,6.41,70.31,6.11,81.97,0.8,1.38,0.7000000000000001,5.91,10.17,1.1,1,0.1,0,0.0,2.1,0.0,0,0.0,0.04,0,0.0,7,0.7000000000000001,28.57,0.0,0.0,0.4,25.0,0.2,0.0,0.2,50.0,0.1,2.51,72.0,5.8100000000000005,65.52,0.9,1.7000000000000002,0.1,34.38,0.30000000000000004,1.9,51.11,83.14,16.84,67.26,3.71,94.59,44.5,88.51,6.21,48.39,21.63,40.4,0.1,0.5,0.0,0.0,0.1,0.0,0.2,7.02,62.86,1.5,26.67,0.30000000000000004,33.33,0.5,0.1,7.92,64.56,92.39,27.66,0,,0,,0,0.0,0.0,0.0,,,0.4,,6.11,0.0,0.0,0.0,0.0,0,0
M. Morgan,Matthew Morgan,-190958,Mobile Rams,Westmont Warriors,https://cdn5.wyscout.com/photos/team/public/g-2886_120x120.png,,"LB, LCB3",LB,53,LCB3,34,,0,,,0,,9,851,0,0.19,1,0.96,15.02,50.7,United States,['United States'],,180,66,False,7.72,8.67,54.88,1.9,66.67,0.11,0.14,0.11,2.86,3.84,1.06,2,0.21,0,0.0,0.85,0.0,0,0.0,0.02,0,0.0,2,0.21,50.0,0.0,0.11,0.9500000000000001,33.33,0.74,42.86,0.21,0.0,0.21,0.63,66.67,2.54,25.0,0.32,0.21,0.0,15.86,0.85,0.63,24.64,66.95,14.17,58.21,2.01,84.21,17.77,75.6,6.03,45.61,23.17,36.8,0.1,0.53,0.0,0.11,0.11,0.0,0.11,6.87,56.92,1.5899999999999999,40.0,0.63,33.33,0.74,0.21,8.57,70.37,84.13,6.66,0,,0,,0,0.0,0.0,0.0,,,0.42,,1.9,0.32,0.0,0.0,0.21,0,0
B. Goodman,Barrett Goodman,-478528,,Westmont Warriors,,,"RCB, RCB3",RCB,56,RCB3,35,,0,,,0,,9,849,1,0.9400000000000001,0,0.0,19.29,58.79,United States,['United States'],unknown,185,78,False,12.51,11.45,64.81,2.65,68.0,0.11,0.14,0.85,4.98,6.59,1.7000000000000002,1,0.11,0,0.0,0.42,0.11,1,0.11,0.1,0,0.0,2,0.21,50.0,50.0,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.42,75.0,2.86,29.63,0.21,0.32,0.0,24.38,0.21,0.42,40.07,79.1,16.64,61.15,5.09,97.92,32.33,86.89,7.63,47.22,23.34,40.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.72,46.3,0.42,25.0,0.42,50.0,0.11,0.0,8.06,55.26,91.33,15.9,0,,0,,0,0.0,0.0,0.0,,,4.03,,2.65,0.0,0.0,0.0,0.0,0,0
D. Howat,Donovan Howat,-238786,,Westmont Warriors,,,"RCMF, DMF, LDMF",RCMF,38,DMF,26,LDMF,22,,,0,,9,791,0,0.03,0,0.58,17.29,53.29,United States,['United States'],unknown,178,73,False,10.01,7.4,63.08,3.3,65.52,0.11,0.15,0.34,5.23,6.83,0.8,0,0.0,0,0.0,0.8,0.0,0,0.0,0.0,0,0.0,2,0.23,0.0,0.0,0.0,0.68,33.33,0.11,0.0,0.5700000000000001,40.0,0.0,1.1400000000000001,50.0,4.32,36.84,0.11,0.68,0.11,15.82,0.11,0.68,32.31,71.83,11.83,57.69,4.55,85.0,26.62,77.35,5.12,48.89,20.96,34.34,0.07,0.8,0.0,0.0,0.0,0.0,0.23,6.26,65.45,1.71,26.67,0.46,25.0,0.23,0.34,7.51,65.15,80.36,12.74,0,,0,,0,0.0,0.0,0.0,,,0.8,,3.3,0.23,0.0,0.0,0.11,0,0
M. Libby,Milo Libby,-248501,,Point Loma Sea Lions,,,LCB,LCB,92,,0,,0,,,0,,8,772,2,0.33,0,0.41000000000000003,8.51,71.23,United States,['United States'],,193,88,False,6.18,3.61,83.87,2.91,64.0,0.0,0.0,0.47000000000000003,3.15,5.55,0.7000000000000001,0,0.0,0,0.0,0.8200000000000001,0.23,2,0.23,0.04,2,0.23,5,0.58,100.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35000000000000003,66.67,1.28,54.55,0.7000000000000001,3.03,0.0,54.91,0.47000000000000003,0.23,72.86,88.48,30.54,79.77,2.33,100.0,63.65,93.41,9.21,54.43,23.44,42.74,0.05,0.12,0.0,0.12,0.0,0.0,0.12,11.77,68.32,0.7000000000000001,33.33,0.23,0.0,0.47000000000000003,0.0,13.76,82.2,95.85,36.49,0,,0,,0,0.0,0.0,0.0,,,1.52,,2.91,0.23,0.23,100.0,0.0,0,0
F. Calero,Felix Calero,-280195,LMU Lions,Point Loma Sea Lions,https://cdn5.wyscout.com/photos/team/public/g-2752_120x120.png,NCAA D1 West Coast,"CF, LW, RWF",CF,36,LW,15,RWF,12,,,0,,9,770,6,6.02,0,0.04,20.22,40.46,United States,['United States'],,180,84,False,1.6400000000000001,2.34,35.0,4.09,48.57,0.12,0.18,0.35000000000000003,0.7000000000000001,1.07,1.17,0,0.0,0,0.0,4.79,0.7000000000000001,5,0.58,0.7000000000000001,2,0.23,28,3.27,60.71,21.429,0.0,0.47000000000000003,25.0,0.23,50.0,0.23,0.0,0.12,4.91,50.0,11.22,38.54,4.09,1.52,0.8200000000000001,20.69,1.99,1.6400000000000001,26.77,80.35,6.19,58.49,7.71,95.45,25.13,83.26,1.29,45.45,17.17,29.68,0.0,0.23,0.12,0.0,0.47000000000000003,50.0,0.0,2.92,60.0,1.75,66.67,0.58,60.0,1.52,0.0,2.69,86.96,79.22,9.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.09,0.35000000000000003,0.35000000000000003,0.0,0.0,1,100
M. Abangan,Matthew Abangan,-461639,,Point Loma Sea Lions,,,"RCB, RB, LB",RCB,52,RB,26,LB,14,,,0,,9,742,0,0.19,0,0.0,14.56,60.83,United States,['United States'],unknown,180,68,False,8.25,5.22,62.79,3.27,62.96,0.12,0.21,0.24,4.85,8.51,0.36,2,0.24,0,0.0,1.21,0.0,0,0.0,0.02,0,0.0,4,0.49,0.0,0.0,0.0,0.49,50.0,0.12,100.0,0.36,33.33,0.0,1.58,46.15,3.4,57.14,0.12,2.18,0.12,45.0,0.36,0.61,60.77,87.82,24.99,79.61,5.94,97.96,55.19,91.43,5.09,52.38,21.19,35.9,0.0,0.0,0.0,0.0,0.24,100.0,0.0,8.37,73.91,1.21,50.0,0.12,0.0,0.24,0.24,13.22,73.39,94.71,25.23,0,,0,,0,0.0,0.0,0.0,,,2.3,,3.27,0.12,0.0,0.0,0.0,0,0
Leonel Olivo,Leonel Olivo Ortiz,-316497,Westmont Warriors,Westmont Warriors,https://cdn5.wyscout.com/photos/team/public/g-13612_120x120.png,NCAA D2 Pacific West Conference,"LAMF, LW, LWF",LAMF,28,LW,26,LWF,20,20.0,2005-12-13,0,,9,715,4,1.62,2,1.13,24.04,43.46,Mexico,['Mexico'],unknown,168,66,False,3.65,5.16,41.46,1.13,22.22,0.0,0.0,0.13,1.51,1.9300000000000002,1.8900000000000001,1,0.13,0,0.0,5.16,0.5,4,0.5,0.2,0,0.0,12,1.51,66.67,33.333,0.25,2.14,11.76,1.6400000000000001,15.38,0.38,0.0,0.5,6.67,56.6,14.73,42.74,2.27,1.8900000000000001,0.38,10.45,1.8900000000000001,2.01,18.38,63.7,5.79,52.17,4.66,89.19,14.22,75.22,2.27,33.33,18.8,35.46,0.14,1.38,0.0,0.0,0.13,100.0,0.5,3.27,57.69,2.9,21.74,0.76,33.33,0.88,0.25,3.65,75.86,54.76,5.29,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.13,0.25,0.13,100.0,0.38,0,0
