Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
R. Ceballos,Ricardo Ceballos,-470184,,Saint Leo Lions,,,GK,GK,100,,0,,0,,,0,,12,1248,0,0.0,0,0.0,1.15,68.75,Mexico,['Mexico'],unknown,180,77,False,1.73,0.07,100.0,0.65,88.89,0.0,0.0,0.0,1.6600000000000001,1.94,0.07,2,0.14,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.07,7.72,0.07,0.14,14.86,81.07,7.64,67.92,0.0,0.0,9.01,96.8,5.84,56.79,33.81,50.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5899999999999999,63.64,0.22,0.0,0.0,0.0,0.07,0.0,3.68,70.59,94.44,6.49,21,1.51,85,6.13,2,75.29,23.07,1.6600000000000001,2.07,0.149,0.0,0.9400000000000001,0.65,,,,0.0,0,0
A. Joblet,Antoine  Joblet,-489481,,Saint Leo Lions,,,"RB, RCB3",RB,63,RCB3,26,,0,,,0,,11,1116,0,0.04,0,0.73,20.89,56.37,United States,['United States'],unknown,0,0,False,11.85,9.35,66.38,3.95,59.18,0.32,0.37,0.32,5.32,6.13,0.97,3,0.24,0,0.0,1.05,0.0,0,0.0,0.0,0,0.0,2,0.16,50.0,0.0,0.0,0.32,25.0,0.0,0.0,0.32,25.0,0.0,1.69,52.38,5.8100000000000005,44.44,0.24,1.29,0.4,23.23,0.97,1.37,35.56,79.37,16.29,70.79,4.27,96.23,30.97,86.46,4.27,32.08,20.23,33.99,0.06,0.16,0.0,0.0,0.08,0.0,0.16,4.52,60.71,0.65,25.0,0.4,0.0,0.16,0.08,7.02,60.92,88.57,11.29,0,,0,,0,0.0,0.0,0.0,,,0.81,,3.95,0.0,0.0,0.0,0.08,0,0
B. Ortiz,Branddon Silva Ortiz,-470240,,Saint Leo Lions,,,"LCB, LCB3",LCB,49,LCB3,32,,0,,,0,,12,1106,0,0.03,0,0.02,10.9,63.43,United States,['United States'],unknown,180,77,False,8.54,5.53,73.53,1.38,82.35,0.08,0.09,0.65,4.39,4.95,0.5700000000000001,3,0.24,0,0.0,0.5700000000000001,0.0,0,0.0,0.0,0,0.0,1,0.08,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.9,54.55,2.44,46.67,0.0,0.5700000000000001,0.0,25.88,0.33,0.49,40.04,84.35,15.54,72.77,1.38,94.12,33.53,91.26,6.43,49.37,21.4,33.29,0.0,0.16,0.0,0.0,0.08,100.0,0.0,2.36,55.17,0.41000000000000003,40.0,0.0,0.0,0.16,0.0,7.16,48.86,93.93,20.1,0,,0,,0,0.0,0.0,0.0,,,0.65,,1.38,0.08,0.0,0.0,0.0,0,0
A. Rojas,Anel Rojas,-470206,Saint Leo Lions,Saint Leo Lions,https://cdn5.wyscout.com/photos/team/public/g27540_120x120.png,NCAA D2 Sunshine State Conference,"CF, LAMF",CF,74,LAMF,20,,0,,,0,,12,1090,2,3.62,2,0.29,25.51,38.83,Panama,['Panama'],unknown,178,75,False,4.05,4.38,52.83,5.7,44.93,0.25,0.27,0.17,1.49,1.5899999999999999,1.16,1,0.08,0,0.0,1.98,0.17,2,0.17,0.30000000000000004,0,0.0,23,1.9,34.78,8.696,0.17,0.33,0.0,0.17,0.0,0.17,0.0,0.0,2.9699999999999998,41.67,11.81,30.07,1.98,0.33,0.25,12.63,2.06,1.9,19.24,69.96,5.86,54.93,4.38,84.91,17.17,72.12,1.73,61.9,18.78,39.69,0.02,0.33,0.0,0.0,0.58,14.29,0.33,2.9699999999999998,52.78,1.65,35.0,0.5,16.67,0.66,0.0,2.56,64.52,73.13,5.53,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.7,0.0,0.0,0.0,0.0,0,0
E. Degl'Innocenti,Edoardo  Degl'Innocenti,-489457,,Saint Leo Lions,,,AMF,AMF,84,,0,,0,,,0,,10,872,2,1.5,2,1.98,20.54,47.24,Italy,['Italy'],unknown,0,0,False,4.85,4.54,59.09,0.72,28.57,0.0,0.0,0.1,2.17,2.19,1.34,3,0.31,0,0.0,4.44,0.21,1,0.1,0.15,0,0.0,17,1.75,41.18,11.765,0.21,0.41000000000000003,75.0,0.1,100.0,0.31,66.67,0.0,6.5,49.21,13.83,44.03,1.24,2.79,1.24,24.36,1.44,1.96,36.54,79.38,13.11,68.5,8.98,93.1,34.27,81.63,1.8599999999999999,38.89,15.7,25.2,0.2,2.06,0.0,0.0,1.03,20.0,0.31,6.4,64.52,2.89,57.14,1.24,16.67,1.65,0.41000000000000003,5.78,75.0,81.61,8.98,0,,0,,0,0.0,0.0,0.0,,,0.21,,0.72,2.17,0.72,14.29,1.24,1,100
A. Crnac,Anel Crnac,-470238,Saint Leo Lions,Saint Leo Lions,https://cdn5.wyscout.com/photos/team/public/g27540_120x120.png,NCAA D2 Sunshine State Conference,"RCB, LCB",RCB,50,LCB,34,,0,,,0,,10,835,0,0.8300000000000001,0,0.0,16.06,57.72,Iceland,['Iceland'],unknown,190,88,False,11.53,8.41,65.38,5.17,60.42,0.0,0.0,1.51,6.04,6.97,1.4,6,0.65,0,0.0,0.22,0.0,0,0.0,0.09,0,0.0,6,0.65,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.75,28.57,0.86,0.43,0.0,28.35,0.65,0.32,42.79,81.61,19.72,65.57,1.4,100.0,33.63,91.35,9.16,45.88,20.89,36.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74,50.0,0.54,0.0,0.97,33.33,0.11,0.0,8.62,63.75,95.43,18.86,0,,0,,0,0.0,0.0,0.0,,,0.75,,5.17,0.0,0.0,0.0,0.0,0,0
F. Tellechea,Federico Tellechea,-470198,,Saint Leo Lions,,,"LCMF, LDMF, RDMF",LCMF,34,LDMF,24,RDMF,22,,,0,,12,782,1,1.57,0,0.22,16.57,47.22,Uruguay,['Uruguay'],unknown,183,70,False,7.83,6.21,48.15,2.07,44.44,0.58,0.47000000000000003,0.6900000000000001,4.26,3.51,1.27,0,0.0,0,0.0,0.6900000000000001,0.12,1,0.12,0.18,0,0.0,7,0.81,28.57,14.286,0.0,0.46,0.0,0.12,0.0,0.35000000000000003,0.0,0.12,0.81,57.14,4.95,53.49,0.92,0.46,0.46,19.91,0.58,0.81,33.72,81.91,10.93,64.21,6.1,96.23,30.04,85.82,3.45,53.33,19.1,34.46,0.02,0.23,0.0,0.0,0.0,0.0,0.0,4.37,63.16,0.58,0.0,0.12,100.0,0.12,0.23,5.41,61.7,90.57,12.2,0,,0,,0,0.0,0.0,0.0,,,0.35000000000000003,,2.07,0.23,0.0,0.0,0.23,0,0
F. Brusaca,Federico Brusaca,-470214,,Saint Leo Lions,,,"RCB, CB",RCB,54,CB,41,,0,17.0,2009-06-06,0,,10,724,1,0.41000000000000003,0,0.0,12.31,62.63,Italy,['Italy'],unknown,188,96,False,9.94,5.59,62.22,3.6,68.97,0.0,0.0,1.37,6.46,7.29,1.12,0,0.0,1,0.12,0.12,0.12,1,0.12,0.05,1,0.12,3,0.37,33.33,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,40.0,0.25,0.0,0.0,25.36,0.5,0.5,37.54,87.09,12.93,73.08,2.24,100.0,30.95,93.57,6.59,56.6,21.21,35.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49,50.0,0.37,0.0,0.25,0.0,0.12,0.0,4.48,58.33,95.24,20.88,0,,0,,0,0.0,0.0,0.0,,,1.99,,3.6,0.0,0.0,0.0,0.0,0,0
Y. Toth,Yannick  Toth,-469837,,Palm Beach Atlantic Sailfish,,,"LCMF, RCMF, LDMF",LCMF,37,RCMF,31,LDMF,22,,,0,,7,711,2,1.47,2,0.91,13.29,46.67,Germany,['Germany'],unknown,182,74,False,7.09,5.44,53.49,2.66,52.38,0.13,0.17,0.0,4.05,5.55,1.27,2,0.25,0,0.0,1.52,0.25,2,0.25,0.19,0,0.0,13,1.65,61.54,15.385,0.25,0.25,100.0,0.25,100.0,0.0,0.0,0.0,0.51,50.0,2.66,23.81,1.65,0.63,0.0,32.41,0.25,0.38,48.61,87.24,13.8,74.31,9.49,96.0,45.06,88.76,3.42,66.67,17.38,32.11,0.12,1.3900000000000001,0.0,0.0,0.0,0.0,0.13,6.2,71.43,2.03,62.5,0.25,50.0,1.77,0.13,5.57,81.82,92.05,19.11,0,,0,,0,0.0,0.0,0.0,,,1.01,,2.66,1.52,0.63,100.0,2.2800000000000002,0,0
J. Brown,Joel Brown,-470236,Maryland College Park Terrapins,Saint Leo Lions,https://cdn5.wyscout.com/photos/team/public/g27586_120x120.png,NCAA D1 Big Ten,"LB, LWB",LB,75,LWB,23,,0,,,0,,12,705,0,0.01,0,0.03,12.64,56.57,United States,['United States'],unknown,178,78,False,9.19,7.66,58.33,0.89,42.86,0.89,0.8300000000000001,0.64,3.83,3.5700000000000003,0.38,0,0.0,0,0.0,0.89,0.0,0,0.0,0.0,0,0.0,1,0.13,0.0,0.0,0.0,1.02,12.5,1.02,12.5,0.0,0.0,0.0,1.02,75.0,2.3,66.67,0.0,0.26,0.26,20.68,1.53,1.15,29.49,72.29,12.64,62.63,4.6,91.67,24.26,80.0,4.21,42.42,19.75,26.64,0.0,0.26,0.0,0.0,0.0,0.0,0.0,2.3,33.33,1.15,22.22,0.38,0.0,0.13,0.13,6.51,50.98,71.83,9.06,0,,0,,0,0.0,0.0,0.0,,,0.13,,0.89,0.0,0.0,0.0,0.0,0,0
