Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
N. Sahilices,Nicolas Sahilices,-488356,Marian Knights,Millikin Big Blue,https://cdn5.wyscout.com/photos/team/public/g-16513_120x120.png,NAIA Non-conference matches,RCB,RCB,100,,0,,0,,,0,,7,662,1,0.19,0,0.0,15.77,62.07,Argentina,['Argentina'],unknown,183,77,False,11.28,8.7,75.0,3.26,54.17,0.14,0.16,0.41000000000000003,4.62,5.57,1.77,2,0.27,0,0.0,0.54,0.14,1,0.14,0.03,1,0.14,1,0.14,100.0,100.0,0.0,0.14,100.0,0.14,100.0,0.0,0.0,0.0,0.27,100.0,1.63,41.67,0.54,0.0,0.0,26.1,0.41000000000000003,0.41000000000000003,40.51,82.21,15.23,69.64,1.22,100.0,33.31,88.57,7.07,51.92,23.58,33.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,42.86,0.27,0.0,0.0,0.0,0.0,0.14,6.66,48.98,88.96,20.94,0,,0,,0,0.0,0.0,0.0,,,1.09,,3.26,0.0,0.0,0.0,0.0,0,0
T. Polidori,Tommaso Polidori,-487492,Tampa Spartans,North Central Cardinals,https://cdn5.wyscout.com/photos/team/public/g27520_120x120.png,NCAA D2 Sunshine State Conference,RCB,RCB,100,,0,,0,21.0,2005-02-22,0,,6,569,3,1.15,2,0.56,13.13,68.67,Italy,['Italy'],unknown,185,79,False,9.02,5.85,72.97,3.48,72.73,0.32,0.47000000000000003,0.32,4.43,6.5600000000000005,0.79,1,0.16,0,0.0,0.9500000000000001,0.47000000000000003,3,0.47000000000000003,0.18,0,0.0,8,1.27,62.5,37.5,0.32,0.32,0.0,0.0,0.0,0.32,0.0,0.16,0.16,100.0,1.74,54.55,0.9500000000000001,2.5300000000000002,0.63,39.54,1.11,0.32,56.94,88.06,21.04,79.7,3.8,95.83,49.19,92.6,7.43,61.7,23.92,41.17,0.09,0.47000000000000003,0.0,0.0,0.0,0.0,0.32,9.49,73.33,1.58,30.0,0.47000000000000003,66.67,0.47000000000000003,0.0,12.02,76.32,94.09,29.42,0,,0,,0,0.0,0.0,0.0,,,3.64,,3.48,0.32,0.0,0.0,0.0,0,0
O. Holowinski,Oliwier Holowinski,-488300,,Millikin Big Blue,,,GK,GK,100,,0,,0,,,0,,6,561,0,0.0,0,0.0,1.44,77.78,United States,['United States'],unknown,183,77,False,3.5300000000000002,0.16,100.0,0.8,100.0,0.0,0.0,0.0,3.37,4.06,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,14.92,0.32,0.0,28.72,87.71,10.75,73.13,0.16,100.0,22.94,98.6,5.61,45.71,28.76,39.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,9.09,0.0,0.0,0.0,0.0,0.0,0.0,3.21,45.0,97.12,16.68,19,3.05,33,5.29,0,42.42,11.9,1.9100000000000001,-7.1,-1.139,0.16,2.73,0.8,,,,0.0,0,0
A. Gallego Arango,Alejandro Gallego Arango,-452966,Millikin Big Blue,Millikin Big Blue,https://cdn5.wyscout.com/photos/team/public/g-18947_120x120.png,NCAA D3 Non-conference matches,LB,LB,100,,0,,0,,,0,,7,545,0,0.0,0,0.44,18.17,54.55,United States,['United States'],unknown,167,63,False,11.23,9.08,69.09,2.15,61.54,0.5,0.51,0.0,4.46,4.58,0.66,0,0.0,0,0.0,2.15,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.8300000000000001,80.0,0.8300000000000001,80.0,0.0,0.0,0.0,2.15,69.23,5.28,43.75,0.33,2.48,1.16,25.93,1.32,0.99,39.96,73.97,19.98,67.77,4.46,74.07,35.01,78.3,4.13,36.0,18.04,32.82,0.07,0.33,0.0,0.0,0.17,0.0,0.17,5.28,56.25,2.48,53.33,0.5,33.33,0.8300000000000001,0.66,9.74,59.32,81.54,10.73,0,,0,,0,0.0,0.0,0.0,,,0.33,,2.15,0.17,0.0,0.0,0.5,0,0
S. Marquardt,Sid  Marquardt,-487444,,North Central Cardinals,,,GK,GK,100,,0,,0,,,0,,5,542,0,0.0,0,0.0,0.0,0.0,United States,['United States'],unknown,183,80,False,1.6600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6600000000000001,2.54,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.63,0.33,0.0,18.1,87.16,9.8,79.66,0.0,0.0,11.79,95.77,6.14,72.97,34.16,37.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,58.33,0.0,0.0,0.0,0.0,0.0,0.0,5.31,78.13,100.0,7.64,7,1.16,12,1.99,2,41.67,2.3,0.38,-4.7,-0.78,0.0,0.33,0.0,,,,0.0,0,0
E. Bonifacio,Edoardo Bonifacio,-463349,,North Central Cardinals,,,LB,LB,98,,0,,0,,,0,,6,535,3,2.48,2,0.21,18.67,46.85,Italy,['Italy'],unknown,175,0,False,7.07,4.37,69.23,2.19,38.46,0.17,0.25,0.0,3.87,5.85,1.6800000000000002,3,0.5,0,0.0,2.52,0.5,2,0.34,0.42,0,0.0,7,1.18,71.43,42.857,0.34,0.34,0.0,0.34,0.0,0.0,0.0,0.0,3.7,45.45,9.76,41.38,1.85,1.85,0.17,32.3,1.6800000000000002,2.19,48.45,79.86,16.82,69.0,7.23,86.05,45.93,81.68,2.19,53.85,17.43,30.3,0.03,1.01,0.0,0.0,0.17,0.0,0.34,6.22,70.27,1.85,36.36,0.34,50.0,0.84,0.0,12.28,72.6,86.73,16.49,0,,0,,0,0.0,0.0,0.0,,,0.67,,2.19,0.0,0.0,0.0,0.0,2,50
A. Brämhagen,Alvin Brämhagen,-452954,,Millikin Big Blue,,,"RCMF3, RCMF",RCMF3,53,RCMF,40,,0,,,0,,7,527,2,1.13,2,0.55,18.61,42.2,United States,['United States'],unknown,175,68,False,6.83,6.49,65.79,2.9,35.29,0.34,0.33,0.0,2.22,2.17,1.02,0,0.0,0,0.0,3.07,0.34,1,0.17,0.19,0,0.0,8,1.37,37.5,12.5,0.34,1.37,12.5,0.0,0.0,1.37,12.5,0.0,3.93,47.83,8.2,31.25,1.2,1.2,0.0,22.54,0.85,0.34,34.33,64.18,12.3,55.56,3.93,82.61,30.91,67.4,2.05,50.0,19.28,29.98,0.09,1.02,0.0,0.0,0.68,75.0,0.34,7.51,56.82,2.39,14.29,0.85,60.0,0.51,0.34,8.2,58.33,67.61,12.13,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.9,1.02,0.34,50.0,0.85,1,0
J. Smaaberg,Johannes Smaaberg,-452926,,Millikin Big Blue,,,CF,CF,98,,0,,0,,,0,,7,519,3,1.78,0,0.7000000000000001,12.49,37.5,Norway,['Norway'],unknown,185,74,False,2.43,2.77,62.5,1.9100000000000001,63.64,0.0,0.0,0.17,0.6900000000000001,0.67,0.35000000000000003,1,0.17,0,0.0,1.04,0.52,3,0.52,0.31,0,0.0,8,1.3900000000000001,62.5,37.5,0.0,0.17,100.0,0.17,100.0,0.0,0.0,0.17,0.6900000000000001,0.0,5.9,20.59,1.9100000000000001,0.35000000000000003,0.0,9.88,0.87,0.6900000000000001,16.99,79.59,1.56,55.56,5.9,97.06,16.47,80.0,0.35000000000000003,50.0,17.05,8.93,0.12,0.35000000000000003,0.0,0.0,0.17,0.0,0.17,1.04,33.33,0.6900000000000001,50.0,0.0,0.0,0.17,0.17,1.04,66.67,77.14,6.07,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.9100000000000001,0.0,0.0,0.0,0.0,0,0
J. Fairwood,Jack  Fairwood,-487471,,North Central Cardinals,,,"AMF, RDMF, LDMF",AMF,24,RDMF,23,LDMF,21,,,0,,6,519,1,1.34,2,0.8,20.98,46.28,United States,['United States'],unknown,183,0,False,7.28,5.72,60.61,5.38,51.61,0.17,0.23,0.0,3.64,4.88,1.73,0,0.0,0,0.0,1.21,0.17,1,0.17,0.23,0,0.0,9,1.56,44.44,11.111,0.35000000000000003,0.6900000000000001,25.0,0.35000000000000003,0.0,0.35000000000000003,50.0,0.17,1.04,33.33,6.59,31.58,2.25,0.35000000000000003,0.0,16.47,0.6900000000000001,0.6900000000000001,29.31,77.51,9.36,62.96,5.2,90.0,26.88,81.29,1.73,40.0,18.38,25.5,0.14,0.87,0.0,0.0,0.52,0.0,0.17,4.51,61.54,1.21,14.29,0.35000000000000003,0.0,0.35000000000000003,0.17,3.99,69.57,85.19,9.36,0,,0,,0,0.0,0.0,0.0,,,0.17,,5.38,0.17,0.17,0.0,0.52,0,0
D. Nelson,Davis  Nelson,-487490,,North Central Cardinals,,,RB,RB,100,,0,,0,,,0,,6,506,0,0.0,0,0.17,10.85,54.1,United States,['United States'],unknown,180,68,False,8.0,5.16,79.31,2.31,30.77,0.18,0.26,0.36,3.74,5.43,0.36,0,0.0,0,0.0,0.36,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.6,11.11,0.0,0.0,1.6,11.11,0.36,0.89,20.0,2.31,15.38,0.18,1.6,0.0,31.84,1.96,0.18,43.22,72.84,19.03,62.62,8.18,91.3,36.64,77.67,4.98,57.14,19.6,33.89,0.03,0.53,0.0,0.0,0.18,0.0,0.0,8.18,58.7,2.85,25.0,0.89,20.0,0.53,0.36,11.56,69.23,75.0,12.81,0,,0,,0,0.0,0.0,0.0,,,0.18,,2.31,0.0,0.0,0.0,0.0,0,0
