Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Krysztoforski,Konrad  Krysztoforski,-386538,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,"CB, LCB",CB,67,LCB,22,,0,,,0,,8,754,0,0.64,0,0.0,14.68,70.73,Poland,['Poland'],unknown,188,86,False,8.36,5.01,78.57,5.25,59.09,0.72,1.05,0.36,3.7,5.44,0.84,1,0.12,0,0.0,0.84,0.0,0,0.0,0.08,0,0.0,6,0.72,16.67,0.0,0.0,0.12,100.0,0.0,0.0,0.12,100.0,0.0,0.72,83.33,2.03,70.59,1.19,0.9500000000000001,0.0,25.42,0.36,0.72,46.19,79.07,20.29,71.76,1.9100000000000001,87.5,39.39,84.85,6.68,44.64,22.73,38.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.68,60.71,0.48,25.0,0.36,33.33,0.12,0.12,10.74,65.56,87.5,20.05,0,,0,,0,0.0,0.0,0.0,,,1.19,,5.25,0.0,0.0,0.0,0.0,0,0
T. Lynch,Tim Lynch,-386658,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,"LCMF, RCMF, DMF",LCMF,34,RCMF,24,DMF,20,,,0,,8,742,0,0.06,0,0.08,26.93,58.56,United States,['United States'],unknown,175,73,False,14.19,9.82,76.54,6.79,60.71,0.85,1.23,0.36,5.82,8.42,0.61,0,0.0,0,0.0,1.21,0.0,0,0.0,0.01,0,0.0,2,0.24,50.0,0.0,0.0,0.73,50.0,0.24,50.0,0.49,50.0,0.0,0.85,85.71,5.58,39.13,0.0,0.36,0.24,30.32,0.24,0.97,56.4,74.84,25.71,63.68,4.25,88.57,49.0,80.45,6.79,37.5,21.65,43.9,0.01,0.12,0.0,0.0,0.12,0.0,0.12,15.89,63.36,2.67,31.82,0.49,0.0,0.49,0.36,12.86,78.3,87.43,21.23,0,,0,,0,0.0,0.0,0.0,,,0.73,,6.79,0.0,0.0,0.0,0.0,0,0
J. Akisik,Joe  Akisik,-386513,,Endicott Gulls,,,LCB3,LCB3,70,,0,,0,,,0,,8,741,0,0.31,1,0.09,18.95,55.13,United States,['United States'],unknown,183,79,False,8.74,4.62,71.05,5.47,71.11,0.24,0.36,0.24,5.22,7.63,0.61,0,0.0,0,0.0,1.34,0.0,0,0.0,0.04,0,0.0,5,0.61,20.0,0.0,0.12,0.24,50.0,0.0,0.0,0.24,50.0,0.0,1.58,61.54,6.92,38.6,0.85,0.85,0.0,27.69,0.24,0.85,48.46,74.44,25.14,65.22,2.43,80.0,40.45,80.78,7.77,42.19,22.3,38.41,0.01,0.12,0.0,0.0,0.12,100.0,0.0,9.47,66.67,1.21,50.0,0.36,66.67,0.36,0.12,13.48,62.16,87.94,17.13,0,,0,,0,0.0,0.0,0.0,,,0.97,,5.47,0.0,0.0,0.0,0.0,0,0
C. Rooney,Conor  Rooney,-386620,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,"RCMF, LWB, RWB",RCMF,21,LWB,16,RWB,15,,,0,,8,699,2,1.94,1,3.93,18.03,45.71,United States,['United States'],unknown,173,70,False,6.44,5.79,68.89,2.45,36.84,0.0,0.0,0.13,2.45,3.48,0.13,0,0.0,0,0.0,2.45,0.26,2,0.26,0.25,0,0.0,14,1.8,35.71,14.286,0.13,1.55,16.67,1.42,18.18,0.0,0.0,0.39,3.22,48.0,8.11,33.33,2.83,2.45,0.64,28.71,1.42,0.52,43.13,79.1,12.1,63.83,10.94,92.94,38.88,84.11,2.83,40.91,18.37,36.57,0.51,3.22,0.0,0.0,0.13,0.0,0.13,4.38,61.76,2.58,50.0,0.13,0.0,0.9,0.26,7.08,65.45,85.19,13.91,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.45,0.39,0.0,0.0,4.89,0,0
T. Frazao,Tiago  Frazao,-386638,,Endicott Gulls,,,"CF, AMF",CF,80,AMF,14,,0,,,0,,8,622,4,4.8100000000000005,1,1.65,28.36,39.8,United States,['United States'],unknown,183,75,False,5.79,5.64,61.54,6.66,39.13,0.0,0.0,0.0,2.32,2.91,1.01,0,0.0,0,0.0,5.5,0.58,4,0.58,0.7000000000000001,1,0.14,26,3.76,61.54,15.385,0.14,1.5899999999999999,36.36,0.43,33.33,1.16,37.5,0.29,3.62,64.0,11.58,36.25,5.21,1.45,0.43,19.82,1.16,1.88,27.49,69.47,6.8,65.96,5.06,85.71,25.03,72.25,0.87,50.0,15.91,19.83,0.24,1.74,0.0,0.0,0.43,66.67,0.58,2.89,65.0,3.18,45.45,0.43,33.33,1.88,0.58,2.89,85.0,66.67,8.68,0,,0,,0,0.0,0.0,0.0,,,0.14,,6.66,0.0,0.0,0.0,0.0,2,0
K. Delgado,Keveen  Delgado,-386636,,Endicott Gulls,,,"LCMF, RCMF, LCMF3",LCMF,33,RCMF,22,LCMF3,17,,,0,,8,504,2,0.30000000000000004,1,0.5700000000000001,28.57,45.63,United States,['United States'],unknown,167,59,False,8.75,8.75,63.27,2.86,37.5,0.0,0.0,0.18,3.21,4.15,1.07,0,0.0,0,0.0,3.39,0.36,2,0.36,0.05,0,0.0,7,1.25,42.86,28.571,0.18,0.71,0.0,0.36,0.0,0.36,0.0,0.18,4.64,53.85,12.86,38.89,0.54,1.79,0.18,40.54,0.54,0.36,63.04,78.19,27.32,71.24,2.86,93.75,55.89,82.43,6.43,50.0,20.05,29.28,0.1,1.43,0.0,0.0,0.36,100.0,0.18,17.32,69.07,3.75,42.86,0.71,25.0,1.79,0.0,13.21,90.54,82.61,24.64,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.86,0.0,0.0,0.0,0.36,0,0
A. Sheehan,Aidan Sheehan,-505178,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,"AMF, CF",AMF,54,CF,29,,0,,,0,,8,494,0,0.78,0,0.51,34.8,33.51,United States,['United States'],,183,82,False,6.19,5.1,60.71,6.38,34.29,0.18,0.22,0.36,2.91,3.56,0.91,0,0.0,0,0.0,3.2800000000000002,0.0,0,0.0,0.14,0,0.0,8,1.46,50.0,0.0,0.0,1.28,42.86,0.55,33.33,0.73,50.0,0.0,4.37,45.83,18.22,24.0,3.2800000000000002,1.28,0.36,17.13,2.0,0.55,34.62,75.26,8.38,54.35,8.38,86.96,31.34,76.74,2.0,72.73,17.42,25.84,0.09,1.09,0.0,0.0,0.55,0.0,0.55,3.83,66.67,1.82,50.0,0.55,0.0,0.91,0.55,2.91,68.75,81.25,11.66,0,,0,,0,0.0,0.0,0.0,,,0.18,,6.38,0.0,0.0,0.0,0.0,0,0
H. Laske,Hayden  Laske,-386655,,Endicott Gulls,,,"RCB3, LB",RCB3,71,LB,20,,0,,,0,,6,484,0,0.04,0,0.14,13.95,60.0,United States,['United States'],unknown,178,68,False,9.11,5.58,66.67,2.98,75.0,0.19,0.26,0.56,5.21,7.18,1.3,1,0.19,0,0.0,1.3,0.0,0,0.0,0.01,0,0.0,3,0.56,0.0,0.0,0.0,0.74,75.0,0.19,0.0,0.56,100.0,0.0,1.12,66.67,3.9,42.86,0.37,0.93,0.0,28.64,1.49,1.12,46.86,76.98,24.92,70.15,3.5300000000000002,84.21,39.79,83.18,6.32,38.24,21.24,40.03,0.03,0.19,0.0,0.0,0.0,0.0,0.0,11.16,65.0,2.6,42.86,0.56,66.67,0.56,0.19,15.06,75.31,87.84,13.76,0,,0,,0,0.0,0.0,0.0,,,0.93,,2.98,0.0,0.0,0.0,0.0,0,0
M. Karkos,Max  Karkos,-386615,,Endicott Gulls,,,"CF, RAMF",CF,65,RAMF,19,,0,,,0,,6,375,2,0.88,0,0.21,27.12,35.4,United States,['United States'],unknown,175,72,False,6.48,5.52,73.91,4.5600000000000005,15.79,0.48,0.49,0.0,1.92,1.9500000000000002,1.92,0,0.0,0,0.0,3.6,0.48,2,0.48,0.21,0,0.0,10,2.4,40.0,20.0,0.0,3.12,15.38,1.44,0.0,1.6800000000000002,28.57,0.72,5.28,40.91,13.68,28.07,4.32,2.16,0.0,16.32,2.16,0.72,24.96,65.38,6.0,72.0,4.32,83.33,20.88,73.56,0.96,50.0,18.74,21.56,0.05,0.96,0.24,0.0,0.48,0.0,0.0,3.84,50.0,5.28,50.0,0.24,0.0,2.16,0.48,4.08,76.47,57.5,9.6,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.5600000000000005,0.0,0.0,0.0,0.0,0,0
F. Mills,Fisher  Mills,-386661,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,"RWB, LWB, AMF",RWB,43,LWB,36,AMF,12,,,0,,8,363,0,0.9400000000000001,2,1.77,34.71,48.57,United States,['United States'],unknown,183,73,False,9.92,8.18,78.79,3.22,30.77,0.0,0.0,0.0,3.47,4.88,0.5,0,0.0,0,0.0,8.43,0.0,0,0.0,0.23,0,0.0,9,2.23,22.22,0.0,0.5,7.19,31.03,2.23,33.33,4.46,27.78,2.48,11.4,50.0,20.08,39.51,5.45,3.7199999999999998,0.0,31.24,1.98,1.24,57.27,74.46,17.11,71.01,10.41,90.48,45.62,82.07,4.96,65.0,20.66,24.35,0.44,2.48,0.0,0.0,0.0,0.0,1.49,9.67,66.67,6.45,38.46,0.25,100.0,1.74,1.74,13.14,83.02,70.0,19.83,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.22,0.0,0.0,0.0,1.24,0,0
