Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
B. Lebitsch,Brendan Lebitsch,-464085,,Ithaca Bombers,,,"RCB, CB",RCB,82,CB,17,,0,,,0,,9,876,1,0.4,1,0.16,17.67,58.14,United States,['United States'],unknown,188,84,False,8.84,6.27,70.49,4.73,54.35,0.21,0.27,0.21,4.21,5.49,0.72,2,0.21,0,0.0,1.13,0.1,1,0.1,0.04,1,0.1,5,0.51,40.0,20.0,0.1,1.03,20.0,0.31,0.0,0.72,28.57,0.1,1.34,53.85,4.62,51.11,0.92,1.03,0.31,15.51,0.1,0.72,36.27,59.49,24.55,51.88,1.13,100.0,21.27,73.91,14.08,40.15,28.05,41.14,0.02,0.21,0.0,0.0,0.1,0.0,0.21,8.94,37.93,1.85,27.78,0.51,20.0,0.21,0.21,12.64,59.35,74.39,8.42,0,,0,,0,0.0,0.0,0.0,,,0.8200000000000001,,4.73,0.1,0.0,0.0,0.0,0,0
D. Warren,Drew Warren,-464036,Ithaca Bombers,Ithaca Bombers,https://cdn5.wyscout.com/photos/team/public/g-19381_120x120.png,NCAA D3 Liberty League,"LB, DMF, RCMF",LB,59,DMF,14,RCMF,13,,,0,,9,876,0,0.11,0,0.5,17.16,58.08,United States,['United States'],unknown,175,70,False,9.45,7.91,66.23,3.18,61.29,0.51,0.67,0.0,3.7,4.82,0.92,0,0.0,0,0.0,1.03,0.0,0,0.0,0.01,0,0.0,4,0.41000000000000003,50.0,0.0,0.0,0.92,44.44,0.8200000000000001,50.0,0.1,0.0,0.21,0.62,66.67,2.36,43.48,0.41000000000000003,0.21,0.0,17.67,0.51,0.51,34.32,63.47,18.6,48.07,2.36,86.96,23.63,73.91,9.76,40.0,23.27,34.85,0.05,0.21,0.0,0.0,0.1,0.0,0.0,8.53,40.96,2.67,42.31,0.92,11.11,0.72,0.41000000000000003,10.27,58.0,82.24,10.99,0,,0,,0,0.0,0.0,0.0,,,0.41000000000000003,,3.18,0.41000000000000003,0.0,0.0,0.1,0,0
R. Harrison,Reefe Harrison,-464097,,Ithaca Bombers,,,"RDMF, DMF, LCMF",RDMF,35,DMF,29,LCMF,14,,,0,,9,863,0,0.46,1,0.61,23.36,54.46,United States,['United States'],unknown,175,68,False,9.91,8.24,70.89,5.32,43.14,0.52,0.68,0.21,3.55,4.62,1.15,1,0.1,0,0.0,1.56,0.0,0,0.0,0.05,0,0.0,10,1.04,40.0,0.0,0.1,0.9400000000000001,55.56,0.31,66.67,0.63,50.0,0.1,0.9400000000000001,66.67,5.21,48.0,0.21,0.52,0.1,12.62,0.31,1.15,27.01,68.34,11.26,58.33,3.02,86.21,21.8,74.16,4.48,39.53,18.46,31.29,0.06,0.42,0.0,0.0,0.1,0.0,0.1,5.63,61.11,1.15,45.45,0.21,0.0,0.0,0.52,5.53,58.49,74.39,8.55,0,,0,,0,0.0,0.0,0.0,,,0.1,,5.32,0.9400000000000001,0.0,0.0,2.4,0,0
C. Adams,Colin Adams,-497650,Ithaca Bombers,Ithaca Bombers,https://cdn5.wyscout.com/photos/team/public/g-19381_120x120.png,NCAA D3 Liberty League,"RB, RCB3",RB,74,RCB3,16,,0,,,0,,9,848,1,0.39,0,0.41000000000000003,22.92,55.09,United States,['United States'],unknown,175,70,False,12.95,9.98,72.34,3.8200000000000003,38.89,0.11,0.14,0.11,5.63,7.23,1.38,2,0.21,0,0.0,2.02,0.11,1,0.11,0.04,0,0.0,4,0.42,25.0,25.0,0.0,1.17,63.64,0.11,100.0,1.06,60.0,0.11,1.38,76.92,5.94,53.57,0.42,1.06,0.32,15.07,0.85,1.27,32.16,72.61,17.3,69.33,3.61,94.12,26.43,77.11,4.67,50.0,18.51,32.68,0.04,0.64,0.11,0.0,0.11,100.0,0.42,5.84,56.36,1.49,42.86,0.53,20.0,0.11,0.53,9.66,70.33,76.92,6.9,0,,0,,0,0.0,0.0,0.0,,,1.17,,3.8200000000000003,0.11,0.0,0.0,0.0,0,0
C. Tierney,Connor Tierney,-464053,,Ithaca Bombers,,,"AMF, CF, RCMF",AMF,43,CF,15,RCMF,13,,,0,,9,702,1,0.87,0,0.97,33.97,41.51,United States,['United States'],unknown,183,75,False,8.85,6.92,68.52,5.38,42.86,0.9,1.0,0.26,3.21,3.59,1.28,0,0.0,0,0.0,3.21,0.13,1,0.13,0.11,0,0.0,15,1.92,40.0,6.667,0.0,1.92,26.67,0.51,50.0,1.4100000000000001,18.18,0.26,3.7199999999999998,48.28,14.62,30.7,1.54,2.95,0.9,17.82,1.15,1.15,32.82,73.05,10.0,61.54,6.54,86.27,27.69,78.7,3.59,50.0,19.13,36.82,0.12,1.03,0.0,0.0,0.26,50.0,0.0,5.77,53.33,1.92,40.0,0.51,25.0,0.64,0.51,4.23,66.67,73.49,10.64,0,,0,,0,0.0,0.0,0.0,,,0.13,,5.38,0.77,0.26,0.0,0.0,0,0
J. Berghahn,Johannes Berghahn,-464015,Ithaca Bombers,Ithaca Bombers,https://cdn5.wyscout.com/photos/team/public/g-19381_120x120.png,NCAA D3 Liberty League,GK,GK,100,,0,,0,,,0,,7,623,0,0.0,0,0.0,2.02,71.43,United States,['United States'],unknown,183,77,False,1.5899999999999999,0.0,0.0,1.44,90.0,0.0,0.0,0.0,1.5899999999999999,2.01,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,3.76,0.0,0.29,12.57,88.51,7.51,80.77,0.0,0.0,6.93,100.0,5.63,74.36,33.89,47.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.48,83.87,100.0,4.91,9,1.3,27,3.9,1,66.67,9.33,1.35,0.33,0.048,0.0,2.46,1.44,,,,0.0,0,0
L. Hellwig,Landon Hellwig,-497643,,Ithaca Bombers,,,"CF, LWF, RW",CF,29,LWF,16,RW,13,,,0,,9,590,3,1.1400000000000001,0,0.33,32.64,39.72,United States,['United States'],unknown,175,70,False,5.8,5.64,64.86,4.12,18.52,0.46,0.46,0.15,1.6800000000000002,1.7000000000000002,2.29,1,0.15,0,0.0,3.9699999999999998,0.46,3,0.46,0.17,0,0.0,11,1.6800000000000002,63.64,27.273,0.0,1.53,30.0,0.76,40.0,0.76,20.0,0.15,5.19,47.06,15.56,39.22,2.44,1.37,0.31,11.59,1.53,2.9,19.68,68.99,4.73,58.06,4.42,86.21,16.93,74.77,1.37,44.44,17.28,22.81,0.05,0.92,0.0,0.0,0.15,0.0,0.31,2.29,46.67,1.37,33.33,0.31,0.0,0.31,0.31,3.05,75.0,65.0,6.1,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.12,0.31,0.0,0.0,0.15,0,0
G. Bauerle,Gustav Bauerle,-497644,Ithaca Bombers,Ithaca Bombers,https://cdn5.wyscout.com/photos/team/public/g-19381_120x120.png,NCAA D3 Liberty League,"LDMF, LCMF, CF",LDMF,27,LCMF,24,CF,16,,,0,,9,569,1,2.01,1,0.15,33.53,50.94,United States,['United States'],unknown,188,86,False,9.17,7.12,66.67,10.6,59.7,0.32,0.28,0.16,4.11,3.7,1.11,0,0.0,0,0.0,2.5300000000000002,0.16,0,0.0,0.32,0,0.0,14,2.21,28.57,7.143,0.16,0.63,75.0,0.16,100.0,0.47000000000000003,66.67,0.0,2.69,47.06,9.81,35.48,1.27,0.79,0.16,16.77,1.58,0.79,31.0,68.37,12.5,49.37,4.43,100.0,27.05,73.1,3.64,34.78,17.69,30.73,0.02,0.47000000000000003,0.0,0.0,0.79,20.0,0.16,6.8,44.19,1.27,12.5,0.79,0.0,0.0,0.16,5.38,61.76,73.58,8.38,0,,0,,0,0.0,0.0,0.0,,,0.16,,10.6,0.16,0.0,0.0,0.0,1,100
A. Cabeca,Alex Cabeca,-464069,,Ithaca Bombers,,,"RAMF, RW, RWF",RAMF,32,RW,28,RWF,14,,,0,,9,506,1,0.30000000000000004,1,0.9,19.92,41.07,United States,['United States'],unknown,175,66,False,6.05,4.09,65.22,4.62,30.77,0.0,0.0,0.0,3.38,2.9699999999999998,0.89,0,0.0,0,0.0,2.85,0.18,1,0.18,0.05,0,0.0,5,0.89,60.0,20.0,0.18,3.74,23.81,0.18,0.0,3.56,25.0,0.53,1.78,80.0,8.18,34.78,2.13,1.6,0.36,17.79,3.56,0.53,30.24,66.47,7.65,39.53,8.0,95.56,23.83,77.61,2.67,26.67,17.57,28.57,0.16,1.25,0.18,0.0,0.0,0.0,0.89,1.96,27.27,3.74,42.86,0.18,0.0,0.71,1.07,5.34,66.67,65.22,8.18,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.62,0.0,0.0,0.0,0.18,0,0
J. Walker,Jack Walker,-464058,Ithaca Bombers,Ithaca Bombers,https://cdn5.wyscout.com/photos/team/public/g-19381_120x120.png,NCAA D3 Liberty League,"LCB, LCB3",LCB,75,LCB3,22,,0,,,0,,7,505,1,0.33,0,0.0,16.4,55.43,United States,['United States'],unknown,190,91,False,9.27,6.06,70.59,4.28,58.33,0.89,1.21,0.53,4.1,5.5600000000000005,0.53,1,0.18,0,0.0,0.36,0.18,1,0.18,0.06,0,0.0,2,0.36,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,3.39,31.58,0.36,0.0,0.18,10.87,0.18,0.89,25.31,74.65,13.37,70.67,2.14,75.0,18.71,79.05,6.59,62.16,20.9,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,61.54,0.18,0.0,0.36,50.0,0.0,0.0,5.88,48.48,89.47,6.77,0,,0,,0,0.0,0.0,0.0,,,0.53,,4.28,0.18,0.18,0.0,0.0,0,0
