Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. Steinberg,Carlton Steinberg,-496295,,Bowdoin Polar Bear,,,RB,RB,100,,0,,0,,,0,,11,1058,0,0.39,0,0.43,22.46,56.82,United States,['United States'],unknown,175,69,False,12.25,8.76,66.02,2.64,58.06,0.34,0.44,0.26,6.12,7.97,1.28,0,0.0,0,0.0,2.89,0.0,0,0.0,0.03,0,0.0,5,0.43,20.0,0.0,0.0,1.45,35.29,0.0,0.0,1.45,35.29,0.34,3.74,61.36,7.74,56.04,0.43,2.47,0.51,23.56,1.53,0.9400000000000001,41.09,75.78,21.18,72.29,3.32,69.23,34.37,81.19,5.36,50.79,18.79,36.4,0.04,0.6000000000000001,0.09,0.0,0.09,0.0,0.09,8.59,69.31,2.04,45.83,0.26,0.0,0.34,0.51,12.08,76.06,81.82,11.23,0,,0,,0,0.0,0.0,0.0,,,0.09,,2.64,0.17,0.0,0.0,0.17,0,0
J. Selig,Jack Selig,-496291,,Bowdoin Polar Bear,,,LCB,LCB,100,,0,,0,,,0,,11,1058,0,0.0,1,0.59,12.33,53.79,United States,['United States'],unknown,188,79,False,9.53,4.25,76.0,4.25,52.0,0.26,0.33,0.09,6.04,7.86,0.34,1,0.09,0,0.0,0.09,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.09,0.26,0.0,0.26,0.0,0.0,0.0,0.09,0.26,33.33,2.04,20.83,0.77,1.28,0.09,22.54,0.77,0.17,40.58,81.76,22.46,77.27,1.45,100.0,35.64,87.83,4.68,40.0,22.36,39.18,0.05,0.09,0.0,0.0,0.0,0.0,0.09,7.23,65.88,0.77,0.0,0.34,25.0,0.17,0.0,9.87,73.28,90.8,13.87,0,,0,,0,0.0,0.0,0.0,,,1.02,,4.25,0.0,0.0,0.0,0.0,0,0
J. Juantorena,Julian Juantorena,-496239,,Bowdoin Polar Bear,,,"DMF, LCMF",DMF,64,LCMF,16,,0,,,0,,11,1053,0,2.18,0,0.74,29.49,59.13,United States,['United States'],unknown,193,89,False,14.27,6.67,69.23,12.91,68.21,1.54,2.01,0.51,8.12,10.59,1.45,2,0.17,0,0.0,0.85,0.0,0,0.0,0.19,0,0.0,19,1.62,15.79,0.0,0.0,0.43,40.0,0.34,50.0,0.09,0.0,0.0,0.68,62.5,4.79,46.43,1.79,0.17,0.0,22.39,0.51,1.11,42.05,76.02,14.87,59.77,4.53,100.0,35.81,82.1,5.8100000000000005,41.18,22.3,42.67,0.06,0.34,0.0,0.0,0.0,0.0,0.09,8.29,57.73,1.37,25.0,0.51,16.67,0.43,0.17,8.38,62.24,85.99,17.69,0,,0,,0,0.0,0.0,0.0,,,0.43,,12.91,0.17,0.09,0.0,0.43,0,0
R. Grady,Ryan  Grady,-494612,Chicago House,Middlebury Panthers,https://cdn5.wyscout.com/photos/team/public/g-14389_120x120.png,,GK,GK,100,,0,,0,25.0,2001-04-14,0,,10,986,0,0.0,0,0.0,1.0,81.82,United States,['United States'],unknown,191,84,False,1.92,0.18,100.0,0.73,75.0,0.0,0.0,0.09,1.73,2.41,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.03,0.0,0.18,16.8,79.89,9.68,67.92,0.0,0.0,9.95,96.33,6.75,56.76,35.12,49.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,17.65,0.0,0.0,0.0,0.0,0.0,0.0,5.02,70.91,97.18,6.48,6,0.55,36,3.29,6,83.33,5.32,0.49,-0.68,-0.062,0.0,1.83,0.73,,,,0.0,0,0
L. Madden,Luke Madden,-212076,,Middlebury Panthers,,,"CB, RCB",CB,74,RCB,25,,0,,,0,,10,983,1,0.65,0,0.34,21.42,59.83,United States,['United States'],unknown,185,79,False,9.43,5.4,69.49,11.54,57.94,0.0,0.0,0.73,5.68,7.85,0.46,0,0.0,0,0.0,0.55,0.09,1,0.09,0.06,1,0.09,7,0.64,28.57,14.286,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.37,75.0,1.19,61.54,1.1,0.37,0.0,29.3,0.0,0.73,45.96,78.88,19.87,64.98,1.83,90.0,36.26,88.38,9.61,43.81,24.69,41.2,0.03,0.09,0.0,0.0,0.09,100.0,0.0,5.31,36.21,0.55,33.33,0.27,0.0,0.37,0.0,9.34,58.82,91.03,21.42,0,,0,,0,0.0,0.0,0.0,,,1.28,,11.54,0.0,0.0,0.0,0.0,0,0
C. Porte,Chris Porte,-496138,Wesleyan Cardinals,Wesleyan Cardinals,https://cdn5.wyscout.com/photos/team/public/g-19630_120x120.png,,"RB, LCB",RB,83,LCB,14,,0,,,0,,10,983,0,0.45,0,0.72,20.14,54.09,United States,['United States'],unknown,0,0,False,11.26,7.05,66.23,4.49,59.18,0.0,0.0,0.18,6.59,9.15,0.64,1,0.09,0,0.0,1.74,0.0,0,0.0,0.04,0,0.0,6,0.55,16.67,0.0,0.0,1.56,35.29,0.0,0.0,1.37,26.67,0.18,1.92,52.38,5.68,35.48,0.73,1.01,0.37,17.3,0.64,0.73,33.69,68.75,16.02,60.0,5.31,93.1,27.47,75.33,4.76,40.38,20.23,40.46,0.07,0.73,0.0,0.0,0.18,50.0,0.46,6.04,46.97,1.65,33.33,0.27,33.33,0.46,0.8200000000000001,7.97,58.62,75.28,8.15,0,,0,,0,0.0,0.0,0.0,,,1.1,,4.49,0.09,0.0,0.0,0.0,0,0
E. O'Brien,Evan O'Brien,-496137,,Wesleyan Cardinals,,,RCB,RCB,99,,0,,0,,,0,,10,983,1,1.12,0,0.0,20.14,63.64,United States,['United States'],unknown,0,0,False,10.07,7.05,68.83,8.61,68.09,0.64,0.89,0.64,4.58,6.36,1.01,1,0.09,0,0.0,0.55,0.09,1,0.09,0.1,0,0.0,7,0.64,42.86,14.286,0.0,0.27,33.33,0.0,0.0,0.27,33.33,0.0,0.46,40.0,2.01,50.0,1.19,0.37,0.0,23.99,0.37,0.8200000000000001,44.68,75.2,28.29,67.96,2.11,95.65,32.87,84.4,11.54,50.0,23.55,40.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.15,44.94,1.01,18.18,0.73,0.0,0.27,0.09,11.81,67.44,89.06,11.72,0,,0,,0,0.0,0.0,0.0,,,1.37,,8.61,0.27,0.0,0.0,0.0,0,0
H. Nelson,Hank  Nelson,-494537,,Middlebury Panthers,,,"RCB3, RB",RCB3,73,RB,26,,0,,,0,,10,976,0,0.14,0,0.28,13.74,49.66,United States,['United States'],unknown,185,82,False,7.93,5.63,60.66,3.41,48.65,0.37,0.51,0.46,4.15,5.74,0.55,0,0.0,0,0.0,1.11,0.0,0,0.0,0.01,0,0.0,1,0.09,100.0,0.0,0.0,1.01,54.55,0.37,50.0,0.65,57.14,0.18,0.8300000000000001,55.56,2.49,37.04,0.09,1.29,0.0,27.48,0.92,0.65,42.97,78.97,22.87,73.79,3.41,91.89,36.61,83.88,5.44,50.85,19.92,39.71,0.03,0.28,0.0,0.0,0.09,0.0,0.09,8.21,67.42,1.6600000000000001,50.0,0.18,50.0,0.37,0.46,11.8,68.75,89.39,12.17,0,,0,,0,0.0,0.0,0.0,,,0.65,,3.41,0.09,0.0,0.0,0.0,0,0
A. Ainsworth,Alex Ainsworth,-496141,Bowdoin Polar Bear,Bowdoin Polar Bear,https://cdn5.wyscout.com/photos/team/public/g-19534_120x120.png,NCAA D3 New England Small Collegiate Athletic Conference,GK,GK,100,,0,,0,,,0,,10,965,0,0.0,0,0.0,0.37,100.0,United States,['United States'],unknown,188,88,False,2.15,0.0,0.0,0.19,100.0,0.0,0.0,0.0,2.15,2.77,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,5.41,0.09,0.19,16.13,80.92,10.63,73.68,0.0,0.0,9.23,96.97,6.72,61.11,35.74,44.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,43.75,0.0,0.0,0.09,0.0,0.0,0.0,5.32,70.18,98.18,5.13,9,0.84,39,3.64,3,76.92,11.95,1.11,2.95,0.275,0.0,1.49,0.19,,,,0.0,0,0
Tyler Huck,Tyler Huck,-496235,Portland Hearts of Pine,Bowdoin Polar Bear,https://cdn5.wyscout.com/photos/team/public/g-22932_120x120.png,USL League 1,"RCMF3, RW, AMF",RCMF3,46,RW,11,AMF,10,22.0,2004-06-05,0,,11,946,4,3.69,1,0.56,22.74,48.95,United States,['United States'],unknown,183,73,False,9.89,7.04,66.22,3.14,33.33,0.5700000000000001,0.68,0.0,4.66,5.57,0.9500000000000001,0,0.0,0,0.0,4.76,0.38,3,0.29,0.35000000000000003,0,0.0,25,2.38,44.0,16.0,0.1,1.81,47.37,0.38,50.0,1.43,46.67,0.29,3.9,70.73,9.61,49.5,2.76,1.9,0.5700000000000001,25.02,1.52,1.43,40.05,69.12,14.65,51.3,7.23,93.42,32.82,75.65,5.52,37.93,19.06,38.66,0.05,0.48,0.0,0.0,0.48,20.0,0.1,7.23,51.32,2.85,53.33,0.86,11.11,0.76,0.67,7.9,74.7,80.62,12.27,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.14,1.24,0.19,0.0,2.0,1,100
