Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Rechsteiner,Alex Rechsteiner,-489744,,Husson Eagles,,,GK,GK,100,,0,,0,,,0,,7,585,0,0.0,0,0.0,0.15,0.0,Switzerland,['Switzerland'],unknown,183,79,False,2.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.42,0.15,0,0.0,1,0.15,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.23,0.31,0.0,20.92,82.35,10.77,71.43,0.0,0.0,12.15,96.2,8.77,63.16,33.72,46.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,75.0,0.0,0.0,0.0,0.0,0.0,0.0,5.69,62.16,93.75,9.85,4,0.62,22,3.38,3,81.82,3.95,0.61,-0.05,-0.008,0.0,0.46,0.0,,,,0.0,0,0
P. Molina,Pedro Molina,-489729,,Husson Eagles,,,"LCB3, LB",LCB3,52,LB,47,,0,,,0,,7,509,0,0.8,0,0.43,25.64,50.34,Spain,['Spain'],unknown,173,79,False,11.14,6.72,68.42,3.89,68.18,0.0,0.0,0.53,6.54,10.28,0.53,1,0.18,0,0.0,4.07,0.0,0,0.0,0.14,0,0.0,7,1.24,57.14,0.0,0.0,1.5899999999999999,33.33,1.4100000000000001,25.0,0.18,100.0,0.18,5.48,48.39,12.02,38.24,1.94,4.95,0.0,36.42,2.3,0.88,53.93,77.38,23.52,70.68,3.71,85.71,41.73,83.05,10.79,60.66,23.26,41.75,0.08,1.06,0.0,0.0,0.35000000000000003,50.0,0.53,11.32,71.88,3.71,33.33,1.06,16.67,1.06,0.53,15.03,80.0,84.43,21.57,0,,0,,0,0.0,0.0,0.0,,,0.35000000000000003,,3.89,0.0,0.0,0.0,0.0,0,0
D. Infante,Domingo Infante,-489737,,Husson Eagles,,,"RB, RCB3, CB",RB,39,RCB3,38,CB,21,,,0,,6,480,2,1.29,0,0.0,15.56,45.78,Spain,['Spain'],unknown,173,73,False,7.13,7.5,50.0,3.19,58.82,0.0,0.0,0.19,3.38,5.8100000000000005,0.75,0,0.0,1,0.19,1.5,0.38,2,0.38,0.24,2,0.38,8,1.5,37.5,25.0,0.0,0.56,33.33,0.0,0.0,0.56,33.33,0.19,1.31,57.14,3.38,33.33,1.5,5.25,0.75,30.75,3.19,0.38,45.75,80.74,24.19,73.64,3.0,87.5,39.0,87.98,6.38,38.24,20.25,36.04,0.0,0.19,0.38,0.0,0.19,0.0,0.0,9.19,73.47,2.06,45.45,0.75,25.0,0.9400000000000001,0.19,12.19,75.38,91.18,12.75,0,,0,,0,0.0,0.0,0.0,,,1.31,,3.19,0.0,0.0,0.0,0.0,0,0
M.  Masimango,Mosi Masimango,-489773,,Husson Eagles,,,"DMF, LCMF, RCMF",DMF,56,LCMF,22,RCMF,16,,,0,,7,463,0,0.9400000000000001,0,0.14,25.46,48.85,United States,['United States'],unknown,175,75,False,10.5,7.78,60.0,4.47,65.22,0.97,1.6099999999999999,0.0,4.86,8.06,2.5300000000000002,1,0.19,0,0.0,0.39,0.0,0,0.0,0.18,0,0.0,5,0.97,20.0,0.0,0.0,0.19,0.0,0.19,0.0,0.0,0.0,0.19,2.14,9.09,9.91,31.37,0.78,1.56,0.58,22.74,0.78,1.56,43.93,81.42,12.25,58.73,7.0,94.44,38.29,85.79,5.44,53.57,19.6,32.71,0.03,0.39,0.0,0.19,0.19,0.0,0.19,6.61,73.53,1.75,55.56,0.78,25.0,0.97,0.0,7.19,62.16,94.68,18.27,0,,0,,0,0.0,0.0,0.0,,,0.39,,4.47,0.0,0.0,0.0,0.0,0,0
M. Morales,Miguel Morales,-489780,,Husson Eagles,,,"AMF, LWF, LWB",AMF,39,LWF,16,LWB,14,,,0,,7,458,5,3.24,1,1.04,27.71,48.94,Venezuela,['Venezuela'],unknown,175,63,False,5.9,5.11,65.38,1.18,33.33,0.0,0.0,0.0,2.55,3.55,0.39,0,0.0,0,0.0,6.68,0.98,5,0.98,0.64,0,0.0,16,3.14,50.0,31.25,0.2,1.57,37.5,0.79,0.0,0.59,66.67,0.2,7.27,59.46,18.86,46.88,3.14,6.29,0.2,30.66,0.59,2.75,46.18,79.15,13.56,68.12,7.66,87.18,41.86,81.22,2.75,71.43,16.97,36.14,0.2,1.97,0.59,0.0,0.2,100.0,0.79,4.32,72.73,3.14,56.25,0.59,33.33,1.38,0.2,4.72,83.33,86.42,15.92,0,,0,,0,0.0,0.0,0.0,,,0.2,,1.18,0.59,0.2,0.0,1.97,2,0
B. Shumway,Ben Shumway,-489738,,Husson Eagles,,,"RCB, CB, RCB3",RCB,68,CB,17,RCB3,13,,,0,,7,451,0,0.43,0,0.0,10.38,59.62,United States,['United States'],unknown,183,79,False,9.98,3.99,85.0,1.8,55.56,0.6000000000000001,1.06,0.0,5.99,10.59,1.0,1,0.2,0,0.0,0.2,0.0,0,0.0,0.09,0,0.0,2,0.4,50.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.0,1.6,25.0,0.8,1.4,0.2,22.35,0.4,0.6000000000000001,43.7,80.82,24.75,74.19,1.8,100.0,37.52,88.3,5.99,36.67,22.27,30.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.58,62.79,0.6000000000000001,0.0,0.2,0.0,0.0,0.0,12.17,73.77,92.75,13.77,0,,0,,0,0.0,0.0,0.0,,,1.2,,1.8,0.0,0.0,0.0,0.0,0,0
H. Llopiz,Hugo  Llopiz,-519469,,Husson Eagles,,,"CF, RAMF",CF,59,RAMF,11,,0,,,0,,7,392,0,0.97,0,0.79,33.98,38.51,United States,['United States'],,180,66,False,6.2,7.58,60.61,3.9,58.82,0.0,0.0,0.0,1.6099999999999999,2.33,2.98,1,0.23,0,0.0,4.13,0.0,0,0.0,0.22,0,0.0,13,2.98,38.46,0.0,0.0,2.98,38.46,0.6900000000000001,33.33,2.07,44.44,0.46,5.51,29.17,16.07,25.71,4.36,1.8399999999999999,0.46,20.89,1.38,1.38,29.16,74.8,7.8100000000000005,67.65,5.28,82.61,25.71,78.57,0.6900000000000001,66.67,17.28,13.43,0.18,1.6099999999999999,0.23,0.0,0.23,100.0,0.92,1.6099999999999999,85.71,3.67,62.5,0.0,0.0,1.8399999999999999,1.15,5.74,96.0,86.05,9.87,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.9,0.23,0.23,0.0,0.23,0,0
M. Alvarez,Mario Alvarez,-489749,,Husson Eagles,,,"LCMF, LCMF3, RCMF",LCMF,35,LCMF3,19,RCMF,19,,,0,,6,381,4,0.72,3,2.04,12.99,38.18,Spain,['Spain'],unknown,170,63,False,5.67,5.91,44.0,1.8900000000000001,25.0,0.0,0.0,0.0,3.07,4.53,0.71,0,0.0,0,0.0,1.8900000000000001,0.9400000000000001,4,0.9400000000000001,0.17,0,0.0,18,4.25,33.33,22.222,0.71,0.47000000000000003,0.0,0.24,0.0,0.24,0.0,0.0,0.47000000000000003,50.0,3.07,30.77,0.47000000000000003,0.71,0.0,42.05,0.9400000000000001,0.71,58.35,88.66,16.77,83.1,8.5,86.11,52.2,91.4,5.67,70.83,20.1,38.23,0.48,3.31,0.0,0.0,0.24,100.0,0.71,10.16,76.74,3.07,53.85,0.71,66.67,1.42,0.0,10.16,83.72,92.11,26.93,0,,0,,0,0.0,0.0,0.0,,,0.24,,1.8900000000000001,3.54,0.71,33.33,4.02,0,0
C. Etchevers,Carlos Etchevers,-489778,,Husson Eagles,,,"AMF, RCMF3, RCMF",AMF,30,RCMF3,17,RCMF,16,,,0,,7,353,3,1.6800000000000002,3,1.1400000000000001,25.75,54.46,Venezuela,['Venezuela'],unknown,168,60,False,8.41,9.94,74.36,2.55,10.0,0.0,0.0,0.25,1.02,1.43,0.51,0,0.0,0,0.0,4.33,0.76,3,0.76,0.43,0,0.0,12,3.06,50.0,25.0,0.76,0.76,66.67,0.0,0.0,0.76,66.67,0.25,4.33,52.94,10.71,40.48,4.33,1.27,0.0,35.44,0.0,0.51,50.23,82.23,14.28,75.0,8.16,90.63,47.17,83.78,2.29,55.56,16.18,33.27,0.29,1.78,0.0,0.0,0.25,0.0,1.27,7.14,78.57,1.78,71.43,0.76,33.33,2.04,0.51,6.37,80.0,83.58,17.08,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.55,1.02,0.25,0.0,1.02,0,0
A. Bryant,Alexander Bryant,-531184,,Husson Eagles,,,"LCB, CB",LCB,65,CB,34,,0,,,0,,4,303,1,0.17,0,0.0,14.55,69.39,United States,['United States'],,188,98,False,9.21,6.24,80.95,6.24,71.43,0.30000000000000004,0.48,0.0,3.86,6.19,2.08,0,0.0,0,0.0,0.30000000000000004,0.30000000000000004,1,0.30000000000000004,0.05,1,0.30000000000000004,1,0.30000000000000004,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,33.33,0.59,0.30000000000000004,0.0,14.85,0.0,0.30000000000000004,31.78,81.31,12.48,66.67,2.38,100.0,26.73,85.56,5.05,58.82,21.23,35.32,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,3.56,50.0,0.0,0.0,0.0,0.0,0.0,0.0,5.64,57.89,87.23,13.96,0,,0,,0,0.0,0.0,0.0,,,1.78,,6.24,0.0,0.0,0.0,0.0,0,0
