Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Bassuk,Kol  Bassuk,-463577,Rochester Yellow Jackets,Rochester Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-19224_120x120.png,NCAA D3 University Athletic Association,"LCB, LCB3",LCB,71,LCB3,28,,0,,,0,,7,663,0,0.61,0,0.41000000000000003,15.88,58.97,United States,['United States'],unknown,190,84,False,11.81,7.06,71.15,4.62,50.0,0.0,0.0,1.3599999999999999,6.79,6.88,0.27,0,0.0,0,0.0,0.81,0.0,0,0.0,0.08,0,0.0,3,0.41000000000000003,33.33,0.0,0.0,0.81,33.33,0.41000000000000003,33.33,0.41000000000000003,33.33,0.14,0.9500000000000001,42.86,2.44,27.78,0.81,0.0,0.0,8.82,0.0,0.41000000000000003,22.81,70.83,11.54,57.65,2.04,93.33,14.39,83.02,7.6,51.79,26.93,39.12,0.06,0.41000000000000003,0.14,0.0,0.0,0.0,0.0,3.5300000000000002,42.31,0.9500000000000001,28.57,0.54,0.0,0.14,0.27,6.52,60.42,85.0,8.14,0,,0,,0,0.0,0.0,0.0,,,1.63,,4.62,0.54,0.0,0.0,0.0,0,0
T. Moran,Tyler Moran,-463526,Rochester Yellow Jackets,Rochester Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-19224_120x120.png,NCAA D3 University Athletic Association,"RDMF, RCMF",RDMF,46,RCMF,35,,0,,,0,,7,663,0,0.79,0,0.36,23.62,51.15,United States,['United States'],unknown,170,68,False,12.62,10.18,60.0,2.44,33.33,0.27,0.28,0.14,6.24,6.33,0.9500000000000001,1,0.14,0,0.0,1.76,0.0,0,0.0,0.11,0,0.0,12,1.63,16.67,0.0,0.0,0.68,40.0,0.27,0.0,0.41000000000000003,66.67,0.14,2.58,47.37,7.06,44.23,0.54,0.9500000000000001,0.81,10.86,0.27,1.63,28.1,66.67,11.4,51.19,3.94,72.41,22.67,72.46,4.75,42.86,18.81,33.69,0.05,0.27,0.0,0.0,0.0,0.0,0.0,5.57,46.34,1.76,46.15,0.68,20.0,0.41000000000000003,0.27,5.7,35.71,86.44,8.01,0,,0,,0,0.0,0.0,0.0,,,0.68,,2.44,0.0,0.0,0.0,0.0,0,0
S. Lupica-Tondo,Santino Lupica-Tondo,-463508,,Rochester Yellow Jackets,,,GK,GK,100,,0,,0,,,0,,7,663,0,0.0,0,0.0,1.22,88.89,United States,['United States'],unknown,180,68,False,3.26,0.14,0.0,0.68,100.0,0.0,0.0,0.0,3.26,3.3,0.0,1,0.14,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,100.0,0.0,0.0,0.0,8.42,0.0,0.41000000000000003,18.73,75.36,12.35,63.74,0.0,0.0,7.6,92.86,11.13,63.41,36.74,46.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,47.06,0.0,0.0,0.0,0.0,0.0,0.0,8.14,76.67,100.0,5.7,5,0.68,26,3.5300000000000002,4,80.77,6.25,0.85,1.25,0.17,0.0,2.04,0.68,,,,0.0,0,0
M. Cosentino,Matt Cosentino,-463566,,Rochester Yellow Jackets,,,"LB, RCB3, RB",LB,49,RCB3,28,RB,22,,,0,,7,663,0,0.0,0,0.1,19.95,61.9,United States,['United States'],unknown,180,73,False,15.88,10.45,68.83,1.9,35.71,0.14,0.14,0.14,8.55,8.67,0.14,0,0.0,0,0.0,1.63,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.68,40.0,0.14,0.0,0.54,50.0,0.14,1.63,75.0,5.29,61.54,0.27,1.3599999999999999,0.27,13.17,0.41000000000000003,0.9500000000000001,29.46,60.83,18.05,48.87,2.04,86.67,20.9,69.48,7.87,39.66,20.7,34.98,0.01,0.14,0.0,0.0,0.14,100.0,0.14,6.92,52.94,1.76,23.08,1.3599999999999999,30.0,0.27,0.27,10.45,58.44,80.49,5.57,0,,0,,0,0.0,0.0,0.0,,,0.68,,1.9,0.0,0.0,0.0,0.0,0,0
J. Anandarajah,Jeremiah Anandarajah,-463520,,Rochester Yellow Jackets,,,"RCB, CB",RCB,71,CB,28,,0,,,0,,7,663,0,0.30000000000000004,1,0.0,15.2,63.39,United States,['United States'],unknown,183,78,False,11.67,6.65,77.55,5.02,51.35,0.54,0.55,1.09,5.97,6.06,0.27,1,0.14,0,0.0,0.27,0.0,0,0.0,0.04,0,0.0,2,0.27,0.0,0.0,0.14,0.14,100.0,0.0,0.0,0.14,100.0,0.0,0.54,25.0,1.9,64.29,0.54,0.54,0.27,8.42,0.14,0.81,21.72,63.13,13.85,48.04,0.68,100.0,12.22,78.89,9.37,42.03,28.01,39.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.52,39.58,1.22,22.22,0.54,25.0,0.14,0.14,6.52,60.42,88.64,5.97,0,,0,,0,0.0,0.0,0.0,,,0.41000000000000003,,5.02,0.0,0.0,0.0,0.0,0,0
E. Heger,Eugene  Heger,-463278,,Washington St. Louis Bears,,,"LCMF, LDMF",LCMF,46,LDMF,33,,0,,,0,,6,583,0,0.12,0,0.2,16.98,55.45,United States,['United States'],unknown,176,0,False,11.27,8.64,73.21,2.62,35.29,0.15,0.19,0.0,4.79,5.78,0.46,0,0.0,0,0.0,0.46,0.0,0,0.0,0.02,0,0.0,2,0.31,0.0,0.0,0.0,0.46,33.33,0.0,0.0,0.46,33.33,0.0,0.77,40.0,2.01,38.46,0.31,0.15,0.0,27.79,0.93,0.62,48.16,83.01,13.89,67.78,8.03,96.15,43.38,86.12,4.32,57.14,19.86,33.35,0.03,0.62,0.0,0.0,0.0,0.0,0.0,8.03,63.46,1.7000000000000002,45.45,0.31,0.0,0.62,0.15,5.87,78.95,90.97,22.23,0,,0,,0,0.0,0.0,0.0,,,0.31,,2.62,0.62,0.0,0.0,0.0,0,0
A. Prescott,Ashton Prescott,-463579,Rochester Yellow Jackets,Rochester Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-19224_120x120.png,NCAA D3 University Athletic Association,"AMF, CF",AMF,68,CF,22,,0,,,0,,7,577,1,1.21,0,1.26,21.06,39.26,Japan,['Japan'],unknown,177,75,False,7.18,5.62,77.78,2.03,15.38,0.0,0.0,0.0,2.81,2.48,0.31,0,0.0,0,0.0,2.96,0.16,1,0.16,0.19,0,0.0,12,1.87,25.0,8.333,0.0,2.34,33.33,0.78,40.0,1.56,30.0,0.31,4.06,38.46,9.83,31.75,1.87,2.5,1.72,15.29,1.56,0.16,24.8,69.18,7.18,65.22,4.52,89.66,21.21,73.53,1.4,55.56,16.61,28.98,0.2,1.09,0.0,0.0,0.31,50.0,0.47000000000000003,4.21,66.67,2.65,64.71,0.31,50.0,0.78,0.9400000000000001,4.52,79.31,65.22,7.18,0,,0,,0,0.0,0.0,0.0,,,0.16,,2.03,0.78,0.0,0.0,2.81,0,0
Q. Gomez,Quentin Gomez,-463380,Washington St. Louis Bears,Washington St. Louis Bears,https://cdn5.wyscout.com/photos/team/public/g-19274_120x120.png,NCAA D3 University Athletic Association,"CB, LCB, LCB3",CB,37,LCB,29,LCB3,24,,,0,,6,573,1,1.07,0,0.02,23.25,62.16,United States,['United States'],unknown,190,0,False,15.71,9.74,77.42,8.48,64.81,0.63,0.76,0.63,7.54,9.17,2.04,3,0.47000000000000003,0,0.0,1.1,0.16,1,0.16,0.17,1,0.16,8,1.26,50.0,12.5,0.0,0.16,0.0,0.0,0.0,0.16,0.0,0.0,1.4100000000000001,33.33,2.83,27.78,1.73,1.4100000000000001,0.0,23.25,1.73,0.63,40.52,84.5,19.01,77.69,1.88,91.67,32.36,86.89,8.01,76.47,22.65,35.04,0.0,0.31,0.16,0.0,0.16,0.0,0.0,6.28,70.0,0.16,0.0,0.16,0.0,0.16,0.16,8.32,73.58,91.67,16.96,0,,0,,0,0.0,0.0,0.0,,,1.1,,8.48,0.0,0.0,0.0,0.0,0,0
J. Atallah,Jake Atallah,-490103,,Emory Eagles,,,"LCB3, CB",LCB3,67,CB,31,,0,,,0,,7,566,2,0.62,0,0.02,13.36,58.33,United States,['United States'],unknown,182,0,False,9.06,5.88,59.46,4.13,65.38,0.64,0.86,0.8,4.93,6.64,1.11,2,0.32,0,0.0,0.9500000000000001,0.32,2,0.32,0.1,2,0.32,5,0.8,80.0,40.0,0.0,0.64,50.0,0.64,50.0,0.0,0.0,0.0,0.0,0.0,0.9500000000000001,33.33,0.9500000000000001,0.8,0.16,37.37,0.9500000000000001,0.32,53.75,84.32,24.96,75.16,3.02,89.47,44.05,90.97,9.22,55.17,21.24,34.12,0.0,0.16,0.0,0.0,0.16,0.0,0.0,4.77,66.67,0.8,20.0,0.64,0.0,0.0,0.16,11.93,66.67,95.8,18.92,0,,0,,0,0.0,0.0,0.0,,,0.9500000000000001,,4.13,0.16,0.0,0.0,0.0,0,0
J. Anderson,Joe Anderson,-463515,,Rochester Yellow Jackets,,,"RB, LB, RWB",RB,56,LB,26,RWB,13,,,0,,7,561,0,0.56,0,0.47000000000000003,18.93,55.08,United States,['United States'],unknown,173,70,False,16.2,9.79,67.21,2.89,44.44,0.16,0.15,0.16,9.47,8.81,0.64,0,0.0,0,0.0,1.44,0.0,0,0.0,0.09,0,0.0,5,0.8,0.0,0.0,0.0,1.12,14.29,0.64,0.0,0.48,33.33,0.64,1.76,63.64,3.37,47.62,1.44,1.9300000000000002,0.96,11.71,0.48,0.0,30.0,63.1,17.97,61.61,2.5700000000000003,87.5,23.58,70.07,5.29,42.42,17.98,30.22,0.08,0.48,0.0,0.0,0.32,50.0,0.48,4.49,57.14,2.73,41.18,1.28,50.0,0.8,0.32,9.14,57.89,51.52,5.29,0,,0,,0,0.0,0.0,0.0,,,1.12,,2.89,0.0,0.0,0.0,0.0,0,0
