Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
G. Dyson,Garrett  Dyson,-496507,MIT Engineers,MIT Engineers,https://cdn5.wyscout.com/photos/team/public/g-19618_120x120.png,NCAA D3 Non-conference matches,RCB,RCB,100,,0,,0,,,0,,2,201,0,0.0,0,0.05,11.64,61.54,United States,['United States'],unknown,180,83,False,10.3,4.03,66.67,4.03,66.67,0.45,0.58,0.0,7.16,9.23,0.45,0,0.0,0,0.0,0.45,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,33.33,2.24,60.0,0.0,0.9,0.0,21.49,2.24,0.9,44.78,83.0,25.97,77.59,2.24,100.0,33.58,88.0,11.19,68.0,23.92,37.42,0.02,0.45,0.0,0.45,0.0,0.0,0.45,7.16,75.0,0.0,0.0,0.0,0.0,0.45,0.0,16.12,69.44,90.32,13.88,0,,0,,0,0.0,0.0,0.0,,,1.79,,4.03,0.45,0.0,0.0,0.0,0,0
E. Reich,Ethan  Reich,-496659,MIT Engineers,MIT Engineers,https://cdn5.wyscout.com/photos/team/public/g-19618_120x120.png,NCAA D3 Non-conference matches,"RB, LDMF, LB",RB,46,LDMF,24,LB,16,,,0,,2,194,0,0.0,0,0.0,19.95,51.16,United States,['United States'],unknown,177,72,False,13.45,8.35,72.22,3.25,42.86,0.46,0.58,0.0,6.96,8.65,0.46,1,0.46,0,0.0,2.32,0.0,0,0.0,0.0,0,0.0,1,0.46,0.0,0.0,0.0,2.32,60.0,1.3900000000000001,66.67,0.93,50.0,0.0,2.32,40.0,5.57,25.0,0.0,0.0,0.0,29.23,0.46,0.0,47.78,82.52,21.34,78.26,3.71,75.0,41.75,85.56,4.18,66.67,17.75,35.2,0.0,0.0,0.46,0.0,0.0,0.0,0.0,7.42,75.0,1.3900000000000001,66.67,0.0,0.0,0.0,0.93,11.6,84.0,86.67,13.92,0,,0,,0,0.0,0.0,0.0,,,0.46,,3.25,0.93,0.46,0.0,0.0,0,0
P. Novoa,Peter  Novoa,-496529,,MIT Engineers,,,"RDMF, LDMF",RDMF,79,LDMF,20,,0,,,0,,2,180,0,0.04,0,0.05,42.0,50.0,United States,['United States'],unknown,182,77,False,15.5,15.0,66.67,8.0,56.25,0.5,0.58,0.0,5.0,5.77,2.5,0,0.0,0,0.0,2.0,0.0,0,0.0,0.02,0,0.0,1,0.5,100.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,4.5,33.33,12.5,28.0,1.0,0.0,0.0,33.5,0.0,3.0,54.5,82.57,23.0,73.91,3.5,100.0,49.5,84.85,4.5,66.67,16.07,31.08,0.02,1.0,0.5,0.0,0.0,0.0,0.0,11.0,81.82,0.5,100.0,0.0,0.0,0.5,0.0,10.5,66.67,87.5,20.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,8.0,0.5,0.0,0.0,0.0,0,0
G. Robinson,Garrett  Robinson,-496689,,MIT Engineers,,,"LAMF, RAMF, CF",LAMF,70,RAMF,19,CF,10,,,0,,2,169,1,0.32,1,0.17,35.15,34.85,United States,['United States'],unknown,167,57,False,14.91,13.85,57.69,6.39,33.33,0.0,0.0,0.0,6.92,7.5,1.07,0,0.0,0,0.0,1.07,0.53,1,0.53,0.17,0,0.0,5,2.66,40.0,20.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,11.72,9.09,3.73,1.07,0.53,26.63,3.2,0.53,35.68,71.64,11.72,50.0,6.92,92.31,32.49,77.05,3.2,16.67,13.75,35.71,0.09,1.07,0.0,0.0,0.0,0.0,1.07,4.26,62.5,1.07,0.0,1.07,0.0,1.07,0.0,3.2,50.0,73.33,7.99,0,,0,,0,0.0,0.0,0.0,,,0.0,,6.39,1.07,0.0,0.0,2.13,0,0
N. Guntvedt,Nathan  Guntvedt,-496632,,MIT Engineers,,,LB,LB,100,,0,,0,,,0,,2,150,0,0.0,0,0.09,20.4,61.76,United States,['United States'],unknown,180,72,False,13.2,11.4,68.42,3.0,20.0,0.6000000000000001,0.58,0.0,4.8,4.62,0.6000000000000001,0,0.0,0,0.0,2.4,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,3.0,40.0,3.0,40.0,0.0,0.0,0.0,1.2,100.0,2.4,75.0,0.0,1.8,0.0,28.8,2.4,1.8,42.0,70.0,20.4,70.59,3.0,100.0,33.0,76.36,6.0,50.0,19.51,44.39,0.06,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,9.0,60.0,5.4,33.33,0.0,0.0,0.6000000000000001,1.2,15.0,72.0,45.0,12.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.0,0.6000000000000001,0.0,0.0,0.6000000000000001,0,0
D. Meloni,Dilin  Meloni,-496663,MIT Engineers,MIT Engineers,https://cdn5.wyscout.com/photos/team/public/g-19618_120x120.png,NCAA D3 Non-conference matches,"RAMF, LDMF",RAMF,84,LDMF,13,,0,,,0,,2,141,1,0.22,0,0.65,28.72,40.0,United States,['United States'],unknown,170,72,False,8.94,8.94,64.29,3.83,16.67,0.0,0.0,0.0,3.19,2.94,1.9100000000000001,0,0.0,0,0.0,4.47,0.64,1,0.64,0.14,0,0.0,6,3.83,16.67,16.667,0.0,2.55,50.0,0.0,0.0,2.55,50.0,0.0,5.11,37.5,12.13,31.58,0.64,0.64,0.64,26.17,1.9100000000000001,2.55,37.02,60.34,14.04,54.55,3.83,83.33,33.19,63.46,1.28,0.0,15.84,30.88,0.42,2.55,1.28,0.0,0.64,100.0,1.9100000000000001,5.11,25.0,6.38,50.0,0.0,0.0,1.28,1.28,5.11,100.0,61.9,13.4,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.83,0.0,0.0,0.0,0.0,0,0
J. Flynn,John  Flynn,-496474,,MIT Engineers,,,"AMF, LDMF",AMF,79,LDMF,20,,0,,,0,,2,138,0,0.08,0,0.39,23.48,38.89,United States,['United States'],unknown,182,65,False,12.39,8.48,76.92,3.26,20.0,0.0,0.0,0.0,5.87,6.0,0.0,0,0.0,0,0.0,0.65,0.0,0,0.0,0.05,0,0.0,1,0.65,0.0,0.0,0.0,1.3,50.0,0.0,0.0,1.3,50.0,0.0,0.65,0.0,6.52,20.0,1.3,0.0,0.0,35.22,1.96,1.96,54.13,81.93,13.04,70.0,11.74,88.89,50.87,83.33,2.61,50.0,15.27,39.53,0.25,2.61,0.0,0.65,0.65,0.0,2.61,7.17,72.73,2.61,50.0,0.65,0.0,1.3,0.65,9.78,73.33,81.82,14.35,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.26,0.0,0.0,0.0,0.0,0,0
N. Mangiafico,Nico  Mangiafico,-496681,MIT Engineers,MIT Engineers,https://cdn5.wyscout.com/photos/team/public/g-19618_120x120.png,NCAA D3 Non-conference matches,"AMF, RAMF, CF",AMF,68,RAMF,16,CF,15,,,0,,2,129,2,0.48,1,0.09,35.58,37.25,United States,['United States'],unknown,170,68,False,11.16,10.47,60.0,2.79,25.0,1.4,1.71,0.0,3.49,4.29,3.49,0,0.0,0,0.0,5.58,1.4,2,1.4,0.33,0,0.0,6,4.19,50.0,33.333,0.7000000000000001,1.4,0.0,0.7000000000000001,0.0,0.7000000000000001,0.0,0.0,6.98,50.0,15.35,31.82,2.79,2.09,0.0,31.4,3.49,0.7000000000000001,43.26,77.42,9.07,53.85,14.65,85.71,38.37,81.82,4.19,50.0,15.68,37.57,0.06,2.09,0.0,0.0,0.0,0.0,0.7000000000000001,4.19,66.67,2.79,50.0,0.0,0.0,0.7000000000000001,0.0,5.58,75.0,80.0,10.47,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.79,0.0,0.0,0.0,0.0,0,0
K. Asfaw,Kaleb Asfaw,-496556,MIT Engineers,MIT Engineers,https://cdn5.wyscout.com/photos/team/public/g-19618_120x120.png,NCAA D3 Non-conference matches,CF,CF,98,,0,,0,,,0,,2,123,0,0.27,2,0.17,34.39,40.43,United States,['United States'],unknown,175,63,False,6.59,6.59,77.78,10.24,42.86,0.73,0.58,0.0,0.73,0.58,0.73,0,0.0,0,0.0,2.93,0.0,0,0.0,0.2,0,0.0,3,2.2,33.33,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.85,37.5,13.9,21.05,2.93,1.46,0.73,16.83,3.66,0.0,24.15,72.73,5.12,28.57,5.85,100.0,22.68,70.97,1.46,100.0,15.52,38.58,0.13,1.46,0.0,0.0,0.0,0.0,1.46,2.2,66.67,0.73,0.0,0.0,0.0,0.73,0.0,2.2,66.67,83.33,8.78,0,,0,,0,0.0,0.0,0.0,,,0.0,,10.24,0.0,0.0,0.0,0.0,0,0
J. Habersaat,Jack  Habersaat,-506153,,Springfield Pride,,,LB,LB,100,,0,,0,,,0,,1,102,0,0.0,0,0.31,9.71,81.82,United States,['United States'],unknown,180,0,False,8.82,6.18,85.71,1.76,100.0,0.0,0.0,0.88,3.5300000000000002,4.29,0.0,0,0.0,0,0.0,0.88,0.0,0,0.0,0.0,0,0.0,1,0.88,0.0,0.0,0.0,0.88,100.0,0.0,0.0,0.88,100.0,0.0,0.0,0.0,1.76,50.0,0.0,1.76,0.0,19.41,0.0,0.88,32.65,62.16,22.94,53.85,0.88,0.0,20.29,78.26,11.47,30.77,20.92,32.71,0.28,1.76,0.0,0.0,0.0,0.0,0.0,8.82,60.0,1.76,50.0,0.88,0.0,0.0,0.88,10.59,75.0,87.5,7.06,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.76,1.76,0.0,0.0,0.88,0,0
