Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
T. van Amerongen,Thijs van Amerongen,-327020,Sutherland Sharks,Sutherland Sharks,https://cdn5.wyscout.com/photos/team/public/g10493_120x120.png,New South Wales NPL,"LCB3, LCB, CB",LCB3,46,LCB,17,CB,16,27.0,1999-04-09,0,,23,2262,4,3.07,0,0.0,9.43,67.93,Netherlands,['Netherlands'],right,192,0,False,9.03,4.97,76.8,3.02,64.47,0.24,0.33,0.92,4.97,6.78,0.64,3,0.12,0,0.0,0.32,0.16,4,0.16,0.12,1,0.04,17,0.68,41.18,23.529,0.0,0.04,100.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,0.52,30.77,0.99,0.32,0.0,33.26,0.16,0.04,50.01,88.31,20.01,75.55,3.22,98.77,45.76,92.87,4.22,38.68,21.41,35.81,0.0,0.04,0.04,0.0,0.0,0.0,0.0,5.57,68.57,0.28,57.14,0.04,0.0,0.16,0.0,8.59,68.52,98.2,22.16,0,,0,,0,0.0,0.0,0.0,,,2.67,,3.02,0.0,0.0,0.0,0.0,0,0.0
D. Nižić,Danijel Nižić,327603,Sutherland Sharks,Sutherland Sharks,https://cdn5.wyscout.com/photos/team/public/g10493_120x120.png,New South Wales NPL,GK,GK,100,,0,,0,31.0,1995-03-15,150000,,23,2262,0,0.04,0,0.0,0.76,78.95,Australia,"['Australia', 'Croatia']",left,195,77,False,1.35,0.04,100.0,0.68,76.47,0.0,0.0,0.0,1.31,1.79,0.0,2,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.04,0.0,0.0,13.49,0.16,0.08,21.45,76.99,12.45,62.62,0.0,0.0,12.02,98.34,9.39,50.0,36.38,53.32,0.0,0.0,0.04,0.0,0.0,0.0,0.0,3.18,40.0,0.32,0.0,0.12,0.0,0.0,0.0,6.33,66.67,96.94,7.8,30,1.19,122,4.85,6,75.41,28.25,1.12,-1.75,-0.07,0.0,1.79,0.68,,,,0.0,0,0.0
J. Seeto,Jayden Seeto,-562170,St. George Saints ,St. George Saints ,https://cdn5.wyscout.com/photos/team/public/g20232_120x120.png,New South Wales NPL,LB,LB,95,,0,,0,23.0,2003-01-01,0,,23,2247,1,0.78,0,0.53,21.35,63.41,Australia,['Australia'],unknown,0,0,False,12.66,9.49,76.37,4.25,56.6,0.12,0.15,0.24,5.29,6.64,0.64,1,0.04,0,0.0,1.32,0.04,1,0.04,0.03,1,0.04,7,0.28,57.14,14.286,0.0,1.24,32.26,1.24,32.26,0.0,0.0,0.12,1.12,67.86,5.49,53.28,0.52,1.6800000000000002,0.16,36.73,0.76,1.8399999999999999,53.11,81.9,24.59,73.29,6.93,92.49,45.34,89.13,6.77,41.42,18.85,39.0,0.02,0.56,0.04,0.0,0.0,0.0,0.12,7.65,65.45,1.3599999999999999,35.29,0.48,25.0,0.28,0.2,11.26,65.48,91.74,13.58,0,,0,,0,0.0,0.0,0.0,,,0.44,,4.25,0.0,0.0,0.0,0.0,0,0.0
N. Olsen,Nicholas John Olsen,331329,Sutherland Sharks,Sutherland Sharks,https://cdn5.wyscout.com/photos/team/public/g10493_120x120.png,New South Wales NPL,"CF, RW, RCMF",CF,27,RW,22,RCMF,13,30.0,1995-09-26,0,,23,2238,7,7.78,6,5.61,15.88,44.81,Australia,"['Australia', 'Denmark']",left,175,64,False,3.86,3.58,62.92,1.65,39.02,0.04,0.05,0.0,1.57,2.13,0.97,2,0.08,0,0.0,2.98,0.28,2,0.08,0.31,0,0.0,47,1.8900000000000001,34.04,14.894,0.24,1.81,37.78,0.97,37.5,0.8,35.0,0.48,3.02,50.67,8.57,39.44,2.05,2.05,0.28,22.56,1.73,1.45,31.53,78.95,11.5,69.23,5.63,91.43,25.78,85.18,3.94,57.14,18.96,34.04,0.23,1.6099999999999999,0.04,0.0,0.16,75.0,0.72,5.95,68.92,3.7,53.26,1.13,50.0,1.53,0.64,6.07,82.78,83.12,9.29,0,,0,,0,0.0,0.0,0.0,,,0.28,,1.65,1.25,0.16,0.0,1.49,6,83.333
K. Wright,Kaidyn Wright,-677795,St. George Saints ,St. George Saints ,https://cdn5.wyscout.com/photos/team/public/g20232_120x120.png,New South Wales NPL,"RB, RCMF",RB,59,RCMF,19,,0,22.0,2004-02-18,0,,23,2219,4,2.04,1,0.9,18.37,55.85,Australia,['Australia'],,0,0,False,11.11,10.42,66.54,1.74,44.19,0.16,0.2,0.28,4.02,5.04,1.34,4,0.16,0,0.0,1.3,0.16,4,0.16,0.08,0,0.0,29,1.18,20.69,13.793,0.04,1.01,24.0,0.12,0.0,0.89,27.27,0.16,1.3,56.25,4.3,38.68,0.77,1.01,0.0,28.8,0.37,0.53,44.29,80.13,16.06,69.7,7.5,92.97,39.99,84.08,3.29,49.38,16.9,32.77,0.04,0.6900000000000001,0.0,0.0,0.08,100.0,0.32,7.06,72.41,2.23,50.91,0.32,62.5,0.81,0.24,7.79,70.31,85.38,12.21,0,,0,,0,0.0,0.0,0.0,,,0.2,,1.74,0.0,0.0,0.0,0.12,0,0.0
T. Prendergast,Tristan Prendergast,456572,UNSW,UNSW,https://cdn5.wyscout.com/photos/team/public/g33621_120x120.png,New South Wales NPL,GK,GK,100,,0,,0,31.0,1995-06-27,0,,22,2170,0,0.0,0,0.0,0.87,80.95,Australia,['Australia'],,191,78,False,3.77,0.12,66.67,0.41000000000000003,80.0,0.0,0.0,0.0,3.69,4.49,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,100.0,0.0,0.0,0.0,17.71,0.29,0.21,30.69,79.86,20.03,71.01,0.04,0.0,15.84,98.43,14.85,60.06,37.02,51.67,0.0,0.0,0.0,0.0,0.0,0.0,0.04,6.22,54.0,0.41000000000000003,10.0,0.33,12.5,0.08,0.0,10.78,77.31,98.25,9.5,30,1.24,95,3.94,6,68.42,26.56,1.1,-3.44,-0.14300000000000002,0.0,1.74,0.41000000000000003,,,,0.0,0,0.0
G. Lynch,Grant Lynch,493906,UNSW,UNSW,https://cdn5.wyscout.com/photos/team/public/g33621_120x120.png,New South Wales NPL,"LCB3, LCB, LB",LCB3,45,LCB,39,LB,13,32.0,1993-08-04,0,,22,2169,0,0.74,0,0.59,11.12,60.45,Australia,['Australia'],,0,0,False,8.63,5.5600000000000005,69.4,2.7800000000000002,59.7,0.08,0.1,0.5,4.69,5.68,0.5,4,0.17,0,0.0,0.41000000000000003,0.0,0,0.0,0.03,0,0.0,3,0.12,33.33,0.0,0.0,0.46,36.36,0.41000000000000003,30.0,0.0,0.0,0.12,0.21,80.0,1.9100000000000001,36.96,0.41000000000000003,1.9500000000000002,0.08,33.57,0.25,0.21,53.86,83.82,26.18,75.28,3.5700000000000003,90.7,48.71,88.33,4.77,41.74,21.35,39.01,0.02,0.17,0.04,0.0,0.04,100.0,0.04,8.01,70.47,0.91,31.82,0.33,37.5,0.37,0.08,11.95,72.22,94.64,20.12,0,,0,,0,0.0,0.0,0.0,,,1.4100000000000001,,2.7800000000000002,0.0,0.0,0.0,0.0,0,0.0
S. Nicholas,Simon Nicholas,-328299,NWS Spirit,NWS Spirit,https://cdn5.wyscout.com/photos/team/public/g-16418_120x120.png,New South Wales NPL,LCB,LCB,89,,0,,0,26.0,1999-08-05,0,,23,2167,0,0.31,0,0.68,10.55,62.2,Australia,['Australia'],,0,0,False,8.26,5.65,69.85,1.87,62.22,0.12,0.15,0.25,4.19,5.19,0.75,4,0.17,0,0.0,0.71,0.0,0,0.0,0.01,0,0.0,8,0.33,50.0,0.0,0.0,0.75,44.44,0.71,41.18,0.04,100.0,0.08,0.25,83.33,1.37,45.45,0.25,1.29,0.12,39.95,0.5,0.42,59.93,81.43,29.11,69.76,5.27,95.28,47.06,91.79,12.21,43.54,22.84,42.36,0.03,0.17,0.0,0.08,0.0,0.0,0.04,10.84,62.07,1.83,31.82,0.75,44.44,0.33,0.25,12.96,70.51,94.25,18.77,0,,0,,0,0.0,0.0,0.0,,,2.5700000000000003,,1.87,0.08,0.0,0.0,0.0,0,0.0
L. Mcgrath,Lachlan Mcgrath,-191947,SD Raiders,SD Raiders,https://cdn5.wyscout.com/photos/team/public/g36030_120x120.png,New South Wales NPL,"LCB, CB",LCB,45,CB,41,,0,26.0,2000-04-12,0,,22,2145,1,1.01,0,0.16,15.19,59.94,Australia,['Australia'],,0,0,False,9.36,6.04,71.53,4.28,48.04,0.17,0.22,0.38,4.87,6.34,0.59,0,0.0,0,0.0,0.46,0.04,1,0.04,0.04,0,0.0,8,0.34,37.5,12.5,0.0,0.13,33.33,0.08,50.0,0.04,0.0,0.0,0.38,77.78,2.94,48.57,0.38,0.84,0.13,36.88,0.42,0.71,55.01,87.34,23.2,75.41,3.73,89.89,48.21,91.73,6.67,56.6,20.9,38.08,0.01,0.13,0.0,0.0,0.0,0.0,0.0,5.08,64.46,0.5,25.0,0.25,33.33,0.17,0.04,9.99,64.29,97.69,23.58,0,,0,,0,0.0,0.0,0.0,,,1.76,,4.28,0.0,0.0,0.0,0.0,0,0.0
J. Wade,Joel  Wade,-429133,Marconi Stallions,Marconi Stallions,https://cdn5.wyscout.com/photos/team/public/g146_120x120.png,New South Wales NPL,GK,GK,100,,0,,0,22.0,2004-01-03,0,,22,2144,0,0.0,0,0.0,0.67,87.5,Australia,['Australia'],,0,0,False,1.51,0.13,33.33,0.46,100.0,0.0,0.0,0.0,1.47,1.9500000000000002,0.04,2,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,11.38,0.38,0.13,18.89,69.33,13.35,57.23,0.0,0.0,8.82,95.24,10.07,46.67,37.16,52.2,0.0,0.0,0.0,0.0,0.0,0.0,0.04,4.79,36.84,0.8,5.26,0.8,31.58,0.08,0.0,5.75,75.91,98.39,5.21,12,0.5,59,2.48,12,79.66,15.3,0.64,3.3,0.139,0.0,1.9300000000000002,0.46,,,,0.0,0,0.0
