Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Rojas,Santiago Gerardo Rojas López,467982,Nacional Asunción,Nacional Asunción,https://cdn5.wyscout.com/photos/team/public/2296_120x120.png,Division Profesional,GK,GK,100,,0,,0,30.0,1996-04-05,700000,2026-12-31,23,2293,0,0.0,1,0.01,0.31,100.0,Paraguay,['Paraguay'],right,189,92,False,1.37,0.04,100.0,0.24,100.0,0.0,0.0,0.0,1.33,2.04,0.0,5,0.2,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,17.54,0.27,0.12,25.9,87.42,12.13,75.73,0.04,100.0,16.56,99.05,9.26,67.37,34.18,51.7,0.0,0.04,0.0,0.0,0.0,0.0,0.04,3.65,54.84,0.27,14.29,0.16,25.0,0.0,0.0,6.24,81.13,98.2,13.11,23,0.9,75,2.94,6,69.33,24.64,0.97,1.6400000000000001,0.064,0.0,1.22,0.24,,,,0.0,0,0.0
J. González,Julio César González Trinidad,306404,Sportivo Ameliano,Sportivo Ameliano,https://cdn5.wyscout.com/photos/team/public/g-10312_120x120.png,Division Profesional,RCB,RCB,99,,0,,0,34.0,1992-06-28,250000,2026-12-31,23,2268,1,0.6000000000000001,1,0.38,11.9,62.67,Paraguay,['Paraguay'],right,176,73,False,7.86,3.9699999999999998,76.0,4.6,57.76,0.16,0.24,0.8300000000000001,4.68,7.02,0.56,3,0.12,0,0.0,0.16,0.04,1,0.04,0.02,0,0.0,2,0.08,50.0,50.0,0.04,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.16,75.0,1.71,53.49,0.16,0.28,0.04,29.09,0.44,0.75,41.31,88.57,14.68,76.76,3.17,97.5,36.27,92.89,5.0,57.94,22.29,38.41,0.01,0.12,0.0,0.08,0.0,0.0,0.04,2.86,62.5,0.16,25.0,0.16,25.0,0.08,0.0,6.55,61.82,96.24,21.11,0,,0,,0,0.0,0.0,0.0,,,2.62,,4.6,0.0,0.0,0.0,0.0,0,0.0
F. Franco,Hugo Fabián Franco Schlender,473509,Sportivo Ameliano,Sportivo Ameliano,https://cdn5.wyscout.com/photos/team/public/g-10312_120x120.png,Division Profesional,RB,RB,99,,0,,0,27.0,1998-10-11,200000,2026-12-31,23,2260,1,1.42,2,1.6,12.46,52.08,Paraguay,['Paraguay'],right,177,75,False,8.56,4.78,62.5,2.67,47.76,0.32,0.48,0.24,5.26,7.89,0.92,4,0.16,0,0.0,1.3900000000000001,0.04,1,0.04,0.06,1,0.04,42,1.67,26.19,2.3810000000000002,0.08,1.71,20.93,0.12,0.0,1.5899999999999999,22.5,0.2,0.96,54.17,3.15,46.84,0.68,1.0,0.08,28.99,2.35,1.27,42.29,75.71,19.39,67.76,3.62,94.51,30.38,84.14,10.35,59.23,23.33,38.84,0.06,0.72,0.04,0.0,0.16,50.0,0.36,6.93,60.34,2.47,35.48,0.88,40.91,0.48,0.44,11.75,74.24,79.44,14.34,0,,0,,0,0.0,0.0,0.0,,,0.56,,2.67,0.76,0.48,41.67,0.68,0,0.0
G. Servio,Gaspar Andrés Servio,247730,Guaraní,Guaraní,https://cdn5.wyscout.com/photos/team/public/968_120x120.png,Division Profesional,GK,GK,100,,0,,0,34.0,1992-03-09,600000,2026-12-31,22,2183,3,2.2800000000000002,0,0.0,0.58,92.86,Argentina,['Argentina'],right,185,86,False,0.78,0.04,100.0,0.37,88.89,0.0,0.0,0.04,0.74,1.03,0.0,2,0.08,0,0.0,0.12,0.12,0,0.0,0.09,0,0.0,3,0.12,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,9.44,0.04,0.21,15.79,85.12,8.58,73.56,0.04,100.0,8.91,98.61,6.84,68.07,37.34,55.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.55,61.63,0.37,11.11,0.33,37.5,0.12,0.0,5.28,86.72,100.0,6.68,23,0.9500000000000001,92,3.79,8,75.0,27.65,1.1400000000000001,4.65,0.192,0.0,1.07,0.37,,,,0.0,3,100.0
M. Martínez,Miguel Angel Martínez Irala,398599,Sportivo Ameliano,Sportivo Ameliano,https://cdn5.wyscout.com/photos/team/public/g-10312_120x120.png,Division Profesional,GK,GK,100,,0,,0,27.0,1998-09-29,200000,2026-12-31,22,2172,0,0.0,0,0.0,0.75,77.78,Paraguay,['Paraguay'],right,184,78,False,1.6600000000000001,0.0,0.0,0.5,75.0,0.0,0.0,0.0,1.6600000000000001,2.52,0.04,2,0.08,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.12,66.67,0.0,0.0,0.0,12.64,0.25,0.12,22.46,90.41,10.52,81.1,0.0,0.0,16.66,98.76,5.72,67.39,28.81,47.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4100000000000001,58.82,0.0,0.0,0.08,50.0,0.0,0.0,4.39,66.98,98.9,11.27,21,0.87,69,2.86,5,69.57,19.0,0.79,-2.0,-0.083,0.0,1.33,0.5,,,,0.0,0,0.0
Á. Martínez,Ángel Isaías Martínez Vegas,-544617,Cerro Porteño,2 de Mayo,https://cdn5.wyscout.com/photos/team/public/485_120x120.png,Division Profesional,GK,GK,100,,0,,0,23.0,2002-07-31,0,2029-12-31,22,2167,0,0.0,0,0.0,0.62,66.67,Paraguay,['Paraguay'],,0,0,False,1.58,0.08,0.0,0.29,85.71,0.0,0.0,0.0,1.58,2.2800000000000002,0.08,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,75.0,0.0,0.0,0.0,10.55,0.12,0.25,19.19,81.82,11.63,73.93,0.04,100.0,10.38,96.4,8.72,65.24,35.99,49.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9500000000000002,55.32,0.25,16.67,0.21,20.0,0.04,0.0,6.48,67.31,94.74,7.1,35,1.45,112,4.65,6,68.75,37.58,1.56,2.58,0.107,0.04,1.25,0.29,,,,0.0,0,0.0
A. Cañete,Alexis Damián Cañete Torres,-544838,Cerro Porteño,Nacional Asunción,https://cdn5.wyscout.com/photos/team/public/485_120x120.png,Division Profesional,"RCB, RB, LCB",RCB,62,RB,19,LCB,11,22.0,2003-08-27,0,2026-12-31,22,2162,0,0.87,3,0.81,13.99,63.39,Paraguay,['Paraguay'],right,185,68,False,9.24,5.62,71.85,4.16,53.0,0.29,0.45,0.42,4.91,7.66,1.25,3,0.12,0,0.0,0.87,0.0,0,0.0,0.04,0,0.0,9,0.37,33.33,0.0,0.12,0.75,55.56,0.0,0.0,0.75,55.56,0.17,0.42,70.0,2.33,58.93,1.04,0.62,0.0,27.27,1.0,1.08,42.17,83.71,18.69,73.27,3.16,96.05,35.47,89.2,5.99,54.86,21.56,39.93,0.03,0.37,0.04,0.0,0.04,100.0,0.25,4.41,63.21,1.12,48.15,0.21,40.0,0.29,0.37,8.66,66.35,93.72,16.57,0,,0,,0,0.0,0.0,0.0,,,2.41,,4.16,0.0,0.0,0.0,0.0,0,0.0
Andrea Falabella,Luca Andrea Falabella,-72696,Sportivo Ameliano,Sportivo Ameliano,https://cdn5.wyscout.com/photos/team/public/g-10312_120x120.png,Division Profesional,LCB,LCB,99,,0,,0,27.0,1999-03-10,0,2027-12-31,21,2074,2,2.03,0,0.0,12.11,59.86,Argentina,"['Argentina', 'Italy']",left,188,89,False,7.03,2.95,73.53,5.08,57.26,0.17,0.27,0.35000000000000003,4.69,7.17,0.39,4,0.17,0,0.0,0.35000000000000003,0.09,2,0.09,0.09,1,0.04,11,0.48,36.36,18.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,57.14,1.9100000000000001,38.64,0.74,0.8200000000000001,0.04,31.89,0.48,0.48,47.17,89.51,19.48,80.4,2.34,96.3,41.62,93.01,5.55,63.28,21.11,37.38,0.0,0.04,0.0,0.04,0.0,0.0,0.0,3.17,69.86,0.13,0.0,0.09,0.0,0.0,0.0,7.25,68.26,96.36,21.44,0,,0,,0,0.0,0.0,0.0,,,1.87,,5.08,0.0,0.0,0.0,0.0,0,0.0
I. Maggi,Iván Gabriel Maggi,-109618,Sportivo Luqueño,Sportivo Luqueño,https://cdn5.wyscout.com/photos/team/public/555_120x120.png,Division Profesional,CF,CF,98,,0,,0,27.0,1999-06-14,0,2026-12-31,22,2018,10,10.79,2,1.28,22.66,31.69,Argentina,['Argentina'],right,178,74,False,3.92,3.9699999999999998,43.82,7.8,40.57,0.31,0.47000000000000003,0.04,1.87,2.8,1.96,6,0.27,0,0.0,2.63,0.45,8,0.36,0.48,1,0.04,54,2.41,48.15,18.519,0.09,1.2,29.63,0.89,30.0,0.31,28.57,0.09,2.81,39.68,7.85,21.59,3.66,0.98,0.4,10.03,1.29,0.4,15.48,71.18,3.08,62.32,4.19,88.3,13.51,74.92,0.76,70.59,15.78,20.92,0.06,0.71,0.09,0.0,0.0,0.0,0.36,1.34,60.0,1.11,32.0,0.0,0.0,0.45,0.31,1.38,61.29,66.33,4.37,0,,0,,0,0.0,0.0,0.0,,,0.04,,7.8,0.0,0.0,0.0,0.0,3,66.667
A. Paredes,Jesús Abel Paredes Melgarejo,395014,Sportivo Ameliano,Sportivo Ameliano,https://cdn5.wyscout.com/photos/team/public/g-10312_120x120.png,Division Profesional,LB,LB,99,,0,,0,29.0,1997-05-27,300000,2026-12-31,23,2001,1,0.52,2,1.9100000000000001,12.64,54.45,Paraguay,['Paraguay'],left,180,74,False,9.76,5.98,69.17,1.98,40.91,0.13,0.21,0.45,5.49,8.34,0.67,4,0.18,0,0.0,2.2,0.04,1,0.04,0.02,0,0.0,25,1.12,24.0,4.0,0.09,3.1,46.38,2.9699999999999998,45.45,0.13,66.67,0.36,1.17,42.31,2.74,32.79,0.4,0.99,0.09,27.93,2.02,0.18,40.88,77.01,18.8,69.86,5.76,93.75,31.35,85.94,6.66,49.32,21.21,39.35,0.09,0.76,0.0,0.0,0.04,0.0,0.45,5.4,65.0,3.06,45.59,0.54,41.67,0.4,1.3,11.47,68.24,80.08,10.61,0,,0,,0,0.0,0.0,0.0,,,0.22,,1.98,0.45,0.31,28.57,0.9,0,0.0
