Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Diego Coxi,Diego Alexandre Coxi,-388705,Sporting CP II,Sporting CP U23,https://cdn5.wyscout.com/photos/team/public/g1728_120x120.png,Segunda Liga,"LCB, RCB",LCB,73,RCB,24,,0,18.0,2008-07-31,0,,4,394,1,0.31,1,0.52,8.22,61.11,Portugal,['Portugal'],unknown,181,72,False,6.4,2.51,81.82,2.51,45.45,0.0,0.0,0.23,4.34,6.26,0.23,1,0.23,0,0.0,1.6,0.23,1,0.23,0.07,0,0.0,3,0.6900000000000001,100.0,33.333,0.23,0.91,25.0,0.6900000000000001,0.0,0.23,100.0,0.0,1.37,50.0,2.51,54.55,0.46,0.6900000000000001,0.23,44.54,0.6900000000000001,0.91,59.39,86.15,25.36,73.87,1.1400000000000001,80.0,50.25,92.73,8.68,52.63,26.12,51.43,0.12,0.46,0.23,0.0,0.0,0.0,0.46,10.28,60.0,2.2800000000000002,30.0,0.46,100.0,0.6900000000000001,0.23,11.19,67.35,96.3,30.84,0,,0,,0,0.0,0.0,0.0,,,0.6900000000000001,,2.51,0.0,0.0,0.0,0.0,0,0
G. Bayoumi,Gibril Bayoumi,-759399,Gil Vicente U23,Gil Vicente U23,https://cdn5.wyscout.com/photos/team/public/g-16612_120x120.png,Liga Next Gen U23,GK,GK,100,,0,,0,18.0,2008-02-21,0,,4,392,0,0.0,0,0.0,0.23,100.0,Morocco,"['Morocco', 'France']",unknown,0,0,False,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.31,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,100.0,0.0,0.0,0.0,20.43,0.23,0.23,32.37,80.14,14.92,66.15,0.0,0.0,24.11,92.38,8.04,45.71,28.43,47.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,50.0,0.46,0.0,0.0,0.0,0.0,0.0,7.8100000000000005,44.12,91.3,15.84,9,2.07,28,6.43,0,67.86,9.85,2.26,0.85,0.195,0.0,2.07,0.0,,,,0.0,0,0
Tiago Gonçalves,Tiago Filipe Pereira Gonçalves,-551337,Gil Vicente U23,Gil Vicente U23,https://cdn5.wyscout.com/photos/team/public/g-16612_120x120.png,Liga Next Gen U23,LB,LB,100,,0,,0,20.0,2006-04-13,0,,4,392,0,0.03,1,0.07,12.4,53.7,Portugal,['Portugal'],right,0,0,False,8.49,5.97,50.0,1.8399999999999999,50.0,0.0,0.0,0.23,5.51,7.42,0.46,0,0.0,0,0.0,1.6099999999999999,0.0,0,0.0,0.01,0,0.0,3,0.6900000000000001,0.0,0.0,0.23,1.6099999999999999,42.86,1.6099999999999999,42.86,0.0,0.0,0.23,1.38,66.67,4.13,55.56,0.23,0.46,0.23,23.65,2.07,1.15,32.37,78.72,13.55,67.8,5.51,100.0,28.01,81.97,2.76,66.67,18.78,47.92,0.02,0.46,0.0,0.0,0.0,0.0,0.23,2.98,61.54,1.15,40.0,0.0,0.0,0.0,0.6900000000000001,5.97,69.23,86.67,6.89,0,,0,,0,0.0,0.0,0.0,,,0.6900000000000001,,1.8399999999999999,0.0,0.0,0.0,0.0,0,0
João Castro,João Gonçalo Rodrigues Castro,-393798,Gil Vicente U23,Gil Vicente U23,https://cdn5.wyscout.com/photos/team/public/g-16612_120x120.png,Liga Next Gen U23,RCB,RCB,100,,0,,0,20.0,2006-03-19,0,,4,392,0,0.09,0,0.0,6.2,51.85,Portugal,['Portugal'],right,191,0,False,5.28,3.21,35.71,2.07,66.67,0.0,0.0,0.46,4.13,5.57,0.92,1,0.23,0,0.0,0.0,0.0,0,0.0,0.02,0,0.0,1,0.23,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.23,100.0,0.23,0.46,0.0,37.42,0.23,0.0,56.02,89.34,16.53,70.83,3.44,100.0,50.28,93.15,5.51,58.33,21.88,39.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21,64.29,0.23,0.0,0.23,0.0,0.0,0.0,6.43,46.43,98.51,30.77,0,,0,,0,0.0,0.0,0.0,,,2.98,,2.07,0.0,0.0,0.0,0.0,0,0
F. Lowe,Fletcher Hani Smythe Lowe,-552041,Estoril U23,Estoril U23,https://cdn5.wyscout.com/photos/team/public/g-8980_120x120.png,Liga Next Gen U23,GK,GK,100,,0,,0,19.0,2007-02-02,0,,4,389,0,0.0,0,0.0,0.0,0.0,South Africa,['South Africa'],unknown,187,0,False,0.6900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6900000000000001,0.9400000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.36,0.0,0.0,33.78,81.51,13.42,56.9,0.23,100.0,24.06,98.08,9.72,40.48,27.09,46.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,55.56,0.0,0.0,0.0,0.0,0.0,0.0,6.71,34.48,97.26,16.89,7,1.62,24,5.55,0,70.83,5.33,1.23,-1.67,-0.386,0.0,2.31,0.0,,,,0.0,0,0
Pedro Andrade,Pedro Henrique da Silva Andrade,-113367,Estoril U23,Estoril U23,https://cdn5.wyscout.com/photos/team/public/g-8980_120x120.png,Liga Next Gen U23,"RCB, RB",RCB,64,RB,25,,0,19.0,2007-01-18,0,,4,389,0,0.77,1,0.41000000000000003,13.88,51.67,Brazil,['Brazil'],,0,0,False,8.79,5.32,65.22,1.85,50.0,0.0,0.0,0.93,5.32,7.19,0.46,1,0.23,0,0.0,2.08,0.0,0,0.0,0.18,0,0.0,3,0.6900000000000001,66.67,0.0,0.23,0.6900000000000001,66.67,0.0,0.0,0.6900000000000001,66.67,0.23,2.31,50.0,5.55,41.67,1.85,1.16,0.0,28.23,0.46,0.6900000000000001,40.26,85.06,15.5,71.64,3.24,100.0,36.32,90.45,3.24,28.57,19.71,32.6,0.09,0.46,0.0,0.0,0.0,0.0,0.46,3.93,58.82,0.93,0.0,0.0,0.0,0.0,0.46,6.48,53.57,97.01,15.5,0,,0,,0,0.0,0.0,0.0,,,1.3900000000000001,,1.85,0.0,0.0,0.0,0.23,0,0
Tiago Pinto,Tiago Henrique Botelho Pinto,-329935,Estrela Amadora U23,Estrela Amadora U23,https://cdn5.wyscout.com/photos/team/public/g-16613_120x120.png,Liga Next Gen U23,"LDMF, LCMF, RDMF",LDMF,45,LCMF,39,RDMF,10,20.0,2006-02-24,0,,4,385,0,0.45,0,0.31,17.06,57.53,Brazil,"['Brazil', 'Portugal']",right,182,69,False,6.08,4.91,66.67,1.4,33.33,0.23,0.33,0.23,2.5700000000000003,3.67,0.9400000000000001,1,0.23,0,0.0,2.5700000000000003,0.0,0,0.0,0.11,0,0.0,7,1.6400000000000001,14.29,0.0,0.0,1.4,50.0,0.0,0.0,1.4,50.0,0.23,1.87,87.5,9.58,58.54,1.17,1.87,0.23,21.74,0.7000000000000001,2.5700000000000003,36.94,68.99,13.79,59.32,4.44,84.21,29.69,68.5,5.84,76.0,20.61,39.28,0.07,0.7000000000000001,0.0,0.0,0.0,0.0,0.23,4.44,68.42,2.34,60.0,0.0,0.0,0.7000000000000001,0.7000000000000001,9.12,66.67,76.79,13.09,0,,0,,0,0.0,0.0,0.0,,,0.23,,1.4,1.4,0.7000000000000001,0.0,2.81,0,0
Gabriel Pimentel,Gabriel Sanches Mendes Pimentel,-552318,,Portimonense U23,,,"RCB, LCB",RCB,50,LCB,49,,0,18.0,2007-09-07,0,,4,383,0,0.17,0,0.0,8.22,68.57,Portugal,['Portugal'],unknown,187,70,False,9.4,4.23,72.22,1.6400000000000001,57.14,0.0,0.0,0.23,6.34,7.79,0.9400000000000001,2,0.47000000000000003,0,0.0,0.47000000000000003,0.0,0,0.0,0.04,0,0.0,1,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47000000000000003,100.0,1.4100000000000001,83.33,0.23,0.0,0.0,17.15,0.0,0.9400000000000001,31.02,72.73,15.27,56.92,2.11,66.67,23.73,82.18,7.28,41.94,24.42,41.36,0.0,0.0,0.0,0.0,0.23,0.0,0.0,4.23,38.89,0.47000000000000003,0.0,0.23,0.0,0.0,0.0,8.93,44.74,93.48,10.81,0,,0,,0,0.0,0.0,0.0,,,1.4100000000000001,,1.6400000000000001,0.0,0.0,0.0,0.0,0,0
Gui Figueiredo,Guilherme Beleza Braga Figueiredo,-551348,,Gil Vicente U23,,,"LDMF, LCMF",LDMF,62,LCMF,37,,0,19.0,2006-12-09,0,,4,382,1,0.02,0,0.07,11.78,44.0,Portugal,['Portugal'],left,181,70,False,5.42,5.18,54.55,2.83,50.0,0.24,0.32,0.0,2.36,3.19,1.4100000000000001,1,0.24,0,0.0,0.24,0.24,1,0.24,0.01,0,0.0,1,0.24,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83,25.0,0.0,0.0,0.0,30.16,0.71,0.47000000000000003,37.23,82.28,13.9,64.41,5.65,91.67,34.16,85.52,3.06,46.15,20.34,40.69,0.02,0.24,0.0,0.0,0.0,0.0,0.24,5.42,56.52,0.71,33.33,0.0,0.0,0.24,0.0,5.42,65.22,90.0,14.14,0,,0,,0,0.0,0.0,0.0,,,0.71,,2.83,0.0,0.0,0.0,0.0,0,0
Rodrigo Alves,Rodrigo Pires Alves,-551823,Portimonense U23,Portimonense U23,https://cdn5.wyscout.com/photos/team/public/g-8983_120x120.png,Liga Next Gen U23,"RCB, RB",RCB,50,RB,49,,0,19.0,2007-01-08,0,,4,378,0,0.0,0,0.0,12.86,70.37,Portugal,['Portugal'],unknown,0,0,False,7.62,5.95,68.0,1.67,57.14,0.0,0.0,0.71,3.5700000000000003,4.37,1.43,2,0.48,0,0.0,0.9500000000000001,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.48,0.0,0.24,1.19,80.0,3.5700000000000003,80.0,0.0,0.0,0.24,13.81,0.48,2.38,25.71,68.52,12.62,60.38,2.14,66.67,20.48,80.23,4.76,25.0,21.19,36.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05,35.29,0.9500000000000001,25.0,0.0,0.0,0.24,0.0,6.19,42.31,80.0,9.52,0,,0,,0,0.0,0.0,0.0,,,0.48,,1.67,0.0,0.0,0.0,0.0,0,0
