Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Arthur Borghi,Arthur Rampineli Borghi,-456888,Hellas Verona,Hellas Verona U20,https://cdn5.wyscout.com/photos/team/public/212_120x120.png,Serie B,GK,GK,100,,0,,0,19.0,2007-07-27,0,,2,200,0,0.0,0,0.0,0.9,50.0,Brazil,['Brazil'],unknown,0,0,False,0.45,0.9,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,1,0.45,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.0,19.35,88.37,11.7,80.77,0.0,0.0,15.75,97.14,3.6,50.0,23.94,45.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,62.5,100.0,5.4,1,0.45,6,2.7,1,83.33,1.22,0.55,0.22,0.099,0.0,2.7,0.0,,,,0.0,0,0
J. Peci,Jurgen Peci,-301449,Hellas Verona U20,Hellas Verona U20,https://cdn5.wyscout.com/photos/team/public/g28209_120x120.png,Campionato Primavera 1,"DMF, LDMF",DMF,75,LDMF,24,,0,19.0,2007-01-02,0,,2,200,0,0.13,0,0.16,15.3,50.0,Italy,['Italy'],unknown,0,0,False,6.75,5.4,58.33,2.7,33.33,0.0,0.0,0.0,3.6,4.9,0.0,0,0.0,0,0.0,0.9,0.0,0,0.0,0.06,0,0.0,3,1.35,0.0,0.0,0.0,0.9,0.0,0.45,0.0,0.45,0.0,0.0,2.25,40.0,7.2,50.0,0.45,0.45,0.45,26.55,0.0,2.7,37.8,86.9,12.15,81.48,2.25,100.0,32.4,91.67,4.5,70.0,21.06,44.47,0.07,0.45,0.0,0.0,0.0,0.0,0.0,6.75,73.33,0.45,100.0,0.0,0.0,0.9,0.0,6.3,78.57,94.74,17.1,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.7,2.7,0.9,0.0,1.35,0,0
D. Moisa,Davide Moisa,-297308,Hellas Verona U20,Hellas Verona U20,https://cdn5.wyscout.com/photos/team/public/g28209_120x120.png,Campionato Primavera 1,LCB,LCB,100,,0,,0,18.0,2008-02-04,0,,2,200,0,0.0,0,0.13,8.1,72.22,Romania,['Romania'],unknown,0,0,False,6.3,2.7,66.67,3.6,75.0,0.0,0.0,0.45,4.5,6.12,1.8,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,1.35,66.67,0.45,2.25,0.0,20.7,0.9,0.9,31.95,84.51,11.7,65.38,3.15,85.71,28.8,90.63,2.7,33.33,20.19,18.88,0.06,0.45,0.0,0.0,0.0,0.0,0.0,4.05,66.67,0.45,100.0,0.0,0.0,0.45,0.0,3.6,50.0,96.67,13.5,0,,0,,0,0.0,0.0,0.0,,,2.7,,3.6,0.0,0.0,0.0,0.0,0,0
F. Albertini,Francesco Albertini,-296629,Hellas Verona U20,Hellas Verona U20,https://cdn5.wyscout.com/photos/team/public/g28209_120x120.png,Campionato Primavera 1,"RB, RCB",RB,51,RCB,48,,0,19.0,2007-04-30,0,,2,200,0,0.08,0,0.0,9.45,71.43,Italy,['Italy'],unknown,0,0,False,11.25,4.95,81.82,2.25,60.0,0.0,0.0,0.9,7.2,9.8,0.45,0,0.0,0,0.0,0.0,0.0,0,0.0,0.04,0,0.0,1,0.45,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.45,0.0,0.45,0.45,0.0,2.25,60.0,0.45,0.45,0.0,27.0,0.45,1.35,35.1,78.21,17.1,73.68,3.15,100.0,27.45,86.89,7.2,50.0,24.82,48.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75,46.67,2.25,20.0,0.0,0.0,0.45,0.0,4.95,90.91,80.77,11.7,0,,0,,0,0.0,0.0,0.0,,,1.8,,2.25,0.0,0.0,0.0,0.0,0,0
S. Jallow,Sulayman  Jallow,-659827,Fiorentina U20,Fiorentina U20,https://cdn5.wyscout.com/photos/team/public/g-21946_120x120.png,Campionato Primavera 1,CF,CF,100,,0,,0,19.0,2007-05-04,0,,2,198,1,0.29,0,0.0,17.73,38.46,Gambia,['Gambia'],right,187,0,False,1.82,3.64,25.0,3.18,42.86,0.0,0.0,0.0,0.91,1.2,3.18,0,0.0,0,0.0,1.3599999999999999,0.45,1,0.45,0.13,0,0.0,4,1.82,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,50.0,8.18,44.44,2.73,0.0,0.0,8.18,2.73,1.82,9.55,57.14,3.64,50.0,1.82,100.0,8.64,57.89,0.91,50.0,15.55,34.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3599999999999999,66.67,40.0,2.27,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.18,0.0,0.0,0.0,0.0,0,0
A. Pirro,Antonio Pirro,-384849,Fiorentina U20,Fiorentina U20,https://cdn5.wyscout.com/photos/team/public/g-21946_120x120.png,Campionato Primavera 1,"AMF, LCMF",AMF,50,LCMF,49,,0,18.0,2008-01-28,0,,2,198,0,0.06,0,0.19,14.55,53.13,Italy,['Italy'],unknown,0,0,False,5.0,3.64,62.5,1.3599999999999999,33.33,0.0,0.0,0.45,2.73,3.6,0.0,0,0.0,0,0.0,4.09,0.0,0,0.0,0.03,0,0.0,3,1.3599999999999999,0.0,0.0,0.0,2.27,40.0,1.3599999999999999,33.33,0.91,50.0,0.0,4.09,77.78,9.55,52.38,2.27,2.27,0.45,20.0,0.45,0.91,29.55,67.69,13.18,55.17,4.55,100.0,25.45,69.64,1.82,75.0,19.17,29.31,0.09,1.3599999999999999,0.0,0.0,0.0,0.0,0.91,4.55,50.0,4.55,60.0,0.0,0.0,2.27,0.45,4.55,90.0,76.47,7.73,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.3599999999999999,0.91,0.45,0.0,2.73,0,0
M. Magalotti,Mattia Magalotti,-330236,Fiorentina U20,Fiorentina U20,https://cdn5.wyscout.com/photos/team/public/g-21946_120x120.png,Campionato Primavera 1,GK,GK,100,,0,,0,18.0,2008-03-08,0,,2,198,0,0.0,0,0.0,0.0,0.0,Italy,['Italy'],unknown,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.18,0.0,0.0,19.09,78.57,11.82,73.08,0.0,0.0,10.45,100.0,8.64,52.63,30.83,43.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3599999999999999,33.33,0.0,0.0,0.0,0.0,0.0,0.0,5.45,58.33,83.33,5.45,2,0.91,7,3.18,0,71.43,0.68,0.31,-1.32,-0.6000000000000001,0.0,0.0,0.0,,,,0.0,0,0
B. Mazzeo,Brando Mazzeo,-311869,Fiorentina U20,Fiorentina U20,https://cdn5.wyscout.com/photos/team/public/g-21946_120x120.png,Campionato Primavera 1,"LAMF, RW, LW",LAMF,50,RW,31,LW,18,18.0,2007-10-04,0,2028-06-30,2,198,0,1.03,0,0.0,17.27,44.74,Italy,['Italy'],,0,0,False,1.82,2.73,50.0,0.0,0.0,0.0,0.0,0.0,0.45,0.6000000000000001,1.82,0,0.0,0,0.0,3.64,0.0,0,0.0,0.47000000000000003,0,0.0,5,2.27,40.0,0.0,0.0,1.82,0.0,1.82,0.0,0.0,0.0,0.45,4.55,60.0,13.18,41.38,3.64,2.27,0.0,17.73,5.0,1.82,20.45,62.22,2.27,60.0,6.82,80.0,18.64,68.29,0.0,0.0,14.52,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.45,0.0,1.82,25.0,0.0,0.0,0.45,0.45,0.91,50.0,60.0,6.82,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0,0
N. Turnone,Niccolo Turnone,-209317,Fiorentina U20,Fiorentina U20,https://cdn5.wyscout.com/photos/team/public/g-21946_120x120.png,Campionato Primavera 1,RCB,RCB,100,,0,,0,18.0,2007-10-29,0,,2,198,0,0.21,0,0.0,13.18,82.76,Italy,['Italy'],,0,0,False,14.55,8.18,83.33,2.73,83.33,0.0,0.0,1.82,7.73,10.2,0.0,0,0.0,0,0.0,0.45,0.0,0,0.0,0.1,0,0.0,3,1.3599999999999999,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,1.3599999999999999,0.0,26.82,0.0,0.91,38.64,76.47,14.55,68.75,2.73,66.67,33.64,82.43,5.0,36.36,23.07,44.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.82,60.0,1.3599999999999999,0.0,0.0,0.0,0.0,0.0,10.45,52.17,85.71,15.91,0,,0,,0,0.0,0.0,0.0,,,0.91,,2.73,0.0,0.0,0.0,0.0,0,0
D. Bembnista,Dawid Bembnista,-435494,Empoli U20,Empoli U20,https://cdn5.wyscout.com/photos/team/public/g-21959_120x120.png,Campionato Primavera 1,LCB3,LCB3,91,,0,,0,19.0,2007-01-12,0,,2,198,0,0.03,0,0.0,10.45,56.52,Poland,['Poland'],unknown,0,0,False,9.55,5.0,45.45,2.73,66.67,0.0,0.0,0.45,7.27,8.73,2.27,0,0.0,0,0.0,0.0,0.0,0,0.0,0.01,0,0.0,2,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,50.0,0.91,0.45,0.0,24.55,0.45,0.0,40.0,85.23,20.91,78.26,1.3599999999999999,100.0,36.36,88.75,3.64,50.0,19.31,36.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.45,58.33,0.0,0.0,0.0,0.0,0.0,0.0,5.91,38.46,96.55,13.18,0,,0,,0,0.0,0.0,0.0,,,0.91,,2.73,0.91,0.0,0.0,0.0,0,0
