Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Noye,Sam Noye,-217713,North Star,North Star,https://cdn5.wyscout.com/photos/team/public/g13142_120x120.png,Queensland Premier League,"LCB, CB",LCB,70,CB,27,,0,,,0,,12,1158,0,0.30000000000000004,0,0.41000000000000003,15.31,59.9,Australia,['Australia'],,0,0,False,11.5,6.92,71.91,4.82,50.0,0.16,0.22,1.48,6.37,8.82,0.54,1,0.08,0,0.0,0.16,0.0,0,0.0,0.02,0,0.0,4,0.31,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,33.33,1.63,42.86,0.7000000000000001,0.31,0.0,27.75,0.39,0.31,44.69,84.87,19.97,72.76,1.94,92.0,37.38,91.89,7.31,48.94,23.5,43.47,0.03,0.08,0.0,0.0,0.0,0.0,0.08,4.43,49.12,0.31,0.0,0.47000000000000003,16.67,0.08,0.0,7.07,67.03,97.21,19.51,0,,0,,0,0.0,0.0,0.0,,,1.24,,4.82,0.0,0.0,0.0,0.0,0,0.0
O. Lopez,Orlando Lopez,-563668,Caboolture,Caboolture,https://cdn5.wyscout.com/photos/team/public/g33416_120x120.png,Queensland Premier League,"RW, RWF, CF",RW,29,RWF,22,CF,18,19.0,2006-08-28,0,,12,1156,7,3.15,3,2.95,12.38,47.8,Australia,['Australia'],unknown,0,0,False,2.96,2.49,53.13,0.54,0.0,0.0,0.0,0.16,1.63,2.42,0.23,0,0.0,0,0.0,6.7,0.54,6,0.47000000000000003,0.24,0,0.0,22,1.71,59.09,31.818,0.23,4.36,35.71,1.48,31.58,2.88,37.84,0.93,6.46,63.86,8.72,50.89,2.34,2.96,0.86,16.43,1.9500000000000002,0.16,24.13,64.52,6.07,48.72,5.76,85.14,17.21,74.66,2.65,44.12,19.97,32.52,0.23,1.71,0.0,0.08,0.08,0.0,0.78,2.65,44.12,3.89,50.0,0.31,50.0,1.01,1.48,4.67,66.67,64.36,7.86,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.54,1.79,0.16,0.0,1.71,1,100.0
N. Beagley,Nathan Beagley,-175955,Caboolture,Caboolture,https://cdn5.wyscout.com/photos/team/public/g33416_120x120.png,Queensland Premier League,"LB, LCB3",LB,51,LCB3,46,,0,26.0,1999-09-07,0,,12,1155,1,0.46,0,0.4,18.39,63.56,Australia,['Australia'],,0,0,False,8.88,7.71,68.69,3.9,72.0,0.31,0.46,0.47000000000000003,3.27,4.8100000000000005,1.71,3,0.23,0,0.0,0.9400000000000001,0.08,1,0.08,0.04,0,0.0,8,0.62,25.0,12.5,0.0,1.09,35.71,1.01,30.77,0.0,0.0,0.16,0.78,50.0,3.27,50.0,0.78,1.6400000000000001,0.0,29.22,0.9400000000000001,0.9400000000000001,43.79,79.18,19.4,65.86,7.17,96.74,36.62,86.38,6.23,42.5,22.05,39.59,0.03,0.31,0.08,0.0,0.0,0.0,0.0,6.16,48.1,1.87,25.0,0.31,25.0,0.23,0.31,9.74,69.6,88.82,12.55,0,,0,,0,0.0,0.0,0.0,,,1.56,,3.9,0.08,0.0,0.0,0.0,0,0.0
M. Holden,Michael Holden,-97290,Caboolture,Caboolture,https://cdn5.wyscout.com/photos/team/public/g33416_120x120.png,Queensland Premier League,"CF, LWF",CF,76,LWF,13,,0,29.0,1997-01-17,0,,12,1135,3,2.9,4,1.42,23.79,39.67,Australia,['Australia'],,0,0,False,5.07,5.39,73.53,4.68,25.42,0.08,0.12,0.0,1.03,1.52,0.79,1,0.08,0,0.0,3.49,0.24,3,0.24,0.23,0,0.0,29,2.3,44.83,10.345,0.32,1.35,35.29,0.79,30.0,0.56,42.86,0.32,4.84,39.34,11.58,32.19,2.46,1.51,0.32,10.55,1.51,1.03,17.37,72.15,4.52,54.39,4.76,88.33,14.99,78.31,1.11,35.71,18.3,20.68,0.11,1.03,0.0,0.0,0.16,50.0,0.63,1.82,73.91,1.82,56.52,0.4,20.0,0.79,0.4,2.85,69.44,77.61,5.31,0,,0,,0,0.0,0.0,0.0,,,0.08,,4.68,0.48,0.16,50.0,1.67,0,0.0
N. Piper,Nicholas Piper,-415935,Ipswich,Ipswich,https://cdn5.wyscout.com/photos/team/public/g-20963_120x120.png,Queensland Premier League,"RB, LCB",RB,82,LCB,15,,0,27.0,1998-07-22,0,,12,1129,1,1.3,4,0.62,14.99,51.06,Australia,['Australia'],unknown,0,0,False,7.8100000000000005,5.02,74.6,5.34,50.75,0.0,0.0,0.16,4.07,5.48,0.4,1,0.08,0,0.0,1.3599999999999999,0.08,1,0.08,0.1,0,0.0,17,1.3599999999999999,35.29,5.882,0.32,1.28,43.75,0.0,0.0,1.28,43.75,0.32,0.72,44.44,3.03,23.68,1.51,1.2,0.08,24.47,0.8,0.16,36.67,74.78,16.34,62.93,4.46,98.21,31.09,82.05,4.46,33.93,20.48,43.03,0.05,0.4,0.0,0.0,0.16,0.0,0.4,6.7,53.57,2.07,38.46,0.4,0.0,0.64,0.48,8.61,61.11,82.19,11.64,0,,0,,0,0.0,0.0,0.0,,,0.72,,5.34,0.0,0.0,0.0,0.0,0,0.0
O. Park,Oohyun Park,453923,North Star,North Star,https://cdn5.wyscout.com/photos/team/public/g13142_120x120.png,Queensland Premier League,"LDMF, LCMF",LDMF,51,LCMF,24,,0,25.0,2000-09-03,0,,12,1123,0,0.08,0,1.35,15.63,53.85,Australia,"['Australia', 'England']",,0,0,False,8.5,7.13,69.66,1.76,63.64,0.32,0.44,0.24,3.21,4.44,0.8,1,0.08,0,0.0,0.8,0.0,0,0.0,0.01,0,0.0,2,0.16,0.0,0.0,0.0,1.04,23.08,0.64,12.5,0.4,40.0,0.48,0.96,50.0,4.33,38.89,0.48,2.08,0.08,34.46,1.12,0.64,48.33,83.58,19.39,73.97,8.58,95.33,42.56,89.83,4.73,40.68,19.43,39.13,0.11,0.72,0.0,0.0,0.08,100.0,0.4,11.14,76.26,1.3599999999999999,47.06,0.8,50.0,0.8,0.16,9.78,82.79,88.2,12.9,0,,0,,0,0.0,0.0,0.0,,,0.24,,1.76,0.4,0.0,0.0,0.08,0,0.0
J. Meacock,Jordie Meacock,-366035,Caboolture,Caboolture,https://cdn5.wyscout.com/photos/team/public/g33416_120x120.png,Queensland Premier League,"LCMF, RCMF, DMF",LCMF,47,RCMF,19,DMF,13,,,0,,12,1113,0,0.48,3,0.12,15.44,57.07,Australia,['Australia'],,0,0,False,11.16,7.6,72.34,2.1,30.77,0.16,0.24,0.49,5.5,8.1,1.05,0,0.0,0,0.0,0.73,0.0,0,0.0,0.04,0,0.0,8,0.65,12.5,0.0,0.24,0.32,25.0,0.0,0.0,0.24,33.33,0.16,1.29,37.5,4.04,40.0,0.65,0.5700000000000001,0.0,25.8,0.24,0.32,44.15,77.66,16.5,60.78,7.52,92.47,39.7,81.26,4.2,48.08,18.84,35.41,0.01,0.24,0.16,0.0,0.08,100.0,0.24,7.68,55.79,1.21,40.0,0.49,66.67,0.4,0.0,7.28,62.22,87.5,14.23,0,,0,,0,0.0,0.0,0.0,,,0.49,,2.1,0.0,0.0,0.0,0.0,0,0.0
C. Nichols,Cooper Nichols,-247162,Ipswich,Ipswich,https://cdn5.wyscout.com/photos/team/public/g-20963_120x120.png,Queensland Premier League,"RCMF, RCMF3, LCMF",RCMF,40,RCMF3,24,LCMF,19,24.0,2002-02-12,0,,12,1107,2,0.9500000000000001,1,5.21,15.53,49.74,Australia,['Australia'],,0,0,False,8.78,5.61,73.91,2.85,34.29,0.41000000000000003,0.54,0.08,4.23,5.61,1.1400000000000001,1,0.08,0,0.0,0.73,0.16,2,0.16,0.08,0,0.0,14,1.1400000000000001,14.29,14.286,0.08,0.73,33.33,0.41000000000000003,40.0,0.33,25.0,0.0,0.73,44.44,4.55,39.29,1.71,0.89,0.0,21.63,1.22,0.98,31.22,75.78,11.3,66.19,7.15,90.91,25.93,81.19,4.55,51.79,20.55,35.68,0.42,2.93,0.08,0.0,0.0,0.0,0.33,6.26,68.83,2.6,46.88,0.41000000000000003,60.0,0.98,0.16,6.67,78.05,75.93,8.78,0,,0,,0,0.0,0.0,0.0,,,0.24,,2.85,1.79,0.08,100.0,5.37,0,0.0
A. Lee,Asher Lee,-816936,North Star,North Star,https://cdn5.wyscout.com/photos/team/public/g13142_120x120.png,Queensland Premier League,"LB, RB5, RB",LB,53,RB5,17,RB,16,20.0,2005-07-28,0,,12,1105,1,0.29,0,1.06,13.85,52.35,Australia,['Australia'],unknown,0,0,False,10.43,6.27,55.84,1.63,55.0,0.16,0.22,0.41000000000000003,6.76,9.33,0.24,1,0.08,0,0.0,2.2800000000000002,0.08,1,0.08,0.02,0,0.0,8,0.65,25.0,12.5,0.0,2.36,31.03,1.63,30.0,0.73,33.33,0.24,2.36,58.62,4.4,48.15,0.81,1.79,0.0,23.62,1.79,0.5700000000000001,35.76,70.84,16.29,61.0,4.72,96.55,25.9,82.7,7.74,41.05,21.94,39.75,0.09,1.1400000000000001,0.08,0.0,0.0,0.0,0.33,6.27,51.95,2.2,37.04,0.73,33.33,0.24,0.81,10.83,67.67,75.65,9.37,0,,0,,0,0.0,0.0,0.0,,,0.16,,1.63,0.0,0.0,0.0,0.0,0,0.0
W. Peck,William Peck,-331017,Broadbeach United,Broadbeach United,https://cdn5.wyscout.com/photos/team/public/g31515_120x120.png,Queensland Premier League,LCB,LCB,100,,0,,0,27.0,1999-01-12,0,,11,1089,1,0.23,0,0.0,12.07,61.64,England,['England'],unknown,0,0,False,7.85,4.79,74.14,4.05,65.31,0.17,0.21,0.99,4.13,5.17,0.41000000000000003,3,0.25,0,0.0,0.25,0.08,1,0.08,0.02,0,0.0,3,0.25,66.67,33.333,0.0,0.08,100.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,1.65,30.0,0.33,0.33,0.0,30.74,0.74,0.25,46.78,83.04,24.13,71.23,1.74,100.0,37.44,92.05,9.26,46.43,23.42,38.81,0.0,0.0,0.08,0.08,0.08,0.0,0.0,4.88,42.37,0.91,9.09,0.41000000000000003,0.0,0.08,0.08,9.42,60.53,95.77,17.6,0,,0,,0,0.0,0.0,0.0,,,1.32,,4.05,0.0,0.0,0.0,0.0,0,0.0
