Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Fries,Marlon   Fries,-200518,Bayreuth,Bayreuth,https://cdn5.wyscout.com/photos/team/public/g4574_120x120.png,Regionalliga Bayern,RB,RB,98,,0,,0,22.0,2004-06-29,0,,6,585,0,0.29,0,0.96,12.46,48.15,Germany,['Germany'],unknown,0,0,False,9.85,6.0,56.41,1.69,54.55,0.62,0.9,0.46,5.85,8.51,1.08,3,0.46,0,0.0,1.69,0.0,0,0.0,0.05,0,0.0,5,0.77,20.0,0.0,0.0,2.46,31.25,0.15,100.0,2.31,26.67,0.31,1.38,55.56,4.15,40.74,1.23,1.69,0.46,20.46,1.54,0.77,34.15,62.16,17.08,54.95,4.0,92.31,26.15,70.59,5.69,37.84,19.72,40.37,0.15,0.92,0.0,0.0,0.0,0.0,0.77,5.54,58.33,3.38,36.36,0.0,0.0,0.77,0.77,10.0,52.31,64.29,8.62,0,,0,,0,0.0,0.0,0.0,,,0.92,,1.69,0.0,0.0,0.0,0.0,0,0
S. Marx,Sebastian Marx,-375035,Eltersdorf,Eltersdorf,https://cdn5.wyscout.com/photos/team/public/g18971_120x120.png,Regionalliga Bayern,RCB,RCB,100,,0,,0,30.0,1996-06-19,0,2027-06-30,6,581,1,0.77,0,0.0,7.44,64.58,Germany,['Germany'],unknown,0,0,False,10.69,3.1,75.0,2.79,61.11,0.15,0.16,0.93,8.21,8.5,0.77,1,0.15,0,0.0,0.31,0.15,1,0.15,0.12,1,0.15,4,0.62,25.0,25.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.15,100.0,0.93,50.0,1.08,0.46,0.15,13.01,0.0,0.46,23.86,79.22,11.15,69.44,2.48,100.0,18.12,88.03,5.73,51.35,24.26,44.83,0.0,0.0,0.0,0.15,0.0,0.0,0.0,4.03,65.38,0.46,0.0,0.0,0.0,0.15,0.0,5.42,65.71,90.91,8.52,0,,0,,0,0.0,0.0,0.0,,,1.8599999999999999,,2.79,0.0,0.0,0.0,0.0,0,0
M. Göbhardt,Maximilian Göbhardt,-266695,Eltersdorf,Eltersdorf,https://cdn5.wyscout.com/photos/team/public/g18971_120x120.png,Regionalliga Bayern,"DMF, LDMF",DMF,79,LDMF,20,,0,33.0,1992-12-15,0,2027-06-30,6,581,0,0.19,0,0.0,9.76,50.79,Germany,['Germany'],left,0,0,False,7.28,4.03,53.85,3.7199999999999998,54.17,0.31,0.32,0.93,4.8,4.97,1.24,2,0.31,0,0.0,0.0,0.0,0,0.0,0.03,0,0.0,2,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,1.7000000000000002,36.36,0.93,0.46,0.0,17.66,0.46,0.46,30.21,82.56,10.84,72.86,5.58,100.0,27.88,84.44,2.32,60.0,16.82,30.57,0.0,0.0,0.15,0.0,0.0,0.0,0.0,4.18,48.15,0.77,100.0,0.0,0.0,0.46,0.0,2.63,70.59,82.69,8.06,0,,0,,0,0.0,0.0,0.0,,,0.93,,3.7199999999999998,0.0,0.0,0.0,0.0,0,0
J. Mottl,Jan Mottl,-276825,Schweinfurt,Schweinfurt,https://cdn5.wyscout.com/photos/team/public/g1030_120x120.png,Regionalliga Bayern,GK,GK,100,,0,,0,21.0,2005-04-18,0,2027-06-30,6,577,0,0.0,0,0.0,0.31,100.0,Germany,['Germany'],unknown,0,0,False,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.86,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,15.75,0.31,0.16,33.22,77.0,17.0,61.47,0.0,0.0,19.34,95.97,13.88,50.56,31.0,45.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43,22.73,0.78,20.0,0.0,0.0,0.16,0.0,9.51,54.1,94.25,13.57,11,1.72,39,6.08,1,71.79,9.55,1.49,-1.45,-0.226,0.0,2.34,0.0,,,,0.0,0,0
D. Martin,Daniel  Martin,-858266,Eichstätt,Eichstätt,https://cdn5.wyscout.com/photos/team/public/g22158_120x120.png,Regionalliga Bayern,GK,GK,100,,0,,0,28.0,1997-11-19,0,,6,575,0,0.0,0,0.0,0.16,100.0,Germany,['Germany'],unknown,0,0,False,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.38,0.0,0,0.0,0,0.0,0.16,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.16,100.0,0.0,0.0,0.0,13.15,0.16,0.0,25.2,79.5,15.34,67.35,0.0,0.0,14.4,97.83,10.8,55.07,37.74,55.52,0.0,0.0,0.16,0.0,0.0,0.0,0.0,2.9699999999999998,63.16,0.47000000000000003,33.33,0.0,0.0,0.16,0.0,9.23,67.8,100.0,9.08,9,1.4100000000000001,21,3.29,3,57.14,7.76,1.21,-1.24,-0.194,0.0,1.88,0.0,,,,0.0,0,0
B. Bösl,Bastian Bösl,-293064,Eichstätt,Eichstätt,https://cdn5.wyscout.com/photos/team/public/g22158_120x120.png,Regionalliga Bayern,RCB,RCB,100,,0,,0,28.0,1998-02-11,0,2027-06-30,6,575,0,0.0,0,0.41000000000000003,11.11,61.97,Germany,['Germany'],unknown,0,0,False,10.33,4.23,62.96,5.32,61.76,0.47000000000000003,0.5700000000000001,0.31,7.2,8.73,0.47000000000000003,0,0.0,0,0.0,0.47000000000000003,0.0,0,0.0,0.0,0,0.0,1,0.16,0.0,0.0,0.0,0.31,100.0,0.0,0.0,0.31,100.0,0.0,0.16,100.0,0.78,80.0,0.31,0.63,0.31,30.68,0.47000000000000003,0.63,44.14,76.95,20.82,59.4,1.88,91.67,31.15,89.45,12.68,45.68,28.7,48.23,0.06,0.31,0.0,0.0,0.0,0.0,0.47000000000000003,9.86,42.86,2.19,50.0,0.16,0.0,0.9400000000000001,0.31,10.33,71.21,95.0,18.78,0,,0,,0,0.0,0.0,0.0,,,1.1,,5.32,0.31,0.0,0.0,0.0,0,0
L. Schraufstetter,Lucas Schraufstetter,489611,Eichstätt,Eichstätt,https://cdn5.wyscout.com/photos/team/public/g22158_120x120.png,Regionalliga Bayern,"RCMF, RDMF, LCMF",RCMF,66,RDMF,16,LCMF,16,31.0,1995-01-02,0,2028-06-30,6,575,1,2.2,0,0.14,10.64,48.53,Germany,['Germany'],right,187,78,False,4.85,4.7,40.0,2.5,62.5,0.0,0.0,0.16,2.9699999999999998,3.61,2.03,0,0.0,0,0.0,0.9400000000000001,0.16,1,0.16,0.34,0,0.0,9,1.4100000000000001,44.44,11.111,0.0,0.16,0.0,0.0,0.0,0.16,0.0,0.0,0.47000000000000003,66.67,2.8200000000000003,50.0,1.1,0.16,0.0,15.18,0.16,0.9400000000000001,25.83,73.94,10.49,49.25,3.6,95.65,22.7,77.24,2.9699999999999998,52.63,20.0,40.07,0.02,0.63,0.0,0.0,0.0,0.0,0.16,4.38,42.86,1.1,42.86,0.0,0.0,0.31,0.0,4.23,74.07,93.33,7.04,0,,0,,0,0.0,0.0,0.0,,,0.63,,2.5,0.16,0.0,0.0,0.0,1,0
D. Latifovic,Denis Latifovic,-463713,Bayreuth,Bayreuth,https://cdn5.wyscout.com/photos/team/public/g4574_120x120.png,Regionalliga Bayern,"LCMF, LDMF",LCMF,74,LDMF,17,,0,28.0,1998-07-18,0,2027-06-30,6,572,0,0.30000000000000004,1,0.17,10.86,39.13,Germany,['Germany'],right,177,0,False,7.08,4.5600000000000005,51.72,2.83,33.33,0.0,0.0,0.31,4.72,6.87,1.42,1,0.16,0,0.0,0.63,0.0,0,0.0,0.05,0,0.0,5,0.79,0.0,0.0,0.16,0.31,50.0,0.31,50.0,0.0,0.0,0.0,0.47000000000000003,33.33,2.52,37.5,0.63,0.31,0.0,25.33,0.16,0.63,36.98,86.38,12.59,78.75,3.7800000000000002,100.0,32.73,89.42,3.93,64.0,20.6,45.16,0.03,0.47000000000000003,0.0,0.0,0.47000000000000003,66.67,0.31,5.35,79.41,1.26,50.0,0.47000000000000003,66.67,0.79,0.16,8.02,80.39,91.35,16.36,0,,0,,0,0.0,0.0,0.0,,,0.79,,2.83,0.16,0.16,0.0,0.0,0,0
J. Grimm,Jonathan  Grimm,-722432,Eichstätt,Eichstätt,https://cdn5.wyscout.com/photos/team/public/g22158_120x120.png,Regionalliga Bayern,"LCMF, LDMF, RCMF",LCMF,67,LDMF,17,RCMF,15,26.0,2000-03-24,0,,6,568,1,0.49,0,0.04,14.89,56.38,Germany,['Germany'],unknown,0,0,False,9.03,6.5,58.54,2.54,62.5,0.63,0.77,0.32,4.6,5.58,1.11,2,0.32,0,0.0,0.79,0.16,1,0.16,0.08,0,0.0,4,0.63,50.0,25.0,0.0,0.16,100.0,0.0,0.0,0.16,100.0,0.0,0.48,66.67,4.75,50.0,0.63,0.79,0.16,16.48,0.48,2.22,31.21,82.74,9.51,66.67,4.91,93.55,27.89,86.93,3.33,47.62,17.61,34.27,0.01,0.16,0.0,0.0,0.0,0.0,0.16,3.96,68.0,0.48,66.67,0.16,0.0,0.48,0.16,4.75,60.0,90.41,11.57,0,,0,,0,0.0,0.0,0.0,,,0.48,,2.54,0.16,0.16,0.0,0.0,0,0
P. Ort,Patrick Ort,468113,Eltersdorf,Eltersdorf,https://cdn5.wyscout.com/photos/team/public/g18971_120x120.png,Regionalliga Bayern,"LCB, LB, RB",LCB,34,LB,34,RB,31,25.0,2000-12-19,0,,6,562,1,0.19,0,1.51,8.01,80.0,Germany,['Germany'],right,182,73,False,9.29,3.36,85.71,1.92,83.33,0.0,0.0,0.32,6.41,6.59,0.16,0,0.0,0,0.0,0.64,0.16,1,0.16,0.03,0,0.0,1,0.16,100.0,100.0,0.0,0.96,33.33,0.48,66.67,0.48,0.0,0.16,0.16,100.0,1.92,58.33,0.16,0.48,0.32,19.54,0.64,1.6,31.23,71.79,17.3,61.11,3.2,95.0,24.02,79.33,6.41,50.0,23.34,43.68,0.24,1.28,0.0,0.0,0.0,0.0,0.0,5.44,50.0,1.6,40.0,0.0,0.0,0.32,0.32,7.05,65.91,82.35,8.17,0,,0,,0,0.0,0.0,0.0,,,2.08,,1.92,0.96,0.0,0.0,3.2,0,0
