Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Kick,Justin Kick,-858647,Schöningen,Schöningen,https://cdn5.wyscout.com/photos/team/public/g-24191_120x120.png,Regionalliga Nord,GK,GK,100,,0,,0,31.0,1995-03-31,0,,6,592,0,0.0,0,0.0,0.61,100.0,Germany,['Germany'],unknown,0,0,False,0.76,0.15,100.0,0.15,100.0,0.0,0.0,0.0,0.61,0.8300000000000001,0.0,0,0.0,0,0.0,0.15,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.30000000000000004,100.0,0.0,0.0,0.0,17.64,0.30000000000000004,0.30000000000000004,32.99,82.49,14.9,63.27,0.30000000000000004,100.0,21.74,98.6,11.25,51.35,31.0,48.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.34,31.82,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,6.39,69.05,98.08,15.81,6,0.91,23,3.5,2,73.91,6.93,1.05,0.93,0.14100000000000001,0.0,2.74,0.15,,,,0.0,0,0
R. Kölle,Robin Kölle,-59492,Schöningen,Schöningen,https://cdn5.wyscout.com/photos/team/public/g-24191_120x120.png,Regionalliga Nord,"LCB3, LWB",LCB3,50,LWB,32,,0,25.0,2001-02-17,100000,2027-06-30,6,587,1,0.7000000000000001,0,0.13,14.26,56.99,Germany,['Germany'],right,174,68,False,6.75,5.83,57.89,2.45,56.25,0.31,0.41000000000000003,0.15,3.07,4.14,0.92,1,0.15,0,0.0,1.8399999999999999,0.15,1,0.15,0.11,0,0.0,7,1.07,57.14,14.286,0.0,1.23,25.0,0.77,0.0,0.46,66.67,0.31,1.69,54.55,5.06,60.61,1.38,1.8399999999999999,0.77,25.76,0.92,2.15,36.8,77.5,13.34,62.07,6.59,86.05,32.5,83.49,3.07,35.0,16.47,46.51,0.02,0.15,0.0,0.15,0.0,0.0,0.15,3.83,60.0,1.53,30.0,0.0,0.0,0.61,0.31,5.67,54.05,85.53,11.65,0,,0,,0,0.0,0.0,0.0,,,1.69,,2.45,0.46,0.0,0.0,0.61,0,0
A. Sánchez,Alejo Sánchez,-736124,Atlas Delmenhorst,Atlas Delmenhorst,https://cdn5.wyscout.com/photos/team/public/g39912_120x120.png,Regionalliga Nord,RCB3,RCB3,91,,0,,0,27.0,1998-10-23,0,,6,584,0,0.23,0,0.0,16.49,61.68,Argentina,"['Argentina', 'Spain']",right,182,0,False,10.94,6.16,55.0,5.86,71.05,1.23,1.57,0.31,6.32,8.04,1.85,3,0.46,0,0.0,0.31,0.0,0,0.0,0.03,0,0.0,1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,66.67,2.31,53.33,1.23,0.31,0.62,20.96,0.31,1.23,33.75,76.71,16.18,62.86,4.01,88.46,26.66,85.55,7.09,43.48,24.36,45.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.93,50.0,1.08,0.0,0.0,0.0,0.0,0.0,8.63,57.14,90.0,10.79,0,,0,,0,0.0,0.0,0.0,,,2.77,,5.86,0.15,0.0,0.0,0.0,0,0
D. Schobert,Damian Schobert,-132093,Atlas Delmenhorst,Atlas Delmenhorst,https://cdn5.wyscout.com/photos/team/public/g39912_120x120.png,Regionalliga Nord,GK,GK,100,,0,,0,27.0,1999-06-04,0,2027-06-30,6,584,0,0.0,0,0.0,0.92,66.67,Germany,['Germany'],,0,0,False,1.7000000000000002,0.15,0.0,0.31,100.0,0.0,0.0,0.0,1.7000000000000002,2.16,0.0,2,0.31,0,0.0,0.15,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.46,66.67,0.0,0.0,0.0,21.73,0.77,0.46,45.77,78.45,27.43,66.29,0.15,100.0,26.04,97.04,19.73,53.91,35.55,50.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.48,49.09,1.3900000000000001,33.33,0.15,0.0,0.31,0.0,14.18,68.48,97.27,16.95,9,1.3900000000000001,24,3.7,2,62.5,6.73,1.04,-2.27,-0.35000000000000003,0.0,2.77,0.31,,,,0.0,0,0
M. Onken,Moritz Ben Onken,-136165,Jeddeloh,Jeddeloh,https://cdn5.wyscout.com/photos/team/public/g21874_120x120.png,Regionalliga Nord,GK,GK,100,,0,,0,23.0,2003-08-01,0,2027-06-30,6,580,0,0.0,0,0.0,0.16,0.0,Germany,['Germany'],right,192,82,False,0.62,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.85,0.16,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.12,0.47000000000000003,0.0,37.4,82.99,24.21,76.28,0.0,0.0,24.83,97.5,12.41,55.0,31.57,47.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41,36.36,0.16,0.0,0.0,0.0,0.0,0.0,9.16,77.97,96.3,12.57,13,2.02,27,4.19,1,51.85,8.54,1.33,-4.46,-0.6920000000000001,0.0,1.09,0.0,,,,0.0,0,0
B. Shubin,Bogdan Shubin,-117234,Kickers Emden,Kickers Emden,https://cdn5.wyscout.com/photos/team/public/1125_120x120.png,Regionalliga Nord,"RCMF, RDMF, DMF",RCMF,43,RDMF,19,DMF,14,23.0,2003-02-28,100000,2028-06-30,6,580,1,0.19,3,0.29,10.24,48.48,Ukraine,['Ukraine'],right,173,62,False,5.74,5.28,50.0,1.4,55.56,0.0,0.0,0.47000000000000003,3.1,4.35,1.55,3,0.47000000000000003,0,0.0,0.78,0.16,1,0.16,0.03,0,0.0,6,0.93,16.67,16.667,0.47000000000000003,0.47000000000000003,0.0,0.31,0.0,0.16,0.0,0.0,0.62,100.0,2.95,42.11,0.78,0.62,0.47000000000000003,24.83,0.0,0.47000000000000003,41.59,85.07,13.34,70.93,8.84,94.74,38.17,87.4,2.95,68.42,17.27,37.2,0.05,0.62,0.16,0.0,0.0,0.0,0.16,4.66,86.67,1.55,70.0,0.0,0.0,1.24,0.0,6.98,73.33,92.47,14.43,0,,0,,0,0.0,0.0,0.0,,,0.62,,1.4,0.78,0.31,0.0,1.09,0,0
L. Petzold,Luca Petzold,-59461,Kickers Emden,Kickers Emden,https://cdn5.wyscout.com/photos/team/public/1125_120x120.png,Regionalliga Nord,GK,GK,100,,0,,0,24.0,2001-12-10,50000,2027-06-30,6,580,0,0.0,0,0.0,0.16,0.0,Germany,['Germany'],both,188,70,False,0.47000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47000000000000003,0.65,0.0,1,0.16,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.0,0.0,0.0,0.0,26.38,0.31,0.0,39.88,86.38,18.62,74.17,0.0,0.0,26.84,99.42,13.03,59.52,30.94,48.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.03,50.0,0.78,0.0,0.0,0.0,0.0,0.0,8.84,78.95,96.85,19.71,19,2.95,39,6.05,0,51.28,13.46,2.09,-5.54,-0.86,0.0,0.62,0.0,,,,0.0,0,0
F. Ebeling,Fyn Luca Ebeling,-858688,Bremer SV,Bremer SV,https://cdn5.wyscout.com/photos/team/public/g11073_120x120.png,Regionalliga Nord,"LWB, LCB3, LB",LWB,59,LCB3,16,LB,16,22.0,2004-06-02,0,,6,579,0,0.23,0,0.84,15.23,64.29,Germany,['Germany'],unknown,0,0,False,8.24,5.44,62.86,4.35,78.57,0.16,0.16,0.47000000000000003,4.66,4.92,0.62,0,0.0,0,0.0,0.93,0.0,0,0.0,0.04,0,0.0,1,0.16,0.0,0.0,0.0,0.93,33.33,0.93,33.33,0.0,0.0,0.0,0.93,66.67,3.73,58.33,0.78,0.31,0.47000000000000003,14.92,1.55,2.02,23.78,73.86,9.64,59.68,5.28,97.06,20.36,78.63,2.64,52.94,18.69,37.39,0.13,1.09,0.0,0.0,0.0,0.0,0.16,2.8,61.11,1.24,37.5,0.0,0.0,0.47000000000000003,0.0,5.91,52.63,80.0,4.66,0,,0,,0,0.0,0.0,0.0,,,2.33,,4.35,0.0,0.0,0.0,1.24,0,0
A. Nwachukwu,Anthony Nwachukwu,-858682,Bremer SV,Bremer SV,https://cdn5.wyscout.com/photos/team/public/g11073_120x120.png,Regionalliga Nord,"CB, LCB",CB,75,LCB,24,,0,23.0,2003-08-28,0,,6,579,0,0.81,0,0.1,9.17,52.54,Germany,['Germany'],unknown,0,0,False,8.86,1.87,41.67,4.35,64.29,0.0,0.0,0.16,8.08,8.52,1.09,1,0.16,0,0.0,0.31,0.0,0,0.0,0.13,0,0.0,6,0.93,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,1.09,0.0,0.0,12.44,0.16,0.31,24.72,75.47,10.26,56.06,4.2,96.3,19.59,84.13,5.13,42.42,22.39,38.25,0.02,0.31,0.0,0.0,0.0,0.0,0.0,3.58,43.48,0.16,0.0,0.0,0.0,0.0,0.0,4.66,50.0,92.45,8.24,0,,0,,0,0.0,0.0,0.0,,,2.95,,4.35,0.0,0.0,0.0,0.16,0,0
A. Ikari,Asuma Ikari,-567328,Hannover 96 II,Hannover 96 II,https://cdn5.wyscout.com/photos/team/public/g5860_120x120.png,Regionalliga Nord,"CB, RCB",CB,75,RCB,22,,0,21.0,2005-07-27,0,2027-06-30,6,576,2,0.63,0,0.0,11.25,63.89,Germany,['Germany'],right,188,0,False,9.53,3.2800000000000002,52.38,6.09,74.36,0.0,0.0,0.47000000000000003,7.8100000000000005,11.28,1.56,0,0.0,0,0.0,0.31,0.31,2,0.31,0.1,2,0.31,4,0.63,50.0,50.0,0.0,0.16,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.78,60.0,0.9400000000000001,0.31,0.0,53.59,0.16,0.78,72.19,89.61,29.06,80.65,3.2800000000000002,90.48,64.69,94.69,7.34,46.81,20.03,41.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,58.33,0.9400000000000001,0.0,0.31,50.0,0.0,0.0,7.8100000000000005,72.0,96.53,31.56,0,,0,,0,0.0,0.0,0.0,,,1.88,,6.09,0.0,0.0,0.0,0.0,0,0
