Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
P. Twardzik,Patrik Twardzik,217599,Gütersloh,Gütersloh,https://cdn5.wyscout.com/photos/team/public/g5839_120x120.png,Regionalliga West,CF,CF,100,,0,,0,33,1993-02-10,75000,2027-06-30,6,575,7,6.62,1,0.28,14.71,42.55,Czech Republic,['Czech Republic'],,185,73,False,2.5,2.66,64.71,6.1,33.33,0.0,0.0,0.0,0.78,1.04,0.78,1,0.16,0,0.0,1.88,1.1,5,0.78,1.04,0,0.0,25,3.91,36.0,28.0,0.16,0.9400000000000001,50.0,0.0,0.0,0.9400000000000001,50.0,0.0,0.47000000000000003,0.0,4.38,50.0,2.9699999999999998,0.31,0.0,12.05,2.9699999999999998,1.72,13.15,67.86,3.44,54.55,3.6,82.61,10.8,72.46,1.4100000000000001,44.44,17.86,37.93,0.04,0.63,0.0,0.0,0.0,0.0,0.63,2.03,53.85,1.1,42.86,0.0,0.0,0.63,0.31,2.35,66.67,60.87,3.6,0,,0,,0,0.0,0.0,0.0,,,0.16,,6.1,0.0,0.0,0.0,0.0,3,66.667
J. Peters,Jarno Peters,234609,Gütersloh,Gütersloh,https://cdn5.wyscout.com/photos/team/public/g5839_120x120.png,Regionalliga West,GK,GK,100,,0,,0,33,1993-06-25,25000,2027-06-30,6,575,0,0.0,0,0.0,0.47000000000000003,100.0,Germany,['Germany'],right,191,87,False,0.16,0.16,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.16,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,18.47,0.31,0.31,30.21,86.53,19.72,80.16,0.63,75.0,19.88,98.43,10.33,63.64,29.7,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,25.0,0.0,0.0,0.0,0.0,0.0,0.0,7.51,72.92,98.31,9.23,3,0.47000000000000003,11,1.72,3,72.73,3.35,0.52,0.35000000000000003,0.055,0.0,1.25,0.0,,,,0.0,0,0.0
J. Lukas,Justin Lukas,-363340,Gütersloh,Gütersloh,https://cdn5.wyscout.com/photos/team/public/g5839_120x120.png,Regionalliga West,LB,LB,100,,0,,0,20,2006-01-06,0,2027-06-30,6,561,0,0.9400000000000001,0,1.04,13.8,54.65,Germany,['Germany'],left,0,0,False,10.43,4.65,65.52,1.9300000000000002,66.67,0.48,0.65,0.16,6.9,9.28,0.48,0,0.0,0,0.0,2.5700000000000003,0.0,0,0.0,0.15,0,0.0,8,1.28,12.5,0.0,0.0,2.89,27.78,2.89,27.78,0.0,0.0,0.48,2.73,58.82,6.1,42.11,1.12,3.37,1.28,26.79,2.09,0.96,39.14,69.67,16.36,63.73,7.7,85.42,30.16,78.72,6.1,44.74,21.02,40.11,0.17,0.8,0.16,0.0,0.0,0.0,0.48,6.1,57.89,4.33,25.93,0.16,0.0,0.48,0.96,9.47,61.02,70.0,9.63,0,,0,,0,0.0,0.0,0.0,,,1.28,,1.9300000000000002,0.16,0.0,0.0,0.16,0,0.0
D. Winke,David Winke,-132002,Gütersloh,Gütersloh,https://cdn5.wyscout.com/photos/team/public/g5839_120x120.png,Regionalliga West,LCB,LCB,100,,0,,0,26,2000-02-02,100000,2027-06-30,6,549,1,0.77,0,0.85,8.36,47.06,Germany,['Germany'],left,187,79,False,4.92,3.11,47.37,2.13,38.46,0.33,0.44,0.0,3.11,4.22,0.98,1,0.16,0,0.0,1.15,0.16,1,0.16,0.13,1,0.16,5,0.8200000000000001,40.0,20.0,0.0,0.16,100.0,0.0,0.0,0.16,100.0,0.0,0.8200000000000001,80.0,1.97,50.0,1.48,0.33,0.0,42.3,0.98,0.8200000000000001,58.69,89.39,18.36,71.43,4.75,96.55,53.11,95.06,5.41,33.33,19.84,42.85,0.14,0.33,0.0,0.0,0.0,0.0,0.33,6.5600000000000005,55.0,0.66,0.0,0.33,0.0,0.16,0.16,5.9,83.33,97.62,27.54,0,,0,,0,0.0,0.0,0.0,,,3.61,,2.13,0.0,0.0,0.0,0.16,0,0.0
M. Zentler,Marius Zentler,-597108,Wiedenbrück,Wiedenbrück,https://cdn5.wyscout.com/photos/team/public/3815_120x120.png,Regionalliga West,"LCMF, LDMF, DMF",LCMF,51,LDMF,24,DMF,16,22,2004-08-11,0,2027-06-30,5,487,0,0.04,1,1.34,7.58,53.66,Germany,['Germany'],left,187,0,False,4.99,3.14,58.82,1.29,57.14,0.0,0.0,0.18,3.14,4.02,0.37,1,0.18,0,0.0,1.29,0.0,0,0.0,0.01,0,0.0,3,0.55,33.33,0.0,0.18,1.11,83.33,0.55,100.0,0.55,66.67,0.0,0.18,100.0,2.22,50.0,0.55,0.92,0.18,19.77,0.37,0.74,32.71,70.06,13.31,52.78,5.73,83.87,26.8,75.86,4.8,34.62,20.33,43.27,0.25,2.03,0.0,0.18,0.0,0.0,0.55,4.99,51.85,1.85,70.0,0.0,0.0,0.0,0.92,6.47,51.43,79.63,9.98,0,,0,,0,0.0,0.0,0.0,,,1.29,,1.29,1.29,0.0,0.0,2.22,0,0.0
J. Bochmann,Julius Bochmann,-202092,Wiedenbrück,Wiedenbrück,https://cdn5.wyscout.com/photos/team/public/3815_120x120.png,Regionalliga West,"LCB, LB, LCB3",LCB,41,LB,32,LCB3,22,21,2005-06-19,150000,2028-06-30,5,487,1,0.92,0,0.07,9.79,67.92,Germany,['Germany'],,0,0,True,8.87,5.73,61.29,2.77,86.67,0.74,0.9400000000000001,0.37,4.62,5.91,0.0,1,0.18,0,0.0,0.37,0.18,1,0.18,0.17,0,0.0,4,0.74,25.0,25.0,0.0,0.74,25.0,0.37,0.0,0.37,50.0,0.0,0.18,0.0,0.92,60.0,1.6600000000000001,0.92,0.37,26.61,0.92,0.92,37.52,82.27,18.3,75.76,3.7,100.0,33.63,89.56,3.14,17.65,19.68,39.74,0.01,0.18,0.18,0.0,0.0,0.0,0.18,4.25,56.52,1.48,12.5,0.0,0.0,0.55,0.18,6.47,60.0,88.52,11.27,0,,0,,0,0.0,0.0,0.0,,,1.29,,2.77,0.0,0.0,0.0,0.0,0,0.0
M. Hölscher,Marcel Hölscher,66588,Wiedenbrück,Wiedenbrück,https://cdn5.wyscout.com/photos/team/public/3815_120x120.png,Regionalliga West,GK,GK,100,,0,,0,35,1991-06-12,50000,2029-06-30,5,487,0,0.0,0,0.0,0.55,100.0,Germany,['Germany'],right,182,79,False,0.37,0.0,0.0,0.18,100.0,0.0,0.0,0.0,0.37,0.47000000000000003,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.15,0.0,0.55,27.91,81.46,15.71,71.76,0.0,0.0,17.74,95.83,9.79,58.49,34.69,50.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.51,63.16,0.55,33.33,0.0,0.0,0.18,0.0,8.5,65.22,96.83,11.64,12,2.22,28,5.17,0,57.14,11.15,2.06,-0.85,-0.157,0.0,1.6600000000000001,0.18,,,,0.0,0,0.0
D. Tuma,Davud Tuma Gügör,279779,Wiedenbrück,Wiedenbrück,https://cdn5.wyscout.com/photos/team/public/3815_120x120.png,Regionalliga West,"RW, AMF",RW,38,AMF,26,,0,30,1996-05-16,50000,2027-06-30,5,487,4,2.01,0,0.51,15.71,50.59,Germany,['Germany'],left,179,70,False,4.8,4.25,52.17,2.77,46.67,0.18,0.24,0.18,2.4,3.07,1.11,0,0.0,0,0.0,3.14,0.74,3,0.55,0.37,1,0.18,13,2.4,38.46,30.769,0.0,1.11,50.0,0.37,50.0,0.74,50.0,0.37,2.59,64.29,7.21,58.97,2.4,0.74,0.0,18.67,0.92,2.59,22.36,66.94,8.32,64.44,4.44,91.67,19.03,69.9,2.22,50.0,18.53,41.52,0.09,0.74,0.0,0.18,0.0,0.0,0.37,4.25,56.52,2.22,50.0,0.0,0.0,0.74,0.55,3.88,76.19,77.42,5.73,0,,0,,0,0.0,0.0,0.0,,,0.18,,2.77,0.92,0.55,0.0,0.18,1,100.0
N. Hoffmann,Niklas Hoffmann,357837,Köln II,Köln II,https://cdn5.wyscout.com/photos/team/public/g5473_120x120.png,Regionalliga West,LCB,LCB,100,,0,,0,29,1997-04-09,250000,2028-06-30,5,486,0,0.0,0,0.0,11.48,56.45,Germany,['Germany'],right,194,74,False,7.22,3.33,55.56,3.15,64.71,0.0,0.0,0.0,5.37,6.69,1.11,1,0.19,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.37,0.0,0.19,0.0,0.0,2.7800000000000002,26.67,1.48,0.37,0.0,42.41,0.0,0.93,59.81,90.71,23.15,82.4,2.04,90.91,55.56,94.67,3.89,42.86,20.45,31.17,0.0,0.0,0.0,0.0,0.0,0.0,0.19,6.67,69.44,0.74,0.0,0.0,0.0,0.37,0.0,6.11,69.7,97.39,28.33,0,,0,,0,0.0,0.0,0.0,,,0.19,,3.15,0.0,0.0,0.0,0.0,0,0.0
N. Sangl,Nick Sangl,-858776,Hilden,Hilden,https://cdn5.wyscout.com/photos/team/public/g24760_120x120.png,Regionalliga West,RB,RB,99,,0,,0,26,2000-04-03,0,,5,486,0,0.11,1,1.03,10.19,54.55,Germany,['Germany'],right,185,0,False,10.93,5.74,64.52,1.11,50.0,0.0,0.0,0.74,7.22,7.55,0.93,2,0.37,0,0.0,1.11,0.0,0,0.0,0.02,0,0.0,3,0.56,0.0,0.0,0.19,0.74,75.0,0.0,0.0,0.74,75.0,0.19,0.74,75.0,2.59,42.86,1.11,0.74,0.19,21.11,0.74,0.19,31.48,70.59,16.3,57.95,4.44,87.5,25.74,74.82,5.0,48.15,19.45,43.52,0.19,1.3,0.0,0.19,0.0,0.0,0.74,4.44,54.17,1.85,50.0,0.0,0.0,0.37,0.56,9.26,50.0,78.79,6.11,0,,0,,0,0.0,0.0,0.0,,,0.19,,1.11,0.37,0.0,0.0,2.22,0,0.0
