Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
O. Zavora,Oleksiy Zavora,-867631,Skalica U19,Skalica U19,https://cdn5.wyscout.com/photos/team/public/g-26689_120x120.png,U19 League,"RB, LB",RB,77,LB,22,,0,17.0,2009-03-31,0,,3,282,0,0.01,0,0.0,28.09,54.55,Ukraine,['Ukraine'],unknown,0,0,False,15.0,15.96,60.0,1.9100000000000001,66.67,0.96,1.07,0.64,4.47,5.0,2.23,3,0.96,0,0.0,1.28,0.0,0,0.0,0.0,0,0.0,1,0.32,100.0,0.0,0.0,0.96,33.33,0.32,100.0,0.64,0.0,0.0,1.6,40.0,7.34,47.83,0.0,3.51,0.32,12.77,1.28,2.55,22.02,68.12,9.57,56.67,2.55,100.0,18.51,75.86,2.55,25.0,17.89,30.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.51,72.73,0.96,33.33,0.96,0.0,0.0,0.32,5.11,50.0,72.73,7.02,0,,0,,0,0.0,0.0,0.0,,,0.96,,1.9100000000000001,0.0,0.0,0.0,0.0,0,0
A. Mikula,Adrian Mikula,-867626,Skalica U19,Skalica U19,https://cdn5.wyscout.com/photos/team/public/g-26689_120x120.png,U19 League,RCB,RCB,100,,0,,0,18.0,2008-01-01,0,,3,282,0,0.0,0,0.13,12.45,61.54,Slovakia,['Slovakia'],unknown,0,0,False,9.26,4.47,71.43,5.11,68.75,0.64,0.71,0.64,5.43,6.07,0.32,1,0.32,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.64,0.0,0.0,0.32,0.0,21.7,0.0,0.0,35.43,70.27,17.23,51.85,2.87,88.89,24.89,80.77,10.53,45.45,23.66,36.69,0.04,0.32,0.0,0.0,0.0,0.0,0.0,7.02,40.91,0.64,50.0,2.23,28.57,0.32,0.0,6.7,66.67,87.8,13.09,0,,0,,0,0.0,0.0,0.0,,,2.23,,5.11,0.0,0.0,0.0,0.0,0,0
M. Hornáček,Michal Hornáček,-768086,Skalica U19,Skalica U19,https://cdn5.wyscout.com/photos/team/public/g-26689_120x120.png,U19 League,GK,GK,100,,0,,0,18.0,2008-02-21,0,,3,282,0,0.0,0,0.0,3.19,90.0,Slovakia,['Slovakia'],,0,0,False,4.15,1.28,75.0,1.6,100.0,0.0,0.0,0.0,3.19,3.5700000000000003,0.32,1,0.32,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.36,0.0,0.32,30.64,84.38,16.28,70.59,0.32,100.0,19.79,96.77,10.85,61.76,29.12,44.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.89,61.29,100.0,11.17,5,1.6,27,8.62,1,81.48,6.42,2.05,1.42,0.453,0.0,2.87,1.6,,,,0.0,0,0
P. Palša,Philip Palša,-868906,Prešov U19,Prešov U19,https://cdn5.wyscout.com/photos/team/public/g26231_120x120.png,U19 League,LCB,LCB,100,,0,,0,18.0,2008-01-01,0,,3,280,0,0.0,1,0.2,11.89,59.46,Slovakia,['Slovakia'],unknown,0,0,False,9.64,6.75,71.43,2.5700000000000003,50.0,0.0,0.0,0.64,4.82,6.08,0.32,1,0.32,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.32,0.64,0.0,0.32,0.0,0.32,0.0,0.0,0.0,0.0,1.9300000000000002,16.67,0.0,0.96,0.0,30.21,0.64,0.64,42.11,72.52,19.61,45.9,2.5700000000000003,100.0,26.68,89.16,14.79,45.65,30.22,46.12,0.07,0.32,0.0,0.0,0.0,0.0,0.32,11.25,40.0,1.6099999999999999,20.0,3.54,18.18,0.0,0.0,11.89,70.27,96.55,18.64,0,,0,,0,0.0,0.0,0.0,,,2.5700000000000003,,2.5700000000000003,0.32,0.0,0.0,0.0,0,0
E. Timko,Erik Timko,-741130,Prešov U19,Prešov U19,https://cdn5.wyscout.com/photos/team/public/g26231_120x120.png,U19 League,GK,GK,100,,0,,0,18.0,2008-08-21,0,,3,280,0,0.0,1,0.0,1.29,100.0,Slovakia,['Slovakia'],,0,0,False,2.5700000000000003,0.0,0.0,0.96,100.0,0.0,0.0,0.0,2.5700000000000003,3.24,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,100.0,0.0,0.0,0.0,19.93,0.32,0.96,36.96,77.39,18.0,62.5,0.0,0.0,23.14,93.06,13.82,51.16,35.88,52.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.07,45.45,0.32,0.0,1.29,0.0,0.0,0.0,9.0,60.71,93.1,18.64,3,0.96,15,4.82,2,80.0,3.03,0.97,0.03,0.01,0.0,3.54,0.96,,,,0.0,0,0
D. Čumitta,Damián Čumitta,-740973,Prešov U19,Prešov U19,https://cdn5.wyscout.com/photos/team/public/g26231_120x120.png,U19 League,"LB, LW",LB,85,LW,11,,0,18.0,2008-01-01,0,,3,280,0,0.76,0,0.18,19.61,62.3,Slovakia,['Slovakia'],unknown,0,0,False,12.54,11.57,66.67,1.9300000000000002,66.67,0.96,1.22,0.64,3.86,4.86,0.32,0,0.0,0,0.0,1.6099999999999999,0.0,0,0.0,0.24,0,0.0,1,0.32,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9300000000000002,66.67,3.54,54.55,0.32,0.0,0.32,11.25,0.96,0.96,21.54,76.12,9.0,57.14,5.14,87.5,18.64,82.76,2.89,33.33,17.75,35.37,0.06,0.64,0.0,0.0,0.0,0.0,0.64,3.54,63.64,0.96,33.33,0.96,0.0,0.64,0.0,5.14,68.75,100.0,4.5,0,,0,,0,0.0,0.0,0.0,,,1.6099999999999999,,1.9300000000000002,0.0,0.0,0.0,0.0,1,0
R. Hrnčár,Richard Hrnčár,-584971,Prešov U19,Prešov U19,https://cdn5.wyscout.com/photos/team/public/g26231_120x120.png,U19 League,"DMF, RCMF",DMF,72,RCMF,17,,0,17.0,2009-08-07,0,,3,280,0,0.0,0,0.01,22.5,42.86,Slovakia,['Slovakia'],unknown,0,0,False,10.61,11.25,62.86,2.5700000000000003,37.5,0.0,0.0,0.0,3.54,4.46,1.9300000000000002,0,0.0,0,0.0,0.96,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,75.0,7.39,21.74,0.32,0.32,0.32,8.04,0.0,0.96,18.0,91.07,3.21,80.0,6.43,95.0,17.36,92.59,0.64,50.0,18.91,35.25,0.0,0.32,0.0,0.0,0.0,0.0,0.32,1.6099999999999999,60.0,0.96,66.67,0.32,0.0,0.0,0.0,1.9300000000000002,83.33,90.48,6.75,0,,0,,0,0.0,0.0,0.0,,,0.96,,2.5700000000000003,0.0,0.0,0.0,0.0,0,0
I. Mazarha,Ihor Mazarha,-391307,Prešov U19,Prešov U19,https://cdn5.wyscout.com/photos/team/public/g26231_120x120.png,U19 League,RCB,RCB,100,,0,,0,18.0,2008-01-15,0,,3,280,0,0.98,0,0.0,12.21,65.79,Belgium,['Belgium'],unknown,0,0,False,10.29,4.18,76.92,1.6099999999999999,40.0,0.96,1.22,1.6099999999999999,6.11,7.7,0.96,1,0.32,0,0.0,1.29,0.0,0,0.0,0.31,0,0.0,2,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6099999999999999,80.0,4.18,76.92,0.96,0.96,0.0,20.57,0.32,2.5700000000000003,35.04,77.98,12.54,51.28,4.18,100.0,27.96,87.36,7.07,40.91,24.73,39.06,0.0,0.0,0.0,0.0,0.32,0.0,0.0,4.18,53.85,0.32,0.0,0.64,0.0,0.0,0.0,7.39,47.83,93.88,15.75,0,,0,,0,0.0,0.0,0.0,,,3.54,,1.6099999999999999,0.0,0.0,0.0,0.0,0,0
R. Grexa,Richard Grexa,-528699,Podbrezová U19,Podbrezová U19,https://cdn5.wyscout.com/photos/team/public/g26233_120x120.png,U19 League,"CB, RCB",CB,67,RCB,32,,0,18.0,2008-02-23,0,,3,280,1,0.21,0,0.36,22.18,57.97,Slovakia,['Slovakia'],unknown,0,0,False,13.18,11.57,63.89,3.54,45.45,0.64,1.11,0.64,5.14,8.89,2.89,1,0.32,0,0.0,1.29,0.32,1,0.32,0.07,1,0.32,4,1.29,25.0,25.0,0.0,1.9300000000000002,16.67,0.32,0.0,1.6099999999999999,20.0,0.32,1.29,50.0,3.54,54.55,2.5700000000000003,0.64,0.0,24.75,0.0,0.96,46.61,78.62,18.96,69.49,2.5700000000000003,100.0,38.57,85.83,6.11,52.63,20.06,34.99,0.11,0.32,0.0,0.0,0.0,0.0,0.32,3.86,58.33,0.96,66.67,0.0,0.0,0.32,0.32,10.93,67.65,91.8,19.61,0,,0,,0,0.0,0.0,0.0,,,1.29,,3.54,0.0,0.0,0.0,0.0,0,0
V. Jánošík,Vladimír Jánošík,480432,Podbrezová U19,Podbrezová U19,https://cdn5.wyscout.com/photos/team/public/g26233_120x120.png,U19 League,"CF, RW, LW",CF,66,RW,21,LW,12,18.0,2008-03-28,0,,3,280,2,1.76,0,0.35000000000000003,21.21,42.42,Slovakia,['Slovakia'],,0,0,False,1.6099999999999999,2.5700000000000003,37.5,0.0,0.0,0.0,0.0,0.0,0.64,1.11,0.96,0,0.0,0,0.0,6.75,0.64,2,0.64,0.5700000000000001,1,0.32,11,3.54,63.64,18.182,0.0,2.25,14.29,0.96,33.33,1.29,0.0,0.64,6.75,61.9,15.75,44.9,6.75,2.89,0.0,14.46,2.5700000000000003,1.9300000000000002,15.43,79.17,2.25,100.0,3.21,90.0,12.54,89.74,1.29,75.0,15.25,14.82,0.11,1.6099999999999999,0.32,0.0,0.0,0.0,0.32,1.9300000000000002,100.0,2.5700000000000003,62.5,0.32,100.0,2.5700000000000003,0.32,2.25,85.71,70.0,6.43,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0,0
