Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
B. Mapor,Bol Mapor,-210670,Croydon Kings,Croydon Kings,https://cdn5.wyscout.com/photos/team/public/g10499_120x120.png,South Australia NPL,"RCB, LCB",RCB,59,LCB,40,,0,27.0,1999-02-13,0,,12,1184,0,0.45,2,0.91,17.33,59.21,Australia,['Australia'],,0,0,False,10.95,7.83,67.96,2.96,58.97,0.76,1.01,0.68,4.86,6.44,1.1400000000000001,3,0.23,0,0.0,0.99,0.0,0,0.0,0.03,0,0.0,2,0.15,0.0,0.0,0.15,0.46,50.0,0.30000000000000004,50.0,0.08,0.0,0.0,1.52,50.0,4.5600000000000005,45.0,0.68,1.37,0.30000000000000004,25.92,0.15,0.68,40.9,85.13,16.57,72.94,2.74,91.67,37.4,89.43,3.04,37.5,20.51,39.38,0.07,0.23,0.0,0.08,0.0,0.0,0.23,4.41,65.52,0.84,18.18,0.38,20.0,0.0,0.23,7.75,66.67,95.16,18.85,0,,0,,0,0.0,0.0,0.0,,,1.82,,2.96,0.0,0.0,0.0,0.0,0,0
D. Margush,Daniel Margush,431395,Croydon Kings,Croydon Kings,https://cdn5.wyscout.com/photos/team/public/g10499_120x120.png,South Australia NPL,GK,GK,100,,0,,0,28.0,1997-11-28,250000,,12,1184,0,0.0,0,0.0,0.99,76.92,Australia,['Australia'],right,187,80,False,1.52,0.23,66.67,0.68,88.89,0.0,0.0,0.0,1.37,1.81,0.0,2,0.15,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,17.03,0.30000000000000004,0.0,26.38,87.61,14.59,80.21,0.0,0.0,15.58,97.56,10.79,73.24,31.92,46.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,64.0,0.15,50.0,0.23,66.67,0.08,0.0,7.07,79.57,99.3,10.79,22,1.67,65,4.94,1,66.15,19.62,1.49,-2.38,-0.181,0.0,2.13,0.68,,,,0.0,0,0
J. Lobasso,Jayden  Lobasso,-176449,Campbelltown City,Campbelltown City,https://cdn5.wyscout.com/photos/team/public/g10498_120x120.png,South Australia NPL,"CF, RW, LW",CF,62,RW,17,LW,13,25.0,2000-06-07,0,,12,1183,4,4.82,4,2.3,23.58,39.35,Australia,['Australia'],,0,0,False,5.78,5.25,63.77,4.18,32.73,0.30000000000000004,0.42,0.15,2.13,2.92,0.99,2,0.15,0,0.0,3.42,0.30000000000000004,4,0.30000000000000004,0.37,0,0.0,26,1.98,42.31,15.385,0.30000000000000004,2.51,36.36,0.76,30.0,1.75,39.13,0.15,2.81,59.46,11.03,32.41,3.73,1.22,0.30000000000000004,16.97,3.35,1.22,24.5,74.22,6.24,59.76,7.23,89.47,20.39,80.6,1.83,54.17,18.73,39.26,0.17,1.29,0.30000000000000004,0.0,0.15,0.0,0.84,3.58,70.21,2.05,51.85,0.46,33.33,0.61,0.76,3.73,75.51,70.93,6.54,0,,0,,0,0.0,0.0,0.0,,,0.08,,4.18,0.08,0.0,0.0,0.0,0,0
J. Hall,John Hall,229657,Adelaide City,Adelaide City,https://cdn5.wyscout.com/photos/team/public/g2420_120x120.png,South Australia NPL,GK,GK,100,,0,,0,31.0,1994-10-23,0,,12,1176,0,0.0,0,0.01,1.22,68.75,Australia,['Australia'],right,195,83,False,2.45,0.15,50.0,0.92,75.0,0.0,0.0,0.0,2.37,3.22,0.0,1,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,50.0,0.0,0.0,0.08,18.37,0.23,0.23,31.3,83.13,18.37,75.42,0.08,0.0,20.59,96.28,10.64,58.27,29.2,45.49,0.0,0.08,0.0,0.0,0.0,0.0,0.0,2.68,54.29,0.0,0.0,0.08,0.0,0.0,0.0,8.04,62.86,94.2,10.56,13,0.99,57,4.36,2,77.19,14.1,1.08,1.1,0.084,0.0,2.37,0.92,,,,0.0,0,0
E. Elton,Edward Elton,-569222,Sturt Lions,Sturt Lions,https://cdn5.wyscout.com/photos/team/public/g32831_120x120.png,South Australia NPL,"LB, LWB",LB,82,LWB,16,,0,19.0,2006-09-10,0,,12,1169,1,0.34,1,0.9500000000000001,13.01,56.8,Australia,['Australia'],unknown,0,0,False,8.62,7.01,71.43,2.77,44.44,0.0,0.0,0.38,3.62,5.0,0.54,2,0.15,0,0.0,1.92,0.08,1,0.08,0.03,0,0.0,4,0.31,50.0,25.0,0.08,3.7,37.5,3.46,35.56,0.23,66.67,0.6900000000000001,0.38,80.0,2.46,28.13,0.6900000000000001,1.0,0.23,22.63,1.54,0.54,35.34,73.64,16.63,69.44,4.08,92.45,27.1,82.39,4.7,49.18,20.24,35.54,0.07,0.85,0.08,0.0,0.08,100.0,0.08,5.54,65.28,3.46,48.89,0.08,100.0,0.31,1.23,9.78,70.08,74.02,9.78,0,,0,,0,0.0,0.0,0.0,,,0.46,,2.77,0.62,0.08,100.0,0.6900000000000001,0,0
L. Thanasis,Lesi Thanasis,-569215,Sturt Lions,Sturt Lions,https://cdn5.wyscout.com/photos/team/public/g32831_120x120.png,South Australia NPL,"RCMF, LCMF, LDMF",RCMF,30,LCMF,17,LDMF,16,32.0,1994-03-03,0,,12,1169,3,1.74,1,0.99,27.95,48.76,Greece,['Greece'],unknown,0,0,False,5.85,6.47,55.95,7.54,55.1,0.08,0.11,0.15,2.16,2.98,1.31,4,0.31,0,0.0,2.54,0.23,3,0.23,0.13,1,0.08,16,1.23,37.5,18.75,0.08,1.92,48.0,0.54,42.86,1.3900000000000001,50.0,0.31,1.31,88.24,9.93,41.86,1.69,2.08,0.0,24.87,2.31,1.62,42.65,76.17,14.7,67.02,7.16,91.4,34.41,80.76,6.39,60.24,19.63,38.18,0.08,0.6900000000000001,0.08,0.08,0.08,0.0,0.54,7.78,63.37,3.85,52.0,1.08,35.71,1.3900000000000001,0.92,8.7,76.99,80.0,13.86,0,,0,,0,0.0,0.0,0.0,,,0.6900000000000001,,7.54,0.15,0.08,100.0,0.15,0,0
M. Barnett,Manley Barnett,-197016,Sturt Lions,Sturt Lions,https://cdn5.wyscout.com/photos/team/public/g32831_120x120.png,South Australia NPL,"RCB, CB",RCB,82,CB,17,,0,26.0,1999-08-26,0,,12,1169,1,1.65,0,0.0,8.55,58.56,Australia,['Australia'],,0,0,False,5.62,4.0,69.23,3.08,45.0,0.08,0.11,0.31,2.77,3.83,0.54,1,0.08,0,0.0,0.31,0.08,1,0.08,0.13,0,0.0,6,0.46,16.67,16.667,0.0,0.08,100.0,0.0,0.0,0.08,100.0,0.08,0.15,100.0,0.38,80.0,1.0,0.08,0.0,27.79,0.31,0.38,40.88,85.12,17.25,72.32,2.54,93.94,33.03,90.68,7.78,61.39,25.0,42.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,59.02,0.46,33.33,0.15,0.0,0.15,0.08,9.24,65.0,96.05,19.48,0,,0,,0,0.0,0.0,0.0,,,1.85,,3.08,0.0,0.0,0.0,0.0,0,0
K. Vidmar,Kane Vidmar,-191241,West Torrens Birkalla,West Torrens Birkalla,https://cdn5.wyscout.com/photos/team/public/g10496_120x120.png,South Australia NPL,LCB,LCB,100,,0,,0,21.0,2004-06-04,0,,12,1168,1,1.72,0,0.0,11.02,63.64,Australia,['Australia'],,0,0,False,7.63,4.32,66.07,3.01,69.23,0.15,0.21,0.54,4.62,6.16,0.62,2,0.15,0,0.0,0.46,0.08,1,0.08,0.13,0,0.0,4,0.31,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,100.0,2.16,50.0,0.39,0.39,0.15,20.73,0.23,0.77,38.22,86.09,13.72,74.72,2.08,92.59,32.75,89.18,5.47,67.61,21.78,37.41,0.0,0.08,0.08,0.0,0.0,0.0,0.0,2.08,55.56,0.39,20.0,0.08,0.0,0.15,0.0,7.4,56.25,95.29,19.65,0,,0,,0,0.0,0.0,0.0,,,1.3900000000000001,,3.01,0.0,0.0,0.0,0.0,0,0
N. Harpas,Nicholas Harpas,-176413,West Torrens Birkalla,West Torrens Birkalla,https://cdn5.wyscout.com/photos/team/public/g10496_120x120.png,South Australia NPL,GK,GK,100,,0,,0,32.0,1994-05-28,0,,12,1168,0,0.0,0,0.0,1.16,73.33,Australia,['Australia'],,0,0,False,1.85,0.08,0.0,0.54,85.71,0.0,0.0,0.0,1.85,2.47,0.08,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,75.0,0.0,0.0,0.0,8.01,0.15,0.46,16.88,73.06,10.94,60.56,0.0,0.0,8.48,99.09,8.4,46.79,36.51,51.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.77,36.11,0.31,25.0,0.23,0.0,0.0,0.0,4.85,61.9,95.31,4.93,19,1.46,53,4.08,3,64.15,14.67,1.13,-4.33,-0.334,0.0,2.0,0.54,,,,0.0,0,0
J. Clark,Jared Nathan Clark,522455,West Torrens Birkalla,West Torrens Birkalla,https://cdn5.wyscout.com/photos/team/public/g10496_120x120.png,South Australia NPL,RCB,RCB,100,,0,,0,28.0,1998-01-21,0,,12,1168,0,0.6000000000000001,0,0.01,11.33,48.3,Australia,"['Australia', 'Vanuatu']",,0,0,False,7.94,6.01,60.26,2.23,27.59,0.0,0.0,1.16,4.32,5.75,1.08,1,0.08,0,0.0,0.15,0.0,0,0.0,0.05,0,0.0,4,0.31,50.0,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.0,1.77,39.13,0.31,0.46,0.0,24.04,0.08,0.31,36.68,77.31,19.88,67.44,2.16,96.43,27.66,86.91,8.86,48.7,23.7,40.07,0.0,0.08,0.0,0.0,0.0,0.0,0.0,6.24,50.62,1.54,25.0,0.6900000000000001,22.22,0.31,0.0,10.48,70.59,90.45,12.1,0,,0,,0,0.0,0.0,0.0,,,1.3900000000000001,,2.23,0.08,0.0,0.0,0.0,0,0
