Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. Raffa,Christian Raffa,-418828,Lugano,Lugano II,https://cdn5.wyscout.com/photos/team/public/1143_120x120.png,Super League,"LWF, CF, AMF",LWF,37,CF,21,AMF,21,19,2007-04-07,0,,5,484,3,2.21,0,0.06,26.22,48.23,Switzerland,['Switzerland'],unknown,0,0,False,6.51,6.88,64.86,1.67,11.11,0.74,0.87,0.0,1.3,1.52,1.3,3,0.56,0,0.0,3.7199999999999998,0.56,2,0.37,0.41000000000000003,0,0.0,14,2.6,50.0,21.429,0.0,0.19,100.0,0.0,0.0,0.19,100.0,0.0,2.6,78.57,15.81,45.88,1.8599999999999999,2.23,0.37,20.64,0.56,3.7199999999999998,30.12,91.98,5.58,76.67,10.79,98.28,28.26,92.76,1.67,77.78,17.14,31.53,0.01,0.56,0.0,0.0,0.19,100.0,0.0,3.7199999999999998,90.0,0.19,100.0,0.19,100.0,0.0,0.19,2.6,78.57,94.0,9.3,0,,0,,0,0.0,0.0,0.0,,,0.93,,1.67,0.93,0.56,33.33,0.37,1,100
M. Uruejoma,Moyo-Ola Uruejoma,-45959,Basel II,Basel II,https://cdn5.wyscout.com/photos/team/public/g8756_120x120.png,1. Liga Promotion,"RDMF, AMF, RAMF",RDMF,58,AMF,13,RAMF,13,28,1997-12-24,75000,,5,484,2,1.19,0,0.16,10.6,52.63,Switzerland,['Switzerland'],right,184,0,False,8.74,4.46,58.33,3.16,58.82,0.19,0.21,0.37,5.95,6.86,0.37,1,0.19,0,0.0,1.3,0.37,2,0.37,0.22,2,0.37,8,1.49,62.5,25.0,0.0,0.19,0.0,0.0,0.0,0.19,0.0,0.0,0.56,66.67,1.49,62.5,1.12,0.93,0.0,30.5,0.19,0.56,44.07,78.48,17.48,72.34,5.95,93.75,39.24,82.94,4.65,44.0,17.84,36.31,0.03,0.56,0.0,0.0,0.0,0.0,0.0,6.14,69.7,2.6,50.0,0.37,50.0,0.74,0.0,10.23,63.64,75.76,12.27,0,,0,,0,0.0,0.0,0.0,,,0.37,,3.16,0.0,0.0,0.0,0.0,0,0
M. Wenger,Markus Wenger,-99510,Breitenrain,Breitenrain,https://cdn5.wyscout.com/photos/team/public/g11543_120x120.png,1. Liga Promotion,RCB,RCB,100,,0,,0,24,2002-01-11,0,2027-06-30,5,484,0,0.0,1,0.41000000000000003,15.43,56.63,Switzerland,['Switzerland'],,0,0,False,5.95,4.46,70.83,6.14,48.48,0.19,0.27,0.19,2.6,3.7800000000000002,1.12,2,0.37,0,0.0,0.37,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.19,0.37,100.0,0.0,0.0,0.37,100.0,0.19,0.19,0.0,2.23,33.33,0.19,0.56,0.0,26.78,0.74,1.12,38.86,84.21,15.62,69.05,4.46,100.0,31.8,91.23,6.69,50.0,24.21,43.59,0.08,0.37,0.19,0.19,0.0,0.0,0.19,6.51,62.86,0.93,60.0,0.37,100.0,0.37,0.37,7.62,73.17,94.44,16.74,0,,0,,0,0.0,0.0,0.0,,,3.5300000000000002,,6.14,0.0,0.0,0.0,0.0,0,0
A. Karaki,Abbas Karaki,-416789,Kreuzlingen,Kreuzlingen,https://cdn5.wyscout.com/photos/team/public/g8787_120x120.png,1. Liga Promotion,"RWF, RCMF, LCMF",RWF,43,RCMF,25,LCMF,12,33,1993-04-01,0,2027-06-30,5,481,0,0.47000000000000003,1,0.8,14.59,44.87,Germany,['Germany'],unknown,0,0,False,4.12,3.37,66.67,1.6800000000000002,33.33,0.0,0.0,0.19,1.87,2.63,0.9400000000000001,2,0.37,0,0.0,1.87,0.0,0,0.0,0.09,0,0.0,13,2.43,7.69,0.0,0.19,0.9400000000000001,80.0,0.0,0.0,0.9400000000000001,80.0,0.19,2.06,45.45,6.74,36.11,1.6800000000000002,0.56,0.0,28.25,1.87,1.87,36.67,78.57,10.29,65.45,6.92,94.59,33.87,79.01,1.87,70.0,17.2,38.24,0.15,0.75,0.19,0.19,0.0,0.0,0.75,3.56,57.89,1.6800000000000002,66.67,0.19,100.0,0.75,0.75,5.24,78.57,82.09,12.54,0,,0,,0,0.0,0.0,0.0,,,0.9400000000000001,,1.6800000000000002,0.56,0.19,0.0,0.19,0,0
Y. Seeger,Yves Seeger,-416738,Kreuzlingen,Kreuzlingen,https://cdn5.wyscout.com/photos/team/public/g8787_120x120.png,1. Liga Promotion,CB,CB,86,,0,,0,25,2000-12-06,0,2027-06-30,5,481,1,0.08,0,0.48,14.78,60.76,Switzerland,['Switzerland'],unknown,190,0,False,11.6,4.86,73.08,4.12,86.36,0.0,0.0,0.75,8.05,11.32,0.56,0,0.0,0,0.0,0.37,0.19,1,0.19,0.01,1,0.19,1,0.19,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,100.0,1.6800000000000002,33.33,0.75,0.37,0.0,31.25,0.19,0.56,52.77,77.66,29.56,67.09,2.62,92.86,41.16,87.27,11.6,43.55,23.54,41.81,0.09,0.19,0.0,0.0,0.0,0.0,0.19,11.04,55.93,1.6800000000000002,44.44,0.56,66.67,1.12,0.0,13.47,76.39,93.48,17.21,0,,0,,0,0.0,0.0,0.0,,,1.87,,4.12,0.0,0.0,0.0,0.0,0,0
T. Matkovic-Torrecillas,Tristan Matkovic-Torrecillas,-62795,Kreuzlingen,Kreuzlingen,https://cdn5.wyscout.com/photos/team/public/g8787_120x120.png,1. Liga Promotion,LCB3,LCB3,84,,0,,0,24,2002-08-24,0,,5,481,0,0.0,0,0.17,13.85,63.51,Germany,"['Germany', 'Spain']",,0,0,False,8.61,7.3,76.92,1.6800000000000002,55.56,0.19,0.26,0.19,2.81,3.95,0.19,1,0.19,0,0.0,0.37,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.19,100.0,0.19,100.0,0.0,0.0,0.0,0.75,25.0,1.6800000000000002,22.22,0.56,1.31,0.0,47.53,0.37,0.37,64.55,90.72,29.19,82.69,4.3,100.0,57.26,94.77,7.11,57.89,21.33,41.55,0.03,0.37,0.0,0.0,0.0,0.0,0.19,7.67,73.17,0.9400000000000001,60.0,0.56,66.67,0.9400000000000001,0.19,12.72,79.41,97.12,26.01,0,,0,,0,0.0,0.0,0.0,,,2.99,,1.6800000000000002,0.19,0.0,0.0,0.0,0,0
F. Fellmann,Fabian Fellmann,272832,Kreuzlingen,Kreuzlingen,https://cdn5.wyscout.com/photos/team/public/g8787_120x120.png,1. Liga Promotion,GK,GK,100,,0,,0,30,1996-07-23,0,,5,481,0,0.0,0,0.0,0.37,100.0,Switzerland,['Switzerland'],right,185,0,False,3.93,0.0,0.0,0.19,100.0,0.0,0.0,0.0,3.93,5.53,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,100.0,0.0,0.0,0.0,29.75,0.19,0.19,47.15,86.9,25.26,77.78,0.19,0.0,33.68,97.78,13.47,59.72,29.04,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.36,44.12,0.0,0.0,0.0,0.0,0.19,0.0,8.98,72.92,98.15,20.21,7,1.31,24,4.49,1,70.83,6.9,1.29,-0.1,-0.019,0.0,0.75,0.19,,,,0.0,0,0
R. Sumbula,Rogerio Kevin Sumbula Malula,-118676,Bulle,Bulle,https://cdn5.wyscout.com/photos/team/public/g2196_120x120.png,1. Liga Promotion,LCB,LCB,95,,0,,0,29,1996-10-29,0,2027-06-30,5,481,0,0.12,0,0.0,8.23,59.09,Switzerland,"['Switzerland', 'Angola']",,175,0,False,6.55,4.12,63.64,1.6800000000000002,88.89,0.0,0.0,0.37,3.93,4.53,0.37,1,0.19,0,0.0,0.0,0.0,0,0.0,0.02,0,0.0,1,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06,27.27,0.19,0.0,0.0,22.27,0.37,0.37,32.0,85.96,13.85,74.32,2.25,100.0,28.07,92.0,3.93,42.86,21.39,40.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,42.86,0.19,0.0,0.19,0.0,0.0,0.0,5.99,53.13,96.15,14.59,0,,0,,0,0.0,0.0,0.0,,,1.5,,1.6800000000000002,0.0,0.0,0.0,0.0,0,0
E. Rexhaj,Egzon Rexhaj,-344139,Bulle,Bulle,https://cdn5.wyscout.com/photos/team/public/g2196_120x120.png,1. Liga Promotion,RB,RB,95,,0,,0,23,2002-11-15,0,2027-06-30,5,481,0,0.0,0,0.0,17.21,56.52,Kosovo,['Kosovo'],right,180,0,False,11.98,11.6,62.9,1.87,80.0,0.0,0.0,0.75,4.68,5.4,1.5,1,0.19,0,0.0,0.19,0.0,0,0.0,0.0,0,0.0,1,0.19,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,0.0,0.56,0.37,50.0,1.87,30.0,0.37,0.56,0.0,26.01,1.12,0.56,37.23,74.37,17.21,61.96,4.49,87.5,29.94,83.75,5.8,45.16,21.46,41.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,58.06,1.5,37.5,0.19,0.0,0.37,0.19,9.73,61.54,83.33,11.23,0,,0,,0,0.0,0.0,0.0,,,0.19,,1.87,0.0,0.0,0.0,0.0,0,0
T. Monney,Thoma Monney,-243534,Bulle,Bulle,https://cdn5.wyscout.com/photos/team/public/g2196_120x120.png,1. Liga Promotion,RCB,RCB,95,,0,,0,24,2002-02-26,175000,2027-06-30,5,481,1,0.7000000000000001,0,0.0,10.29,70.91,Switzerland,['Switzerland'],,188,0,False,6.74,3.93,71.43,3.56,84.21,0.0,0.0,0.37,3.93,4.53,0.75,0,0.0,0,0.0,0.19,0.19,1,0.19,0.13,0,0.0,2,0.37,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,16.67,0.75,0.19,0.0,26.57,0.37,0.19,36.49,84.62,16.09,68.6,1.6800000000000002,88.89,31.43,91.67,5.05,40.74,22.57,39.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.92,64.86,0.0,0.0,0.19,100.0,0.19,0.0,8.61,71.74,97.5,14.97,0,,0,,0,0.0,0.0,0.0,,,0.9400000000000001,,3.56,0.0,0.0,0.0,0.0,0,0
