Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
F. Fadhli,Firas Fadhli,-478347,Olympique Béja,Olympique Béja,https://cdn5.wyscout.com/photos/team/public/2986_120x120.png,Ligue 1,"RCMF3, LCMF3, DMF",RCMF3,62,LCMF3,21,DMF,11,23.0,2003-06-26,0,,2,209,0,0.23,0,0.13,15.5,44.44,Tunisia,['Tunisia'],right,178,0,False,6.46,6.46,53.33,1.72,0.0,0.86,1.46,0.0,2.15,3.66,1.29,0,0.0,0,0.0,1.72,0.0,0,0.0,0.1,0,0.0,2,0.86,50.0,0.0,0.0,0.43,100.0,0.43,100.0,0.0,0.0,0.0,0.86,50.0,5.6,46.15,2.15,1.29,0.0,14.21,0.43,1.72,25.41,71.19,12.06,60.71,2.15,100.0,19.81,76.09,5.17,50.0,20.27,33.2,0.05,0.43,0.0,0.43,0.43,100.0,0.43,6.46,60.0,3.44,50.0,3.01,42.86,1.29,0.43,5.17,58.33,85.71,9.04,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.72,0.86,0.0,0.0,1.72,0,0
I. Chelghoumi,Islem  Chelghoumi,-478346,Olympique Béja,Olympique Béja,https://cdn5.wyscout.com/photos/team/public/2986_120x120.png,Ligue 1,"RCB, RCB3",RCB,50,RCB3,49,,0,22.0,2003-10-19,0,2028-06-30,2,209,0,0.0,0,0.0,11.63,70.37,Tunisia,['Tunisia'],,0,0,False,11.2,5.6,92.31,3.44,37.5,0.43,0.73,0.0,5.6,9.51,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,100.0,1.72,0.43,0.0,9.9,0.86,1.72,23.25,77.78,13.35,70.97,1.29,100.0,18.09,88.1,5.17,41.67,21.05,36.23,0.0,0.0,0.43,0.0,0.0,0.0,0.0,3.44,62.5,0.0,0.0,1.29,66.67,0.86,0.0,6.46,60.0,82.35,7.32,0,,0,,0,0.0,0.0,0.0,,,1.29,,3.44,0.0,0.0,0.0,0.0,0,0
C. Smaoui,Chahine  Smaoui,-478345,Olympique Béja,Olympique Béja,https://cdn5.wyscout.com/photos/team/public/2986_120x120.png,Ligue 1,GK,GK,100,,0,,0,23.0,2003-08-18,0,,2,209,0,0.16,0,0.0,1.29,100.0,Tunisia,['Tunisia'],unknown,0,0,False,1.72,0.0,0.0,0.86,100.0,0.0,0.0,0.0,1.72,2.93,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.07,0,0.0,1,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,100.0,0.43,0.0,0.0,5.17,0.0,0.43,13.78,68.75,11.2,61.54,0.0,0.0,6.89,93.75,6.89,43.75,37.81,51.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,40.0,0.43,0.0,0.43,0.0,0.0,0.0,3.88,77.78,100.0,2.58,3,1.29,9,3.88,0,66.67,3.66,1.58,0.66,0.28400000000000003,0.0,2.58,0.86,,,,0.0,0,0
A. Sidibé,Alpha Stéphane Sidibé,-403916,Monastir,Olympique Béja,https://cdn5.wyscout.com/photos/team/public/g3490_120x120.png,Ligue 1,"LCMF3, RCMF3",LCMF3,74,RCMF3,21,,0,21.0,2004-11-03,0,,2,209,0,0.06,0,0.0,15.93,56.76,Côte d'Ivoire,"[""Côte d'Ivoire""]",unknown,0,0,False,7.75,6.46,66.67,3.44,25.0,0.43,0.73,0.43,3.01,5.12,0.86,1,0.43,0,0.0,1.29,0.0,0,0.0,0.03,0,0.0,3,1.29,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,100.0,4.31,60.0,0.0,0.43,0.0,15.93,0.0,2.15,26.7,88.71,10.33,75.0,3.88,100.0,22.39,96.15,4.31,50.0,19.07,42.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.03,71.43,0.43,0.0,1.29,66.67,0.0,0.0,3.88,88.89,100.0,7.32,0,,0,,0,0.0,0.0,0.0,,,0.43,,3.44,0.0,0.0,0.0,0.0,0,0
M. Ben Rajeh,Mehrez Ben Rajeh,422771,Olympique Béja,Olympique Béja,https://cdn5.wyscout.com/photos/team/public/2986_120x120.png,Ligue 1,"LB, LCB3, LB5",LB,50,LCB3,36,LB5,13,30.0,1996-03-02,400000,2027-06-30,2,209,0,0.0,0,0.09,13.35,64.52,Tunisia,['Tunisia'],left,0,0,False,9.47,6.46,73.33,2.58,66.67,0.0,0.0,0.43,4.74,8.05,2.15,1,0.43,0,0.0,0.43,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.86,0.0,0.86,0.0,0.0,0.0,0.0,0.86,50.0,2.58,33.33,0.86,1.29,0.43,10.77,0.86,0.43,18.95,63.64,12.06,60.71,0.86,100.0,12.49,68.97,5.6,61.54,22.44,38.28,0.04,0.86,0.0,0.0,0.0,0.0,0.43,4.74,54.55,1.72,50.0,1.29,66.67,0.43,0.0,7.32,64.71,60.0,4.31,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.58,0.0,0.0,0.0,0.0,0,0
C. Camara,Mohamed Cherif Camara,514389,Olympique Béja,Olympique Béja,https://cdn5.wyscout.com/photos/team/public/2986_120x120.png,Ligue 1,"LCB, CB",LCB,50,CB,49,,0,23.0,2002-10-21,0,,2,209,0,0.0,0,0.0,11.2,57.69,Guinea,['Guinea'],right,180,0,False,4.74,3.88,66.67,1.72,50.0,0.43,0.73,0.0,1.72,2.93,0.86,1,0.43,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,75.0,0.43,0.0,0.0,8.18,0.0,1.72,18.52,83.72,12.06,82.14,3.01,85.71,15.5,88.89,3.01,57.14,22.43,37.9,0.0,0.0,0.0,0.0,0.0,0.0,0.43,4.31,70.0,0.0,0.0,1.29,66.67,0.0,0.0,4.74,72.73,100.0,3.01,0,,0,,0,0.0,0.0,0.0,,,1.72,,1.72,0.0,0.0,0.0,0.0,0,0
M. Toumi,Montasser Toumi,-872224,Métlaoui,Métlaoui,https://cdn5.wyscout.com/photos/team/public/g21484_120x120.png,Ligue 1,RCB,RCB,100,,0,,0,32.0,1993-11-26,0,,2,209,0,0.0,0,0.0,13.35,51.61,Tunisia,['Tunisia'],unknown,193,0,False,9.9,3.44,62.5,5.6,53.85,0.0,0.0,0.86,7.75,10.0,1.72,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,33.33,0.43,0.0,0.0,3.44,0.0,0.43,15.07,77.14,9.04,61.9,0.43,100.0,9.04,95.24,6.03,50.0,28.42,43.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.44,62.5,0.86,0.0,0.86,50.0,0.0,0.0,4.74,63.64,100.0,4.31,0,,0,,0,0.0,0.0,0.0,,,0.43,,5.6,0.86,0.0,0.0,0.0,0,0
M. Bejaoui,Mohamed Aziz Bejaoui,-730451,Métlaoui,Métlaoui,https://cdn5.wyscout.com/photos/team/public/g21484_120x120.png,Ligue 1,GK,GK,100,,0,,0,25.0,2001-04-13,0,,2,209,0,0.0,0,0.0,0.0,0.0,Tunisia,['Tunisia'],unknown,0,0,False,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,1.11,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.44,0.0,0.0,6.03,71.43,4.31,60.0,0.0,0.0,2.58,100.0,3.44,50.0,41.18,53.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,66.67,100.0,1.72,3,1.29,5,2.15,0,40.0,2.51,1.08,-0.49,-0.211,0.0,0.86,0.0,,,,0.0,0,0
A. Ghrissi,Mohamed Aziz  Ghrissi,-420196,Métlaoui,Métlaoui,https://cdn5.wyscout.com/photos/team/public/g21484_120x120.png,Ligue 1,RB,RB,100,,0,,0,23.0,2003-01-06,0,,2,209,0,0.03,0,0.41000000000000003,12.49,65.52,Tunisia,['Tunisia'],,0,0,True,9.9,6.03,71.43,1.72,75.0,0.43,0.56,0.0,5.17,6.67,1.29,0,0.0,0,0.0,1.72,0.0,0,0.0,0.01,0,0.0,1,0.43,0.0,0.0,0.0,1.72,25.0,0.0,0.0,1.72,25.0,0.86,1.72,75.0,1.72,75.0,0.0,0.43,0.0,7.75,0.86,0.0,13.78,46.88,9.04,42.86,0.43,100.0,7.75,61.11,4.74,27.27,22.85,38.33,0.17,1.72,0.0,0.0,0.0,0.0,0.43,5.17,33.33,2.15,60.0,1.72,50.0,0.86,0.43,2.58,66.67,40.0,2.15,0,,0,,0,0.0,0.0,0.0,,,0.43,,1.72,3.01,0.0,0.0,1.72,0,0
O. Hichri,Oussama Hichri,-339211,Métlaoui,Métlaoui,https://cdn5.wyscout.com/photos/team/public/g21484_120x120.png,Ligue 1,LB,LB,100,,0,,0,26.0,2000-01-17,0,2028-06-30,2,209,0,0.25,0,0.08,8.61,40.0,Tunisia,['Tunisia'],,0,0,False,8.18,3.88,55.56,1.29,33.33,0.43,0.56,0.0,5.6,7.22,0.43,0,0.0,0,0.0,0.43,0.0,0,0.0,0.11,0,0.0,1,0.43,100.0,0.0,0.0,1.29,0.0,1.29,0.0,0.0,0.0,0.43,0.0,0.0,1.29,33.33,0.43,0.43,0.0,6.03,0.43,0.43,15.5,58.33,9.47,50.0,1.29,66.67,9.9,73.91,4.31,40.0,20.67,31.69,0.03,0.86,0.0,0.0,0.0,0.0,0.43,2.15,60.0,2.15,40.0,1.29,33.33,0.86,0.0,3.88,66.67,50.0,1.72,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.29,0.86,0.0,0.0,0.0,0,0
