Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Jansen,Lars Jansen,-76698,Quick Boys,Quick Boys,https://cdn5.wyscout.com/photos/team/public/g4647_120x120.png,Tweede Divisie,GK,GK,100,,0,,0,28.0,1998-02-10,0,2026-06-30,33,3203,0,0.0,0,0.0,0.9,75.0,Netherlands,['Netherlands'],right,183,82,False,2.0,0.14,80.0,0.45,93.75,0.03,0.05,0.0,1.85,3.0,0.0,1,0.03,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,50.0,0.14,40.0,0.0,0.03,0.0,32.37,0.48,0.11,46.56,82.8,27.68,72.79,0.03,100.0,32.09,97.46,14.44,50.39,30.12,51.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,6.24,40.54,0.56,20.0,0.73,15.38,0.14,0.0,10.12,66.67,97.37,17.11,34,0.96,127,3.5700000000000003,10,73.23,35.22,0.99,1.22,0.034,0.0,1.52,0.45,,,,0.0,0,0.0
S. Van Huffel,Sam Van Huffel,517973,Spakenburg,Spakenburg,https://cdn5.wyscout.com/photos/team/public/3027_120x120.png,Tweede Divisie,"LCMF3, LCMF, RCMF3",LCMF3,37,LCMF,27,RCMF3,16,27.0,1998-06-24,0,2027-06-30,34,3116,11,7.87,6,7.58,17.36,46.76,Netherlands,['Netherlands'],both,176,70,False,6.85,5.17,64.25,1.6800000000000002,25.86,0.17,0.23,0.23,3.35,4.39,0.92,3,0.09,0,0.0,4.42,0.32,10,0.29,0.23,0,0.0,102,2.95,48.04,10.784,0.17,3.41,31.36,2.2,28.95,1.07,32.43,0.61,3.41,55.93,8.43,43.15,3.09,2.4,0.2,22.3,1.24,1.01,32.64,74.25,9.62,63.66,6.76,90.17,26.11,82.52,3.23,50.0,18.9,34.46,0.22,1.42,0.09,0.0,0.17,16.67,0.66,4.39,63.82,3.93,38.97,0.52,33.33,0.9500000000000001,1.04,5.31,79.35,74.65,10.37,0,,0,,0,0.0,0.0,0.0,,,0.46,,1.6800000000000002,1.33,0.75,57.69,1.9100000000000001,2,50.0
J. Maats,Jorick Maats,-300588,HHC,HHC,https://cdn5.wyscout.com/photos/team/public/g4669_120x120.png,Tweede Divisie,GK,GK,100,,0,,0,26.0,1999-12-25,0,2027-06-30,32,3078,0,0.22,0,0.24,0.58,80.0,Netherlands,['Netherlands'],right,0,0,False,1.87,0.09,66.67,0.41000000000000003,85.71,0.0,0.0,0.0,1.81,2.43,0.0,0,0.0,0,0.0,0.03,0.0,0,0.0,0.01,0,0.0,1,0.03,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,50.0,0.03,0.0,0.0,14.74,0.41000000000000003,0.09,24.3,81.11,17.84,76.07,0.03,0.0,11.17,96.34,13.1,68.3,40.49,56.34,0.01,0.03,0.03,0.03,0.0,0.0,0.03,5.44,70.43,0.2,28.57,0.26,55.56,0.12,0.0,11.26,80.78,96.39,5.67,40,1.17,142,4.15,9,71.83,43.87,1.28,3.87,0.113,0.0,2.08,0.41000000000000003,,,,0.0,0,0.0
S. van Der Heijden,Steven van Der Heijden,-35950,De Treffers,De Treffers,https://cdn5.wyscout.com/photos/team/public/g4716_120x120.png,Tweede Divisie,"RCMF, RCMF3, LCMF",RCMF,41,RCMF3,23,LCMF,21,27.0,1999-04-26,225000,2028-06-30,32,3061,9,9.03,1,1.56,17.64,51.17,Netherlands,['Netherlands'],right,171,65,False,6.64,4.35,62.16,5.91,55.22,1.09,1.3599999999999999,0.21,2.85,3.56,1.32,4,0.12,0,0.0,1.4100000000000001,0.26,8,0.24,0.27,2,0.06,45,1.32,44.44,17.778,0.03,0.71,25.0,0.18,33.33,0.44,20.0,0.12,0.85,75.86,4.12,40.0,2.29,0.91,0.18,17.91,0.68,1.03,31.58,77.65,11.5,64.71,5.47,96.77,28.2,80.71,2.68,59.34,17.66,31.9,0.05,0.29,0.06,0.03,0.0,0.0,0.18,4.65,63.92,1.09,35.14,0.38,30.77,0.47000000000000003,0.21,5.23,64.61,83.44,9.59,0,,0,,0,0.0,0.0,0.0,,,0.47000000000000003,,5.91,0.03,0.0,0.0,0.06,0,0.0
P. Stošković,Petar Stošković,280739,De Treffers,De Treffers,https://cdn5.wyscout.com/photos/team/public/g4716_120x120.png,Tweede Divisie,GK,GK,100,,0,,0,32.0,1993-07-25,0,2026-06-30,32,3061,1,0.21,0,0.0,0.91,80.65,Netherlands,"['Netherlands', 'Serbia']",right,196,93,False,1.71,0.24,75.0,0.53,83.33,0.06,0.07,0.03,1.47,1.83,0.0,0,0.0,0,0.0,0.06,0.03,1,0.03,0.01,1,0.03,1,0.03,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,50.0,0.09,66.67,0.06,0.0,0.0,16.29,0.47000000000000003,0.06,26.43,81.65,17.91,74.71,0.0,0.0,12.7,97.69,13.7,66.95,37.42,50.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.94,57.14,0.38,15.38,0.35000000000000003,50.0,0.09,0.0,10.61,79.78,97.81,8.06,34,1.0,141,4.15,12,75.89,39.78,1.17,5.78,0.17,0.0,1.38,0.53,,,,0.0,0,0.0
W. Zonneveld,Wesley Zonneveld,170254,Rijnsburgse Boys,Rijnsburgse Boys,https://cdn5.wyscout.com/photos/team/public/g4648_120x120.png,Tweede Divisie,GK,GK,100,,0,,0,33.0,1992-06-17,0,2027-06-30,32,3028,0,0.37,0,0.01,1.1,75.68,Netherlands,['Netherlands'],left,195,81,False,2.29,0.27,55.56,0.51,94.12,0.06,0.09,0.0,2.08,3.06,0.03,0,0.0,1,0.03,0.03,0.0,0,0.0,0.01,0,0.0,1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,33.33,0.30000000000000004,60.0,0.03,0.0,0.03,25.44,0.65,0.0,40.24,84.49,24.22,76.2,0.0,0.0,24.97,96.67,15.28,64.59,32.06,46.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,3.89,51.91,0.48,12.5,0.54,38.89,0.06,0.0,11.18,71.01,97.3,15.43,52,1.55,157,4.67,6,66.88,45.39,1.35,-6.61,-0.196,0.0,1.34,0.51,,,,0.0,0,0.0
G. Zwikstra,Giovanni Zwikstra,-169822,HHC,HHC,https://cdn5.wyscout.com/photos/team/public/g4669_120x120.png,Tweede Divisie,CF,CF,85,,0,,0,25.0,2001-03-06,0,2027-06-30,33,3024,10,11.14,9,6.91,26.1,37.97,Netherlands,['Netherlands'],right,192,0,False,2.98,2.5300000000000002,70.59,7.44,43.6,0.09,0.12,0.09,1.1,1.47,1.16,3,0.09,0,0.0,2.62,0.30000000000000004,10,0.30000000000000004,0.33,2,0.06,54,1.6099999999999999,50.0,18.519,0.27,1.55,38.46,0.98,33.33,0.45,46.67,0.12,2.38,50.0,10.36,30.46,4.73,1.25,0.15,13.15,3.3,1.34,17.98,67.05,3.9,50.38,4.17,86.43,15.6,70.42,0.89,56.67,15.8,22.34,0.21,1.31,0.06,0.0,0.06,50.0,0.86,1.79,58.33,1.99,49.25,0.15,40.0,1.55,0.54,2.2,78.38,66.33,5.83,0,,0,,0,0.0,0.0,0.0,,,0.0,,7.44,0.0,0.0,0.0,0.0,0,0.0
R. Zandbergen,Rob Zandbergen,212618,Rijnsburgse Boys,Rijnsburgse Boys,https://cdn5.wyscout.com/photos/team/public/g4648_120x120.png,Tweede Divisie,"LCB, LCB3",LCB,52,LCB3,37,,0,34.0,1991-08-24,0,2027-06-30,32,3008,2,2.2800000000000002,2,0.91,16.49,59.53,Netherlands,['Netherlands'],,0,0,False,9.01,5.12,67.84,4.64,50.97,0.66,0.9500000000000001,0.33,4.88,7.03,0.87,4,0.12,0,0.0,0.75,0.06,2,0.06,0.07,0,0.0,17,0.51,17.65,11.765,0.06,0.51,35.29,0.51,35.29,0.0,0.0,0.09,0.63,76.19,3.77,54.76,0.84,1.29,0.0,35.49,0.6000000000000001,1.47,54.48,85.23,23.79,76.35,5.24,93.71,48.68,88.88,5.3,56.5,20.79,37.67,0.03,0.27,0.0,0.09,0.03,0.0,0.12,8.23,72.0,1.2,57.5,0.39,30.77,0.48,0.18,12.87,73.02,93.95,20.76,0,,0,,0,0.0,0.0,0.0,,,2.84,,4.64,0.03,0.03,0.0,0.0,0,0.0
T. Sopacua,Tapmahoe Sopacua,-101403,HHC,HHC,https://cdn5.wyscout.com/photos/team/public/g4669_120x120.png,Tweede Divisie,LB,LB,94,,0,,0,26.0,2000-05-04,0,2027-06-30,33,3006,0,0.26,0,0.61,13.77,52.39,Netherlands,['Netherlands'],right,176,70,False,8.14,6.86,65.07,1.26,28.57,0.0,0.0,0.09,3.68,4.87,0.6000000000000001,3,0.09,0,0.0,1.44,0.0,0,0.0,0.01,0,0.0,10,0.30000000000000004,20.0,0.0,0.0,1.02,29.41,1.02,29.41,0.0,0.0,0.03,1.8900000000000001,53.97,4.04,42.22,0.42,2.63,0.36,26.77,0.84,0.48,39.1,83.0,14.58,72.9,8.32,96.4,33.68,87.56,4.46,60.4,19.76,36.98,0.02,0.27,0.03,0.09,0.06,100.0,0.03,4.64,78.06,1.5899999999999999,56.6,0.33,54.55,0.6000000000000001,0.21,8.98,74.33,90.49,10.39,0,,0,,0,0.0,0.0,0.0,,,1.23,,1.26,0.0,0.0,0.0,0.0,0,0.0
N. Klaver,Nino  Klaver,-364334,Rijnsburgse Boys,Rijnsburgse Boys,https://cdn5.wyscout.com/photos/team/public/g4648_120x120.png,Tweede Divisie,"RCMF, RDMF, DMF",RCMF,32,RDMF,16,DMF,13,24.0,2002-03-22,0,2027-06-30,33,2988,3,2.13,1,1.8599999999999999,12.74,51.06,Netherlands,['Netherlands'],unknown,0,0,False,8.67,6.3,66.51,1.3900000000000001,41.3,0.03,0.04,0.24,4.46,6.5,0.9,1,0.03,0,0.0,0.93,0.09,3,0.09,0.06,0,0.0,37,1.11,29.73,8.108,0.03,1.11,32.43,0.30000000000000004,30.0,0.75,32.0,0.06,0.51,47.06,2.68,35.96,0.93,1.17,0.24,32.8,0.48,0.51,50.09,84.79,14.01,70.97,8.61,96.15,43.83,89.83,5.15,53.22,20.05,35.78,0.06,0.54,0.06,0.0,0.0,0.0,0.24,7.95,73.11,1.51,48.0,0.48,25.0,0.45,0.39,7.26,71.37,90.5,21.23,0,,0,,0,0.0,0.0,0.0,,,1.9300000000000002,,1.3900000000000001,0.06,0.0,0.0,0.21,0,0.0
