Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Ebinger,Leo Ebinger,-825573,Kaiserslautern U17,Kaiserslautern U17,https://cdn5.wyscout.com/photos/team/public/g-4269_120x120.png,U17 Bundesliga,"LCB, LCB3",LCB,84,LCB3,10,,0,16.0,2010-02-10,0,,2,197,0,0.0,0,0.06,14.16,74.19,Germany,['Germany'],,0,0,False,9.14,6.4,71.43,4.57,70.0,0.46,0.6000000000000001,0.91,4.11,5.4,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,100.0,0.0,0.91,0.0,34.26,0.0,1.83,52.08,73.68,26.5,55.17,2.74,83.33,34.72,88.16,17.36,44.74,26.55,38.75,0.03,0.46,0.0,0.0,0.0,0.0,0.46,10.05,40.91,0.46,100.0,0.46,100.0,0.46,0.0,18.73,58.54,95.35,19.64,0,,0,,0,0.0,0.0,0.0,,,2.2800000000000002,,4.57,0.0,0.0,0.0,0.0,0,0
R. Hülsmann,Ray Hülsmann,-872562,Kaiserslautern U17,Kaiserslautern U17,https://cdn5.wyscout.com/photos/team/public/g-4269_120x120.png,U17 Bundesliga,GK,GK,100,,0,,0,,,0,,2,197,0,0.0,0,0.0,2.74,83.33,Germany,['Germany'],unknown,0,0,False,3.65,0.46,0.0,1.37,100.0,0.46,0.6000000000000001,0.0,3.2,4.2,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.51,0.91,1.37,23.3,82.35,15.99,74.29,0.0,0.0,11.88,100.0,11.42,64.0,33.73,46.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74,50.0,0.0,0.0,0.46,100.0,0.0,0.0,9.14,75.0,100.0,6.4,4,1.83,6,2.74,0,33.33,2.44,1.12,-1.56,-0.713,0.0,2.74,1.37,,,,0.0,0,0
E. Bayraktar,Enes  Bayraktar,-812752,Kaiserslautern U17,Kaiserslautern U17,https://cdn5.wyscout.com/photos/team/public/g-4269_120x120.png,U17 Bundesliga,"RCB, RCB3",RCB,84,RCB3,10,,0,16.0,2010-01-05,0,,2,197,0,0.0,0,0.0,8.68,57.89,Germany,"['Germany', 'Türkiye']",right,0,0,False,6.4,3.2,57.14,3.65,50.0,0.46,0.6000000000000001,0.46,4.11,5.4,0.46,1,0.46,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.46,0.0,0.0,22.84,0.0,0.0,38.38,80.95,15.08,66.67,2.2800000000000002,60.0,27.87,83.61,10.51,73.91,23.2,38.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.68,78.95,0.46,0.0,0.0,0.0,0.0,0.0,12.34,59.26,92.5,18.27,0,,0,,0,0.0,0.0,0.0,,,1.37,,3.65,0.0,0.0,0.0,0.0,0,0
D. Schnoor,David Schnoor,-812751,Kaiserslautern U17,Kaiserslautern U17,https://cdn5.wyscout.com/photos/team/public/g-4269_120x120.png,U17 Bundesliga,"DMF, LCMF",DMF,89,LCMF,10,,0,16.0,2010-01-15,0,,2,197,0,0.05,0,0.0,13.25,68.97,Germany,"['Germany', 'Vietnam']",both,174,0,False,5.48,3.2,57.14,3.65,75.0,0.0,0.0,0.46,3.65,4.8,0.46,0,0.0,0,0.0,0.91,0.0,0,0.0,0.02,0,0.0,1,0.46,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,50.0,5.03,63.64,0.0,0.0,0.0,10.05,0.0,1.37,24.67,88.89,6.4,71.43,7.31,100.0,22.84,92.0,1.83,50.0,16.87,27.91,0.0,0.0,0.0,0.46,0.0,0.0,0.0,1.83,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65,25.0,94.44,8.22,0,,0,,0,0.0,0.0,0.0,,,0.91,,3.65,0.0,0.0,0.0,0.46,0,0
M. Cepok,Maximilian Cepok,-872521,Kaiserslautern U17,Kaiserslautern U17,https://cdn5.wyscout.com/photos/team/public/g-4269_120x120.png,U17 Bundesliga,"LB, LWB",LB,88,LWB,11,,0,16.0,2010-09-02,0,,2,186,0,0.22,0,0.0,21.77,48.89,Germany,['Germany'],unknown,0,0,False,11.13,8.71,55.56,4.84,60.0,1.45,1.88,0.0,4.84,6.25,1.94,1,0.48,0,0.0,1.94,0.0,0,0.0,0.11,0,0.0,2,0.97,50.0,0.0,0.0,0.97,50.0,0.97,50.0,0.0,0.0,0.0,2.42,40.0,5.32,27.27,0.48,0.0,0.0,21.77,1.45,0.48,33.39,73.91,19.35,62.5,4.35,88.89,26.61,76.36,5.8100000000000005,66.67,21.46,41.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.71,66.67,0.97,50.0,0.0,0.0,0.0,0.48,11.13,73.91,100.0,5.8100000000000005,0,,0,,0,0.0,0.0,0.0,,,0.48,,4.84,0.0,0.0,0.0,0.0,0,0
V. Hahn,Valentin Silas  Hahn,-832869,Kaiserslautern U17,Kaiserslautern U17,https://cdn5.wyscout.com/photos/team/public/g-4269_120x120.png,U17 Bundesliga,LCMF,LCMF,100,,0,,0,16.0,2010-06-05,0,,2,176,1,1.29,1,0.2,24.55,39.58,Germany,['Germany'],,174,0,False,7.16,7.67,53.33,2.56,20.0,0.51,0.67,0.0,2.56,3.33,3.58,2,1.02,0,0.0,5.11,0.51,0,0.0,0.66,0,0.0,6,3.07,50.0,16.667,0.51,0.51,100.0,0.51,100.0,0.0,0.0,0.0,5.63,54.55,13.81,37.04,2.05,0.0,0.0,10.74,1.02,1.53,18.92,81.08,5.11,60.0,5.63,90.91,16.36,87.5,2.05,25.0,18.4,42.26,0.1,1.53,0.0,0.51,0.51,0.0,0.51,5.11,80.0,2.56,80.0,1.02,0.0,1.02,0.51,4.6,100.0,88.89,4.6,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.56,3.07,0.51,100.0,2.56,1,100
J. Rheinfrank,Julien Rheinfrank,-872566,Kaiserslautern U17,Kaiserslautern U17,https://cdn5.wyscout.com/photos/team/public/g-4269_120x120.png,U17 Bundesliga,"RW, LW, RCMF",RW,56,LW,30,RCMF,13,,,0,,2,154,1,0.25,0,0.0,19.87,52.94,Germany,['Germany'],unknown,0,0,False,8.77,4.09,100.0,0.58,0.0,1.17,1.54,0.0,3.51,4.62,0.58,0,0.0,0,0.0,3.51,0.58,1,0.58,0.14,0,0.0,2,1.17,100.0,50.0,0.0,0.58,0.0,0.0,0.0,0.58,0.0,0.0,2.92,80.0,11.1,36.84,2.92,2.92,0.0,7.6,1.75,3.51,12.86,45.45,7.01,41.67,1.75,33.33,8.77,53.33,3.51,33.33,22.38,31.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,25.0,1.75,66.67,0.58,0.0,1.17,0.0,4.09,71.43,66.67,3.51,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.58,0.0,0.0,0.0,0.0,0,0
M. Schug,Mattis Schug,-818331,Kaiserslautern U17,Kaiserslautern U17,https://cdn5.wyscout.com/photos/team/public/g-4269_120x120.png,U17 Bundesliga,RCMF,RCMF,100,,0,,0,,,0,,2,144,0,0.27,0,0.22,15.63,36.0,Germany,['Germany'],,0,0,False,7.5,4.38,57.14,4.38,28.57,0.63,0.79,0.63,4.38,5.53,0.63,0,0.0,0,0.0,1.88,0.0,0,0.0,0.17,0,0.0,4,2.5,50.0,0.0,0.0,2.5,0.0,0.63,0.0,1.88,0.0,0.0,1.88,33.33,5.0,37.5,3.13,0.0,0.0,11.25,1.88,0.63,20.63,78.79,7.5,83.33,5.0,100.0,16.25,88.46,1.88,100.0,19.8,36.04,0.13,1.25,0.0,0.0,0.0,0.0,0.63,1.88,100.0,2.5,0.0,0.0,0.0,0.63,0.0,5.0,75.0,58.33,7.5,0,,0,,0,0.0,0.0,0.0,,,1.25,,4.38,0.63,0.0,0.0,1.88,0,0
L. Mutsch,Leon Mutsch,-872563,Kaiserslautern U17,Kaiserslautern U17,https://cdn5.wyscout.com/photos/team/public/g-4269_120x120.png,U17 Bundesliga,"LW, RW",LW,67,RW,32,,0,,,0,,2,140,0,0.55,1,0.34,30.21,40.43,Germany,['Germany'],unknown,0,0,False,10.29,10.29,50.0,1.9300000000000002,33.33,1.9300000000000002,2.37,0.0,3.21,3.95,3.86,1,0.64,0,0.0,3.21,0.0,0,0.0,0.35000000000000003,0,0.0,4,2.5700000000000003,25.0,0.0,0.64,3.21,20.0,1.29,0.0,1.9300000000000002,33.33,0.0,5.14,37.5,13.5,28.57,5.14,6.43,0.64,19.29,1.9300000000000002,1.29,22.5,65.71,5.79,77.78,7.71,91.67,18.0,71.43,1.29,100.0,18.41,19.2,0.22,1.29,0.0,0.0,0.0,0.0,1.9300000000000002,2.5700000000000003,100.0,0.0,0.0,0.0,0.0,0.64,0.64,4.5,85.71,75.0,5.14,0,,0,,0,0.0,0.0,0.0,,,0.64,,1.9300000000000002,0.0,0.0,0.0,1.29,0,0
J. Aghajanyan,Joel Aghajanyan,-872548,Kaiserslautern U17,Kaiserslautern U17,https://cdn5.wyscout.com/photos/team/public/g-4269_120x120.png,U17 Bundesliga,"RB, RWF",RB,84,RWF,15,,0,16.0,2010-03-30,0,,2,134,1,0.55,0,0.08,12.76,47.37,Germany,['Germany'],unknown,0,0,False,7.39,4.03,50.0,3.36,20.0,0.0,0.0,0.67,5.37,7.27,0.0,0,0.0,0,0.0,3.36,0.67,1,0.67,0.37,0,0.0,2,1.34,100.0,50.0,0.0,2.01,66.67,0.0,0.0,2.01,66.67,0.0,2.01,33.33,4.03,50.0,0.67,0.67,0.0,21.49,2.01,0.67,32.24,77.08,14.78,77.27,3.36,100.0,26.87,80.0,3.36,60.0,21.29,38.95,0.05,0.67,0.67,0.0,0.0,0.0,0.67,5.37,75.0,3.36,40.0,0.0,0.0,0.0,1.34,6.72,70.0,64.29,9.4,0,,0,,0,0.0,0.0,0.0,,,0.67,,3.36,0.0,0.0,0.0,0.0,0,0
