Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
B. Ergashev,Botirali Ergashev,383045,Neftchi,Neftchi,https://cdn5.wyscout.com/photos/team/public/4225_120x120.png,Super League,GK,GK,100,,0,,0,31.0,1995-06-23,0,2027-12-31,15,1473,0,0.0,0,0.0,0.31,80.0,Uzbekistan,['Uzbekistan'],right,189,87,False,1.34,0.06,100.0,0.12,100.0,0.06,0.1,0.0,1.22,2.05,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,10.02,0.24,0.12,17.9,78.5,11.67,69.11,0.0,0.0,11.73,97.92,6.17,41.58,30.83,47.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4100000000000001,30.43,0.24,0.0,0.12,0.0,0.0,0.0,4.64,55.26,95.51,5.44,6,0.37,37,2.26,9,83.78,9.3,0.5700000000000001,3.3,0.202,0.0,1.1,0.12,,,,0.0,0,0
D. Akhmadaliev,Dilshod Akhmadaliev,405990,AGMK,AGMK,https://cdn5.wyscout.com/photos/team/public/4231_120x120.png,Super League,RB,RB,89,,0,,0,31.0,1994-11-02,350000,2026-12-31,15,1468,0,0.34,0,0.91,11.59,53.97,Uzbekistan,['Uzbekistan'],right,172,66,False,7.54,4.11,67.16,2.21,41.67,0.18,0.27,0.31,4.6,6.72,0.31,0,0.0,0,0.0,1.9,0.0,0,0.0,0.02,0,0.0,4,0.25,50.0,0.0,0.0,2.51,39.02,0.0,0.0,2.51,39.02,0.43,1.23,60.0,3.43,46.43,0.86,1.78,0.31,31.21,2.45,1.1,45.06,79.73,16.55,70.74,6.5,93.4,37.95,85.78,4.78,51.28,19.56,37.01,0.06,0.55,0.06,0.0,0.06,100.0,0.31,5.95,64.95,2.76,48.89,0.25,25.0,0.55,0.86,9.56,76.28,84.58,13.92,0,,0,,0,0.0,0.0,0.0,,,0.92,,2.21,0.06,0.0,0.0,0.06,0,0
S. Khamidzhonov,Sunnatillokh Khamidzhonov,-248929,Xorazm,Xorazm,https://cdn5.wyscout.com/photos/team/public/g7747_120x120.png,Super League,RB,RB,93,,0,,0,25.0,2001-01-08,0,2026-12-31,15,1460,1,0.89,1,0.76,12.14,56.35,Uzbekistan,['Uzbekistan'],,0,0,True,8.2,6.1,66.67,2.59,50.0,0.12,0.17,0.43,4.01,5.4,0.86,3,0.18,0,0.0,0.55,0.06,1,0.06,0.05,0,0.0,9,0.55,22.22,11.111,0.06,0.8,15.38,0.12,50.0,0.68,9.09,0.25,0.55,55.56,2.4,43.59,1.3599999999999999,0.55,0.06,23.18,0.62,0.86,32.73,78.34,12.33,64.0,5.79,95.74,27.18,86.62,4.8100000000000005,41.03,19.65,37.48,0.05,0.31,0.0,0.0,0.0,0.0,0.12,5.05,64.63,1.42,13.04,0.0,0.0,0.31,0.18,6.41,60.58,85.12,10.36,0,,0,,0,0.0,0.0,0.0,,,0.43,,2.59,0.06,0.0,0.0,0.25,0,0
G. Papava,Giorgi Papava,217684,AGMK,AGMK,https://cdn5.wyscout.com/photos/team/public/4231_120x120.png,Super League,"LDMF, DMF, RDMF",LDMF,37,DMF,29,RDMF,19,33.0,1993-02-16,125000,2026-12-31,15,1453,0,1.9100000000000001,1,0.74,13.13,53.3,Georgia,['Georgia'],right,186,73,False,7.99,5.95,61.46,3.84,48.39,0.25,0.36,0.56,4.09,5.98,1.49,1,0.06,0,0.0,0.68,0.0,0,0.0,0.12,0,0.0,16,0.99,25.0,0.0,0.06,0.5,25.0,0.37,33.33,0.12,0.0,0.06,0.5,62.5,2.04,51.52,0.74,0.37,0.0,27.63,0.31,0.74,39.95,86.36,13.57,76.71,3.96,93.75,35.93,90.86,3.5300000000000002,49.12,18.84,35.64,0.05,0.43,0.0,0.0,0.0,0.0,0.12,7.5600000000000005,79.51,1.11,33.33,0.12,0.0,0.31,0.12,5.82,70.21,90.15,16.97,0,,0,,0,0.0,0.0,0.0,,,0.25,,3.84,0.06,0.06,0.0,0.0,0,0
O. Rustamov,Oybek Rustamov,442026,Nasaf,Nasaf,https://cdn5.wyscout.com/photos/team/public/3637_120x120.png,Super League,"DMF, LCMF, LDMF",DMF,40,LCMF,27,LDMF,11,29.0,1997-04-02,0,2028-12-31,15,1435,1,0.98,1,0.54,14.86,51.05,Uzbekistan,['Uzbekistan'],,0,0,False,7.84,7.09,53.98,2.13,58.82,0.44,0.6000000000000001,0.25,3.5700000000000003,4.87,1.82,2,0.13,0,0.0,0.88,0.06,1,0.06,0.06,0,0.0,19,1.19,21.05,5.263,0.06,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.9400000000000001,66.67,3.7,45.76,1.13,0.8200000000000001,0.19,37.07,0.31,0.75,50.17,88.38,12.61,78.61,7.84,92.0,46.1,90.61,4.01,64.06,17.93,37.16,0.03,0.5,0.0,0.06,0.0,0.0,0.13,7.59,82.64,0.6900000000000001,54.55,0.13,0.0,0.5,0.0,5.77,68.48,93.77,21.14,0,,0,,0,0.0,0.0,0.0,,,1.13,,2.13,0.0,0.0,0.0,0.0,0,0
A. Ulmasaliev,Avazbek Ulmasaliev,507274,AGMK,AGMK,https://cdn5.wyscout.com/photos/team/public/4231_120x120.png,Super League,"LCB, LCB3",LCB,87,LCB3,10,,0,26.0,2000-03-27,350000,,15,1418,2,3.38,0,0.18,11.3,58.99,Uzbekistan,['Uzbekistan'],,0,0,False,9.33,5.01,64.56,2.41,60.53,0.25,0.37,0.89,5.84,8.54,0.51,3,0.19,0,0.0,1.1400000000000001,0.13,2,0.13,0.21,2,0.13,14,0.89,35.71,14.286,0.0,0.51,12.5,0.32,20.0,0.13,0.0,0.0,1.08,64.71,2.16,58.82,0.8300000000000001,1.4,0.19,35.73,0.63,0.63,49.63,88.62,19.1,81.4,2.41,97.37,44.49,93.01,4.76,53.33,20.81,35.93,0.01,0.25,0.0,0.0,0.06,100.0,0.19,8.0,73.81,1.02,25.0,0.25,50.0,0.25,0.19,7.87,76.61,94.69,22.72,0,,0,,0,0.0,0.0,0.0,,,1.52,,2.41,0.06,0.0,0.0,0.0,0,0
M. Rom,Matija Rom,374731,Xorazm,Xorazm,https://cdn5.wyscout.com/photos/team/public/g7747_120x120.png,Super League,RCB,RCB,92,,0,,0,27.0,1998-11-01,225000,2026-12-31,15,1413,0,0.37,0,0.0,11.27,60.45,Slovenia,['Slovenia'],right,184,79,False,6.37,5.16,70.37,3.44,46.3,0.06,0.09,0.38,2.68,3.58,0.19,1,0.06,0,0.0,0.13,0.0,0,0.0,0.02,0,0.0,3,0.19,33.33,0.0,0.0,0.19,0.0,0.0,0.0,0.19,0.0,0.06,0.13,50.0,1.15,44.44,0.25,2.36,0.19,31.21,0.96,0.25,44.33,83.05,18.98,69.46,3.8200000000000003,91.67,36.94,91.55,7.2,41.59,22.73,44.3,0.0,0.0,0.0,0.06,0.0,0.0,0.0,6.88,56.48,0.96,13.33,0.25,25.0,0.06,0.0,8.03,65.08,93.45,17.52,0,,0,,0,0.0,0.0,0.0,,,1.97,,3.44,0.0,0.0,0.0,0.0,0,0
A. Kozlov,Aleksey Kozlov,477092,Lokomotiv Tashkent,Lokomotiv Tashkent,https://cdn5.wyscout.com/photos/team/public/4223_120x120.png,Super League,GK,GK,100,,0,,0,27.0,1999-01-23,150000,2026-12-31,15,1406,0,0.0,0,0.0,0.51,75.0,Russia,['Russia'],left,188,79,False,1.6,0.06,100.0,0.19,100.0,0.06,0.09,0.0,1.47,2.11,0.0,2,0.13,1,0.06,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,50.0,0.0,0.0,0.0,20.68,0.26,0.13,29.64,81.86,15.68,69.8,0.06,100.0,19.59,96.41,10.05,53.5,31.13,49.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,51.92,0.45,28.57,0.19,66.67,0.13,0.0,7.17,66.07,96.0,12.8,20,1.28,54,3.46,3,62.96,16.24,1.04,-3.76,-0.241,0.0,1.73,0.19,,,,0.0,0,0
Z. Abdirakhmatov,Zafarmurod Abdirakhmatov,-335017,Nasaf,Nasaf,https://cdn5.wyscout.com/photos/team/public/3637_120x120.png,Super League,"RB, RWB, RB5",RB,35,RWB,30,RB5,14,23.0,2003-04-28,0,2027-12-31,15,1405,1,2.15,2,1.55,14.48,52.65,Uzbekistan,['Uzbekistan'],right,170,63,False,7.37,5.44,63.53,1.22,68.42,0.06,0.09,0.13,3.84,5.2,0.64,1,0.06,0,0.0,3.27,0.06,1,0.06,0.14,0,0.0,17,1.09,41.18,5.882,0.13,2.69,50.0,0.96,53.33,1.73,48.15,0.32,2.5,58.97,5.96,46.24,1.8599999999999999,3.2,0.58,33.69,3.07,0.8300000000000001,42.53,82.23,12.75,69.85,10.06,96.18,34.98,89.19,5.19,50.62,20.03,41.4,0.1,1.02,0.06,0.06,0.0,0.0,0.45,5.96,65.59,3.01,59.57,0.19,33.33,1.15,1.22,8.39,80.15,81.5,12.81,0,,0,,0,0.0,0.0,0.0,,,0.58,,1.22,0.26,0.0,0.0,0.77,1,0
Z. Dzhuraboev,Zoir Dzhuraboev,465673,Sogdiana,Sogdiana,https://cdn5.wyscout.com/photos/team/public/4221_120x120.png,Super League,"LB, LCB",LB,74,LCB,10,,0,27.0,1998-09-16,0,2026-12-31,15,1402,1,0.8200000000000001,1,0.23,12.65,57.36,Tajikistan,['Tajikistan'],left,184,76,False,9.05,5.84,73.63,3.85,48.33,0.51,0.6000000000000001,0.58,4.24,4.93,0.71,1,0.06,0,0.0,0.8300000000000001,0.06,1,0.06,0.05,0,0.0,7,0.45,42.86,14.286,0.06,0.9,50.0,0.9,50.0,0.0,0.0,0.0,0.26,75.0,1.54,41.67,0.96,0.64,0.06,17.4,1.03,0.8300000000000001,27.35,74.88,13.99,63.3,3.21,96.0,22.15,84.35,4.43,33.33,21.09,44.13,0.01,0.13,0.06,0.0,0.0,0.0,0.13,4.94,49.35,1.09,41.18,0.06,0.0,0.19,0.32,6.36,57.58,87.85,6.87,0,,0,,0,0.0,0.0,0.0,,,0.58,,3.85,0.0,0.0,0.0,0.0,0,0
