Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Swindell,Alex Swindell,-601152,Holywell,Holywell,https://cdn5.wyscout.com/photos/team/public/g2724_120x120.png,Premier League,GK,GK,100,,0,,0,25.0,2001-07-01,0,,6,614,0,0.0,0,0.0,2.49,76.47,Wales,['Wales'],unknown,0,0,False,1.32,0.29,0.0,1.32,100.0,0.0,0.0,0.0,1.32,1.78,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,50.0,0.0,0.0,0.0,8.5,0.15,0.59,15.83,79.63,10.7,72.6,0.0,0.0,8.06,92.73,7.62,67.31,36.68,50.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96,62.96,0.15,0.0,0.29,50.0,0.0,0.0,6.01,82.93,93.55,4.54,26,3.81,51,7.48,0,49.02,17.76,2.6,-8.24,-1.208,0.0,2.93,1.32,,,,0.0,0,0
T. Bibby,Thomas Bibby,392364,Holywell,Holywell,https://cdn5.wyscout.com/photos/team/public/g2724_120x120.png,Premier League,"RCB3, LCB3, LCB",RCB3,53,LCB3,17,LCB,16,28.0,1998-03-17,0,,6,614,0,0.0,0,0.09,14.51,55.56,Wales,['Wales'],,183,73,False,9.82,6.74,58.7,4.1,57.14,0.88,1.18,1.03,4.98,6.71,0.73,3,0.44,0,0.0,0.15,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,1.6099999999999999,36.36,0.15,0.15,0.15,14.07,0.59,0.44,27.26,68.28,15.1,58.25,1.9100000000000001,100.0,19.35,78.79,7.92,42.59,24.7,38.12,0.01,0.29,0.0,0.0,0.0,0.0,0.0,5.42,45.95,0.15,0.0,0.0,0.0,0.0,0.0,7.48,58.82,75.44,8.36,0,,0,,0,0.0,0.0,0.0,,,1.32,,4.1,0.0,0.0,0.0,0.0,0,0
J. Torrance,Joel Torrance,-160129,Llandudno,Llandudno,https://cdn5.wyscout.com/photos/team/public/g4988_120x120.png,Premier League,GK,GK,100,,0,,0,24.0,2002-04-02,25000,2027-05-31,6,598,0,0.0,0,0.0,0.9,83.33,England,['England'],right,195,84,False,2.26,0.45,100.0,0.30000000000000004,100.0,0.0,0.0,0.0,1.81,3.27,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.88,0.0,0.0,18.81,80.8,14.45,77.08,0.15,0.0,7.22,95.83,11.59,71.43,41.29,51.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82,56.25,0.30000000000000004,0.0,0.30000000000000004,0.0,0.0,0.0,8.88,91.53,100.0,4.06,7,1.05,19,2.86,2,63.16,5.93,0.89,-1.07,-0.161,0.0,1.81,0.30000000000000004,,,,0.0,0,0
K. Lloyd,Kieran Lloyd,-144582,Llandudno,Llandudno,https://cdn5.wyscout.com/photos/team/public/g4988_120x120.png,Premier League,"LWB, LB5",LWB,57,LB5,33,,0,23.0,2002-10-13,0,2027-05-31,6,598,0,0.74,1,0.30000000000000004,10.84,52.78,England,['England'],right,0,0,False,3.31,4.36,55.17,1.81,50.0,0.0,0.0,0.15,0.9,1.6400000000000001,1.2,1,0.15,0,0.0,0.75,0.0,0,0.0,0.11,0,0.0,9,1.35,11.11,0.0,0.15,1.2,12.5,0.9,16.67,0.30000000000000004,0.0,0.15,0.45,66.67,3.46,52.17,0.75,0.6000000000000001,0.0,13.55,0.30000000000000004,0.6000000000000001,24.98,80.12,7.68,62.75,9.03,93.33,20.92,87.05,2.86,57.89,18.86,38.32,0.04,0.6000000000000001,0.0,0.0,0.15,100.0,0.30000000000000004,1.51,50.0,1.35,44.44,0.15,100.0,0.45,0.15,3.01,80.0,78.95,5.72,0,,0,,0,0.0,0.0,0.0,,,0.6000000000000001,,1.81,0.0,0.0,0.0,0.0,0,0
J. Flint,Jack Flint,-363507,Flint Town United,Flint Town United,https://cdn5.wyscout.com/photos/team/public/g4982_120x120.png,Premier League,GK,GK,100,,0,,0,21.0,2004-12-18,0,2027-05-31,6,594,0,0.0,0,0.0,0.91,83.33,England,['England'],unknown,0,0,False,1.06,0.0,0.0,0.45,100.0,0.0,0.0,0.0,1.06,1.49,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,100.0,0.0,0.0,0.0,13.94,0.30000000000000004,0.15,22.88,82.12,15.91,75.24,0.0,0.0,10.15,98.51,12.58,69.88,40.28,53.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.73,68.63,0.30000000000000004,0.0,1.06,71.43,0.15,0.0,9.55,88.89,100.0,6.21,11,1.67,39,5.91,0,71.79,9.3,1.4100000000000001,-1.7000000000000002,-0.258,0.0,3.18,0.45,,,,0.0,0,0
H. Owen,Harry Owen,-267237,Flint Town United,Flint Town United,https://cdn5.wyscout.com/photos/team/public/g4982_120x120.png,Premier League,"CB, RCB3, RCB",CB,65,RCB3,17,RCB,16,23.0,2003-07-14,0,,6,594,0,0.88,0,0.34,22.27,59.18,Wales,['Wales'],unknown,0,0,False,12.42,6.67,75.0,8.48,55.36,0.61,0.85,1.67,6.82,9.57,0.45,2,0.30000000000000004,0,0.0,0.30000000000000004,0.0,0,0.0,0.13,0,0.0,4,0.61,25.0,0.0,0.0,0.15,100.0,0.0,0.0,0.15,100.0,0.0,0.15,0.0,1.67,36.36,2.12,0.61,0.30000000000000004,18.48,0.15,0.45,36.36,73.75,19.39,60.16,1.82,100.0,28.33,80.21,7.88,50.0,22.48,38.98,0.05,0.45,0.0,0.0,0.0,0.0,0.0,6.97,43.48,0.91,33.33,0.76,20.0,0.45,0.15,7.88,59.62,87.18,11.82,0,,0,,0,0.0,0.0,0.0,,,1.06,,8.48,0.0,0.0,0.0,0.0,0,0
D. Higgs,Danny Higgs,-536597,Penybont,Penybont,https://cdn5.wyscout.com/photos/team/public/g25285_120x120.png,Premier League,GK,GK,100,,0,,0,18.0,2007-09-14,0,,6,594,0,0.0,0,0.0,1.67,72.73,Wales,['Wales'],,0,0,True,1.3599999999999999,0.0,0.0,1.3599999999999999,77.78,0.0,0.0,0.0,1.3599999999999999,2.06,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,15.61,0.15,0.15,27.12,83.8,14.09,70.97,0.0,0.0,17.58,99.14,9.55,55.56,33.98,53.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09,59.26,0.30000000000000004,0.0,0.45,66.67,0.15,0.0,6.21,75.61,97.4,11.67,5,0.76,24,3.64,2,79.17,5.9,0.89,0.9,0.136,0.0,1.3599999999999999,1.3599999999999999,,,,0.0,0,0
T. Meyhew,Tom Mehew,-197602,Penybont,Penybont,https://cdn5.wyscout.com/photos/team/public/g25285_120x120.png,Premier League,LDMF,LDMF,88,,0,,0,25.0,2001-05-26,0,2027-05-31,6,594,4,1.53,1,0.65,14.55,59.38,England,['England'],right,181,65,False,8.79,4.7,67.74,3.18,47.62,0.61,0.92,0.0,5.0,7.5600000000000005,0.45,1,0.15,0,0.0,2.12,0.61,4,0.61,0.23,0,0.0,9,1.3599999999999999,55.56,44.444,0.15,0.76,60.0,0.45,33.33,0.30000000000000004,100.0,0.0,1.3599999999999999,66.67,4.55,53.33,1.52,2.42,0.30000000000000004,36.52,0.76,0.91,52.42,81.79,23.48,74.19,4.24,92.86,45.3,85.62,6.36,57.14,19.51,38.41,0.1,0.91,0.15,0.0,0.0,0.0,0.30000000000000004,13.64,70.0,3.33,54.55,0.61,75.0,2.42,0.30000000000000004,13.64,85.56,91.3,17.42,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.18,0.15,0.0,0.0,0.0,0,0
M. Davies,Mael Davies,453036,Penybont,Penybont,https://cdn5.wyscout.com/photos/team/public/g25285_120x120.png,Premier League,RB,RB,92,,0,,0,27.0,1998-10-10,0,2027-05-31,6,594,0,0.32,1,0.87,14.24,55.32,Wales,['Wales'],,0,0,False,8.94,6.06,55.0,2.12,78.57,0.15,0.23,0.30000000000000004,5.45,8.24,0.91,2,0.30000000000000004,0,0.0,1.97,0.0,0,0.0,0.05,0,0.0,4,0.61,50.0,0.0,0.15,4.09,25.93,0.0,0.0,4.09,25.93,0.91,1.3599999999999999,44.44,3.64,50.0,1.67,1.67,0.45,28.79,2.42,0.76,39.09,72.09,16.21,62.62,6.97,100.0,29.7,82.65,5.3,48.57,20.89,38.33,0.13,0.76,0.0,0.0,0.0,0.0,0.45,7.12,57.45,4.24,32.14,0.15,0.0,0.45,1.06,9.24,65.57,68.06,10.91,0,,0,,0,0.0,0.0,0.0,,,0.76,,2.12,0.0,0.0,0.0,0.0,0,0
M. Melbourne,Max Melbourne,453150,Penybont,Penybont,https://cdn5.wyscout.com/photos/team/public/g25285_120x120.png,Premier League,LCB,LCB,92,,0,,0,27.0,1998-10-24,100000,2027-05-31,6,594,1,0.09,0,0.0,16.36,58.33,England,"['England', 'Wales']",left,178,65,False,7.42,5.61,64.86,5.76,65.79,0.0,0.0,0.30000000000000004,3.79,5.73,0.76,1,0.15,0,0.0,0.61,0.15,1,0.15,0.01,1,0.15,1,0.15,100.0,100.0,0.0,0.45,33.33,0.45,33.33,0.0,0.0,0.0,0.30000000000000004,100.0,2.27,26.67,0.76,0.91,0.0,33.18,0.30000000000000004,0.61,45.76,88.08,15.91,78.1,2.88,78.95,39.55,92.34,5.91,61.54,22.05,40.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88,68.42,0.45,33.33,0.0,0.0,0.0,0.15,8.79,60.34,95.39,23.03,0,,0,,0,0.0,0.0,0.0,,,1.52,,5.76,0.0,0.0,0.0,0.0,0,0
