Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Palmateer,Luke Palmateer,-45999,Bayswater City,Bayswater City,https://cdn5.wyscout.com/photos/team/public/g18356_120x120.png,Western Australia NPL,"LCB, RCB",LCB,74,RCB,22,,0,31.0,1994-06-27,0,,11,1083,2,1.03,0,0.54,21.86,68.82,United States,['United States'],,191,86,False,9.97,6.9,74.7,10.06,72.73,0.42,0.61,0.17,4.4,6.46,1.0,2,0.17,0,0.0,0.42,0.17,2,0.17,0.09,1,0.08,8,0.66,25.0,25.0,0.0,0.33,50.0,0.17,50.0,0.17,50.0,0.17,0.08,100.0,1.6600000000000001,45.0,1.58,0.58,0.0,19.94,0.33,0.75,36.57,82.27,19.61,75.0,1.6600000000000001,95.0,26.84,90.4,9.39,60.18,24.7,40.77,0.04,0.33,0.0,0.17,0.0,0.0,0.25,7.5600000000000005,67.03,1.25,40.0,0.66,50.0,0.66,0.17,10.14,75.41,93.75,11.97,0,,0,,0,0.0,0.0,0.0,,,0.91,,10.06,0.0,0.0,0.0,0.0,0,0
D. Hughes,Declan Hughes,-190615,Bayswater City,Bayswater City,https://cdn5.wyscout.com/photos/team/public/g18356_120x120.png,Western Australia NPL,"RCMF, RDMF, LCMF",RCMF,35,RDMF,17,LCMF,15,25.0,2000-05-27,0,,11,1068,2,1.05,4,4.97,12.89,63.4,Australia,['Australia'],,0,0,False,8.17,6.66,65.82,2.61,54.84,0.59,0.86,0.0,3.2,4.69,1.35,3,0.25,0,0.0,1.52,0.17,1,0.08,0.09,0,0.0,11,0.93,18.18,18.182,0.34,2.19,42.31,0.84,30.0,1.35,50.0,0.76,0.51,83.33,2.19,69.23,0.34,0.34,0.0,27.98,0.51,0.93,44.58,81.47,18.62,73.3,4.8,98.25,33.62,90.23,8.85,57.14,22.56,39.05,0.42,2.61,0.17,0.17,0.08,0.0,0.34,10.79,66.41,4.97,54.24,1.6,31.58,1.77,0.84,10.62,86.51,85.85,17.28,0,,0,,0,0.0,0.0,0.0,,,0.17,,2.61,3.88,0.25,0.0,3.62,1,100
C. Barker,Craig  Barker,-819526,Armadale,Armadale,https://cdn5.wyscout.com/photos/team/public/g10515_120x120.png,Western Australia NPL,RCB,RCB,91,,0,,0,,,0,,11,1063,2,1.34,1,0.0,13.12,63.23,Australia,['Australia'],unknown,0,0,False,8.89,3.98,63.83,4.15,69.39,0.76,1.04,0.17,5.59,7.64,0.59,0,0.0,0,0.0,1.27,0.17,2,0.17,0.11,1,0.08,14,1.19,21.43,14.286,0.08,0.17,50.0,0.0,0.0,0.17,50.0,0.0,1.35,68.75,3.56,61.9,1.02,1.44,0.17,20.83,0.17,1.27,35.98,71.53,18.8,59.46,2.71,90.63,27.52,80.31,8.3,42.86,25.58,47.93,0.0,0.08,0.0,0.0,0.0,0.0,0.0,7.96,51.06,1.44,23.53,0.76,11.11,0.17,0.08,11.26,60.9,87.68,11.68,0,,0,,0,0.0,0.0,0.0,,,1.78,,4.15,0.34,0.08,0.0,0.0,0,0
C. Murray,Cameron Murray,522804,Armadale,Armadale,https://cdn5.wyscout.com/photos/team/public/g10515_120x120.png,Western Australia NPL,LCB,LCB,91,,0,,0,26.0,1999-10-01,0,,11,1063,0,0.14,0,0.05,13.55,57.5,Australia,['Australia'],,0,0,False,8.72,5.16,67.21,4.23,54.0,0.17,0.23,0.76,5.08,6.95,0.25,2,0.17,0,0.0,0.42,0.0,0,0.0,0.01,0,0.0,3,0.25,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.59,71.43,2.62,45.16,0.25,0.85,0.17,23.2,0.17,0.59,35.73,80.81,15.32,63.54,2.37,92.86,27.35,92.26,8.3,43.88,25.17,42.14,0.0,0.17,0.0,0.0,0.0,0.0,0.0,6.1,43.06,0.76,0.0,0.42,0.0,0.0,0.0,7.2,76.47,94.8,14.65,0,,0,,0,0.0,0.0,0.0,,,1.44,,4.23,0.0,0.0,0.0,0.0,0,0
L. Collins,Lachlan Collins,-258817,Dianella White Eagles,Dianella White Eagles,https://cdn5.wyscout.com/photos/team/public/g27091_120x120.png,Western Australia NPL,RB,RB,100,,0,,0,21.0,2004-08-19,0,,11,1062,0,0.19,1,1.12,16.19,55.5,Australia,['Australia'],,0,0,False,8.31,5.42,65.63,4.83,56.14,0.17,0.28,0.42,4.58,7.57,0.34,0,0.0,0,0.0,1.8599999999999999,0.0,0,0.0,0.02,0,0.0,2,0.17,0.0,0.0,0.08,2.63,38.71,0.0,0.0,2.63,38.71,0.51,1.53,55.56,4.15,40.82,0.34,0.51,0.0,19.66,1.69,1.02,32.37,69.11,16.53,57.44,5.08,91.67,22.37,82.58,7.46,38.64,24.83,44.52,0.09,0.59,0.08,0.0,0.0,0.0,0.34,7.54,57.3,3.64,37.21,0.42,20.0,0.42,0.93,9.75,74.78,76.84,8.05,0,,0,,0,0.0,0.0,0.0,,,1.1,,4.83,0.08,0.0,0.0,0.0,0,0
R. Dowling,Ronan Dowling,-593771,Sorrento,Sorrento,https://cdn5.wyscout.com/photos/team/public/g10523_120x120.png,Western Australia NPL,"LB, LCB",LB,77,LCB,18,,0,,,0,,11,1057,0,0.11,0,0.12,18.99,57.85,Republic of Ireland,['Republic of Ireland'],,0,0,False,14.39,9.11,69.16,2.81,72.73,0.6000000000000001,0.63,0.51,7.49,7.93,0.51,1,0.09,0,0.0,0.43,0.0,0,0.0,0.01,0,0.0,2,0.17,0.0,0.0,0.0,0.51,0.0,0.51,0.0,0.0,0.0,0.26,0.6000000000000001,71.43,5.28,35.48,0.17,1.02,0.34,13.45,0.51,0.85,24.52,75.0,12.43,63.01,3.15,91.89,19.16,84.0,4.85,47.37,20.75,36.06,0.01,0.17,0.0,0.09,0.0,0.0,0.0,2.64,48.39,0.68,25.0,0.09,100.0,0.09,0.09,6.39,53.33,89.39,5.62,0,,0,,0,0.0,0.0,0.0,,,0.43,,2.81,0.09,0.0,0.0,0.0,0,0
B. Ratajczak,Benjamin Ratajczak,-196224,Sorrento,Sorrento,https://cdn5.wyscout.com/photos/team/public/g10523_120x120.png,Western Australia NPL,GK,GK,100,,0,,0,22.0,2003-07-25,0,,11,1057,0,0.0,0,0.0,0.9400000000000001,72.73,Australia,['Australia'],,0,0,False,2.04,0.0,0.0,0.77,66.67,0.0,0.0,0.0,2.04,2.16,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,8.26,0.17,0.17,16.86,80.81,9.96,70.09,0.0,0.0,10.39,98.36,6.47,52.63,32.41,48.07,0.0,0.0,0.0,0.09,0.0,0.0,0.0,1.19,28.57,0.17,0.0,0.09,0.0,0.0,0.0,5.45,64.06,95.71,5.96,20,1.7000000000000002,60,5.11,3,66.67,14.86,1.27,-5.14,-0.438,0.0,2.04,0.77,,,,0.0,0,0
S. Mitchinson,Sam Mitchinson,235356,Bayswater City,Bayswater City,https://cdn5.wyscout.com/photos/team/public/g18356_120x120.png,Western Australia NPL,LB,LB,96,,0,,0,33.0,1992-09-26,0,,11,1045,0,0.19,0,0.23,9.9,59.13,England,"['England', 'Australia']",left,180,70,False,6.98,5.86,67.65,1.6400000000000001,42.11,0.26,0.38,0.09,2.76,4.0,1.03,1,0.09,0,0.0,1.72,0.0,0,0.0,0.02,0,0.0,6,0.52,16.67,0.0,0.0,2.67,45.16,2.67,45.16,0.0,0.0,0.09,0.52,83.33,1.12,53.85,0.34,0.09,0.0,15.33,0.34,0.26,26.27,72.46,12.57,65.75,4.31,92.0,18.6,82.87,5.08,49.15,20.88,34.02,0.02,0.52,0.0,0.0,0.0,0.0,0.09,4.48,59.62,2.67,54.84,0.34,25.0,0.43,1.03,6.98,70.37,72.97,6.37,0,,0,,0,0.0,0.0,0.0,,,0.43,,1.6400000000000001,0.0,0.0,0.0,0.0,0,0
S. Njegic,Sasa  Njegic,-176899,Dianella White Eagles,Dianella White Eagles,https://cdn5.wyscout.com/photos/team/public/g27091_120x120.png,Western Australia NPL,"RDMF, RW, LDMF",RDMF,20,RW,18,LDMF,18,26.0,2000-02-29,0,,11,1044,1,0.75,1,2.52,25.86,54.33,Australia,['Australia'],,0,0,False,11.9,10.0,67.24,1.38,43.75,1.12,1.8599999999999999,0.26,4.05,6.71,1.47,5,0.43,0,0.0,3.1,0.09,1,0.09,0.07,0,0.0,22,1.9,31.82,4.545,0.09,1.55,33.33,0.86,40.0,0.6000000000000001,14.29,0.43,3.45,57.5,11.29,47.33,1.21,2.84,0.09,21.72,0.6000000000000001,1.55,36.98,74.36,13.36,62.58,6.03,85.71,31.12,80.33,4.4,45.1,20.09,39.63,0.22,1.9,0.0,0.09,0.09,0.0,0.34,7.16,62.65,3.2800000000000002,39.47,0.52,0.0,1.38,0.6900000000000001,7.93,81.52,79.31,12.5,0,,0,,0,0.0,0.0,0.0,,,0.17,,1.38,1.29,0.0,0.0,0.17,0,0
Franc Gámiz,Franc Gámiz Quer,-73627,Dianella White Eagles,Dianella White Eagles,https://cdn5.wyscout.com/photos/team/public/g27091_120x120.png,Western Australia NPL,LCB,LCB,100,,0,,0,27.0,1999-01-01,0,,11,1040,3,2.29,0,0.4,15.23,63.07,Spain,['Spain'],,188,86,False,7.36,3.55,73.17,7.1,70.73,0.35000000000000003,0.5700000000000001,0.61,4.41,7.32,0.61,1,0.09,1,0.09,1.47,0.26,3,0.26,0.2,1,0.09,11,0.9500000000000001,54.55,27.273,0.0,0.35000000000000003,75.0,0.35000000000000003,75.0,0.0,0.0,0.17,1.04,66.67,3.2,37.84,1.56,1.13,0.0,28.3,0.43,0.87,48.29,83.15,19.3,69.06,3.89,93.33,40.41,87.37,7.53,60.92,24.97,41.07,0.03,0.6900000000000001,0.0,0.09,0.0,0.0,0.09,6.06,72.86,1.47,47.06,0.35000000000000003,50.0,0.52,0.35000000000000003,10.82,64.8,93.98,23.02,0,,0,,0,0.0,0.0,0.0,,,3.03,,7.1,0.09,0.0,0.0,0.0,0,0
