Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Hagen,Maria  Hagen,-690488,Odd,Odd,https://cdn5.wyscout.com/photos/team/public/g-19004_120x120.png,1. Division Women,RCB,RCB,99,,0,,0,17.0,2008-10-25,0,,10,980,0,0.09,0,0.03,10.56,64.35,Norway,['Norway'],unknown,0,0,False,9.0,7.35,71.25,0.8300000000000001,44.44,0.09,0.12,0.55,3.67,4.88,0.46,0,0.0,0,0.0,0.0,0.0,0,0.0,0.01,0,0.0,4,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,1.1,33.33,0.18,0.55,0.0,38.11,0.09,0.28,52.62,86.91,17.36,69.31,3.31,94.44,45.55,93.75,7.07,42.86,22.02,39.17,0.0,0.09,0.0,0.0,0.0,0.0,0.0,5.97,63.08,0.92,10.0,0.64,28.57,0.09,0.0,7.44,70.37,96.5,28.84,0,,0,,0,0.0,0.0,0.0,,,2.48,,0.8300000000000001,0.09,0.0,0.0,0.0,0,0
I. Rame,Ingrid Rame,-324042,Odd,Odd,https://cdn5.wyscout.com/photos/team/public/g-19004_120x120.png,1. Division Women,LCB,LCB,99,,0,,0,21.0,2005-05-31,0,,10,980,0,0.51,1,0.30000000000000004,10.47,69.3,Norway,['Norway'],unknown,0,0,False,9.18,5.33,84.48,0.92,70.0,0.09,0.12,0.28,4.59,6.1,0.37,1,0.09,0,0.0,0.46,0.0,0,0.0,0.05,0,0.0,5,0.46,0.0,0.0,0.09,0.37,25.0,0.09,0.0,0.28,33.33,0.0,0.46,60.0,1.8399999999999999,35.0,0.55,1.65,0.09,44.36,0.09,0.37,62.63,78.89,28.01,67.87,2.94,84.38,49.13,87.1,13.13,49.65,23.82,38.37,0.03,0.37,0.09,0.09,0.18,50.0,0.0,10.29,55.36,1.1,50.0,0.8300000000000001,44.44,0.46,0.09,15.34,68.86,90.2,27.18,0,,0,,0,0.0,0.0,0.0,,,2.11,,0.92,1.1,0.0,0.0,0.0,0,0
S. Olderheim,Selma Olderheim,-366000,Odd,Odd,https://cdn5.wyscout.com/photos/team/public/g-19004_120x120.png,1. Division Women,"LB, RB",LB,49,RB,49,,0,20.0,2005-08-08,0,,10,970,1,0.99,1,0.77,17.07,56.52,Norway,['Norway'],unknown,0,0,False,10.39,8.07,71.26,0.37,50.0,0.19,0.25,0.28,4.45,5.9,0.84,2,0.19,0,0.0,3.71,0.09,1,0.09,0.09,0,0.0,12,1.11,33.33,8.333,0.09,3.25,42.86,1.76,42.11,1.3900000000000001,40.0,0.56,3.25,60.0,7.42,43.75,0.93,2.88,0.19,31.55,2.23,0.37,46.86,77.82,16.7,66.67,7.79,92.86,39.15,84.36,4.45,45.83,19.15,29.81,0.07,0.93,0.0,0.0,0.0,0.0,0.74,5.1,63.64,3.62,41.03,0.46,40.0,0.37,1.21,9.74,77.14,82.87,16.79,0,,0,,0,0.0,0.0,0.0,,,0.65,,0.37,0.0,0.0,0.0,0.0,0,0
I. Rusdal,Iselin Evje Rusdal,-824016,Bryne,Bryne,https://cdn5.wyscout.com/photos/team/public/g-17641_120x120.png,1. Division Women,GK,GK,100,,0,,0,29.0,1997-05-17,0,,10,966,0,0.0,0,0.0,0.93,90.0,Norway,['Norway'],unknown,0,0,False,2.14,0.28,66.67,0.47000000000000003,100.0,0.0,0.0,0.0,1.96,1.9100000000000001,0.09,1,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.64,0.0,0.37,18.54,61.31,13.98,52.0,0.0,0.0,7.17,93.51,11.37,40.98,35.78,44.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,18.75,0.09,0.0,0.28,0.0,0.0,0.0,7.73,46.99,88.89,4.19,14,1.3,67,6.24,3,79.1,19.94,1.8599999999999999,5.94,0.553,0.0,1.58,0.47000000000000003,,,,0.0,0,0
V. Fjogstad,Vibeke Fjogstad,-823991,Bryne,Bryne,https://cdn5.wyscout.com/photos/team/public/g-17641_120x120.png,1. Division Women,"CB, LCB",CB,61,LCB,27,,0,19.0,2007-01-27,0,,10,966,2,1.02,0,0.0,14.72,66.46,Norway,['Norway'],unknown,0,0,False,13.6,7.92,84.71,2.52,51.85,0.09,0.09,0.65,6.8,6.66,0.37,1,0.09,0,0.0,0.47000000000000003,0.19,2,0.19,0.1,0,0.0,3,0.28,100.0,66.667,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.09,0.19,100.0,1.96,28.57,0.56,0.0,0.0,15.37,0.0,0.0,30.93,72.59,15.0,56.52,1.96,95.24,25.16,78.52,5.68,47.54,20.41,34.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,36.67,0.37,0.0,0.28,0.0,0.09,0.0,6.99,34.67,91.53,10.99,0,,0,,0,0.0,0.0,0.0,,,1.4,,2.52,0.0,0.0,0.0,0.0,0,0
S. Naustdal,Solveig Naustdal,-825187,Fyllingsdalen,Fyllingsdalen,https://cdn5.wyscout.com/photos/team/public/g33154_120x120.png,1. Division Women,"RCB3, LCB3, RB",RCB3,44,LCB3,27,RB,13,25.0,2001-02-16,0,,10,964,2,1.9500000000000002,0,1.21,16.71,59.78,Norway,['Norway'],,0,0,False,12.23,9.8,71.43,1.4,60.0,0.0,0.0,0.28,5.23,5.44,0.56,1,0.09,0,0.0,1.49,0.19,1,0.09,0.18,0,0.0,11,1.03,36.36,18.182,0.0,0.84,44.44,0.0,0.0,0.84,44.44,0.19,1.21,53.85,4.11,40.91,1.03,1.12,0.0,23.71,0.28,0.28,44.25,64.35,25.39,56.62,4.11,95.45,33.8,72.1,9.71,39.42,20.25,33.92,0.11,0.65,0.09,0.0,0.28,33.33,0.28,9.9,55.66,2.15,30.43,0.84,33.33,0.47000000000000003,0.28,13.35,60.14,73.27,9.43,0,,0,,0,0.0,0.0,0.0,,,1.49,,1.4,0.0,0.0,0.0,0.0,1,100
S. Rød Ask,Sandra Rød Ask,-283886,Fyllingsdalen,Fyllingsdalen,https://cdn5.wyscout.com/photos/team/public/g33154_120x120.png,1. Division Women,GK,GK,100,,0,,0,24.0,2001-09-29,0,,10,964,0,0.0,0,0.0,1.21,84.62,Norway,['Norway'],unknown,0,0,False,1.87,0.0,0.0,0.75,100.0,0.0,0.0,0.0,1.87,1.94,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,66.67,0.0,0.0,0.0,9.43,0.0,0.28,19.51,69.86,12.6,58.52,0.09,0.0,9.06,94.85,10.46,48.21,34.09,43.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,31.58,0.09,0.0,0.0,0.0,0.0,0.0,7.1,63.16,91.3,6.44,25,2.33,66,6.16,3,62.12,16.59,1.55,-8.41,-0.785,0.0,1.87,0.75,,,,0.0,0,0
G. Frafjord,Guro Koll- Frafjord,-690457,Bryne,Bryne,https://cdn5.wyscout.com/photos/team/public/g-17641_120x120.png,1. Division Women,"RCMF, DMF",RCMF,55,DMF,30,,0,21.0,2005-01-05,0,,10,964,0,0.09,0,0.75,13.91,53.69,Norway,['Norway'],unknown,0,0,False,9.62,6.82,67.12,1.5899999999999999,58.82,0.0,0.0,0.28,5.04,4.94,1.03,1,0.09,0,0.0,0.37,0.0,0,0.0,0.01,0,0.0,6,0.56,33.33,0.0,0.0,0.28,33.33,0.09,0.0,0.19,50.0,0.0,0.47000000000000003,20.0,2.8,26.67,0.0,0.0,0.0,15.12,0.28,0.56,29.13,72.12,12.14,56.15,4.29,91.3,25.02,77.99,3.83,36.59,16.78,31.38,0.07,0.47000000000000003,0.09,0.0,0.0,0.0,0.09,3.64,58.97,0.56,16.67,0.09,0.0,0.09,0.0,4.76,37.25,81.01,7.38,0,,0,,0,0.0,0.0,0.0,,,0.65,,1.5899999999999999,0.75,0.0,0.0,0.93,0,0
M. Knutsen,Marie Forsøget  Knutsen,-690503,Start,Start,https://cdn5.wyscout.com/photos/team/public/g-19007_120x120.png,1. Division Women,RB,RB,97,,0,,0,30.0,1995-10-13,0,,10,961,0,0.08,1,0.17,17.51,62.03,Norway,['Norway'],right,0,0,False,12.27,11.99,67.97,0.47000000000000003,60.0,0.09,0.12,0.09,4.03,4.96,0.56,1,0.09,0,0.0,1.87,0.0,0,0.0,0.01,0,0.0,2,0.19,50.0,0.0,0.09,1.03,54.55,0.0,0.0,1.03,54.55,0.0,1.31,85.71,3.18,55.88,0.09,1.5,0.47000000000000003,35.87,1.31,0.47000000000000003,49.73,78.34,25.38,70.48,6.5600000000000005,95.71,45.42,82.27,3.37,33.33,16.6,27.59,0.02,0.37,0.09,0.09,0.28,33.33,0.09,9.93,64.15,2.43,42.31,0.75,25.0,0.56,0.47000000000000003,11.14,75.63,83.81,9.83,0,,0,,0,0.0,0.0,0.0,,,1.03,,0.47000000000000003,0.0,0.0,0.0,0.0,0,0
J. Pettersen,Juliane  Pettersen,-690496,Start,Start,https://cdn5.wyscout.com/photos/team/public/g-19007_120x120.png,1. Division Women,GK,GK,100,,0,,0,22.0,2003-11-14,0,,10,961,0,0.0,0,0.0,0.9400000000000001,90.0,Norway,['Norway'],unknown,182,0,False,2.25,0.0,0.0,0.56,100.0,0.0,0.0,0.0,2.25,2.77,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,100.0,0.0,0.0,0.0,14.14,0.0,0.37,27.72,81.08,16.58,70.06,0.09,100.0,18.17,97.94,9.46,49.5,27.73,41.23,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.19,0.0,0.0,0.0,6.46,47.83,98.1,9.83,10,0.9400000000000001,47,4.4,4,78.72,8.27,0.77,-1.73,-0.162,0.0,1.22,0.56,,,,0.0,0,0
