Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
E. Walker,Ellie Walker,-228431,Wellington Phoenix,Wellington Phoenix,https://cdn5.wyscout.com/photos/team/public/g-14911_120x120.png,A-League Women,"RCB3, RB",RCB3,73,RB,20,,0,26.0,1999-06-12,0,,23,2317,1,3.59,0,0.17,7.3,64.89,United States,['United States'],,180,0,False,10.57,3.19,68.29,2.87,78.38,0.08,0.11,0.8200000000000001,8.31,12.14,0.39,3,0.12,0,0.0,0.39,0.04,1,0.04,0.14,0,0.0,16,0.62,31.25,6.25,0.0,0.66,11.76,0.0,0.0,0.66,11.76,0.19,0.27,42.86,0.74,26.32,0.93,0.39,0.0,21.32,0.97,0.12,34.49,71.73,19.19,63.56,2.95,90.79,28.51,80.11,5.36,34.06,19.85,33.76,0.01,0.08,0.04,0.0,0.0,0.0,0.16,5.75,59.46,1.44,13.51,0.04,100.0,0.12,0.19,9.75,57.37,83.88,9.4,0,,0,,0,0.0,0.0,0.0,,,1.05,,2.87,0.08,0.0,0.0,0.0,0,0
D. Turner,Danielle Turner,245180,Melbourne City,Melbourne City,https://cdn5.wyscout.com/photos/team/public/g33657_120x120.png,A-League Women,LB,LB,86,,0,,0,34.0,1991-09-10,0,,23,2273,1,0.5,1,0.62,6.34,60.62,England,['England'],left,0,0,False,7.36,3.21,66.67,1.7000000000000002,67.44,0.0,0.0,0.2,5.23,7.75,0.28,0,0.0,0,0.0,0.4,0.04,1,0.04,0.02,1,0.04,5,0.2,20.0,20.0,0.04,0.9500000000000001,29.17,0.87,31.82,0.08,0.0,0.16,0.16,50.0,1.19,36.67,0.32,0.4,0.04,29.22,1.03,0.28,40.66,75.17,20.75,65.27,7.29,92.93,33.34,83.37,6.41,39.51,18.44,34.09,0.02,0.16,0.0,0.04,0.0,0.0,0.16,6.37,57.76,1.8599999999999999,27.66,0.04,100.0,0.32,0.2,8.71,63.18,79.8,8.04,0,,0,,0,0.0,0.0,0.0,,,1.11,,1.7000000000000002,0.0,0.0,0.0,0.91,0,0
T. Otto,Taylor Otto,467995,Melbourne City,Melbourne City,https://cdn5.wyscout.com/photos/team/public/g33657_120x120.png,A-League Women,LCB,LCB,86,,0,,0,28.0,1997-10-23,0,2027-01-01,23,2273,0,1.9100000000000001,0,0.41000000000000003,7.25,62.84,United States,['United States'],,178,0,False,7.5600000000000005,3.48,72.73,2.1,54.72,0.0,0.0,0.32,5.03,7.46,0.51,3,0.12,0,0.0,0.51,0.0,0,0.0,0.08,0,0.0,10,0.4,20.0,0.0,0.0,0.28,57.14,0.0,0.0,0.28,57.14,0.04,0.44,63.64,1.27,56.25,1.07,0.44,0.0,35.44,0.67,0.4,48.39,90.26,14.41,78.85,4.28,94.44,45.14,93.42,2.9699999999999998,45.33,18.08,31.12,0.02,0.12,0.04,0.0,0.0,0.0,0.08,2.5300000000000002,67.19,0.4,40.0,0.0,0.0,0.2,0.16,4.99,50.79,98.19,24.07,0,,0,,0,0.0,0.0,0.0,,,2.45,,2.1,0.0,0.0,0.0,0.0,0,0
K. Morrison,Kayla Morrison,-188702,Melbourne Victory,Melbourne Victory,https://cdn5.wyscout.com/photos/team/public/g12645_120x120.png,A-League Women,LCB,LCB,99,,0,,0,29.0,1996-08-05,0,,23,2269,0,3.3,2,1.48,7.3,70.11,United States,['United States'],,0,0,False,9.32,2.46,80.65,3.5300000000000002,69.66,0.0,0.0,0.71,7.34,10.51,0.2,4,0.16,0,0.0,0.56,0.0,0,0.0,0.13,0,0.0,20,0.79,25.0,0.0,0.08,0.52,30.77,0.32,37.5,0.12,33.33,0.24,0.24,83.33,0.99,44.0,1.55,0.63,0.04,30.26,0.56,0.2,52.64,81.84,24.24,70.7,3.89,97.96,43.71,90.11,8.45,41.78,21.44,38.73,0.06,0.2,0.0,0.0,0.0,0.0,0.24,6.43,51.85,1.23,29.03,0.0,0.0,0.36,0.24,10.35,59.0,94.12,20.9,0,,0,,0,0.0,0.0,0.0,,,2.9,,3.5300000000000002,0.0,0.0,0.0,0.0,0,0
C. Newbon,Courtney Newbon,468604,Melbourne Victory,Melbourne Victory,https://cdn5.wyscout.com/photos/team/public/g12645_120x120.png,A-League Women,GK,GK,100,,0,,0,25.0,2000-09-14,0,,23,2269,0,0.0,1,0.0,0.08,100.0,Australia,"['Australia', 'Belgium']",,0,0,False,0.24,0.0,0.0,0.04,100.0,0.0,0.0,0.0,0.24,0.34,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,24.16,0.4,0.08,35.22,86.6,11.82,66.78,0.12,66.67,27.37,97.68,7.77,48.47,27.57,44.92,0.0,0.0,0.0,0.0,0.0,0.0,0.04,1.51,23.68,0.36,0.0,0.04,100.0,0.0,0.0,5.79,47.95,96.84,21.34,28,1.11,103,4.09,7,72.82,27.13,1.08,-0.87,-0.035,0.08,1.51,0.04,,,,0.0,0,0
M. Barry,Mackenzie Dale Barry,-106872,Wellington Phoenix,Wellington Phoenix,https://cdn5.wyscout.com/photos/team/public/g-14911_120x120.png,A-League Women,"CB, RCB",CB,77,RCB,21,,0,25.0,2001-04-11,0,2027-01-01,23,2265,0,0.01,0,0.2,8.98,71.24,New Zealand,['New Zealand'],,171,0,False,11.17,5.09,78.13,1.9100000000000001,58.33,0.08,0.12,0.8300000000000001,7.11,10.37,0.64,2,0.08,0,0.0,0.32,0.0,0,0.0,0.0,0,0.0,1,0.04,100.0,0.0,0.0,0.2,80.0,0.0,0.0,0.2,80.0,0.0,0.2,60.0,1.51,60.53,0.08,0.24,0.12,19.99,0.12,1.03,36.6,77.2,14.11,59.72,2.62,95.45,29.21,87.21,7.19,36.46,20.37,30.59,0.01,0.08,0.0,0.0,0.0,0.0,0.08,3.22,48.15,0.64,50.0,0.0,0.0,0.16,0.16,6.72,37.87,88.5,16.93,0,,0,,0,0.0,0.0,0.0,,,1.51,,1.9100000000000001,0.0,0.0,0.0,0.0,0,0
A. Woods,Alicia Woods,-409929,Brisbane Roar,Brisbane Roar,https://cdn5.wyscout.com/photos/team/public/g12647_120x120.png,A-League Women,"LDMF, LCMF, DMF",LDMF,36,LCMF,27,DMF,17,22.0,2004-01-18,0,,23,2255,1,1.11,4,2.6,14.57,55.07,Australia,['Australia'],unknown,0,0,False,10.7,7.1,66.85,2.04,43.14,0.32,0.45,0.32,5.63,8.01,1.08,4,0.16,0,0.0,1.32,0.04,1,0.04,0.04,0,0.0,18,0.72,27.78,5.556,0.16,1.2,30.0,0.76,36.84,0.4,20.0,0.2,1.28,59.38,4.39,43.64,0.96,0.48,0.12,20.59,0.44,0.76,37.64,71.26,13.81,54.34,6.86,91.28,30.97,77.58,5.47,44.53,16.94,30.32,0.1,0.68,0.0,0.0,0.0,0.0,0.52,5.79,55.17,1.6400000000000001,29.27,0.04,0.0,0.4,0.36,6.11,47.71,77.89,11.37,0,,0,,0,0.0,0.0,0.0,,,0.4,,2.04,0.48,0.0,0.0,2.43,0,0
V. Esson,Victoria Lucy Esson,135189,Wellington Phoenix,Wellington Phoenix,https://cdn5.wyscout.com/photos/team/public/g-14911_120x120.png,A-League Women,GK,GK,100,,0,,0,35.0,1991-03-06,0,,22,2216,0,0.0,0,0.0,0.49,75.0,New Zealand,['New Zealand'],,173,0,False,1.1400000000000001,0.2,80.0,0.08,50.0,0.04,0.06,0.0,0.93,1.3900000000000001,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,80.0,0.0,0.0,0.04,9.02,0.24,0.2,18.36,78.1,9.58,68.22,0.24,83.33,10.23,96.03,8.08,55.28,27.37,35.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,40.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38,43.95,88.89,7.68,21,0.85,69,2.8,8,69.57,20.71,0.84,-0.29,-0.012,0.2,2.36,0.08,,,,0.0,0,0
M. Van Der Meer,Marisa Isabel Van Der Meer,-106876,Wellington Phoenix,Wellington Phoenix,https://cdn5.wyscout.com/photos/team/public/g-14911_120x120.png,A-League Women,"LCB3, LCB",LCB3,75,LCB,21,,0,24.0,2002-03-27,0,,23,2209,3,2.45,0,0.79,9.25,60.79,New Zealand,['New Zealand'],,167,0,False,8.31,3.79,60.22,3.5,67.44,0.0,0.0,0.16,6.03,8.77,0.41000000000000003,2,0.08,0,0.0,0.49,0.12,3,0.12,0.1,2,0.08,12,0.49,41.67,25.0,0.0,0.2,60.0,0.16,75.0,0.04,0.0,0.0,0.33,50.0,1.3,40.63,0.81,0.41000000000000003,0.08,23.3,0.45,0.24,41.15,74.36,21.15,63.97,2.32,87.72,35.45,80.57,5.5,34.81,18.56,29.56,0.03,0.12,0.0,0.0,0.0,0.0,0.2,4.07,62.0,0.5700000000000001,21.43,0.0,0.0,0.08,0.12,9.94,42.21,86.72,14.42,0,,0,,0,0.0,0.0,0.0,,,0.77,,3.5,0.0,0.0,0.0,0.0,0,0
G. Jale,Grace Joana Ella Jale,463809,Wellington Phoenix,Wellington Phoenix,https://cdn5.wyscout.com/photos/team/public/g-14911_120x120.png,A-League Women,LCMF,LCMF,80,,0,,0,27.0,1999-04-10,0,,22,2201,3,4.79,1,1.54,13.86,64.31,New Zealand,"['New Zealand', 'Fiji']",right,179,62,False,8.83,5.52,71.11,4.74,76.72,0.16,0.24,0.12,4.74,6.84,0.8200000000000001,1,0.04,0,0.0,1.02,0.12,3,0.12,0.2,2,0.08,39,1.5899999999999999,28.21,7.692,0.04,0.65,37.5,0.25,33.33,0.29,42.86,0.16,0.65,50.0,2.7800000000000002,33.82,1.55,0.65,0.08,22.69,0.49,0.53,39.05,71.73,15.95,55.13,7.48,94.54,30.26,81.08,8.14,39.7,19.43,35.67,0.06,0.41000000000000003,0.04,0.0,0.04,0.0,0.49,7.89,50.26,1.92,42.55,0.08,50.0,0.45,0.29,7.61,57.53,81.95,10.88,0,,0,,0,0.0,0.0,0.0,,,0.33,,4.74,0.8200000000000001,0.29,28.57,0.41000000000000003,0,0
